Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,40.5,41.9,38.3,41.3,41.15,47647.0,19.52
2010-01-05,41.35,42.8,40.7,40.85,41.0,60167.0,25.07
2010-01-06,41.05,41.6,40.2,40.7,40.55,27047.0,11.08
2010-01-07,41.9,41.9,39.65,39.95,40.1,32759.0,13.12
2010-01-08,39.55,41.7,39.55,39.85,40.25,16460.0,6.73
2010-01-11,39.55,41.55,39.55,40.5,40.45,24915.0,10.15
2010-01-12,41.0,41.0,39.5,40.0,39.9,16953.0,6.82
2010-01-13,44.0,44.0,39.5,40.1,40.05,24177.0,9.66
2010-01-14,40.5,41.5,40.0,41.35,40.95,30785.0,12.62
2010-01-15,42.65,44.25,42.25,42.8,42.45,75613.0,32.63
2010-01-18,46.1,49.0,45.5,46.65,46.6,416813.0,197.53
2010-01-19,47.8,47.95,43.8,43.8,44.3,121701.0,56.48
2010-01-20,44.35,48.6,44.35,45.8,46.1,259147.0,122.22
2010-01-21,45.25,46.1,43.0,43.2,43.2,67771.0,29.85
2010-01-22,41.15,43.2,38.8,42.9,42.6,50331.0,21.1
2010-01-25,44.85,48.6,43.0,43.2,43.7,32633.0,14.34
2010-01-27,45.0,45.0,40.0,40.0,40.3,40973.0,17.04
2010-01-28,40.2,43.4,40.05,40.7,40.7,157030.0,65.81
2010-01-29,41.0,41.0,37.55,40.2,40.35,43206.0,16.93
2010-02-01,40.7,41.35,39.75,40.55,40.95,17550.0,7.16
2010-02-02,44.25,44.25,39.1,39.5,39.5,23681.0,9.65
2010-02-03,39.9,42.25,39.9,40.75,40.75,33892.0,14.01
2010-02-04,41.45,41.45,39.05,40.95,39.65,41937.0,16.93
2010-02-05,39.0,39.0,37.0,37.95,37.7,28039.0,10.58
2010-02-06,38.0,38.05,37.55,37.8,37.8,6580.0,2.49
2010-02-08,40.8,40.8,38.8,39.5,39.15,27229.0,10.77
2010-02-09,40.0,40.2,38.5,39.5,39.25,19474.0,7.65
2010-02-10,40.0,40.5,39.4,39.85,39.75,29769.0,11.89
2010-02-11,41.4,41.4,39.75,39.75,39.75,11803.0,4.72
2010-02-15,43.0,43.0,39.3,39.35,39.45,6439.0,2.57
2010-02-16,39.55,40.7,39.05,40.7,40.3,21187.0,8.45
2010-02-17,40.15,40.85,40.0,40.0,40.25,9516.0,3.84
2010-02-18,40.25,40.25,38.25,38.25,38.5,42563.0,16.68
2010-02-19,38.5,38.6,37.9,38.2,38.15,5452.0,2.09
2010-02-22,43.0,43.0,38.05,38.5,38.75,12075.0,4.72
2010-02-23,37.8,38.75,37.55,37.65,37.9,7452.0,2.84
2010-02-24,37.3,37.35,36.0,37.1,37.05,28937.0,10.63
2010-02-25,38.5,38.5,36.75,37.05,37.45,10912.0,4.05
2010-02-26,37.1,38.7,37.1,37.25,37.4,10426.0,3.91
2010-03-02,37.75,39.4,37.75,38.45,38.45,9858.0,3.81
2010-03-03,39.0,39.5,38.5,39.0,39.1,24548.0,9.56
2010-03-04,39.6,41.45,39.0,40.7,40.6,32718.0,13.29
2010-03-05,41.0,41.7,40.05,40.05,40.3,14612.0,5.98
2010-03-08,40.6,42.5,40.5,42.2,41.8,25515.0,10.58
2010-03-09,41.0,42.15,40.2,40.7,40.5,7678.0,3.14
2010-03-10,39.7,40.85,39.25,39.25,39.95,10984.0,4.39
2010-03-11,39.55,41.4,39.5,40.35,40.0,25824.0,10.47
2010-03-12,40.35,41.0,39.0,39.1,39.3,8166.0,3.26
2010-03-15,40.0,40.9,39.8,39.8,40.2,26738.0,10.78
2010-03-16,40.0,40.25,39.2,39.75,40.0,7078.0,2.82
2010-03-17,39.65,40.65,39.3,39.4,39.95,26132.0,10.49
2010-03-18,44.85,45.0,39.1,40.6,40.0,10598.0,4.29
2010-03-19,39.65,43.8,39.25,41.25,41.15,85748.0,35.9
2010-03-22,42.3,44.5,40.95,44.0,43.95,180647.0,78.92
2010-03-23,44.0,46.0,43.5,44.25,43.9,63005.0,28.33
2010-03-25,44.8,44.8,42.05,43.3,43.55,34699.0,15.11
2010-03-26,44.0,44.4,42.0,42.0,42.25,20021.0,8.64
2010-03-29,45.4,45.4,39.5,40.75,41.1,25806.0,10.83
2010-03-30,40.1,44.5,40.1,42.85,43.05,63420.0,27.27
2010-03-31,44.2,44.9,43.1,44.5,44.5,34737.0,15.33
2010-04-01,44.95,48.2,44.0,47.0,47.1,136935.0,63.59
2010-04-05,48.0,49.5,47.0,48.65,48.85,135932.0,65.95
2010-04-06,49.8,50.0,48.4,48.4,48.65,74128.0,36.45
2010-04-07,49.5,49.7,46.6,46.7,47.1,47696.0,22.92
2010-04-08,47.25,47.5,46.25,46.5,46.4,32472.0,15.23
2010-04-09,46.05,46.95,45.1,45.95,45.9,23460.0,10.85
2010-04-12,46.5,52.2,46.0,51.1,50.75,332138.0,164.3
2010-04-13,51.0,52.7,48.6,49.2,48.85,167598.0,84.94
2010-04-15,49.0,51.0,48.05,48.15,48.35,86966.0,43.15
2010-04-16,49.2,49.2,46.3,47.05,47.1,26766.0,12.68
2010-04-19,47.5,47.5,45.05,45.6,45.8,31951.0,14.69
2010-04-20,46.95,49.4,45.6,48.0,47.9,50428.0,24.18
2010-04-21,48.8,48.9,47.0,47.8,48.0,36712.0,17.64
2010-04-22,48.4,54.2,47.3,51.0,50.95,826410.0,434.07
2010-04-23,51.4,52.3,50.0,51.55,50.5,125945.0,64.24
2010-04-26,51.45,51.45,49.4,50.0,49.8,33616.0,16.87
2010-04-27,50.75,52.45,50.0,50.0,50.25,82545.0,42.08
2010-04-28,47.95,49.8,47.5,48.85,48.6,39370.0,19.22
2010-04-29,47.2,49.5,47.1,48.7,48.8,33086.0,16.16
2010-04-30,49.25,51.1,49.2,49.75,49.55,49308.0,24.74
2010-05-03,49.5,49.5,48.2,48.35,48.6,24510.0,11.95
2010-05-04,48.5,53.85,47.5,48.0,48.3,397500.0,204.24
2010-05-05,45.1,47.2,45.0,47.1,46.95,90379.0,41.76
2010-05-06,45.65,47.85,45.55,47.2,47.2,25397.0,11.92
2010-05-07,46.0,46.8,44.2,44.5,44.7,54871.0,24.74
2010-05-10,45.0,48.5,45.0,46.4,46.55,29982.0,13.9
2010-05-11,46.2,50.95,46.1,47.05,46.95,466128.0,229.8
2010-05-12,46.6,47.7,46.1,46.5,46.45,48208.0,22.57
2010-05-13,46.5,47.65,46.1,46.75,46.65,24280.0,11.42
2010-05-14,46.0,46.85,45.0,45.1,45.1,24582.0,11.24
2010-05-17,46.2,48.5,43.5,45.7,45.6,41284.0,18.74
2010-05-18,45.0,49.35,45.0,46.95,46.8,311269.0,149.25
2010-05-19,45.55,47.15,44.1,44.25,44.7,39947.0,18.19
2010-05-20,45.7,46.0,44.15,44.8,44.75,29801.0,13.43
2010-05-21,44.0,44.1,41.55,43.3,43.6,26680.0,11.59
2010-05-24,44.05,45.2,43.0,43.5,43.45,43700.0,19.39
2010-05-25,43.5,43.65,42.0,42.4,42.1,18912.0,8.06
2010-05-26,42.25,43.0,41.35,42.85,42.75,57783.0,24.4
2010-05-27,42.7,43.9,42.55,43.05,43.15,13485.0,5.82
2010-05-28,44.05,46.55,43.5,43.7,43.7,78261.0,35.05
2010-05-31,43.7,43.7,41.9,42.3,42.3,21070.0,8.93
2010-06-01,41.5,42.9,40.6,41.05,40.9,12328.0,5.13
2010-06-02,41.0,41.9,40.5,41.6,41.45,8933.0,3.68
2010-06-03,41.7,42.65,41.0,41.0,41.6,18230.0,7.65
2010-06-04,42.0,42.0,40.7,41.15,41.15,12571.0,5.21
2010-06-07,40.0,41.0,40.0,40.5,40.55,14425.0,5.85
2010-06-08,41.0,41.45,40.25,40.25,40.25,4454.0,1.8
2010-06-09,41.0,41.5,40.2,40.4,40.95,20929.0,8.55
2010-06-10,40.3,43.0,40.3,42.75,42.55,33450.0,14.19
2010-06-11,43.45,43.45,41.65,41.65,41.75,7128.0,3.01
2010-06-14,42.0,42.75,41.2,42.0,42.05,8237.0,3.47
2010-06-15,42.0,42.3,41.5,42.0,42.0,5266.0,2.21
2010-06-16,42.3,43.0,41.1,41.1,41.6,11766.0,4.97
2010-06-17,41.9,44.05,41.5,42.75,43.0,43146.0,18.54
2010-06-18,43.75,45.0,42.05,42.25,42.3,12026.0,5.16
2010-06-21,42.5,44.75,42.5,42.75,43.15,106772.0,46.74
2010-06-22,43.5,43.5,41.5,41.5,41.65,29663.0,12.47
2010-06-23,42.45,42.45,41.3,42.45,42.25,34301.0,14.33
2010-06-24,42.15,42.95,42.0,42.1,42.3,18796.0,7.96
2010-06-25,41.7,43.45,41.65,41.85,41.85,12970.0,5.48
2010-06-28,42.75,45.5,42.75,44.0,43.7,21712.0,9.43
2010-06-29,44.2,44.5,43.05,43.8,43.6,12131.0,5.31
2010-06-30,43.0,44.4,43.0,43.6,43.85,10611.0,4.65
2010-07-01,43.0,44.1,43.0,43.65,43.35,8273.0,3.61
2010-07-02,35.15,44.7,35.15,44.35,43.95,30533.0,13.35
2010-07-05,44.5,44.5,42.9,43.0,43.05,7875.0,3.42
2010-07-06,43.75,43.75,43.0,43.1,43.2,10392.0,4.49
2010-07-07,43.3,44.2,43.25,43.9,43.95,8964.0,3.93
2010-07-08,43.15,44.0,43.1,43.7,43.55,8901.0,3.88
2010-07-09,43.65,43.9,43.0,43.4,43.4,8693.0,3.78
2010-07-12,44.0,45.0,43.3,43.4,43.4,31033.0,13.6
2010-07-13,43.2,43.45,42.7,43.0,43.15,19752.0,8.52
2010-07-14,43.9,44.9,42.7,44.05,44.1,35583.0,15.6
2010-07-15,44.25,44.75,43.3,43.3,43.75,24049.0,10.65
2010-07-16,43.3,44.7,43.3,44.7,44.4,21389.0,9.47
2010-07-19,44.85,46.0,43.9,45.3,45.05,15180.0,6.85
2010-07-20,44.55,46.3,44.5,45.95,45.95,28507.0,13.08
2010-07-21,47.0,47.0,45.7,45.8,45.8,22790.0,10.52
2010-07-22,45.35,46.6,44.55,46.0,45.8,39099.0,17.88
2010-07-23,46.4,46.4,45.4,45.5,45.55,14966.0,6.85
2010-07-26,46.0,46.5,45.5,45.5,45.5,17799.0,8.13
2010-07-27,46.5,46.5,44.65,44.75,44.75,10238.0,4.63
2010-07-28,43.25,45.5,43.25,45.25,45.05,16233.0,7.32
2010-07-29,45.9,46.0,44.1,44.1,44.2,33043.0,14.83
2010-07-30,44.15,44.9,44.05,44.25,44.25,7205.0,3.2
2010-08-02,44.2,45.5,44.0,44.5,44.2,32917.0,14.75
2010-08-03,47.0,48.0,46.4,47.2,46.7,70149.0,33.0
2010-08-04,47.2,47.2,45.7,45.7,45.8,31695.0,14.72
2010-08-05,46.0,47.15,45.5,45.5,45.7,52366.0,24.27
2010-08-06,45.3,46.2,44.5,45.25,44.75,12036.0,5.46
2010-08-09,45.5,49.9,45.5,49.8,49.5,338969.0,164.89
2010-08-10,50.0,51.6,49.05,49.25,49.25,534726.0,269.35
2010-08-11,47.0,49.4,47.0,47.05,47.35,63360.0,30.39
2010-08-12,46.35,47.8,46.35,47.2,47.3,39128.0,18.49
2010-08-13,47.3,48.9,47.1,47.75,47.55,31690.0,15.16
