Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,345.0,360.0,343.9,353.0,352.6,280688.0,995.22
2010-01-05,356.3,370.0,353.1,364.9,363.45,469856.0,1712.1
2010-01-06,368.0,369.15,357.15,363.8,362.05,177339.0,645.81
2010-01-07,364.7,372.0,360.15,363.15,363.8,229796.0,843.57
2010-01-08,366.0,402.0,362.05,392.5,390.9,1082456.0,4175.05
2010-01-11,395.7,401.75,386.0,387.6,391.2,327132.0,1289.13
2010-01-12,392.6,401.0,375.0,376.65,378.8,270952.0,1056.11
2010-01-13,378.0,385.9,373.15,379.7,381.35,150060.0,570.23
2010-01-14,385.2,394.9,382.75,392.3,391.55,184544.0,720.14
2010-01-15,392.5,464.0,370.0,436.05,438.75,2633995.0,11374.32
2010-01-18,434.4,457.0,422.0,444.0,442.55,674793.0,3005.47
2010-01-19,442.0,467.8,438.5,450.05,448.35,572430.0,2602.86
2010-01-20,459.0,462.0,440.2,444.0,444.95,274915.0,1236.19
2010-01-21,430.1,450.0,412.65,428.4,422.8,167219.0,726.71
2010-01-22,418.0,423.2,390.1,412.25,416.05,287601.0,1177.95
2010-01-25,416.0,419.8,396.0,397.0,400.65,121761.0,497.33
2010-01-27,399.75,405.7,375.25,377.05,380.7,124253.0,487.39
2010-01-28,387.75,397.0,379.5,379.5,381.35,121800.0,472.47
2010-01-29,368.0,404.95,365.0,394.35,392.85,313868.0,1232.17
2010-02-01,395.0,410.95,392.0,407.0,406.45,152646.0,619.28
2010-02-02,415.6,426.7,402.05,411.5,409.25,154927.0,645.19
2010-02-03,412.0,419.0,401.2,404.7,403.75,110017.0,449.88
2010-02-04,408.9,413.1,392.0,395.0,395.1,94645.0,382.75
2010-02-05,366.25,400.0,366.25,398.5,396.2,111336.0,431.34
2010-02-06,408.0,408.0,398.65,403.25,403.25,14702.0,59.46
2010-02-08,404.05,411.6,396.0,402.85,401.6,62871.0,254.06
2010-02-09,404.0,431.0,398.0,422.8,420.3,172863.0,719.5
2010-02-10,426.5,431.8,412.0,415.7,416.55,102121.0,431.53
2010-02-11,420.0,456.95,420.0,446.55,449.5,801874.0,3562.9
2010-02-15,451.5,451.5,424.4,426.5,426.5,258144.0,1117.02
