Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,84.7,87.7,82.2,84.95,84.7,2314205.0,1976.99
2010-01-05,86.05,91.25,84.25,87.0,87.0,2299514.0,2036.8
2010-01-06,87.4,89.9,85.5,86.0,86.1,849971.0,743.33
2010-01-07,86.2,88.25,85.2,87.2,87.05,795729.0,691.49
2010-01-08,88.0,90.0,87.5,87.75,88.0,973229.0,862.98
2010-01-11,89.0,99.55,88.45,96.4,96.7,4193025.0,4011.68
2010-01-12,97.4,99.3,93.6,93.9,93.95,1437729.0,1388.93
2010-01-13,93.0,94.9,91.65,94.75,94.25,726475.0,678.99
2010-01-14,95.5,97.9,94.6,96.5,95.9,582080.0,559.76
2010-01-15,96.95,104.7,95.25,98.9,99.25,3351482.0,3379.92
2010-01-18,98.0,104.8,98.0,102.05,102.5,1702349.0,1746.9
2010-01-19,103.8,107.0,102.5,104.35,104.25,1638474.0,1719.11
2010-01-20,105.25,106.5,100.85,102.5,102.05,817054.0,848.52
2010-01-21,102.0,102.5,97.25,98.2,97.85,776334.0,774.18
2010-01-22,96.0,96.0,90.2,93.55,93.45,639652.0,596.65
2010-01-25,92.0,101.0,92.0,96.85,97.1,1450632.0,1421.25
2010-01-27,96.0,100.8,88.6,89.75,90.7,764654.0,728.71
2010-01-28,92.05,94.3,90.05,91.4,90.75,524991.0,484.32
2010-01-29,87.5,93.6,86.2,92.05,91.8,727946.0,654.53
2010-02-01,91.8,93.85,89.15,93.2,92.8,352610.0,327.19
2010-02-02,93.8,97.9,92.4,93.5,93.25,624385.0,596.7
2010-02-03,94.55,96.85,93.1,93.45,93.6,366029.0,346.63
2010-02-04,93.55,96.3,90.8,91.4,91.25,437866.0,409.96
2010-02-05,88.0,89.55,85.35,85.4,86.5,375455.0,327.39
2010-02-06,88.0,92.4,87.5,90.7,90.7,269927.0,244.34
2010-02-08,91.25,92.2,88.15,89.4,89.5,379175.0,342.3
2010-02-09,90.4,90.95,89.0,89.9,89.35,231163.0,207.91
2010-02-10,90.5,92.8,89.0,89.75,89.3,321347.0,292.13
2010-02-11,90.0,91.8,89.0,89.15,89.45,199207.0,179.79
2010-02-15,90.7,90.9,88.05,89.3,88.8,126322.0,113.32
2010-02-16,89.95,90.1,87.6,89.2,88.85,148095.0,131.19
2010-02-17,90.4,92.2,89.2,89.8,89.65,285968.0,259.06
2010-02-18,89.8,90.6,88.0,88.35,88.25,141402.0,126.12
2010-02-19,88.0,88.0,86.05,86.8,86.7,130264.0,113.32
2010-02-22,88.5,88.7,83.5,83.8,83.9,134741.0,116.14
2010-02-23,84.25,85.0,82.4,82.75,82.7,118370.0,98.79
2010-02-24,80.35,82.45,79.0,79.8,79.6,116702.0,94.08
2010-02-25,80.45,82.0,80.1,80.35,80.6,119680.0,97.03
2010-02-26,82.6,84.1,81.5,82.15,82.4,242971.0,201.12
2010-03-02,83.25,84.0,82.1,82.35,82.85,137504.0,114.12
2010-03-03,83.15,84.85,82.75,84.35,83.95,162171.0,136.13
2010-03-04,84.5,85.25,82.5,82.65,82.8,167305.0,139.92
2010-03-05,83.1,84.65,82.6,82.8,83.05,489797.0,408.02
2010-03-08,83.5,86.6,83.3,84.0,83.9,301985.0,256.47
2010-03-09,86.0,86.5,83.8,84.6,84.3,252093.0,214.59
2010-03-10,84.1,85.35,83.1,83.65,83.55,138523.0,116.72
2010-03-11,84.5,89.2,83.1,84.0,84.1,4264046.0,3690.49
2010-03-12,84.3,85.7,82.15,82.8,82.55,466501.0,392.54
2010-03-15,82.2,87.0,74.0,75.5,75.0,3605189.0,2851.31
2010-03-16,75.4,79.0,68.05,74.2,73.6,2568185.0,1908.46
2010-03-17,74.7,75.8,67.5,68.4,68.1,3457184.0,2461.91
2010-03-18,69.0,71.45,66.55,67.25,67.35,3208045.0,2199.89
2010-03-19,68.2,69.6,67.45,68.75,68.7,1053000.0,722.39
2010-03-22,67.15,70.4,64.7,65.0,66.0,2892387.0,1936.87
2010-03-23,66.5,67.5,63.9,64.8,64.4,1540636.0,1004.04
2010-03-25,64.95,65.5,64.2,64.6,64.45,424162.0,274.33
2010-03-26,65.0,65.1,62.65,62.8,62.85,422647.0,270.09
2010-03-29,63.0,65.55,61.2,61.65,61.5,1853536.0,1161.76
2010-03-30,62.0,64.5,62.0,64.25,64.0,957524.0,610.17
2010-03-31,64.9,64.9,63.1,63.55,63.6,358530.0,228.94
2010-04-01,64.0,67.3,63.75,67.1,66.65,988090.0,651.25
