Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,142.0,163.9,136.0,158.0,153.2,35920.0,56.09
2010-01-05,158.0,170.0,154.0,161.45,161.75,61726.0,102.19
2010-01-06,168.95,168.95,157.0,158.0,158.55,6778.0,10.9
2010-01-07,154.0,160.95,154.0,155.1,155.85,4863.0,7.64
2010-01-08,157.0,159.75,153.1,154.6,155.8,6202.0,9.68
2010-01-11,158.0,169.9,157.4,163.0,161.65,21115.0,34.28
2010-01-12,164.75,164.75,155.0,156.2,155.95,4791.0,7.64
2010-01-13,156.0,158.75,155.2,157.0,156.1,4243.0,6.65
2010-01-14,141.2,161.0,141.2,160.25,160.5,4859.0,7.73
2010-01-15,159.0,161.7,158.0,160.0,158.6,2549.0,4.06
2010-01-18,157.0,164.85,155.25,163.1,163.15,7027.0,11.36
2010-01-19,159.5,165.0,159.25,159.5,160.75,4323.0,7.05
2010-01-20,163.9,163.9,156.3,160.0,159.9,3901.0,6.2
2010-01-21,162.0,163.0,155.5,156.5,156.9,8366.0,13.24
2010-01-22,155.55,157.5,145.25,151.0,152.3,3759.0,5.72
2010-01-25,160.0,180.8,160.0,168.5,173.9,214989.0,370.81
2010-01-27,170.0,172.95,151.2,154.8,154.3,54273.0,89.39
2010-01-28,155.0,159.0,151.3,151.3,153.1,11162.0,17.46
2010-01-29,146.5,154.0,143.5,149.0,150.75,8256.0,12.2
2010-02-01,146.25,154.0,146.15,151.3,150.85,4909.0,7.4
2010-02-02,157.6,157.6,148.0,148.0,150.2,4964.0,7.53
2010-02-03,157.25,157.25,147.3,148.7,148.85,2102.0,3.16
2010-02-04,147.0,151.8,146.85,146.85,147.2,1049.0,1.55
2010-02-05,145.5,147.45,139.7,141.05,141.05,2787.0,3.98
2010-02-06,143.5,146.0,143.5,146.0,146.0,122.0,0.18
2010-02-08,146.0,148.8,142.15,144.1,145.0,2490.0,3.64
2010-02-09,145.5,148.0,142.4,142.4,145.15,1540.0,2.24
2010-02-10,146.0,147.95,144.1,144.65,145.2,910.0,1.33
2010-02-11,145.5,145.5,141.0,143.55,143.6,679.0,0.98
2010-02-15,143.7,163.8,143.0,156.0,158.35,179842.0,283.32
2010-02-16,157.65,170.5,146.0,165.0,164.95,346112.0,566.2
2010-02-17,167.5,167.5,154.0,156.15,155.75,30691.0,49.16
2010-02-18,154.8,161.0,154.1,155.4,156.2,11648.0,18.33
2010-02-19,162.9,162.9,147.25,147.3,149.05,8801.0,13.36
2010-02-22,152.05,153.5,146.1,146.15,146.6,5264.0,7.85
2010-02-23,142.3,151.55,142.3,147.5,147.45,3912.0,5.78
2010-02-24,146.0,151.55,144.3,145.0,145.85,2155.0,3.16
2010-02-25,146.5,148.0,142.8,146.9,144.7,2173.0,3.13
2010-02-26,145.0,153.0,144.9,150.0,149.0,4500.0,6.65
2010-03-02,148.1,155.0,147.55,152.0,151.9,2313.0,3.5
2010-03-03,150.0,158.0,150.0,150.0,152.05,6059.0,9.34
2010-03-04,145.05,157.35,145.05,150.2,150.25,1710.0,2.58
2010-03-05,150.8,155.0,150.8,151.25,152.35,2912.0,4.46
2010-03-08,155.0,155.0,153.0,153.05,153.75,830.0,1.28
2010-03-09,152.0,155.9,151.3,152.05,152.95,4383.0,6.78
2010-03-10,149.05,155.0,149.05,152.55,153.55,1859.0,2.85
2010-03-11,152.0,156.15,152.0,155.9,155.1,4441.0,6.89
2010-03-12,158.0,158.0,148.1,148.1,148.9,3679.0,5.57
2010-03-15,166.55,166.55,147.2,148.55,148.55,6695.0,10.02
2010-03-16,149.5,152.9,148.45,149.0,148.95,1590.0,2.38
2010-03-17,148.7,153.65,148.5,149.0,148.75,1860.0,2.79
2010-03-18,151.0,160.0,147.15,157.0,155.4,8088.0,12.58
2010-03-19,155.0,165.75,153.1,158.6,160.2,30126.0,48.91
2010-03-22,159.4,160.0,155.15,155.15,155.5,1712.0,2.7
2010-03-23,155.4,157.75,152.4,155.0,153.85,3687.0,5.7
2010-03-25,154.5,159.0,153.55,156.95,157.0,912.0,1.42
2010-03-26,162.0,177.9,162.0,165.1,164.65,62119.0,105.99
2010-03-29,165.1,167.0,159.15,159.2,162.0,4814.0,7.88
2010-03-30,163.6,175.0,162.0,173.0,171.9,20550.0,34.71
2010-03-31,171.9,197.95,171.9,184.1,184.05,168500.0,319.15
2010-04-01,189.0,189.0,182.5,183.5,184.2,19015.0,35.05
2010-04-05,185.0,188.8,181.0,186.0,186.1,5950.0,11.04
2010-04-06,178.35,188.9,178.35,183.4,184.2,10782.0,19.82
2010-04-07,186.0,194.5,185.0,186.0,186.5,11209.0,21.3
2010-04-08,185.0,204.0,181.5,189.0,189.7,95210.0,187.02
2010-04-09,194.95,204.75,192.1,198.4,197.1,73436.0,146.69
2010-04-12,199.1,199.1,192.7,193.0,193.0,7662.0,14.96
2010-04-13,191.0,198.4,189.1,194.0,196.1,8132.0,15.96
2010-04-15,202.9,202.9,193.7,196.0,195.55,11223.0,22.29
2010-04-16,195.0,195.0,191.0,191.75,192.95,2051.0,3.96
