Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,236.8,236.8,229.5,231.0,230.9,13741.0,31.84
2010-01-05,231.05,233.75,227.4,229.6,229.5,5495.0,12.72
2010-01-06,229.7,231.9,227.6,229.65,229.65,4076.0,9.38
2010-01-07,230.0,231.0,222.05,222.05,223.75,18021.0,40.66
2010-01-08,225.0,225.0,219.6,219.7,220.55,11768.0,26.12
2010-01-11,224.5,225.0,221.0,221.95,221.95,12689.0,28.36
2010-01-12,217.0,228.0,217.0,226.7,225.5,37208.0,83.2
2010-01-13,222.15,228.0,221.05,227.25,226.75,7203.0,16.23
2010-01-14,225.0,234.9,225.0,233.8,232.45,21695.0,50.0
2010-01-15,234.8,242.75,232.0,235.5,236.2,53554.0,127.35
2010-01-18,238.85,238.85,231.55,234.5,234.85,6154.0,14.44
2010-01-19,231.55,237.7,229.1,230.65,230.3,4877.0,11.4
2010-01-20,236.0,242.0,233.0,233.05,234.0,15796.0,37.33
2010-01-21,238.0,242.0,228.0,229.0,228.7,42703.0,100.85
2010-01-22,227.9,234.9,218.0,230.1,231.35,13179.0,29.84
2010-01-25,241.0,241.0,225.0,225.0,226.25,3276.0,7.55
2010-01-27,222.5,223.0,213.2,213.55,215.3,7067.0,15.45
2010-01-28,213.65,217.5,205.55,206.7,207.45,16572.0,35.32
2010-01-29,204.0,213.95,201.0,213.0,212.8,5640.0,11.7
2010-02-01,212.8,216.15,210.65,211.15,212.4,1996.0,4.26
2010-02-02,213.0,219.0,205.0,205.0,206.0,3071.0,6.47
2010-02-03,206.1,214.95,206.1,209.0,209.0,3889.0,8.18
2010-02-04,210.0,215.0,206.0,206.5,206.9,2488.0,5.22
2010-02-05,200.5,208.75,197.0,201.35,200.75,6441.0,12.95
2010-02-06,197.2,201.0,197.2,199.9,199.9,222.0,0.44
2010-02-08,198.25,204.3,197.0,203.7,200.4,2407.0,4.84
2010-02-09,198.15,202.0,198.0,198.0,198.65,2808.0,5.63
2010-02-10,200.0,207.4,198.65,202.0,201.95,183300.0,365.98
2010-02-11,204.15,208.0,199.0,200.0,199.95,5861.0,11.87
2010-02-15,206.0,206.0,193.55,195.0,194.55,6151.0,12.15
2010-02-16,190.2,197.35,190.1,190.5,190.5,11797.0,22.64
2010-02-17,193.05,196.05,191.7,194.0,193.7,3503.0,6.81
2010-02-18,198.0,206.9,192.0,196.9,195.55,6992.0,13.67
2010-02-19,194.0,197.5,189.0,189.0,190.2,4238.0,8.12
2010-02-22,192.0,195.9,184.9,185.0,185.15,4939.0,9.33
2010-02-23,197.75,197.75,183.0,183.2,183.6,2491.0,4.61
2010-02-24,183.0,188.0,183.0,183.6,183.5,1988.0,3.66
2010-02-25,185.75,185.75,181.0,182.1,182.55,59815.0,108.49
2010-02-26,183.95,188.0,181.4,182.0,182.85,3396.0,6.28
2010-03-02,188.0,200.0,185.0,194.8,195.15,13580.0,26.53
2010-03-03,193.0,208.6,193.0,203.5,204.5,16946.0,34.24
2010-03-04,209.9,210.8,203.0,208.0,207.5,10757.0,22.16
2010-03-05,201.5,209.0,201.5,205.0,205.5,5082.0,10.53
2010-03-08,205.05,212.0,202.1,207.75,207.05,5542.0,11.42
2010-03-09,207.0,213.9,207.0,209.75,209.4,6379.0,13.4
2010-03-10,210.0,210.0,205.0,208.0,206.95,7677.0,16.0
2010-03-11,210.0,210.0,200.0,205.5,205.45,13738.0,28.34
