Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,93.9,93.9,90.0,92.7,92.5,3157.0,2.88
2010-01-05,92.75,93.7,91.85,91.85,91.85,323.0,0.3
2010-01-06,94.0,95.4,92.6,95.4,93.9,1454.0,1.37
2010-01-07,96.0,99.0,96.0,98.0,98.0,2280.0,2.24
2010-01-08,101.0,102.0,97.05,97.05,98.15,3591.0,3.56
2010-01-11,102.0,102.0,98.5,98.6,98.6,327.0,0.32
2010-01-12,99.0,100.0,97.25,97.25,97.95,3706.0,3.66
2010-01-13,93.6,98.9,93.6,98.0,98.0,865.0,0.85
2010-01-14,108.7,108.7,98.0,98.1,98.2,2340.0,2.32
2010-01-15,99.4,99.4,98.0,98.05,98.05,232.0,0.23
2010-01-18,98.95,100.0,98.95,99.1,99.2,2509.0,2.49
2010-01-19,100.5,102.0,99.05,99.15,99.5,2568.0,2.58
2010-01-20,100.5,100.5,98.3,98.3,98.3,725.0,0.72
2010-01-21,99.95,114.0,97.5,101.0,100.9,53994.0,57.85
2010-01-22,101.0,102.0,94.5,95.8,97.5,7272.0,7.17
2010-01-25,100.0,103.0,95.1,101.25,100.4,5331.0,5.35
2010-01-27,99.1,99.1,89.5,89.55,90.0,3189.0,2.97
2010-01-28,90.65,94.8,90.0,90.0,90.0,3566.0,3.27
2010-01-29,91.0,95.0,86.0,91.0,91.2,1989.0,1.79
2010-02-01,89.3,95.9,89.3,91.45,91.45,1258.0,1.17
2010-02-02,92.1,95.95,91.75,91.75,91.75,2150.0,2.0
2010-02-03,95.9,95.9,91.8,94.0,92.0,78.0,0.07
2010-02-04,94.0,95.0,92.0,95.0,95.0,3551.0,3.32
2010-02-05,94.0,94.0,87.6,87.6,87.6,730.0,0.65
2010-02-06,86.0,90.95,86.0,90.95,90.95,88.0,0.08
2010-02-09,93.3,93.3,90.0,90.9,90.9,1401.0,1.29
2010-02-10,89.1,89.1,89.05,89.05,89.05,69.0,0.06
2010-02-11,91.0,100.9,91.0,95.55,94.55,39694.0,38.7
2010-02-15,100.0,109.0,90.1,101.5,101.1,209713.0,218.32
2010-02-16,95.0,102.0,94.95,94.95,95.65,22381.0,21.83
2010-02-17,94.6,98.0,93.0,93.85,94.55,4713.0,4.45
2010-02-18,92.0,96.95,92.0,96.8,95.2,3148.0,3.0
2010-02-19,97.6,97.65,94.0,95.15,95.4,6715.0,6.43
2010-02-22,97.5,97.5,93.6,94.0,94.4,5749.0,5.44
2010-02-23,93.0,93.55,91.15,91.2,91.2,3667.0,3.37
2010-02-24,90.0,90.55,88.35,90.5,90.5,1276.0,1.15
2010-02-25,87.65,89.4,87.65,89.25,89.25,432.0,0.38
2010-02-26,85.15,95.0,85.15,88.75,89.4,2492.0,2.29
2010-03-02,91.0,91.0,90.0,91.0,90.65,155.0,0.14
2010-03-03,88.1,94.75,88.1,94.5,93.0,2464.0,2.28
