Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-10,879.8,879.8,748.8,765.0,757.05,8025978.0,66930.72
2017-08-11,745.0,793.95,705.1,768.0,769.85,1013924.0,7617.38
2017-08-14,799.0,814.0,780.0,798.7,802.85,492782.0,3944.15
2017-08-16,792.5,816.0,790.0,813.5,812.55,285820.0,2306.54
2017-08-17,813.9,829.0,812.0,819.9,815.05,227731.0,1863.91
2017-08-18,812.95,812.95,780.25,787.05,791.5,82421.0,655.54
2017-08-21,788.05,794.05,765.1,770.0,774.85,58365.0,455.84
2017-08-22,774.0,791.95,760.0,764.0,764.85,66656.0,514.45
2017-08-23,765.0,785.0,765.0,773.0,777.35,64421.0,499.79
2017-08-24,775.9,782.0,763.1,767.0,767.25,34809.0,268.4
2017-08-28,769.9,780.0,768.05,773.0,773.05,27944.0,216.19
2017-08-29,771.5,779.0,752.6,757.3,755.6,24820.0,189.92
2017-08-30,764.8,784.0,762.05,775.5,778.7,28911.0,223.73
2017-08-31,778.7,787.9,771.05,776.0,775.55,24726.0,192.4
2017-09-01,771.25,785.0,771.25,780.0,780.3,51957.0,404.45
2017-09-04,775.0,790.0,774.1,784.0,780.5,46848.0,365.55
2017-09-05,784.8,786.85,768.0,773.0,771.5,34761.0,271.05
2017-09-06,771.8,784.0,771.0,773.0,776.1,93680.0,724.5
2017-09-07,776.1,781.95,772.6,775.0,776.85,26657.0,207.5
2017-09-08,775.0,795.45,774.0,784.0,788.15,91156.0,718.99
2017-09-11,782.0,817.7,782.0,795.0,799.7,98123.0,787.81
2017-09-12,795.0,805.05,780.1,780.1,783.35,19084.0,150.91
2017-09-13,786.6,788.15,774.0,780.6,779.85,17748.0,138.41
2017-09-14,787.7,787.7,765.55,770.0,770.3,16209.0,125.12
2017-09-15,766.05,785.0,766.05,785.0,780.65,17627.0,137.05
2017-09-18,775.15,793.45,771.0,793.0,791.5,31185.0,246.31
2017-09-19,782.05,790.0,777.8,781.0,779.25,52117.0,409.75
2017-09-20,780.0,780.1,766.5,766.5,770.65,10854.0,83.93
2017-09-21,768.0,780.0,768.0,776.5,775.05,33585.0,259.81
2017-09-22,770.5,775.0,765.0,770.0,768.0,12248.0,94.33
2017-09-25,766.0,778.45,753.1,774.9,769.45,29926.0,229.23
2017-09-26,771.85,780.0,759.5,760.85,764.1,7917.0,60.69
2017-09-27,764.15,782.4,764.15,776.05,778.95,50122.0,388.43
2017-09-28,776.05,800.0,770.3,800.0,795.15,21196.0,167.22
2017-09-29,787.05,803.15,787.05,790.0,799.6,37192.0,297.17
2017-10-03,791.0,803.45,775.0,775.0,779.55,9376.0,73.92
2017-10-04,780.2,780.2,775.0,775.0,775.1,5999.0,46.58
2017-10-05,775.0,780.0,772.1,774.25,774.85,13638.0,105.68
2017-10-06,775.0,784.9,764.0,764.0,769.0,53174.0,412.59
2017-10-09,766.25,777.5,766.25,773.8,773.25,18397.0,142.46
2017-10-10,769.0,792.0,769.0,785.0,785.1,21307.0,165.27
2017-10-11,784.0,789.0,780.45,786.0,785.15,8017.0,62.94
2017-10-12,778.25,796.95,778.25,790.0,790.05,52067.0,409.79
2017-10-13,785.1,792.85,785.0,792.5,791.35,13833.0,109.35
2017-10-16,785.25,791.35,781.0,781.0,785.05,5598.0,44.08
2017-10-17,781.05,800.0,775.1,790.0,789.1,59048.0,466.37
2017-10-18,780.05,800.0,780.05,785.3,787.8,60484.0,478.07
2017-10-19,789.0,800.0,783.3,792.0,792.25,6726.0,53.35
2017-10-23,781.5,797.9,777.0,782.95,781.15,2777.0,21.85
2017-10-24,783.0,788.0,780.55,784.0,785.05,8301.0,64.93
2017-10-25,789.0,789.0,775.0,777.0,778.25,5133.0,40.02
2017-10-26,783.0,783.0,775.55,777.0,777.35,13130.0,101.94
2017-10-27,779.0,783.0,773.0,775.0,775.5,12100.0,93.94
2017-10-30,775.55,790.0,775.55,784.9,782.65,12223.0,96.1
2017-10-31,778.0,788.85,777.15,778.0,783.55,7025.0,55.07
2017-11-01,788.9,792.0,777.2,788.95,786.75,13184.0,103.55
2017-11-02,777.8,792.0,777.0,777.0,782.3,37972.0,300.46
2017-11-03,775.1,825.0,775.1,818.1,820.7,532803.0,4276.34
2017-11-06,821.0,826.0,810.0,812.15,815.15,52831.0,431.57
2017-11-07,812.0,850.4,812.0,844.0,840.6,106083.0,884.51
2017-11-08,838.0,855.4,835.0,845.0,840.6,63266.0,535.18
2017-11-09,842.6,850.0,815.05,849.95,848.0,54594.0,456.38
2017-11-10,845.0,845.0,834.05,841.0,842.75,32082.0,269.73
2017-11-13,825.0,854.35,825.0,851.0,848.55,46523.0,395.1
2017-11-14,853.0,874.0,835.45,873.9,873.2,44322.0,383.59
2017-11-15,855.15,871.0,855.15,866.6,861.55,32572.0,281.04
2017-11-16,859.0,895.0,859.0,892.0,890.85,58222.0,513.16
2017-11-17,890.0,905.0,875.0,884.0,884.6,30689.0,274.25
2017-11-20,874.0,914.4,860.0,914.0,907.15,49705.0,446.56
2017-11-21,910.0,923.0,890.0,900.05,901.45,23215.0,210.64
2017-11-22,906.0,914.8,885.1,905.0,900.45,27856.0,251.63
2017-11-23,951.0,1062.9,951.0,1035.0,1032.15,522671.0,5319.02
2017-11-24,1043.8,1145.35,1030.0,1130.0,1129.35,282270.0,3133.13
2017-11-27,1129.0,1157.7,1092.5,1150.0,1134.85,104306.0,1172.01
2017-11-28,1142.5,1193.95,1142.5,1156.0,1163.9,93145.0,1082.22
2017-11-29,1170.0,1189.9,1129.0,1140.0,1148.3,50563.0,582.85
2017-11-30,1150.0,1150.05,1110.0,1115.25,1126.25,63393.0,710.24
2017-12-01,1120.0,1160.0,1010.05,1160.0,1119.9,35538.0,395.8
2017-12-04,1103.1,1159.4,1080.0,1086.95,1099.75,28478.0,319.63
2017-12-05,1108.0,1134.7,1059.75,1120.0,1115.55,30884.0,338.39
2017-12-06,1115.65,1122.1,1071.0,1080.0,1090.05,16531.0,182.76
2017-12-07,1115.0,1119.9,1070.1,1071.55,1080.0,10433.0,114.08
2017-12-08,1084.8,1196.5,1084.8,1167.0,1149.6,143213.0,1656.42
2017-12-11,1175.7,1240.0,1151.0,1210.0,1208.05,95316.0,1145.48
2017-12-12,1208.05,1276.8,1195.4,1270.0,1264.55,83368.0,1043.16
2017-12-13,1265.15,1291.0,1240.0,1240.0,1245.0,54847.0,692.68
2017-12-14,1247.3,1259.9,1180.0,1180.0,1189.15,43746.0,526.01
2017-12-15,1199.0,1243.95,1199.0,1220.95,1233.15,43873.0,541.07
2017-12-18,1225.0,1234.0,1187.05,1212.0,1208.95,16415.0,200.0
2017-12-19,1210.0,1254.0,1206.0,1209.0,1211.05,19542.0,240.41
2017-12-20,1219.95,1231.8,1165.1,1168.0,1184.1,16391.0,197.6
2017-12-21,1200.0,1295.05,1160.0,1250.0,1248.45,56489.0,697.56
2017-12-22,1260.0,1260.0,1212.1,1225.55,1222.15,16946.0,209.63
2017-12-26,1220.0,1270.0,1219.0,1250.0,1250.65,27109.0,338.53
2017-12-27,1260.0,1260.0,1205.0,1208.0,1213.45,18974.0,233.22
2017-12-28,1238.35,1239.9,1182.5,1230.0,1209.3,16521.0,199.2
2017-12-29,1212.0,1229.7,1189.6,1190.0,1201.55,33100.0,398.05
2018-01-01,1209.95,1209.95,1175.0,1180.0,1181.0,15001.0,178.45
2018-01-02,1189.95,1200.95,1122.0,1135.0,1137.85,32032.0,367.7
2018-01-03,1149.95,1189.9,1139.45,1160.1,1166.55,22065.0,256.77
2018-01-04,1176.9,1198.95,1152.0,1197.0,1174.35,20385.0,240.67
2018-01-05,1186.0,1196.5,1152.4,1160.0,1160.0,23256.0,270.81
2018-01-08,1178.0,1204.4,1160.0,1165.05,1170.35,19338.0,226.83
2018-01-09,1166.1,1177.7,1160.15,1175.5,1168.95,6393.0,74.64
2018-01-10,1161.0,1169.95,1116.95,1125.0,1125.3,9785.0,111.38
2018-01-11,1139.2,1178.25,1125.3,1132.0,1133.05,11988.0,137.13
2018-01-12,1135.55,1146.9,1113.05,1130.0,1136.45,22059.0,248.65
2018-01-15,1131.85,1152.9,1126.1,1136.05,1140.25,8323.0,94.95
2018-01-16,1149.9,1205.1,1091.3,1180.0,1180.5,36194.0,416.7
2018-01-17,1164.2,1202.0,1123.0,1175.0,1164.65,20453.0,237.18
2018-01-18,1169.85,1199.0,1162.9,1174.0,1175.95,9375.0,110.53
2018-01-19,1179.0,1290.0,1167.05,1250.0,1260.4,42450.0,521.06
2018-01-22,1279.0,1279.0,1201.3,1249.0,1228.45,22223.0,274.14
2018-01-23,1241.9,1280.0,1220.0,1243.15,1239.75,19577.0,244.02
2018-01-24,1267.9,1269.0,1210.0,1221.0,1225.3,12787.0,159.21
2018-01-25,1258.0,1258.0,1201.3,1209.0,1209.35,9020.0,110.08
2018-01-29,1202.3,1239.9,1202.3,1239.9,1228.15,32235.0,393.57
2018-01-30,1241.0,1270.0,1145.0,1206.6,1200.15,70653.0,857.54
2018-01-31,1200.0,1216.0,1140.05,1200.0,1189.15,22067.0,261.15
2018-02-01,1190.0,1223.95,1150.0,1184.95,1185.45,15245.0,180.84
2018-02-02,1150.0,1188.95,1075.0,1142.0,1138.1,42667.0,487.36
2018-02-05,1135.0,1149.95,1095.0,1149.95,1133.85,19009.0,212.86
2018-02-06,1050.0,1210.0,1049.95,1198.0,1186.15,20410.0,229.78
2018-02-07,1200.0,1227.0,1146.0,1227.0,1201.3,19338.0,229.12
2018-02-08,1191.35,1238.95,1181.0,1200.0,1202.2,21048.0,256.01
2018-02-09,1182.25,1225.0,1181.2,1208.5,1214.95,9730.0,118.27
2018-02-12,1222.8,1232.0,1190.0,1200.0,1213.55,9616.0,117.09
2018-02-14,1219.0,1225.0,1208.1,1225.0,1215.65,19384.0,235.48
2018-02-15,1222.2,1224.05,1156.8,1166.0,1171.8,7373.0,87.9
2018-02-16,1175.0,1222.0,1121.0,1133.0,1129.0,19398.0,225.76
2018-02-19,1150.7,1154.0,1130.1,1150.0,1143.35,14949.0,170.14
2018-02-20,1125.25,1185.0,1101.1,1170.0,1126.9,21164.0,236.48
2018-02-21,1159.2,1159.2,1121.35,1154.0,1150.6,2911.0,33.29
2018-02-22,1157.65,1165.0,1126.0,1154.95,1159.85,9307.0,106.77
2018-02-23,1140.0,1174.95,1124.0,1160.0,1156.9,19912.0,228.2
2018-02-26,1151.05,1199.85,1140.0,1199.85,1194.45,21194.0,247.54
2018-02-27,1178.3,1199.95,1165.0,1180.0,1176.6,13676.0,162.03
2018-02-28,1170.05,1188.0,1162.0,1175.0,1184.4,20479.0,242.06
2018-03-01,1160.85,1188.0,1149.0,1150.2,1158.5,12472.0,145.43
2018-03-05,1162.0,1179.0,1140.0,1152.55,1163.0,9619.0,111.94
2018-03-06,1165.05,1178.95,1140.0,1145.0,1144.85,9990.0,116.12
2018-03-07,1141.15,1175.0,1106.2,1112.0,1137.25,10046.0,113.6
2018-03-08,1136.85,1136.85,1080.5,1081.0,1095.9,40954.0,454.08
2018-03-09,1097.75,1104.55,1079.85,1104.0,1083.35,19595.0,213.17
2018-03-12,1090.0,1101.95,1074.05,1080.0,1083.35,10440.0,112.91
2018-03-13,1093.25,1097.05,1070.0,1070.0,1078.45,8513.0,92.05
2018-03-14,1072.15,1078.7,1052.0,1073.0,1064.35,6947.0,73.83
2018-03-15,1079.35,1085.0,1049.95,1054.0,1055.05,10489.0,110.78
2018-03-16,1068.85,1080.0,1050.45,1076.0,1076.1,10417.0,111.77
2018-03-19,1077.0,1086.15,1075.1,1081.85,1076.35,10378.0,111.81
2018-03-20,1081.5,1090.0,1070.1,1090.0,1081.4,2055.0,22.15
2018-03-21,1093.05,1104.9,1082.65,1095.0,1100.05,3368.0,36.95
2018-03-22,1106.05,1110.95,1070.0,1086.0,1074.3,4347.0,46.85
2018-03-23,1050.0,1099.0,1050.0,1099.0,1093.6,6849.0,74.75
2018-03-26,1115.0,1142.0,1080.05,1130.0,1133.0,7978.0,89.54
2018-03-27,1125.0,1143.0,1090.05,1130.0,1119.4,13527.0,150.89
2018-03-28,1128.05,1150.0,1075.0,1076.2,1121.85,23061.0,259.84
2018-04-02,1119.6,1155.0,1092.0,1122.0,1133.35,4507.0,50.66
2018-04-03,1154.05,1154.05,1109.4,1139.5,1128.2,10314.0,116.91
2018-04-04,1129.95,1157.0,1117.05,1150.0,1147.55,39249.0,448.01
2018-04-05,1160.0,1174.5,1140.0,1147.0,1156.2,39218.0,451.6
2018-04-06,1147.0,1152.0,1127.05,1143.0,1139.95,2865.0,32.69
2018-04-09,1154.7,1154.7,1111.0,1112.0,1114.4,3650.0,41.12
2018-04-10,1136.05,1136.05,1105.1,1125.0,1123.75,6607.0,74.17
2018-04-11,1128.25,1139.0,1110.0,1123.8,1118.8,2370.0,26.58
2018-04-12,1125.55,1135.0,1100.0,1105.5,1109.3,104508.0,1160.25
2018-04-13,1128.75,1128.75,1105.15,1105.2,1109.15,104291.0,1157.82
2018-04-16,1109.2,1117.05,1089.35,1094.0,1104.1,2089.0,22.95
2018-04-17,1100.05,1133.55,1078.1,1100.0,1105.35,121566.0,1349.06
2018-04-18,1111.05,1125.0,1097.25,1100.0,1107.7,1705.0,18.95
2018-04-19,1124.8,1139.0,1081.6,1088.0,1090.9,9817.0,109.25
2018-04-20,1095.0,1114.4,1072.0,1075.0,1078.2,9619.0,105.36
2018-04-23,1090.0,1104.0,1065.0,1076.9,1077.35,3469.0,37.69
2018-04-24,1093.8,1104.0,1066.0,1087.0,1079.3,8494.0,92.23
2018-04-25,1087.2,1152.0,1073.05,1090.0,1089.2,32446.0,360.21
2018-04-26,1115.0,1140.0,1086.2,1126.1,1127.6,8813.0,97.67
2018-04-27,1131.2,1189.65,1131.2,1183.9,1180.65,17690.0,207.08
2018-04-30,1190.0,1299.0,1185.0,1299.0,1261.75,27187.0,336.73
2018-05-02,1280.0,1312.0,1208.0,1260.0,1233.45,19960.0,252.28
2018-05-03,1233.45,1398.0,1185.15,1325.0,1322.9,57496.0,759.08
2018-05-04,1326.25,1353.85,1286.6,1320.0,1310.7,23896.0,316.92
2018-05-07,1324.55,1360.0,1307.05,1323.8,1323.45,17599.0,235.62
2018-05-08,1334.0,1340.0,1302.0,1324.6,1330.95,10894.0,144.41
2018-05-09,1338.9,1349.0,1298.0,1315.0,1315.75,10741.0,142.8
2018-05-10,1248.5,1265.0,1205.0,1260.0,1245.05,54651.0,674.32
2018-05-11,1269.95,1334.95,1255.2,1260.0,1276.55,13789.0,178.8
2018-05-14,1276.55,1320.0,1253.1,1317.0,1306.85,10546.0,137.11
2018-05-15,1305.1,1325.5,1268.3,1315.0,1300.75,10614.0,137.94
2018-05-16,1289.9,1380.0,1277.15,1354.9,1357.15,24134.0,320.97
2018-05-17,1357.15,1390.0,1357.0,1379.0,1378.9,33287.0,458.65
2018-05-18,1385.0,1385.0,1294.0,1360.0,1345.05,17277.0,230.78
2018-05-21,1360.0,1360.05,1230.55,1284.8,1298.2,26828.0,341.68
2018-05-22,1302.3,1326.0,1283.0,1283.0,1304.85,7300.0,95.06
2018-05-23,1301.35,1338.95,1301.35,1330.0,1328.1,3891.0,51.49
2018-05-24,1326.85,1326.85,1288.4,1300.0,1301.4,4485.0,58.5
2018-05-25,1301.15,1345.0,1301.15,1345.0,1340.6,3992.0,52.75
2018-05-28,1349.95,1359.9,1313.6,1315.1,1328.85,5270.0,70.54
2018-05-29,1340.8,1340.8,1324.15,1324.15,1326.85,1339.0,17.8
2018-05-30,1302.55,1348.75,1298.0,1315.0,1310.55,6181.0,81.5
2018-05-31,1316.4,1324.95,1295.0,1300.0,1315.45,3037.0,40.05
2018-06-01,1316.5,1345.2,1292.8,1296.0,1298.0,3459.0,45.62
2018-06-04,1300.0,1304.05,1227.0,1230.05,1234.3,5470.0,68.67
2018-06-05,1234.3,1255.4,1165.0,1180.0,1195.1,8385.0,100.89
2018-06-06,1206.0,1239.7,1168.0,1183.0,1199.85,24264.0,291.26
2018-06-07,1228.0,1228.0,1190.5,1199.4,1197.1,12344.0,148.15
2018-06-08,1201.9,1220.0,1185.0,1186.0,1192.75,67732.0,809.65
2018-06-11,1191.35,1200.05,1160.05,1185.0,1185.65,12804.0,151.12
2018-06-12,1185.9,1197.0,1184.45,1185.15,1192.05,25351.0,302.88
2018-06-13,1196.15,1213.05,1180.55,1185.0,1189.5,9456.0,113.51
2018-06-14,1190.05,1207.85,1165.5,1171.0,1171.7,2791.0,33.0
2018-06-15,1173.65,1189.85,1146.15,1168.95,1159.9,25286.0,293.19
2018-06-18,1162.05,1166.05,1146.05,1150.5,1151.65,14378.0,165.06
2018-06-19,1132.15,1174.45,1132.15,1135.1,1137.7,5099.0,58.46
2018-06-20,1151.85,1168.0,1146.0,1154.3,1155.45,13683.0,157.79
2018-06-21,1158.25,1159.45,1112.15,1153.0,1128.5,3420.0,38.69
2018-06-22,1128.2,1150.0,1110.0,1130.0,1121.15,6106.0,68.63
