Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-08-17,38.0,38.5,37.5,37.8,37.75,149841.0,56.59
2016-08-18,37.45,37.75,36.45,36.45,36.6,165797.0,61.36
2016-08-19,36.25,37.4,36.15,37.15,37.05,85159.0,31.37
2016-08-22,36.75,37.0,36.0,36.1,36.4,77666.0,28.41
2016-08-23,36.35,36.55,36.0,36.1,36.1,63731.0,23.1
2016-08-24,36.15,36.65,36.1,36.5,36.4,38855.0,14.15
2016-08-25,36.25,36.7,35.8,36.5,36.1,149178.0,53.87
2016-08-26,35.6,36.5,35.3,36.0,35.65,126489.0,45.1
2016-08-29,35.15,35.9,35.0,35.2,35.15,99360.0,35.01
2016-08-30,35.15,35.8,35.15,35.25,35.3,80109.0,28.36
2016-08-31,35.3,35.7,34.7,35.5,35.35,163393.0,57.56
2016-09-01,35.5,35.5,33.4,33.95,33.75,236067.0,81.17
2016-09-02,33.6,34.45,33.1,33.75,33.9,101902.0,34.4
2016-09-06,34.0,34.45,33.7,34.0,33.9,65485.0,22.29
2016-09-07,33.65,34.35,33.6,33.65,33.75,182111.0,61.9
2016-09-08,35.0,35.6,34.15,34.35,34.4,206823.0,72.26
2016-09-09,35.2,36.5,34.6,36.0,36.15,162736.0,58.07
2016-09-12,36.15,36.15,35.2,35.7,35.55,45303.0,16.15
2016-09-14,36.0,36.0,35.25,35.4,35.4,48426.0,17.19
2016-09-15,35.4,36.8,35.0,35.05,35.15,162696.0,58.07
2016-09-16,35.15,35.85,35.1,35.35,35.35,61091.0,21.64
2016-09-19,36.45,36.45,34.75,35.05,35.05,37437.0,13.14
2016-09-20,35.7,35.7,34.55,34.65,34.7,59611.0,20.73
2016-09-21,34.55,35.4,34.5,35.0,34.95,44489.0,15.52
2016-09-22,35.3,35.3,34.55,34.65,34.7,32901.0,11.43
2016-09-23,35.25,35.25,33.6,34.4,34.3,63950.0,21.99
2016-09-26,33.5,34.85,33.5,33.75,33.9,95983.0,32.72
2016-09-27,33.6,35.6,33.4,34.0,33.8,267120.0,90.71
2016-09-28,33.6,34.5,33.5,34.25,34.15,255562.0,86.93
2016-09-29,34.2,34.75,33.1,34.2,33.9,212828.0,72.63
2016-09-30,33.55,34.5,33.25,34.5,34.1,170562.0,57.86
2016-10-03,34.15,35.4,34.0,35.1,34.65,200152.0,69.0
2016-10-04,35.4,35.55,34.5,35.5,35.4,162222.0,56.83
2016-10-05,35.15,37.3,35.0,35.95,35.8,3795129.0,1333.47
2016-10-06,36.45,36.45,35.2,35.2,35.6,44701.0,16.0
