Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,179.5,182.0,175.1,177.45,177.3,14256.0,25.43
2010-01-05,177.35,180.0,172.6,173.1,173.85,15165.0,26.81
2010-01-06,175.5,188.6,165.3,181.0,181.8,227045.0,418.83
2010-01-07,177.15,186.0,177.15,178.0,179.25,33506.0,60.97
2010-01-08,182.0,183.9,176.0,177.0,178.4,23810.0,42.9
2010-01-11,181.9,182.5,178.0,178.0,178.75,16507.0,29.72
2010-01-12,183.95,183.95,172.25,175.0,173.5,22264.0,39.15
2010-01-13,174.0,177.8,171.15,173.1,173.4,13953.0,24.26
2010-01-14,175.0,177.0,171.15,172.95,172.75,12902.0,22.47
2010-01-15,173.0,174.75,170.0,170.1,170.45,9325.0,16.07
2010-01-18,167.1,172.0,167.1,169.1,169.5,6540.0,11.1
2010-01-19,169.05,176.1,168.1,169.15,169.6,17207.0,29.54
2010-01-20,172.5,181.7,171.1,172.7,173.25,49274.0,87.06
2010-01-21,172.0,175.5,166.2,166.25,167.3,11835.0,20.29
2010-01-22,162.55,166.7,160.1,164.1,164.8,11890.0,19.47
2010-01-25,168.0,168.0,160.0,160.45,161.15,8863.0,14.37
2010-01-27,162.0,162.0,152.3,155.4,154.0,12542.0,19.61
2010-01-28,154.0,158.75,152.15,153.25,154.05,9100.0,14.09
2010-01-29,149.2,153.95,145.3,151.0,151.75,6345.0,9.47
2010-02-01,151.25,155.4,147.65,153.5,153.4,10345.0,15.84
2010-02-02,156.2,175.95,154.25,163.0,163.7,117162.0,196.79
2010-02-03,167.0,169.9,160.15,161.3,160.75,11343.0,18.59
2010-02-04,162.0,170.0,158.0,158.0,159.2,11812.0,19.42
2010-02-05,155.0,155.8,149.0,149.05,150.25,7898.0,11.99
2010-02-06,153.8,153.8,150.6,151.85,151.85,1190.0,1.82
2010-02-08,151.85,160.0,151.0,154.0,153.05,9418.0,14.49
2010-02-09,150.65,154.0,150.65,153.0,152.15,3641.0,5.55
2010-02-10,153.0,162.0,153.0,155.0,154.2,32024.0,50.86
2010-02-11,156.05,158.9,152.0,152.1,153.35,6409.0,9.95
2010-02-15,153.0,162.7,153.0,161.9,161.45,30569.0,48.68
2010-02-16,162.35,177.0,161.0,172.0,172.05,376273.0,652.2
2010-02-17,174.0,174.0,162.65,162.75,163.35,30852.0,51.75
2010-02-18,163.05,171.0,163.0,165.0,164.1,24257.0,40.42
2010-02-19,162.75,164.9,156.1,156.5,157.55,11784.0,18.87
2010-02-22,161.5,162.0,153.3,153.55,154.15,5154.0,8.12
2010-02-23,140.0,155.95,140.0,153.35,153.65,10816.0,16.49
2010-02-24,153.9,154.0,151.0,151.75,151.2,6870.0,10.45
2010-02-25,153.45,155.95,151.0,151.15,151.6,7206.0,11.05
2010-02-26,150.0,153.7,150.0,151.5,151.75,6582.0,10.03
2010-03-02,153.6,163.2,153.6,161.0,160.85,21925.0,35.27
2010-03-03,159.0,168.0,159.0,165.65,165.95,99143.0,164.35
2010-03-04,165.6,168.0,161.5,163.95,164.1,12526.0,20.7
2010-03-05,163.25,167.0,162.0,163.85,163.35,7067.0,11.65
2010-03-08,166.85,167.85,162.0,163.5,163.05,6999.0,11.53
2010-03-09,163.95,164.0,160.5,161.1,161.65,5171.0,8.41
2010-03-10,162.6,164.85,161.1,162.65,162.2,2671.0,4.34
2010-03-11,165.9,165.9,159.0,159.85,160.6,8235.0,13.27
2010-03-12,164.6,164.6,159.35,159.35,160.65,7744.0,12.46
2010-03-15,161.9,161.9,155.95,158.0,157.8,4225.0,6.71
2010-03-16,156.0,163.0,156.0,161.0,161.3,9206.0,14.76
2010-03-17,162.9,162.9,158.0,158.95,158.55,3228.0,5.15
2010-03-18,161.2,161.2,157.1,160.0,159.6,3996.0,6.4
2010-03-19,162.0,162.0,158.0,158.0,158.2,2293.0,3.65
2010-03-22,156.0,159.0,156.0,156.0,156.25,7038.0,11.09
2010-03-23,158.0,161.95,157.05,157.1,158.1,5881.0,9.36
2010-03-25,156.0,179.9,155.5,166.0,166.95,375042.0,651.54
2010-03-26,169.9,174.0,166.15,169.0,168.4,66317.0,112.94
2010-03-29,165.0,169.0,160.25,161.0,162.0,11377.0,18.66
2010-03-30,163.0,166.95,160.0,160.0,161.25,22571.0,36.94
2010-03-31,162.0,165.4,161.6,163.0,163.0,10923.0,17.84
2010-04-01,163.5,166.0,162.1,162.6,162.3,8973.0,14.65
2010-04-05,164.0,172.0,162.8,164.0,164.7,45763.0,77.05
2010-04-06,164.65,168.7,164.0,167.5,165.7,13617.0,22.5
2010-04-07,166.1,169.0,164.5,164.5,165.05,10595.0,17.64
2010-04-08,165.5,167.75,163.5,163.55,163.7,4532.0,7.47
2010-04-09,163.0,168.0,162.0,164.1,163.95,16002.0,26.4
2010-04-12,164.5,166.6,164.0,164.0,164.05,3629.0,5.98
2010-04-13,163.0,167.6,163.0,164.3,164.35,18706.0,31.01
2010-04-15,164.5,167.4,164.0,164.0,164.0,7100.0,11.74
2010-04-16,164.0,164.95,161.6,161.9,162.5,4462.0,7.27
2010-04-19,160.0,163.6,159.0,162.0,162.15,15657.0,25.29
2010-04-20,162.5,167.35,160.1,166.85,166.6,10615.0,17.56
2010-04-21,165.1,168.0,165.0,166.8,166.55,12870.0,21.41
2010-04-22,166.9,173.5,166.9,170.0,170.1,39020.0,66.38
2010-04-23,170.0,171.0,169.0,169.5,169.85,4243.0,7.2
2010-04-26,168.0,172.0,167.5,169.65,169.75,4346.0,7.39
2010-04-27,170.0,171.0,168.8,170.4,170.15,2701.0,4.59
2010-04-28,168.0,176.0,168.0,170.0,170.25,11350.0,19.53
2010-04-29,173.25,173.25,168.8,169.75,169.9,3354.0,5.7
2010-04-30,170.2,175.0,170.0,170.1,170.5,7796.0,13.43
2010-05-03,170.0,190.0,169.55,176.0,174.75,129038.0,234.41
2010-05-04,176.1,188.8,175.05,175.55,177.25,302807.0,556.18
2010-05-05,173.0,176.5,169.0,173.0,173.3,24681.0,42.36
2010-05-06,173.75,174.0,168.3,168.7,169.15,10669.0,18.21
2010-05-07,164.0,168.9,164.0,168.0,166.85,12360.0,20.54
2010-05-10,167.3,170.0,167.0,168.6,169.05,4555.0,7.67
2010-05-11,170.5,171.5,167.0,167.7,167.75,2245.0,3.78
2010-05-12,162.1,173.0,162.1,170.0,170.0,11700.0,19.93
2010-05-13,162.25,172.0,162.25,170.55,171.05,6177.0,10.53
2010-05-14,162.5,171.7,162.5,171.0,170.0,3974.0,6.76
2010-05-17,162.5,169.95,162.5,167.5,168.7,2773.0,4.64
2010-05-18,163.0,170.0,161.95,169.0,168.0,2528.0,4.25
2010-05-19,164.0,167.9,164.0,164.55,165.5,4815.0,8.0
2010-05-20,162.05,167.8,162.05,167.25,165.75,2124.0,3.51
2010-05-21,156.15,167.8,156.15,164.05,164.25,2351.0,3.86
2010-05-24,162.1,170.0,162.1,165.0,165.0,3907.0,6.48
2010-05-25,161.1,166.0,161.1,166.0,164.5,5035.0,8.28
2010-05-26,165.0,165.0,163.5,165.0,164.9,1807.0,2.96
2010-05-27,162.4,168.95,162.4,164.0,164.25,1937.0,3.21
2010-05-28,162.5,169.0,162.5,164.5,165.4,2119.0,3.52
2010-05-31,161.0,165.5,161.0,164.8,164.85,2652.0,4.38
2010-06-01,161.25,167.0,161.25,164.5,164.8,3384.0,5.59
2010-06-02,160.0,166.7,160.0,165.1,165.1,1248.0,2.05
2010-06-03,166.0,167.75,164.1,165.0,164.75,2128.0,3.51
2010-06-04,162.0,166.9,162.0,164.5,164.9,2163.0,3.57
2010-06-07,161.0,173.0,161.0,166.5,166.1,3643.0,6.02
2010-06-08,162.1,168.9,162.1,165.0,165.1,553.0,0.91
2010-06-09,165.3,167.8,164.5,165.0,165.0,1585.0,2.62
2010-06-10,165.0,166.0,165.0,165.0,165.0,594.0,0.98
2010-06-11,165.0,170.9,165.0,165.05,167.05,4486.0,7.55
2010-06-14,165.0,168.85,165.0,165.5,165.5,4736.0,7.88
2010-06-15,165.9,168.0,165.6,166.5,166.5,2187.0,3.64
2010-06-16,166.5,169.0,166.0,166.5,166.5,2234.0,3.73
2010-06-17,166.0,174.4,166.0,167.3,167.5,5662.0,9.63
