Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,42.8,45.7,42.55,44.6,44.45,746639.0,331.93
2010-01-05,45.0,46.0,44.4,45.25,45.2,574520.0,259.46
2010-01-06,45.55,45.8,44.9,45.1,45.05,359193.0,162.21
2010-01-07,45.45,46.0,44.25,44.7,44.75,325502.0,146.98
2010-01-08,45.0,48.5,44.05,46.3,46.45,872178.0,409.2
2010-01-11,46.5,47.6,46.1,47.5,47.0,349418.0,163.93
2010-01-12,47.45,49.35,47.0,48.0,48.1,774390.0,374.85
2010-01-13,48.0,57.75,47.3,57.75,56.95,6509847.0,3534.52
2010-01-14,58.8,61.8,55.6,59.6,58.65,9586167.0,5703.65
2010-01-15,59.35,61.75,57.1,60.15,60.2,3606021.0,2149.03
2010-01-18,59.9,62.3,58.75,61.7,61.2,1947186.0,1183.63
2010-01-19,61.9,61.9,56.7,57.85,57.45,1066906.0,637.01
2010-01-20,58.0,64.85,57.4,63.0,63.35,3496313.0,2142.68
2010-01-21,63.0,63.0,57.55,58.45,58.5,1737557.0,1046.12
2010-01-22,57.8,60.5,55.1,58.9,59.1,1416312.0,830.0
2010-01-25,59.45,59.45,56.9,57.0,57.3,661681.0,383.78
2010-01-27,57.0,58.5,52.5,53.3,53.05,658461.0,363.32
2010-01-28,53.55,55.7,52.0,53.35,52.95,530419.0,285.01
2010-01-29,52.0,59.0,52.0,58.1,58.55,1250308.0,697.56
2010-02-01,57.1,60.0,56.6,57.55,57.25,1038651.0,607.3
2010-02-02,57.9,59.9,55.5,56.25,55.95,493232.0,284.98
2010-02-03,56.8,57.6,56.0,56.8,56.7,373429.0,211.74
2010-02-04,57.9,58.7,55.55,57.0,56.55,355938.0,203.77
2010-02-05,55.0,55.2,53.25,55.0,54.1,368064.0,199.24
2010-02-06,55.35,56.95,55.0,55.55,55.55,59053.0,32.74
2010-02-08,56.1,57.15,54.5,54.85,55.2,301412.0,168.67
2010-02-09,55.0,57.4,55.0,56.8,56.4,480225.0,271.59
2010-02-10,57.3,58.25,56.0,58.0,57.75,604000.0,347.59
2010-02-11,58.0,59.9,57.2,58.0,57.95,684570.0,401.21
2010-02-15,58.0,58.45,56.6,57.1,56.95,176404.0,101.73
2010-02-16,57.25,57.6,55.1,56.0,55.8,182159.0,102.31
2010-02-17,56.55,57.4,55.4,56.2,55.85,257250.0,144.68
2010-02-18,56.8,57.7,53.1,53.7,53.55,463898.0,254.93
2010-02-19,53.55,53.95,52.55,53.25,52.95,280691.0,149.18
