Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-01-01,297.0,301.0,295.0,301.0,298.0,19014.0,56.37
2014-01-02,314.0,314.0,295.3,299.9,299.9,20015.0,59.83
2014-01-03,300.0,300.0,300.0,300.0,300.0,5.0,0.02
2014-01-06,290.0,300.0,290.0,300.0,300.0,45.0,0.13
2014-01-07,290.5,312.5,290.5,291.3,291.3,7513.0,22.28
2014-01-08,291.0,293.5,290.0,293.5,292.7,6002.0,17.57
2014-01-09,300.5,302.0,300.5,302.0,302.0,3500.0,10.54
2014-01-10,299.0,301.0,299.0,301.0,300.05,633.0,1.9
2014-01-13,297.5,300.0,297.5,300.0,300.0,4500.0,13.44
2014-01-14,314.0,314.0,297.0,299.95,298.75,4054.0,12.09
2014-01-15,300.0,300.0,299.0,299.5,299.5,4500.0,13.48
2014-01-16,299.0,300.0,299.0,300.0,300.0,750.0,2.25
2014-01-17,301.0,301.5,295.0,299.0,297.0,6000.0,17.95
2014-01-20,300.5,301.5,300.5,301.5,301.5,300.0,0.9
2014-01-22,296.0,299.0,296.0,299.0,297.3,350.0,1.04
2014-01-23,298.0,300.0,295.0,295.0,295.0,501.0,1.5
2014-01-24,300.0,301.0,299.0,301.0,301.0,6500.0,19.5
2014-01-27,297.0,304.95,297.0,298.0,298.0,6001.0,17.85
2014-01-28,298.0,299.0,298.0,299.0,299.0,1000.0,2.98
2014-01-29,297.5,304.95,297.5,304.95,304.95,1001.0,2.98
2014-01-30,296.0,298.0,296.0,298.0,298.0,2500.0,7.42
2014-01-31,296.0,298.0,296.0,298.0,298.0,2000.0,5.94
2014-02-03,297.0,298.0,297.0,298.0,298.0,3000.0,8.92
2014-02-05,297.0,298.0,297.0,298.0,297.5,2000.0,5.95
2014-02-06,298.0,298.0,295.0,295.0,295.0,4020.0,11.98
2014-02-07,298.0,298.0,298.0,298.0,298.0,2000.0,5.96
2014-02-10,295.05,304.9,295.05,298.0,298.0,7082.0,21.21
2014-02-11,298.05,305.0,298.05,305.0,301.5,2.0,0.01
2014-02-12,297.0,298.0,297.0,298.0,298.0,2000.0,5.95
2014-02-13,297.0,305.0,297.0,305.0,305.0,2511.0,7.47
2014-02-14,297.0,304.9,297.0,304.9,304.9,5001.0,14.88
2014-02-17,297.0,297.0,297.0,297.0,297.0,7500.0,22.28
2014-02-18,298.0,298.0,298.0,298.0,298.0,3000.0,8.94
2014-02-19,298.0,298.0,297.0,298.0,298.0,4500.0,13.39
2014-02-20,296.5,298.5,296.4,297.25,296.8,7000.0,20.79
2014-02-21,296.0,298.0,296.0,297.45,297.25,10000.0,29.71
2014-02-24,296.0,297.0,296.0,297.0,297.0,5500.0,16.3
2014-02-25,292.0,294.0,292.0,294.0,294.0,10000.0,29.25
2014-02-26,293.0,293.0,284.0,285.0,285.0,16000.0,45.55
2014-02-28,304.9,304.9,275.0,294.0,294.0,16721.0,46.45
2014-03-03,273.1,273.1,272.0,272.45,272.45,6012.0,16.38
2014-03-04,271.05,284.25,265.0,265.0,270.6,19078.0,51.74
2014-03-05,265.5,267.0,265.0,266.7,266.5,16047.0,42.76
2014-03-06,267.0,267.0,265.0,265.5,265.45,6514.0,17.29
2014-03-07,280.0,280.0,264.0,277.9,277.9,5102.0,13.54
2014-03-10,265.0,265.0,262.0,263.0,263.0,8400.0,22.04
2014-03-11,264.0,280.0,262.0,279.0,279.0,6553.0,17.28
2014-03-12,324.95,324.95,261.0,262.0,262.0,4102.0,10.75
2014-03-13,262.0,267.0,260.0,260.0,260.0,5664.0,14.79
2014-03-14,255.0,267.0,255.0,259.5,259.5,2525.0,6.55
2014-03-18,259.0,265.0,255.0,265.0,265.0,7011.0,17.96
2014-03-19,265.0,279.95,255.0,257.0,257.55,13478.0,34.56
2014-03-20,255.05,257.0,255.0,255.0,256.65,7526.0,19.29
2014-03-21,255.0,257.0,255.0,257.0,256.55,8324.0,21.34
2014-03-22,255.0,255.0,255.0,255.0,255.0,100.0,0.26
2014-03-24,274.0,274.0,255.0,256.8,256.3,14250.0,36.55
2014-03-25,256.0,269.95,255.0,260.0,255.85,17642.0,45.1
2014-03-26,244.0,256.5,244.0,256.5,256.5,11520.0,29.5
2014-03-27,257.05,261.0,257.05,261.0,257.3,5001.0,12.87
2014-03-28,255.6,272.0,255.0,270.0,270.0,8008.0,21.37
2014-03-31,275.0,279.0,256.2,275.0,275.0,3862.0,10.44
2014-04-01,328.9,328.9,235.0,257.0,257.0,2593.0,6.68
2014-04-02,257.5,257.5,256.0,256.0,256.0,6800.0,17.43
2014-04-03,254.0,257.0,245.0,253.0,253.0,2070.0,5.31
2014-04-04,260.0,260.0,253.0,259.0,259.0,21.0,0.05
2014-04-07,260.0,260.0,260.0,260.0,260.0,33.0,0.09
2014-04-09,267.0,267.0,251.0,266.0,266.0,5050.0,13.41
2014-04-10,262.95,275.0,260.8,272.9,272.85,2600.0,6.8
2014-04-15,244.0,244.0,229.0,229.0,234.5,39.0,0.09
2014-04-16,237.0,242.0,237.0,242.0,238.65,30.0,0.07
2014-04-17,261.95,274.65,261.95,271.95,271.95,35.0,0.09
2014-04-21,271.9,271.9,271.9,271.9,271.9,4.0,0.01
2014-04-22,267.9,267.9,267.9,267.9,267.9,4.0,0.01
2014-04-25,266.9,266.9,241.05,262.0,262.55,1181.0,3.1
2014-04-28,256.0,258.0,256.0,258.0,258.0,300.0,0.77
2014-04-29,253.0,266.0,253.0,266.0,266.0,40.0,0.11
2014-04-30,271.0,272.0,271.0,272.0,271.5,200.0,0.54
2014-05-05,250.0,271.0,250.0,253.25,253.25,24.0,0.06
2014-05-06,271.95,273.0,271.95,273.0,272.95,400.0,1.09
2014-05-07,272.0,272.0,272.0,272.0,272.0,1.0,0.0
