Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-06-16,124.0,130.2,118.55,130.2,130.2,1192669.0,1522.71
2017-06-19,128.8,130.0,123.7,128.0,127.5,123460.0,156.37
2017-06-20,128.0,129.0,122.0,123.0,123.0,41765.0,52.05
2017-06-21,122.0,127.0,117.05,121.5,121.35,51339.0,62.67
2017-06-22,122.7,126.4,119.1,120.0,119.95,195774.0,240.07
2017-06-23,120.0,124.9,114.1,119.9,117.45,47980.0,56.2
2017-06-27,120.7,120.7,111.6,111.95,111.7,39295.0,44.04
2017-06-28,106.75,116.8,106.15,111.8,114.25,51350.0,56.71
2017-06-29,115.0,119.95,110.25,119.95,119.75,94613.0,112.69
2017-06-30,123.7,124.0,115.1,124.0,119.45,11927.0,14.15
2017-07-03,119.0,125.5,118.0,119.65,120.45,38549.0,46.45
2017-07-04,119.5,121.35,117.0,120.25,119.4,166542.0,199.08
2017-07-05,121.75,124.4,119.0,122.5,121.5,321381.0,387.0
2017-07-06,121.95,129.15,121.0,123.0,122.65,288149.0,360.09
2017-07-07,121.0,125.95,120.65,125.55,125.35,92378.0,115.24
2017-07-10,128.0,128.0,123.0,128.0,127.15,80251.0,102.04
2017-07-11,124.75,126.0,123.2,125.0,125.0,107656.0,134.3
2017-07-12,124.15,125.0,120.05,120.1,121.0,102386.0,125.52
2017-07-13,123.95,129.9,120.05,129.0,129.3,201068.0,256.13
2017-07-14,128.35,128.35,122.9,128.3,127.8,51172.0,64.55
2017-07-17,128.0,128.0,124.2,126.0,126.25,43658.0,55.18
2017-07-18,125.0,129.8,124.15,126.0,125.4,64981.0,82.49
2017-07-19,125.0,127.9,124.4,127.0,127.0,80466.0,101.9
2017-07-20,126.65,128.0,125.0,127.0,127.15,192194.0,242.21
2017-07-21,129.0,132.8,125.3,127.0,126.95,79220.0,101.74
2017-07-24,126.0,127.95,126.0,127.5,126.75,87403.0,111.04
2017-07-25,128.0,128.0,125.2,127.9,127.25,244883.0,310.04
2017-07-26,126.0,127.9,124.0,127.25,127.05,82506.0,104.57
2017-07-27,125.2,127.9,124.0,124.0,124.55,79226.0,100.16
2017-07-28,122.15,125.8,122.15,125.5,125.0,28961.0,36.01
2017-07-31,123.0,128.5,123.0,127.0,127.05,92025.0,115.86
2017-08-01,126.55,129.8,126.5,127.1,127.1,58031.0,73.87
2017-08-02,128.0,130.0,126.5,128.0,128.15,183404.0,233.89
2017-08-03,128.0,135.0,127.25,127.25,128.6,956200.0,1266.91
2017-08-04,130.0,132.0,125.7,128.2,129.5,280043.0,362.39
2017-08-07,129.05,129.15,127.3,128.0,128.0,71665.0,91.81
2017-08-08,126.65,128.0,121.25,124.0,124.0,188172.0,231.89
2017-08-09,122.1,123.45,120.05,123.4,122.95,65133.0,79.53
2017-08-10,121.45,124.0,120.05,122.85,121.2,87457.0,106.97
2017-08-11,119.05,120.0,116.5,116.5,117.15,40121.0,47.38
2017-08-14,118.05,122.0,114.9,116.0,116.65,62905.0,73.84
2017-08-16,118.05,118.05,112.25,114.15,114.55,93120.0,106.19
2017-08-17,116.85,117.0,112.65,113.8,114.0,37651.0,43.4
2017-08-18,115.0,116.95,112.7,115.0,116.05,36625.0,41.97
2017-08-21,116.05,118.15,110.25,111.0,111.45,41212.0,46.46
2017-08-22,114.5,114.5,109.5,111.0,110.55,245411.0,271.78
2017-08-23,109.75,114.5,109.25,109.75,110.4,94778.0,105.42
2017-08-24,111.95,113.3,110.0,110.55,110.7,27924.0,31.08
2017-08-28,110.0,112.2,109.4,110.35,110.35,41674.0,46.21
2017-08-29,110.05,111.9,107.0,110.6,108.6,98923.0,108.1
2017-08-30,110.85,111.2,109.0,109.5,110.1,41197.0,45.25
2017-08-31,110.7,112.3,109.3,111.7,111.15,54928.0,60.81
2017-09-01,111.85,115.95,110.6,114.0,113.95,51830.0,59.21
2017-09-04,115.0,115.0,108.1,108.85,108.55,49897.0,54.78
2017-09-05,110.7,116.25,110.0,115.2,115.85,102790.0,117.54
2017-09-06,116.0,116.2,113.0,113.15,113.7,45832.0,52.59
2017-09-07,114.7,115.5,110.7,111.9,111.9,21354.0,24.26
2017-09-08,110.5,113.0,109.1,110.05,110.3,39393.0,43.5
2017-09-11,111.0,113.45,109.35,113.45,111.85,28385.0,31.53
2017-09-12,111.0,113.8,110.5,112.0,111.0,22847.0,25.55
2017-09-13,109.2,115.5,109.2,113.0,113.05,72051.0,81.54
2017-09-14,111.15,113.0,110.75,111.25,111.8,15062.0,16.85
2017-09-15,110.0,111.65,108.15,108.8,109.45,32759.0,35.95
2017-09-18,110.5,111.0,108.5,108.5,108.8,114715.0,125.03
2017-09-19,109.65,110.0,108.05,109.25,108.65,52814.0,57.72
2017-09-20,110.5,114.5,110.5,111.7,112.0,102336.0,115.92
2017-09-21,111.0,114.95,110.0,112.0,110.6,2023366.0,2232.63
2017-09-22,113.0,114.0,108.5,110.0,111.95,379296.0,417.54
2017-09-25,113.85,113.85,108.0,108.35,108.4,47024.0,51.17
2017-09-26,110.2,110.2,105.55,107.85,107.85,43858.0,47.18
2017-09-27,107.5,108.0,105.2,106.8,105.5,49509.0,52.48
2017-09-28,110.0,110.0,102.35,105.9,105.05,80275.0,84.59
2017-09-29,108.0,108.0,105.1,106.7,106.1,16038.0,17.04
2017-10-03,109.6,109.6,105.3,105.3,106.0,23045.0,24.44
