Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,374.4,381.8,369.0,379.95,377.8,236767.0,890.34
2010-01-05,380.0,383.9,371.25,371.3,373.0,166347.0,628.41
2010-01-06,375.0,378.0,367.0,368.05,368.2,98309.0,365.74
2010-01-07,370.1,377.4,367.1,369.0,370.35,139919.0,520.76
2010-01-08,369.0,411.7,355.85,406.8,407.7,2522344.0,10073.14
2010-01-11,410.4,415.3,395.0,399.65,400.3,768792.0,3120.99
2010-01-12,403.4,415.9,397.15,399.8,402.1,861591.0,3510.46
2010-01-13,396.9,408.0,392.0,396.0,396.95,349792.0,1402.21
2010-01-14,400.0,410.0,396.0,397.0,398.45,353421.0,1428.4
2010-01-15,403.9,475.0,401.0,453.0,459.5,5223906.0,23389.15
2010-01-18,456.8,528.7,443.3,506.9,510.25,8063209.0,40070.66
2010-01-19,514.4,561.85,512.1,539.15,540.35,5693997.0,31014.64
2010-01-20,545.0,550.0,509.15,515.8,514.25,2462454.0,12997.74
2010-01-21,514.0,514.25,457.6,472.0,469.05,1604966.0,7812.24
2010-01-22,452.0,539.9,431.15,527.9,526.75,5900418.0,29580.26
2010-01-25,522.8,550.7,511.55,512.0,515.8,3447651.0,18391.86
2010-01-27,504.8,526.9,460.2,466.0,471.9,1557632.0,7771.83
2010-01-28,475.0,519.85,475.0,491.25,488.5,3989800.0,19974.63
2010-01-29,484.5,522.6,478.05,517.3,514.6,3094867.0,15478.76
2010-02-01,509.3,537.5,505.5,522.5,521.95,2957758.0,15514.79
2010-02-02,527.8,534.5,502.5,508.1,507.0,1369314.0,7137.25
2010-02-03,515.0,519.5,503.55,508.85,508.5,1026406.0,5262.23
2010-02-04,510.0,532.4,505.0,514.5,510.75,2087935.0,10890.54
2010-02-05,491.7,504.0,476.5,482.2,481.15,1052865.0,5155.92
2010-02-06,490.0,501.0,487.0,496.4,496.4,302260.0,1497.35
2010-02-08,502.0,507.0,486.0,490.0,490.75,921500.0,4579.18
2010-02-09,485.0,544.75,475.9,542.9,539.7,4729230.0,24676.22
2010-02-10,550.0,555.7,522.1,523.5,527.45,4720773.0,25705.36
2010-02-11,530.0,541.7,518.2,524.6,523.45,1869008.0,9934.02
2010-02-15,524.0,540.9,521.5,527.1,525.5,1160068.0,6162.82
2010-02-16,531.9,537.9,522.0,530.0,530.95,1050452.0,5573.45
2010-02-17,535.0,537.25,522.1,522.25,524.2,942524.0,5007.0
2010-02-18,523.0,528.75,505.0,508.0,507.8,629920.0,3264.0
2010-02-19,501.3,525.4,495.1,509.0,507.85,1952792.0,10035.56
2010-02-22,501.05,519.3,486.05,489.65,491.9,717761.0,3599.74
2010-02-23,487.85,506.0,481.0,487.9,487.55,899487.0,4438.14
2010-02-24,480.0,496.9,468.3,469.1,471.85,606838.0,2907.57
2010-02-25,480.0,483.9,459.3,461.0,462.55,680820.0,3209.02
2010-02-26,465.0,483.0,463.2,467.45,467.55,1079301.0,5094.76
2010-03-02,470.0,475.8,465.1,468.0,467.95,363671.0,1713.74
2010-03-03,467.0,488.0,467.0,476.5,475.95,634789.0,3044.68
2010-03-04,480.0,484.5,472.1,473.1,474.0,391636.0,1871.73
2010-03-05,477.9,483.85,468.05,468.6,470.75,358273.0,1709.01
2010-03-08,475.0,478.6,462.7,464.0,465.15,329946.0,1554.65
2010-03-09,467.4,467.4,441.05,444.0,443.1,290891.0,1311.94
2010-03-10,449.9,456.3,435.15,441.05,444.1,555964.0,2489.5
2010-03-11,445.0,445.0,433.0,434.35,435.15,203444.0,891.8
2010-03-12,438.0,445.0,426.7,430.35,432.0,354310.0,1553.94
2010-03-15,428.2,431.8,412.15,414.0,415.6,246815.0,1042.57
2010-03-16,416.0,421.0,405.25,412.7,413.5,418703.0,1726.36
2010-03-17,418.0,496.2,410.0,496.2,489.1,4741302.0,22008.09
2010-03-18,500.0,510.7,466.3,473.2,475.4,5132935.0,25456.14
2010-03-19,483.8,488.8,471.0,474.5,474.6,1586343.0,7622.78
2010-03-22,464.0,486.1,461.1,464.3,467.7,1235081.0,5875.46
2010-03-23,484.7,488.0,462.1,463.6,464.45,484078.0,2277.87
2010-03-25,467.8,470.7,456.0,457.45,457.75,538958.0,2489.82
2010-03-26,461.0,469.75,446.0,447.0,448.55,475991.0,2184.17
2010-03-29,452.8,454.9,437.2,440.0,439.0,596759.0,2666.35
2010-03-30,442.1,486.0,442.1,461.9,460.5,3971729.0,18735.72
2010-03-31,463.0,473.4,453.1,463.0,459.75,1731838.0,8075.41
2010-04-01,467.4,468.8,460.3,464.0,464.2,684798.0,3182.88
2010-04-05,468.4,473.5,460.3,464.1,465.25,594636.0,2778.21
2010-04-06,468.9,485.8,461.35,470.2,471.05,1244712.0,5917.03
2010-04-07,467.0,481.65,436.75,468.9,470.0,665231.0,3148.29
2010-04-08,422.0,472.5,422.0,463.0,461.65,293538.0,1362.54
2010-04-09,453.0,471.4,453.0,461.5,460.9,243095.0,1129.53
2010-04-12,462.05,474.8,456.0,466.0,469.7,536491.0,2506.2
2010-04-13,472.0,472.4,461.1,462.1,463.95,328395.0,1534.95
2010-04-15,468.0,472.0,456.2,457.1,459.2,344324.0,1603.76
2010-04-16,456.0,463.0,452.35,454.0,455.15,261641.0,1198.87
2010-04-19,450.0,457.7,441.0,442.0,444.95,285861.0,1287.02
2010-04-20,446.8,473.5,446.0,462.7,464.75,1107875.0,5137.02
2010-04-21,394.95,468.9,394.95,458.75,459.15,357743.0,1656.31
2010-04-22,456.0,470.0,454.5,456.15,458.0,416821.0,1933.52
2010-04-23,461.0,464.95,452.0,452.55,454.5,159017.0,729.79
2010-04-26,455.0,463.5,452.0,453.65,453.85,261877.0,1199.96
2010-04-27,451.0,459.1,446.25,449.4,448.5,177479.0,803.96
2010-04-28,442.6,446.7,436.0,439.0,438.35,137270.0,606.7
2010-04-29,442.0,451.0,439.5,442.0,440.8,181828.0,808.6
2010-04-30,445.5,450.0,438.0,438.3,439.8,192308.0,855.06
2010-05-03,439.0,444.0,430.0,436.0,435.15,139256.0,610.71
2010-05-04,440.0,441.0,422.2,423.0,424.35,138220.0,596.99
2010-05-05,414.0,418.95,403.25,413.0,413.75,181349.0,745.71
2010-05-06,412.6,447.8,410.0,439.0,440.9,1097870.0,4819.83
2010-05-07,435.0,435.0,410.0,414.0,414.05,443763.0,1867.25
2010-05-10,420.0,428.5,417.1,420.6,422.05,250980.0,1059.53
2010-05-11,424.7,425.75,414.0,416.0,415.95,156256.0,656.42
2010-05-12,418.0,433.15,410.3,420.6,419.95,520154.0,2209.73
2010-05-13,424.8,427.4,416.0,419.75,419.1,222355.0,938.5
2010-05-14,419.0,424.0,409.25,410.1,412.05,189950.0,794.06
2010-05-17,404.0,413.5,391.05,406.0,409.05,211711.0,865.43
2010-05-18,412.85,414.85,405.15,405.65,406.55,151573.0,622.29
2010-05-19,400.0,407.5,382.1,386.5,387.05,155612.0,621.04
2010-05-20,393.0,395.65,381.0,382.25,382.55,139378.0,539.97
2010-05-21,370.0,374.95,365.1,366.6,367.75,108968.0,401.27
2010-05-24,370.0,382.9,365.8,366.7,369.65,209496.0,788.01
2010-05-25,365.0,366.0,340.05,343.4,343.45,123356.0,434.66
2010-05-26,349.95,357.9,346.0,349.55,350.15,173475.0,609.72
2010-05-27,351.7,358.8,348.35,350.0,351.6,141910.0,500.39
2010-05-28,356.0,362.0,354.2,356.0,357.1,135452.0,483.89
2010-05-31,354.3,428.55,354.3,428.0,423.3,3472111.0,13919.49
2010-06-01,429.95,447.9,410.6,420.0,417.8,5114005.0,22023.77
2010-06-02,421.0,434.9,413.45,423.0,423.8,1400171.0,5947.25
2010-06-03,428.0,444.0,421.1,428.0,427.9,1332945.0,5784.12
2010-06-04,427.0,432.7,417.55,418.4,420.05,396068.0,1680.54
2010-06-07,407.9,415.0,383.85,403.15,404.3,773487.0,3140.91
2010-06-08,408.0,431.9,406.0,414.65,415.15,1950684.0,8221.1
2010-06-09,424.9,424.9,410.4,414.0,413.2,422175.0,1756.41
2010-06-10,418.5,420.8,407.6,413.95,413.95,366426.0,1511.95
2010-06-11,419.0,425.9,412.0,413.0,413.9,498940.0,2089.77
2010-06-14,415.1,420.0,409.0,414.15,414.4,226451.0,940.17
2010-06-15,410.0,454.0,403.0,431.0,432.0,3590088.0,15801.17
