Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,8.25,8.25,8.1,8.1,8.1,1383.0,0.11
2010-01-05,8.3,8.55,8.3,8.55,8.55,269.0,0.02
2010-01-06,8.4,9.0,8.4,8.65,8.65,2529.0,0.22
2010-01-07,9.0,9.0,8.7,8.95,8.95,1001.0,0.09
2010-01-08,9.4,9.4,8.75,9.4,9.4,2921.0,0.27
2010-01-11,9.9,9.9,9.5,9.9,9.9,2740.0,0.27
2010-01-12,9.7,10.4,9.7,9.85,9.85,4416.0,0.45
2010-01-13,9.7,10.25,9.55,10.0,10.0,1750.0,0.17
2010-01-14,9.8,10.5,9.6,10.5,10.4,2246.0,0.22
2010-01-15,10.9,10.95,10.55,10.95,10.95,3994.0,0.43
2010-01-18,11.4,11.5,11.35,11.5,11.5,2502.0,0.29
2010-01-19,12.1,12.1,12.1,12.1,12.1,5660.0,0.68
2010-01-20,12.75,12.75,12.75,12.75,12.75,8943.0,1.14
2010-01-21,13.4,13.4,12.3,12.7,12.7,18328.0,2.38
2010-01-22,12.3,12.9,12.1,12.9,12.9,3150.0,0.39
2010-01-25,12.25,12.25,12.25,12.25,12.25,924.0,0.11
2010-01-27,11.65,11.65,11.65,11.65,11.65,601.0,0.07
2010-01-28,11.1,11.1,11.1,11.1,11.1,401.0,0.04
2010-01-29,10.55,10.55,10.55,10.55,10.55,201.0,0.02
2010-02-01,10.05,10.05,10.05,10.05,10.05,50.0,0.01
2010-02-02,9.6,9.65,9.6,9.6,9.6,936.0,0.09
2010-02-03,9.2,9.3,9.15,9.2,9.2,1100.0,0.1
2010-02-04,8.85,9.7,8.75,9.65,9.6,3962.0,0.35
2010-02-05,9.25,9.25,9.15,9.15,9.15,201.0,0.02
2010-02-08,8.7,8.7,8.7,8.7,8.7,401.0,0.03
2010-02-09,8.3,8.3,8.3,8.3,8.3,100.0,0.01
2010-02-10,8.0,8.7,8.0,8.7,8.7,121.0,0.01
2010-02-11,8.7,8.7,8.3,8.3,8.35,940.0,0.08
2010-02-15,8.15,8.15,8.05,8.05,8.05,1200.0,0.1
2010-02-16,8.25,8.45,8.25,8.45,8.45,110.0,0.01
2010-02-17,8.45,8.9,8.45,8.75,8.75,936.0,0.08
2010-02-18,8.45,8.5,8.35,8.35,8.35,580.0,0.05
2010-02-19,8.8,8.8,8.0,8.5,8.5,1554.0,0.13
2010-02-22,8.3,8.75,8.1,8.6,8.6,961.0,0.08
2010-02-23,8.8,8.85,8.2,8.85,8.25,380.0,0.03
2010-02-24,8.05,8.25,7.95,8.2,8.2,1845.0,0.15
2010-02-25,8.0,8.65,7.85,7.85,7.85,204.0,0.02
2010-02-26,8.0,8.25,7.7,8.25,8.25,701.0,0.06
2010-03-02,8.25,8.65,8.15,8.15,8.15,201.0,0.02
2010-03-03,8.05,8.6,8.0,8.05,8.05,2049.0,0.17
2010-03-04,8.0,8.25,7.7,7.85,7.85,2432.0,0.19
2010-03-05,7.5,8.05,7.5,8.05,8.05,3081.0,0.23
2010-03-08,7.5,8.55,7.5,8.25,7.7,1963.0,0.15
2010-03-09,7.05,7.85,7.05,7.85,7.85,450.0,0.03
2010-03-10,7.25,8.0,7.25,7.55,7.55,1285.0,0.1
2010-03-11,7.55,7.9,7.35,7.9,7.9,623.0,0.05
2010-03-12,8.6,8.6,7.15,7.9,7.9,3475.0,0.27
2010-03-15,7.3,8.3,7.25,8.3,7.35,1673.0,0.12
2010-03-16,8.0,8.0,7.25,7.25,7.7,472.0,0.04
2010-03-17,7.0,8.0,7.0,7.35,7.4,1099.0,0.08
2010-03-18,7.4,7.8,7.4,7.8,7.8,936.0,0.07
2010-03-19,7.6,7.6,7.5,7.5,7.5,402.0,0.03
2010-03-22,8.25,8.25,7.1,7.55,7.55,7928.0,0.63
2010-03-23,7.2,7.7,7.2,7.7,7.7,702.0,0.05
2010-03-25,7.0,7.7,7.0,7.3,7.3,3255.0,0.24
2010-03-26,7.7,7.7,7.05,7.05,7.05,1917.0,0.14
2010-03-29,7.0,7.4,6.8,6.8,6.8,1458.0,0.1
2010-03-30,6.8,6.9,6.8,6.85,6.9,1100.0,0.08
2010-03-31,7.4,7.55,7.0,7.0,7.05,780.0,0.06
2010-04-01,6.65,7.55,6.6,7.35,7.3,728.0,0.05
2010-04-05,7.05,7.2,7.05,7.2,7.2,474.0,0.03
