Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-06-02,50.8,52.45,48.0,50.05,50.5,201837.0,102.33
2010-06-03,50.25,52.25,50.0,52.0,51.8,65870.0,33.75
2010-06-04,52.5,52.5,50.65,51.55,51.5,96912.0,50.01
2010-06-07,49.5,51.5,49.5,50.05,50.2,30785.0,15.52
2010-06-08,51.75,51.75,48.75,48.75,49.3,18925.0,9.52
2010-06-09,50.0,50.0,47.75,47.8,48.05,294419.0,142.78
2010-06-10,42.95,50.5,39.0,50.4,49.8,15400.0,7.44
2010-06-11,51.2,51.5,50.1,50.7,50.8,16547.0,8.42
2010-06-14,50.5,51.0,47.75,48.55,49.0,9543.0,4.71
2010-06-15,50.1,50.7,48.3,50.0,49.65,8873.0,4.43
2010-06-16,50.5,50.5,48.9,49.5,49.1,4786.0,2.38
2010-06-17,48.75,49.6,48.3,49.1,49.15,3812.0,1.86
2010-06-18,48.7,49.3,47.75,48.05,48.15,8473.0,4.12
2010-06-21,49.8,49.8,48.0,48.05,48.2,30250.0,14.71
2010-06-22,49.0,49.3,48.5,49.1,48.7,25285.0,12.33
2010-06-23,50.0,51.9,47.55,48.5,48.25,46825.0,22.84
2010-06-24,48.5,49.7,48.35,49.7,49.15,85835.0,41.93
2010-06-25,50.0,50.0,48.75,49.0,49.0,42376.0,20.83
2010-06-28,49.95,50.0,48.5,49.05,49.3,20851.0,10.25
2010-06-29,49.8,50.3,49.0,49.5,49.0,61316.0,30.15
2010-06-30,49.0,49.9,49.0,49.0,49.05,6803.0,3.34
2010-07-01,49.0,49.3,48.9,49.2,48.95,2735.0,1.34
2010-07-02,49.0,49.5,48.9,49.0,49.0,2286.0,1.12
2010-07-05,48.3,49.3,48.2,49.0,49.0,4306.0,2.1
2010-07-06,49.35,49.35,48.7,49.0,48.85,5711.0,2.79
2010-07-07,48.75,49.2,48.25,48.6,48.6,65269.0,31.77
2010-07-08,45.35,53.95,45.35,48.35,48.15,33203.0,16.4
2010-07-09,51.0,51.0,48.3,48.55,48.9,43442.0,21.46
2010-07-12,49.5,50.0,48.15,48.95,48.9,12428.0,6.08
2010-07-13,49.95,49.95,48.5,48.7,48.9,7678.0,3.75
2010-07-14,48.4,49.35,48.4,48.95,48.7,17599.0,8.59
2010-07-15,48.5,49.0,48.1,48.5,48.5,6725.0,3.26
2010-07-16,48.2,49.2,48.1,48.3,48.45,21189.0,10.26
2010-07-19,49.25,49.25,48.3,48.85,48.6,6948.0,3.37
2010-07-20,48.1,49.45,48.1,48.3,48.45,28660.0,14.0
2010-07-21,48.9,49.75,48.4,48.4,48.65,29417.0,14.42
2010-07-22,48.55,49.25,48.3,48.6,48.95,66374.0,32.43
2010-07-23,49.4,50.0,47.65,48.25,48.35,176701.0,86.58
2010-07-26,48.5,49.0,47.5,47.5,47.6,26671.0,12.83
2010-07-27,48.0,48.0,45.5,46.75,46.5,34109.0,16.0
2010-07-28,47.75,47.95,46.0,46.5,46.05,96304.0,44.52
2010-07-29,47.2,48.25,46.3,46.35,46.35,19984.0,9.47
2010-07-30,47.45,49.8,45.75,45.75,46.0,30788.0,14.2
2010-08-02,47.0,48.25,46.3,46.55,47.0,36222.0,17.1
2010-08-03,46.9,47.65,45.65,46.0,46.1,23710.0,11.0
2010-08-04,46.75,46.75,45.0,46.0,46.1,37788.0,17.28
2010-08-05,45.75,47.8,43.6,43.6,44.1,337897.0,152.74
2010-08-06,45.1,48.9,45.0,48.05,48.3,130283.0,62.16
2010-08-09,48.5,50.0,48.5,48.5,48.95,234978.0,115.48
2010-08-10,49.0,49.6,47.3,47.5,47.55,61241.0,29.75
2010-08-11,48.0,48.55,47.1,47.2,47.65,89781.0,43.03
2010-08-12,45.1,49.3,45.1,48.85,48.5,58669.0,27.92
2010-08-13,48.1,50.0,48.1,49.0,49.4,108195.0,53.17
2010-08-16,50.0,50.0,48.1,48.3,48.55,13949.0,6.79
2010-08-17,48.2,50.85,47.0,48.9,48.8,11333.0,5.52
2010-08-18,48.1,49.5,48.1,49.0,48.75,28748.0,14.05
2010-08-19,58.0,58.0,46.0,48.85,49.0,22711.0,11.11
2010-08-20,48.6,49.0,48.5,48.95,48.7,15761.0,7.7
2010-08-23,52.5,52.5,47.9,48.0,48.15,18047.0,8.73
2010-08-24,48.5,48.5,46.65,47.0,47.0,46432.0,21.9
2010-08-25,48.0,48.15,47.0,47.0,47.3,17444.0,8.31
2010-08-26,48.2,48.4,46.5,47.0,46.75,27090.0,12.93
2010-08-27,48.0,48.0,46.6,47.2,47.05,6981.0,3.29
2010-08-30,47.6,48.3,45.1,47.0,46.95,11484.0,5.38
2010-08-31,47.1,47.5,46.05,46.6,46.75,17114.0,8.01
2010-09-01,47.05,47.4,45.55,46.7,46.45,13632.0,6.36
2010-09-02,47.0,47.25,46.0,46.7,47.0,12575.0,5.87
2010-09-03,51.9,51.9,46.0,46.1,46.1,10879.0,5.07
2010-09-06,47.0,47.0,46.05,46.2,46.25,15542.0,7.26
2010-09-07,46.4,47.5,45.65,45.65,46.3,11693.0,5.44
2010-09-08,46.95,46.95,45.05,46.4,46.0,14780.0,6.79
2010-09-09,46.9,46.9,45.5,45.95,45.95,5777.0,2.66
2010-09-13,46.0,46.8,45.5,45.5,45.8,53964.0,24.81
2010-09-14,52.0,52.0,45.0,45.6,45.7,10386.0,4.76
2010-09-15,46.8,46.8,45.35,45.35,45.65,8905.0,4.06
2010-09-16,45.6,46.45,42.2,45.05,45.1,26397.0,12.01
2010-09-17,45.0,45.85,44.9,45.65,45.6,7603.0,3.44
2010-09-20,45.25,46.0,45.25,45.55,45.7,6208.0,2.84
2010-09-21,45.7,45.85,42.2,45.5,45.05,78792.0,35.19
2010-09-22,45.4,46.25,44.5,44.5,44.95,47670.0,21.61
