Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,55.75,57.7,54.55,56.95,56.95,101683.0,57.51
2010-01-05,57.7,57.7,55.0,55.95,55.95,110276.0,62.01
2010-01-06,56.0,56.9,55.15,56.25,56.15,70781.0,39.57
2010-01-07,56.1,57.15,54.8,55.4,55.5,132877.0,74.06
2010-01-08,57.0,59.95,56.2,56.6,56.8,554497.0,322.61
2010-01-11,56.0,59.4,54.55,58.4,58.4,269561.0,157.71
2010-01-12,58.8,59.8,57.25,58.2,58.1,268075.0,157.4
2010-01-13,58.45,61.5,58.45,60.4,60.4,1251491.0,758.33
2010-01-14,61.8,61.8,59.05,59.25,59.35,142944.0,85.54
2010-01-15,58.1,60.45,58.1,59.0,59.3,146203.0,87.29
2010-01-18,59.2,59.85,58.3,59.0,58.75,134931.0,79.47
2010-01-19,59.1,64.5,58.6,62.75,61.7,1051888.0,658.64
2010-01-20,62.75,66.4,61.85,62.8,63.2,327657.0,208.61
2010-01-21,62.15,63.1,59.5,60.0,60.15,119135.0,73.19
2010-01-22,58.15,61.0,53.95,59.0,59.0,134869.0,78.71
2010-01-25,59.9,60.8,57.3,60.25,60.2,195101.0,115.89
2010-01-27,59.0,60.0,57.9,59.5,59.5,264225.0,155.51
2010-01-28,58.6,61.25,57.15,57.5,57.85,108336.0,64.53
2010-01-29,57.5,61.7,56.1,59.5,59.15,291719.0,173.83
2010-02-01,59.0,60.75,58.9,59.2,59.35,128272.0,76.95
2010-02-02,60.0,60.4,57.6,58.0,57.85,55185.0,32.55
2010-02-03,57.6,59.0,57.15,57.45,57.3,47409.0,27.44
2010-02-04,57.1,59.55,54.3,55.7,55.1,249521.0,139.42
2010-02-05,54.1,55.0,51.3,54.95,53.6,64509.0,34.76
2010-02-06,54.3,54.95,54.0,54.4,54.4,11024.0,6.0
2010-02-08,54.5,55.9,53.7,55.5,55.4,47872.0,26.33
2010-02-09,55.0,55.9,54.7,55.2,55.25,28193.0,15.56
2010-02-10,55.25,56.0,54.2,54.25,54.5,21564.0,11.9
2010-02-11,55.25,57.0,54.0,55.5,55.2,65187.0,36.49
2010-02-15,55.85,55.85,54.0,54.4,54.25,26677.0,14.59
2010-02-16,54.25,54.8,52.55,52.95,52.7,52400.0,27.86
2010-02-17,52.7,54.1,52.7,53.2,53.1,35777.0,19.12
2010-02-18,53.0,53.85,52.5,53.05,53.25,26043.0,13.84
2010-02-19,53.0,53.05,51.5,51.6,51.75,40043.0,20.8
2010-02-22,51.8,53.0,51.0,52.0,51.65,48475.0,25.18
2010-02-23,51.65,52.5,51.05,51.6,51.55,25259.0,13.03
2010-02-24,50.75,52.4,50.75,52.4,51.95,24780.0,12.79
2010-02-25,52.0,52.75,51.0,52.0,52.3,124738.0,64.59
2010-02-26,51.55,52.9,51.1,51.55,51.95,57929.0,30.15
2010-03-02,51.95,53.95,51.4,53.7,53.15,100739.0,53.38
2010-03-03,52.55,56.5,52.55,54.6,54.65,116300.0,64.46
2010-03-04,55.0,56.7,55.0,55.4,55.6,46766.0,26.08
2010-03-05,55.75,56.0,54.0,54.2,54.15,40851.0,22.48
2010-03-08,55.7,55.8,53.1,54.6,54.4,57458.0,31.37
2010-03-09,54.0,56.0,53.9,55.15,55.65,65635.0,35.91
2010-03-10,55.3,58.0,54.6,55.7,55.95,258362.0,146.74
2010-03-11,56.6,57.8,55.5,56.0,55.95,80421.0,45.66
2010-03-12,57.25,58.0,55.25,55.4,56.1,113191.0,64.36
2010-03-15,57.0,57.0,52.7,52.8,53.1,103853.0,55.65
