Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,584.0,613.85,535.3,543.95,549.0,50233.0,289.86
2010-01-05,551.0,560.0,515.0,520.0,517.35,53901.0,292.53
2010-01-06,523.95,536.0,509.0,519.6,520.45,53899.0,281.92
2010-01-07,522.0,534.0,518.55,522.0,523.2,48939.0,256.35
2010-01-08,529.9,542.75,518.35,539.8,527.8,48880.0,257.13
2010-01-11,531.55,558.0,521.55,528.0,528.1,55064.0,299.0
2010-01-12,530.0,534.8,516.4,519.0,519.95,45825.0,241.87
2010-01-13,528.0,528.0,500.1,511.0,517.6,54885.0,280.44
2010-01-14,529.8,529.8,510.0,510.0,511.2,59679.0,306.76
2010-01-15,515.0,525.0,510.05,511.0,512.45,47748.0,245.57
2010-01-18,514.0,543.4,512.0,540.0,535.0,61815.0,324.22
2010-01-19,542.0,556.0,524.7,527.0,525.9,82754.0,450.93
2010-01-20,539.0,546.8,525.0,525.0,529.7,55324.0,293.92
2010-01-21,528.0,532.9,508.0,508.0,510.3,60021.0,312.53
2010-01-22,510.0,518.0,500.45,508.35,511.05,57320.0,291.76
2010-01-25,511.0,543.0,509.0,525.05,530.5,52695.0,274.67
2010-01-27,539.0,539.0,490.3,510.0,509.4,53397.0,274.88
2010-01-28,520.0,521.95,490.05,493.8,494.75,50289.0,254.93
2010-01-29,493.0,512.45,490.7,501.5,505.95,51186.0,255.46
2010-02-01,510.45,518.8,494.95,497.25,498.1,44726.0,225.83
2010-02-02,501.5,508.85,480.05,480.05,485.95,67328.0,330.57
2010-02-03,490.0,490.0,480.05,486.15,487.35,54956.0,266.88
2010-02-04,483.5,500.0,482.5,493.0,490.9,49664.0,241.25
2010-02-05,485.0,492.35,481.0,481.0,482.9,42013.0,203.74
2010-02-06,486.0,486.4,485.0,486.05,486.05,10510.0,51.06
2010-02-08,485.0,492.85,484.0,485.0,486.7,43663.0,212.76
2010-02-09,489.8,505.0,484.4,485.0,486.35,45172.0,222.12
2010-02-10,485.1,492.5,484.0,486.0,486.85,41747.0,203.47
2010-02-11,489.0,493.8,485.2,491.05,491.35,49898.0,244.58
2010-02-15,499.5,504.45,490.0,491.0,492.7,51792.0,256.01
2010-02-16,490.1,564.8,490.1,530.25,541.5,179158.0,910.1
2010-02-17,541.0,546.0,535.4,545.0,542.95,62243.0,337.09
2010-02-18,535.0,555.0,515.0,540.5,542.75,51282.0,276.6
2010-02-19,545.0,554.85,540.0,549.0,547.7,52762.0,289.78
2010-02-22,548.0,554.0,524.0,545.7,546.75,53283.0,289.96
2010-02-23,564.0,564.0,543.0,546.0,549.7,49261.0,270.82
2010-02-24,549.45,553.0,544.4,550.0,549.2,43475.0,237.95
2010-02-25,550.35,562.0,535.5,545.25,551.4,44870.0,245.24
