Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,33.0,33.4,30.45,31.9,31.8,324681.0,102.77
2010-01-05,33.0,33.4,31.1,32.95,33.05,316947.0,103.11
2010-01-06,33.1,33.75,32.0,32.1,32.15,289437.0,95.11
2010-01-07,32.15,33.0,31.8,32.65,32.85,204409.0,66.71
2010-01-08,33.0,33.0,31.65,31.95,31.85,89963.0,29.02
2010-01-11,32.4,32.85,31.4,31.75,31.6,101498.0,32.52
2010-01-12,32.0,32.6,31.4,31.4,31.6,73362.0,23.45
2010-01-13,31.1,31.9,30.6,31.35,31.6,57417.0,17.99
2010-01-14,32.15,32.5,31.55,31.9,32.2,77802.0,24.95
2010-01-15,32.0,32.5,31.6,32.0,31.85,50683.0,16.24
2010-01-18,31.3,32.35,31.3,31.9,32.05,115403.0,36.94
2010-01-19,32.5,32.5,31.7,31.7,31.8,80893.0,25.91
2010-01-20,32.35,32.4,31.6,31.75,31.85,28736.0,9.16
2010-01-21,32.4,32.9,31.0,31.45,31.15,114327.0,36.52
2010-01-22,31.0,32.75,29.6,32.65,32.5,173817.0,55.14
2010-01-25,33.0,33.45,31.5,31.65,31.8,69368.0,22.46
2010-01-27,32.9,32.9,30.25,30.9,30.65,198000.0,60.77
2010-01-28,31.85,31.9,30.05,30.4,30.45,132533.0,41.14
2010-01-29,30.0,31.9,29.0,30.95,31.15,116151.0,35.81
2010-02-01,32.55,32.75,30.95,32.75,32.75,102684.0,33.2
2010-02-02,34.4,34.4,32.8,34.4,34.4,701651.0,240.17
2010-02-03,34.9,35.3,32.8,35.25,35.0,335443.0,115.47
2010-02-04,34.5,35.8,33.75,34.0,34.05,183430.0,64.39
2010-02-05,33.0,34.95,32.5,34.35,34.25,317644.0,107.02
2010-02-06,34.7,36.0,34.3,36.0,36.0,115108.0,41.07
2010-02-08,36.8,37.8,36.6,37.8,37.8,808843.0,304.7
2010-02-09,37.75,39.4,37.5,38.0,37.95,383558.0,148.13
2010-02-10,38.25,38.7,36.05,37.0,37.0,219676.0,81.87
2010-02-11,37.35,38.85,37.0,38.85,38.85,188473.0,72.09
2010-02-15,39.0,40.0,36.95,36.95,36.95,160174.0,60.84
2010-02-16,37.1,37.1,36.0,36.1,36.25,78200.0,28.4
2010-02-17,36.8,38.1,35.0,38.1,38.1,128598.0,47.95
2010-02-18,39.9,40.05,38.0,38.65,38.7,596596.0,236.2
2010-02-19,37.1,38.65,37.1,38.45,38.05,94321.0,35.91
2010-02-22,39.0,39.0,37.85,38.05,38.0,91223.0,34.76
2010-02-23,36.2,38.45,36.2,38.0,38.05,64960.0,24.69
2010-02-24,37.95,38.35,37.95,38.05,38.15,44478.0,16.95
2010-02-25,38.15,38.7,38.0,38.0,38.05,36807.0,14.06
2010-02-26,38.05,38.9,38.0,38.15,38.15,35593.0,13.64
2010-03-02,38.9,39.9,38.15,38.25,38.55,50501.0,19.61
2010-03-03,39.0,39.0,38.0,38.05,38.25,41038.0,15.7
2010-03-04,38.1,40.2,38.0,40.2,40.2,104305.0,41.6
2010-03-05,42.25,42.25,40.5,40.65,40.65,151784.0,62.61
2010-03-08,41.25,42.6,41.05,41.75,42.3,151831.0,63.68
2010-03-09,42.1,42.6,41.1,41.65,41.5,91950.0,38.38
2010-03-10,41.1,43.7,40.6,42.2,42.15,136943.0,57.97
2010-03-11,42.2,42.4,40.5,41.2,41.05,72227.0,29.87
