Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,115.0,117.65,113.0,115.0,115.0,1694.0,1.97
2010-01-05,111.6,118.9,111.6,117.0,117.0,267.0,0.31
2010-01-06,115.2,122.85,115.1,122.5,122.5,2750.0,3.3
2010-01-07,121.0,123.4,117.5,123.0,123.15,660.0,0.8
2010-01-08,125.7,125.7,119.5,122.6,122.3,1475.0,1.8
2010-01-11,117.1,124.75,117.1,117.65,119.65,12203.0,14.96
2010-01-12,123.65,130.0,112.35,127.0,127.7,11891.0,14.72
2010-01-13,129.0,140.5,123.3,140.5,139.8,14502.0,20.16
2010-01-14,146.5,153.8,143.0,153.8,153.8,16042.0,24.23
2010-01-15,159.75,161.45,146.15,146.15,146.15,7776.0,11.56
2010-01-18,145.0,145.0,138.85,140.0,143.6,31613.0,45.31
2010-01-19,140.0,141.0,136.45,136.45,136.45,14017.0,19.45
2010-01-20,134.25,137.7,131.1,134.0,132.05,17782.0,24.0
2010-01-21,134.4,136.8,130.0,135.0,134.7,475.0,0.64
2010-01-22,128.0,130.0,128.0,128.0,128.0,615.0,0.8
2010-01-25,130.85,132.0,128.0,128.5,128.5,232.0,0.3
2010-01-27,132.0,134.95,122.1,122.1,122.1,6160.0,7.56
2010-01-28,116.0,123.0,116.0,116.0,118.35,1227.0,1.45
2010-01-29,112.45,112.45,112.45,112.45,112.45,400.0,0.45
2010-02-01,117.1,118.0,116.5,118.0,116.55,1065.0,1.24
2010-02-02,119.0,119.0,115.0,115.0,115.85,1402.0,1.63
2010-02-03,117.1,117.1,117.1,117.1,117.1,100.0,0.12
2010-02-04,122.0,122.0,122.0,122.0,122.0,50.0,0.06
2010-02-05,118.0,118.0,115.9,115.9,115.9,550.0,0.64
2010-02-06,110.5,116.0,110.1,111.25,111.25,1072.0,1.19
2010-02-08,108.9,113.0,105.75,113.0,112.5,1730.0,1.88
2010-02-10,111.95,113.0,109.5,109.5,109.5,849.0,0.96
2010-02-11,108.9,112.0,108.85,112.0,112.0,200.0,0.22
2010-02-15,108.25,109.2,108.1,109.2,109.2,295.0,0.31
2010-02-16,114.6,114.7,114.6,114.7,114.7,705.0,0.81
2010-02-17,115.0,115.0,115.0,115.0,115.0,300.0,0.34
2010-02-18,119.15,119.15,109.75,115.95,115.95,830.0,0.92
2010-02-19,110.25,121.75,110.25,114.0,114.7,10223.0,12.17
2010-02-22,112.75,119.65,109.0,109.0,109.05,3152.0,3.64
2010-02-23,105.25,109.5,105.25,107.2,107.75,1655.0,1.78
2010-02-24,104.5,109.85,104.5,105.05,105.05,360.0,0.38
2010-02-25,109.85,109.85,100.3,100.3,100.3,45.0,0.05
2010-02-26,104.9,104.9,99.1,99.1,99.1,125.0,0.13
2010-03-02,99.15,104.0,99.15,104.0,104.0,2506.0,2.48
2010-03-03,100.75,106.2,100.75,105.1,105.1,1457.0,1.53
2010-03-04,107.95,109.9,103.0,105.0,105.0,2268.0,2.4
2010-03-05,110.25,110.25,108.5,108.5,109.35,395.0,0.43
2010-03-08,115.9,115.9,109.1,112.0,112.0,816.0,0.91
2010-03-09,112.5,113.0,112.0,112.0,112.0,155.0,0.17
2010-03-10,112.0,112.0,105.55,108.0,108.0,1410.0,1.53
2010-03-12,112.95,115.3,110.15,114.5,114.5,1345.0,1.52
2010-03-15,111.0,111.0,111.0,111.0,111.0,100.0,0.11
2010-03-16,110.0,110.0,110.0,110.0,110.0,50.0,0.06
2010-03-17,108.05,112.0,108.0,112.0,111.2,430.0,0.47
2010-03-18,105.9,110.0,105.85,108.25,108.25,450.0,0.48
2010-03-19,113.0,114.0,108.4,109.55,111.65,1791.0,1.98
2010-03-22,110.0,110.0,105.25,105.5,105.45,1425.0,1.55
2010-03-23,103.0,112.8,103.0,108.0,110.5,26446.0,28.63
2010-03-25,112.4,112.4,106.65,109.0,109.0,1121.0,1.26
2010-03-26,106.0,113.85,105.3,109.3,109.3,21919.0,24.09
2010-03-29,110.0,111.0,109.0,109.0,109.0,2488.0,2.72
2010-03-31,105.0,111.25,105.0,111.25,111.25,236.0,0.26
2010-04-01,109.75,115.0,109.65,115.0,114.25,1624.0,1.85
2010-04-05,118.7,120.95,117.6,118.2,119.5,3210.0,3.84
2010-04-06,123.45,123.5,120.0,121.5,121.5,1930.0,2.35
2010-04-07,121.0,122.0,119.6,120.0,120.0,830.0,1.0
2010-04-08,117.3,122.0,117.3,120.0,120.0,2876.0,3.47
2010-04-09,118.8,123.9,118.8,119.3,120.95,1984.0,2.4
2010-04-12,120.0,120.15,118.5,118.5,118.7,560.0,0.67
2010-04-13,117.45,117.45,117.45,117.45,117.45,100.0,0.12
2010-04-15,119.3,121.2,119.05,119.05,119.2,675.0,0.81
2010-04-16,119.9,119.9,119.9,119.9,119.9,200.0,0.24
2010-04-19,113.85,119.8,113.85,119.8,119.8,120.0,0.14
2010-04-20,117.5,118.3,115.0,115.0,115.15,429.0,0.5
2010-04-21,121.8,126.7,121.8,126.7,126.7,1338.0,1.67
2010-04-22,130.6,130.6,123.25,129.45,127.5,2178.0,2.81
2010-04-23,125.0,130.8,123.6,123.8,123.75,1360.0,1.72
2010-04-26,115.5,126.0,115.5,123.0,123.0,385.0,0.45
2010-04-27,125.45,126.6,121.0,123.0,123.0,107.0,0.13
2010-04-28,120.4,122.8,118.0,118.0,118.0,525.0,0.63
2010-04-29,117.0,124.4,117.0,123.85,123.85,130.0,0.16
2010-04-30,125.9,125.9,120.2,123.45,123.45,1322.0,1.6
2010-05-04,120.0,123.0,117.0,117.0,117.2,616.0,0.73
2010-05-05,115.05,115.05,115.0,115.0,115.0,425.0,0.49
2010-05-06,115.05,118.65,114.0,115.0,115.0,382.0,0.44
2010-05-07,118.0,118.0,109.5,109.5,109.6,301.0,0.34
2010-05-10,111.5,115.8,111.5,115.0,114.95,1109.0,1.26
2010-05-11,104.0,116.0,104.0,114.0,114.0,748.0,0.86
2010-05-12,106.3,124.7,106.3,111.5,113.5,1847.0,2.1
2010-05-13,109.0,117.55,109.0,117.55,117.55,148.0,0.17
2010-05-14,112.5,118.0,112.3,112.3,115.2,456.0,0.53
2010-05-17,120.0,138.25,120.0,138.25,138.25,49703.0,67.69
2010-05-18,140.05,149.7,140.05,141.2,142.2,67309.0,97.52
2010-05-19,140.6,146.5,134.0,141.8,141.3,17679.0,25.19
2010-05-20,140.0,143.7,139.1,139.25,139.7,9831.0,13.94
2010-05-21,140.7,140.7,129.7,129.7,134.0,3237.0,4.39
2010-05-24,135.1,140.5,132.25,132.25,135.0,2310.0,3.14
2010-05-25,130.15,137.75,126.5,130.45,128.8,1825.0,2.36
2010-05-26,125.3,133.15,125.3,130.1,130.15,1003.0,1.32
2010-05-27,128.5,136.0,128.5,134.95,133.15,930.0,1.25
2010-05-28,134.0,136.0,134.0,135.0,135.0,577.0,0.78
2010-05-31,134.0,134.0,133.75,133.75,133.75,55.0,0.07
2010-06-01,130.3,135.5,130.3,133.45,131.75,1657.0,2.2
2010-06-02,130.05,134.8,130.05,132.55,133.3,409.0,0.54
2010-06-03,132.2,134.5,132.2,133.0,133.0,401.0,0.53
2010-06-04,132.1,133.8,130.0,130.25,130.55,1134.0,1.48
2010-06-07,125.2,125.2,125.2,125.2,125.2,1.0,0.0
2010-06-08,125.6,129.1,125.6,129.1,129.1,182.0,0.23
2010-06-09,125.6,130.0,125.6,129.0,129.0,99.0,0.13
2010-06-10,129.0,132.85,128.95,132.85,132.85,491.0,0.64
2010-06-11,128.2,130.0,128.2,129.05,128.95,1253.0,1.63
2010-06-14,127.3,135.0,127.3,134.3,134.3,772.0,1.04
2010-06-15,128.6,136.4,128.6,136.4,135.25,809.0,1.1
2010-06-16,131.3,138.7,130.3,136.0,136.0,1272.0,1.71
2010-06-17,131.1,137.0,131.1,134.9,134.9,1401.0,1.87
2010-06-18,130.3,135.0,130.3,133.0,133.0,698.0,0.93
2010-06-21,131.3,137.0,131.3,137.0,136.95,2615.0,3.56
2010-06-22,131.25,138.8,131.25,137.6,137.5,6657.0,9.19
2010-06-23,133.3,147.95,133.3,147.85,147.2,18220.0,26.33
2010-06-24,151.4,164.95,149.05,155.9,155.9,46871.0,74.08
2010-06-25,158.8,169.7,156.0,164.85,166.3,90060.0,150.61
2010-06-28,163.55,166.9,158.15,162.0,160.85,4556.0,7.4
2010-06-29,157.1,162.45,155.1,157.2,156.6,2555.0,4.07
2010-06-30,151.1,161.5,151.1,160.9,160.65,3404.0,5.44
2010-07-01,155.0,167.0,155.0,166.0,165.4,27726.0,45.31
2010-07-02,172.0,172.95,160.2,164.0,163.85,19235.0,32.5
2010-07-05,157.0,169.0,157.0,164.0,163.2,4036.0,6.57
2010-07-06,160.6,164.0,158.0,159.4,159.0,2419.0,3.89
2010-07-07,163.0,163.0,153.0,159.1,161.0,9311.0,14.79
2010-07-08,166.5,169.0,161.0,161.0,162.3,34381.0,56.67
2010-07-09,161.35,164.35,156.0,157.2,157.1,22002.0,34.66
2010-07-12,164.7,168.0,158.1,159.75,161.6,31576.0,51.54
2010-07-13,168.8,168.8,160.0,161.95,161.9,32096.0,52.15
2010-07-14,164.95,164.95,162.0,162.5,162.6,11584.0,18.92
2010-07-15,157.35,164.0,157.35,159.1,160.1,13971.0,22.49
2010-07-16,158.5,163.65,158.5,163.65,162.4,27286.0,43.86
