Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,91.5,91.5,89.2,89.95,89.85,20730202.0,18708.7
2010-01-05,90.35,93.25,90.35,92.4,92.45,35407302.0,32687.73
2010-01-06,93.15,93.95,91.8,93.35,93.3,29648747.0,27623.05
2010-01-07,93.65,93.65,90.75,92.1,91.95,20001071.0,18389.76
2010-01-08,92.1,94.3,92.1,92.9,92.7,23576280.0,21986.14
2010-01-11,93.65,95.2,93.1,94.95,94.75,27231662.0,25653.74
2010-01-12,95.1,95.4,91.25,92.15,92.1,23086377.0,21527.95
2010-01-13,91.8,93.45,89.75,93.3,93.0,25450726.0,23275.33
2010-01-14,93.8,93.95,91.0,91.25,91.2,17697684.0,16310.69
2010-01-15,91.7,92.3,88.5,89.3,89.1,23408868.0,21202.86
2010-01-18,90.0,91.25,88.7,90.15,90.15,16488391.0,14892.52
2010-01-19,90.5,90.6,86.7,87.25,87.2,16112511.0,14281.74
2010-01-20,87.95,88.4,85.5,86.4,86.2,14723355.0,12776.51
2010-01-21,85.6,86.1,82.35,82.8,82.8,25131185.0,21076.37
2010-01-22,81.0,81.45,78.1,79.7,79.4,30853187.0,24597.09
2010-01-25,80.0,80.0,75.5,75.55,76.05,25197594.0,19424.61
2010-01-27,75.0,77.9,72.0,72.75,73.2,35182648.0,26619.38
2010-01-28,75.5,76.45,72.8,75.05,74.4,29517713.0,21990.72
2010-01-29,73.85,77.8,72.05,77.3,77.25,28439965.0,21349.34
2010-02-01,77.5,79.6,76.15,78.9,78.55,32099103.0,25161.62
2010-02-02,79.5,80.35,75.6,76.0,76.15,30860370.0,24170.93
2010-02-03,76.5,78.4,76.5,77.3,77.3,16385269.0,12701.53
2010-02-04,77.45,77.45,72.85,73.6,73.25,20984377.0,15705.25
2010-02-05,70.6,72.6,69.05,71.2,71.4,27442552.0,19526.64
2010-02-06,71.5,74.25,71.5,73.25,73.25,3690868.0,2688.79
2010-02-08,74.0,75.5,71.7,75.1,75.0,23951216.0,17659.95
2010-02-09,74.9,75.35,73.1,73.65,73.75,15169432.0,11209.38
2010-02-10,75.2,75.75,72.4,72.95,72.9,17214219.0,12783.98
2010-02-11,74.0,74.4,73.2,73.85,73.75,11674558.0,8623.6
2010-02-15,75.0,75.0,72.25,72.85,72.85,14233536.0,10422.55
2010-02-16,73.0,74.3,72.25,74.05,73.95,11699601.0,8584.97
2010-02-17,74.8,75.65,72.85,73.2,73.2,20492590.0,15199.98
2010-02-18,72.9,73.9,70.4,70.7,70.7,27791440.0,19944.06
2010-02-19,70.2,71.6,69.1,70.55,70.7,21254302.0,14958.59
2010-02-22,72.4,72.75,69.5,69.6,69.95,15038428.0,10656.34
2010-02-23,69.95,70.4,69.0,69.55,69.55,13411489.0,9361.57
2010-02-24,69.25,70.0,68.15,69.05,69.05,14253295.0,9833.24
2010-02-25,69.9,69.9,68.25,68.45,68.4,15051124.0,10344.5
2010-02-26,68.2,72.75,68.05,72.05,71.85,31478976.0,22391.51
2010-03-02,73.0,73.35,72.0,72.7,72.65,15517720.0,11252.95
2010-03-03,73.1,74.7,72.55,74.45,74.35,20308835.0,15005.13
2010-03-04,74.5,78.35,74.2,77.45,77.65,36192097.0,27643.67
2010-03-05,78.0,81.3,77.65,80.4,80.45,52212155.0,41753.42
2010-03-08,82.7,82.7,79.05,79.35,79.35,27184202.0,21902.57
2010-03-09,79.3,79.7,76.7,76.75,77.1,20480308.0,15969.67
2010-03-10,77.5,78.35,76.2,77.15,77.2,19278530.0,14939.55
2010-03-11,77.2,78.5,76.4,77.45,77.05,19169442.0,14871.61
2010-03-12,77.1,77.85,75.4,75.75,75.7,15451768.0,11801.43
2010-03-15,75.45,75.45,73.3,73.55,73.6,14705429.0,10876.48
2010-03-16,73.9,75.6,73.5,75.6,75.25,13375926.0,9988.33
2010-03-17,76.55,76.75,74.1,74.45,74.5,15354484.0,11618.81
2010-03-18,74.95,75.6,74.0,74.95,74.9,11703758.0,8745.71
2010-03-19,74.0,76.4,74.0,75.8,75.9,13191285.0,10001.51
2010-03-22,75.0,75.0,72.85,73.1,73.1,12593669.0,9300.67
2010-03-23,73.4,74.8,72.9,73.35,73.45,16348445.0,12029.51
2010-03-25,73.0,73.5,72.6,72.7,72.95,10917470.0,7966.71
2010-03-26,73.7,73.9,72.2,72.95,72.8,11081334.0,8104.52
2010-03-29,73.5,73.5,72.3,72.8,72.65,12695342.0,9250.58
2010-03-30,73.5,74.25,71.7,71.95,72.15,14897581.0,10879.2
2010-03-31,71.75,72.8,71.6,72.0,71.85,9496457.0,6852.79
2010-04-01,72.5,73.4,72.2,72.65,72.55,9644921.0,7019.26
2010-04-05,73.0,73.6,72.7,73.5,73.3,9389438.0,6872.39
2010-04-06,73.55,75.8,73.5,75.15,75.0,23470673.0,17638.29
2010-04-07,76.0,76.2,74.2,75.35,75.2,15711003.0,11842.86
2010-04-08,75.2,76.0,74.35,74.85,74.75,15848336.0,11926.33
2010-04-09,75.25,75.8,74.8,75.25,75.15,10084228.0,7600.73
2010-04-12,75.5,75.85,73.5,74.05,74.1,10547100.0,7835.27
2010-04-13,74.0,74.4,72.9,73.1,73.1,8602649.0,6314.94
2010-04-15,73.9,74.9,72.0,72.2,72.45,14887628.0,10946.31
2010-04-16,72.0,72.6,71.05,71.5,71.5,16103729.0,11527.4
2010-04-19,70.9,71.0,69.5,69.8,69.8,14283417.0,9996.32
2010-04-20,70.4,72.75,70.0,72.0,72.0,17403263.0,12454.54
2010-04-21,72.6,73.25,71.5,72.0,71.9,13416631.0,9711.46
2010-04-22,72.0,72.85,71.25,71.65,71.75,10993048.0,7922.24
2010-04-23,72.0,72.5,70.35,71.1,71.1,15666657.0,11159.11
2010-04-26,72.4,72.4,70.85,71.1,71.05,11421821.0,8149.6
2010-04-27,71.0,71.25,70.1,70.2,70.3,9429221.0,6656.68
2010-04-28,69.9,70.0,68.35,68.65,68.65,13221513.0,9144.6
2010-04-29,68.75,69.45,67.65,67.95,67.85,15661236.0,10719.99
2010-04-30,68.5,69.65,68.15,69.05,68.95,13408318.0,9261.6
2010-05-03,69.1,69.9,68.35,69.45,69.3,11579924.0,8032.26
2010-05-04,70.0,70.45,67.95,68.2,68.15,15267043.0,10553.21
2010-05-05,66.8,68.15,65.85,68.15,67.75,14059491.0,9398.46
2010-05-06,68.0,71.75,67.3,71.4,71.25,49339753.0,34672.15
2010-05-07,71.0,71.0,66.7,67.6,67.65,30113588.0,20633.62
2010-05-10,68.0,70.7,68.0,70.0,69.85,20722160.0,14406.27
2010-05-11,70.0,70.45,67.7,67.9,67.95,17900271.0,12330.39
2010-05-12,68.0,68.75,65.9,66.85,66.9,16609470.0,11182.52
2010-05-13,67.2,68.4,66.55,66.8,66.8,10704247.0,7193.17
2010-05-14,66.8,67.4,65.05,65.1,65.6,12049808.0,7996.25
2010-05-17,65.0,65.1,62.05,64.8,64.6,18201791.0,11626.32
2010-05-18,64.0,65.6,63.45,64.0,63.95,12510848.0,8037.7
2010-05-19,63.0,63.5,59.1,59.75,59.9,19656461.0,12075.43
2010-05-20,60.0,61.0,58.75,59.2,59.25,14806678.0,8867.06
2010-05-21,58.6,59.25,56.45,58.8,58.7,15066483.0,8743.08
2010-05-24,59.5,60.9,58.25,58.5,58.8,13388238.0,8013.8
2010-05-25,58.2,59.45,57.25,58.0,58.0,16294322.0,9552.01
2010-05-26,58.5,59.45,58.2,58.75,58.75,8837952.0,5192.69
2010-05-27,59.0,59.1,57.45,58.25,58.1,16527857.0,9621.62
2010-05-28,58.7,61.5,58.7,61.0,61.05,20300329.0,12270.93
2010-05-31,60.55,61.45,55.6,56.35,56.25,38699966.0,21898.26
2010-06-01,56.0,57.7,55.2,55.65,55.6,22999758.0,12945.99
2010-06-02,56.0,56.5,53.45,54.45,54.2,26085305.0,14234.18
2010-06-03,55.0,55.8,54.6,55.4,55.3,15283241.0,8438.33
2010-06-04,55.4,56.4,54.4,55.7,55.8,16604378.0,9249.56
2010-06-07,55.0,55.0,53.1,54.6,54.6,14031578.0,7621.67
2010-06-08,54.6,55.2,53.5,53.7,53.6,11642996.0,6323.81
2010-06-09,53.1,54.6,52.9,53.5,53.5,14536983.0,7823.35
2010-06-10,53.5,54.3,52.1,54.25,53.9,22969501.0,12191.46
2010-06-11,54.5,55.1,53.5,53.75,53.85,14879699.0,8051.82
2010-06-14,54.15,54.95,53.5,54.9,54.7,11597990.0,6278.46
2010-06-15,54.95,57.8,54.35,57.15,57.3,37168137.0,21109.15
2010-06-16,58.0,58.55,57.0,57.2,57.3,17382760.0,10024.0
2010-06-17,57.5,58.2,56.5,57.25,57.45,12692424.0,7256.65
2010-06-18,57.7,58.0,56.2,56.3,56.5,10851914.0,6174.79
2010-06-21,57.0,57.8,56.95,57.3,57.4,8272043.0,4739.04
2010-06-22,57.0,57.2,56.25,56.4,56.45,10387860.0,5882.04
2010-06-23,56.0,57.85,56.0,57.6,57.6,14221565.0,8150.23
2010-06-24,57.25,59.1,57.25,57.55,57.65,24338904.0,14172.6
2010-06-25,58.0,58.6,57.55,57.75,57.8,12353411.0,7179.61
2010-06-28,58.15,58.5,56.95,58.05,58.05,14034157.0,8093.22
2010-06-29,58.0,58.4,57.1,57.3,57.3,9561134.0,5503.4
2010-06-30,56.55,58.1,56.5,57.9,57.9,12366030.0,7114.64
2010-07-01,57.15,57.8,57.15,57.3,57.35,6327445.0,3632.23
2010-07-02,57.5,59.75,57.25,58.3,58.5,20900549.0,12284.32
2010-07-05,58.0,58.95,57.5,58.0,58.05,7811151.0,4532.77
2010-07-06,57.9,58.4,57.55,57.9,58.05,7336356.0,4254.74
2010-07-07,58.0,59.3,57.75,58.05,58.05,19809936.0,11617.33
2010-07-08,58.75,59.05,58.15,58.25,58.3,9386002.0,5505.3
2010-07-09,58.5,59.2,58.5,58.85,58.8,8078585.0,4754.42
2010-07-12,59.0,59.5,58.55,59.05,58.95,9294874.0,5485.26
2010-07-13,51.8,61.95,51.8,61.7,61.5,34449649.0,21024.99
2010-07-14,62.0,62.45,60.0,60.3,60.3,15856078.0,9704.71
2010-07-15,60.5,61.45,59.7,60.25,60.05,13071568.0,7898.78
2010-07-16,60.6,60.8,59.75,60.15,60.0,7668195.0,4616.48
2010-07-19,59.85,60.3,59.5,59.65,59.7,7741601.0,4631.13
2010-07-20,59.75,60.4,58.8,58.85,59.0,9707998.0,5785.75
2010-07-21,59.5,59.85,58.95,59.5,59.5,7792825.0,4628.02
2010-07-22,59.5,60.35,58.75,60.25,60.25,9727216.0,5798.57
2010-07-23,60.5,60.7,59.25,59.4,59.45,10019885.0,5995.44
2010-07-26,59.95,60.35,58.95,59.25,59.25,8509002.0,5073.65
2010-07-27,59.7,59.9,58.75,59.0,59.05,6735755.0,3987.06
2010-07-28,59.3,59.55,58.2,58.4,58.5,8484231.0,4994.54
2010-07-29,58.2,58.6,56.2,56.5,56.35,14158006.0,8081.79
2010-07-30,56.6,57.4,56.25,56.65,56.5,7301155.0,4148.7
2010-08-02,56.9,57.4,56.7,57.3,57.1,5340408.0,3046.98
2010-08-03,57.5,57.6,56.0,56.65,56.45,7998464.0,4523.01
2010-08-04,56.45,57.1,56.15,56.65,56.65,6457289.0,3652.29
2010-08-05,56.8,57.0,56.3,56.45,56.45,5748210.0,3249.16
2010-08-06,56.55,57.2,55.7,56.0,55.95,7759065.0,4378.51
2010-08-09,56.0,57.1,55.8,56.75,56.7,8652252.0,4881.59
2010-08-10,57.0,58.85,56.55,58.5,58.1,12479875.0,7183.41
2010-08-11,58.4,58.9,57.05,57.25,57.25,9133021.0,5260.13
2010-08-12,57.0,57.95,56.45,57.65,57.55,8056135.0,4613.08
2010-08-13,59.0,59.0,56.05,56.5,56.45,13960752.0,7961.84
2010-08-16,55.2,55.35,50.65,52.4,52.35,24491758.0,12899.85
2010-08-17,52.5,52.95,51.0,51.15,51.15,14604617.0,7532.34
2010-08-18,51.15,51.8,48.85,49.45,49.5,22904433.0,11437.27
2010-08-19,49.0,50.5,48.0,50.2,50.2,30218199.0,14955.12
2010-08-20,49.6,50.0,48.55,49.45,49.4,15513888.0,7657.66
2010-08-23,49.5,50.85,49.0,50.3,50.25,10947138.0,5496.61
2010-08-24,50.4,51.65,49.3,50.1,50.2,15077701.0,7590.57
2010-08-25,50.0,50.65,49.15,49.4,49.6,14169769.0,7071.26
2010-08-26,49.95,50.05,47.85,48.2,48.2,21441468.0,10474.84
2010-08-27,48.0,48.75,47.35,47.35,47.7,13045826.0,6274.03
2010-08-30,48.35,48.4,46.3,46.7,46.7,13629549.0,6402.71
2010-08-31,46.5,46.65,45.85,46.1,46.25,8727152.0,4033.81
2010-09-01,46.5,46.95,45.95,46.7,46.6,10330752.0,4802.95
2010-09-02,46.3,53.1,46.2,52.65,51.3,36992990.0,18677.71
2010-09-03,51.7,51.95,48.3,50.1,50.05,46092194.0,23082.28
2010-09-06,50.5,51.65,49.9,50.45,50.55,17991397.0,9133.5
2010-09-07,51.05,52.5,50.35,51.6,51.7,29425124.0,15229.07
2010-09-08,51.35,52.3,51.0,51.5,51.55,14638946.0,7558.34
2010-09-09,51.75,52.2,51.2,51.3,51.35,9062784.0,4672.89
2010-09-13,51.5,52.0,50.75,50.95,51.0,9760279.0,5002.91
2010-09-14,52.0,54.5,51.25,51.65,51.6,21989388.0,11426.67
