Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-02-15,89.9,107.2,85.75,85.8,87.75,52499576.0,49765.46
2010-02-16,86.0,89.9,80.85,85.5,85.4,13958458.0,11813.01
2010-02-17,86.0,86.9,81.4,82.0,82.3,4351985.0,3630.49
2010-02-18,82.45,84.7,79.15,82.3,83.1,4386972.0,3605.89
2010-02-19,82.2,82.9,79.2,80.0,80.05,1737955.0,1412.72
2010-02-22,81.5,82.0,75.05,75.1,77.1,1166005.0,927.73
2010-02-23,76.0,76.9,73.0,73.05,73.05,1109720.0,814.74
2010-02-24,72.0,87.7,70.0,87.7,87.7,4185462.0,3412.36
2010-02-25,91.0,96.8,89.2,92.0,93.75,10920668.0,10213.79
2010-02-26,92.0,97.7,88.6,93.8,94.7,5293266.0,4947.68
2010-03-02,96.1,101.45,94.7,99.5,99.4,5770658.0,5710.61
2010-03-03,99.2,108.3,98.25,98.45,99.25,5452485.0,5578.95
2010-03-04,99.0,114.4,99.0,110.5,110.5,9021258.0,9728.52
2010-03-05,111.25,113.9,109.65,111.0,111.3,4943781.0,5534.74
2010-03-08,112.0,116.6,111.6,115.0,115.95,3512781.0,4041.01
2010-03-09,116.1,117.9,110.0,110.5,113.25,2101628.0,2429.52
2010-03-10,112.9,112.9,107.25,108.9,108.85,1396682.0,1537.76
2010-03-11,110.5,120.0,109.25,119.75,117.9,2675017.0,3075.44
2010-03-12,119.5,124.85,119.5,120.1,121.85,3369758.0,4135.06
2010-03-15,117.0,123.5,110.5,115.0,115.15,1858957.0,2199.07
2010-03-16,116.35,119.4,109.2,109.9,109.9,2036668.0,2301.4
2010-03-17,111.0,111.9,107.2,109.0,109.1,1383681.0,1513.54
2010-03-18,109.95,114.9,108.3,110.0,110.1,1563552.0,1742.49
2010-03-19,110.75,113.25,109.1,110.3,110.15,871703.0,968.65
2010-03-22,110.0,126.8,108.15,123.7,124.9,7517293.0,9119.75
2010-03-23,126.65,135.35,123.1,133.7,133.95,12177961.0,15904.35
2010-03-25,136.0,148.0,129.35,147.45,145.95,14539284.0,20457.29
2010-03-26,146.0,162.45,130.0,134.65,134.7,29051177.0,42207.85
2010-03-29,135.8,135.8,120.0,129.0,129.4,12426127.0,15749.52
2010-03-30,130.4,136.35,124.3,132.7,133.7,5938161.0,7910.62
2010-03-31,134.0,136.9,117.6,119.0,120.6,9971361.0,12856.86
2010-04-01,120.0,126.5,118.25,121.9,121.9,7839956.0,9566.34
2010-04-05,123.0,124.4,97.55,97.55,99.1,11605118.0,12623.34
2010-04-06,98.0,102.6,92.35,95.15,93.9,13273841.0,12931.25
2010-04-07,94.8,97.5,93.2,95.5,95.45,2897117.0,2767.31
2010-04-08,95.0,96.3,89.75,91.85,91.55,2972680.0,2746.05
2010-04-09,92.0,92.95,87.7,88.35,88.35,1846507.0,1656.81
2010-04-12,89.0,89.75,84.3,85.0,85.25,1389609.0,1198.23
2010-04-13,83.3,85.9,81.5,81.55,81.95,1264328.0,1052.05
2010-04-15,82.4,85.7,79.25,82.0,82.25,3134199.0,2596.89
2010-04-16,82.0,83.85,79.85,80.15,80.25,1276400.0,1044.69
2010-04-19,79.5,79.6,75.75,76.2,76.55,931338.0,721.31
2010-04-20,77.0,78.9,76.6,76.7,76.8,1072486.0,833.45
2010-04-21,77.2,80.45,77.0,79.25,79.45,1854436.0,1468.28
2010-04-22,79.5,79.9,77.2,77.7,77.75,663549.0,520.93
2010-04-23,77.8,78.75,76.1,76.2,76.45,565244.0,437.61
2010-04-26,77.1,77.25,74.6,74.65,75.05,459956.0,349.25
2010-04-27,75.0,75.4,72.55,72.9,73.05,591794.0,437.03
2010-04-28,72.0,72.5,69.55,69.9,70.1,666681.0,474.03
2010-04-29,70.35,71.25,68.1,68.5,68.3,642262.0,444.16
2010-04-30,68.9,71.7,68.6,69.25,69.2,939131.0,657.87
2010-05-03,68.7,70.0,67.6,67.7,68.05,383590.0,262.8
2010-05-04,68.0,68.8,63.85,64.0,64.5,619981.0,410.96
2010-05-05,63.0,63.25,59.6,60.15,60.25,694363.0,420.59
2010-05-06,61.0,61.0,56.2,58.2,58.3,510428.0,299.38
2010-05-07,57.05,57.05,55.4,55.4,55.4,222775.0,123.92
2010-05-10,55.6,55.8,52.65,52.65,52.65,102474.0,54.2
2010-05-11,52.65,55.25,50.05,54.0,54.2,535748.0,289.33
2010-05-12,52.0,55.15,51.5,51.5,51.5,264763.0,138.38
