Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,95.7,96.65,95.15,95.9,95.75,675293.0,647.54
2010-01-05,96.25,96.95,95.3,95.45,95.55,906620.0,870.1
2010-01-06,96.0,98.2,95.5,96.8,97.15,2273713.0,2213.82
2010-01-07,97.3,97.9,95.7,96.1,96.15,923523.0,894.74
2010-01-08,96.7,97.4,95.4,95.55,95.7,824849.0,797.35
2010-01-11,90.2,96.8,90.2,95.2,95.2,785836.0,751.89
2010-01-12,95.5,95.5,92.0,92.2,92.3,606581.0,568.28
2010-01-13,90.7,93.4,90.7,93.0,93.1,444407.0,408.88
2010-01-14,93.5,94.25,92.0,92.5,92.35,523367.0,488.11
2010-01-15,92.5,94.5,92.25,92.5,92.9,1296237.0,1209.07
2010-01-18,92.3,94.5,92.3,94.4,94.1,1406260.0,1317.34
2010-01-19,94.65,95.9,93.2,93.55,93.5,1110700.0,1055.02
2010-01-20,94.05,94.5,91.35,91.75,92.05,1117673.0,1041.41
2010-01-21,91.5,92.25,89.1,89.35,89.4,907254.0,821.02
2010-01-22,88.1,88.7,85.35,88.2,87.95,692476.0,603.41
2010-01-25,87.9,88.9,86.0,86.7,86.8,493723.0,430.0
2010-01-27,86.2,86.5,82.55,82.8,83.0,771223.0,651.86
2010-01-28,84.6,85.1,82.35,83.5,83.4,1536422.0,1284.68
2010-01-29,83.0,86.9,81.0,86.1,85.8,921276.0,771.11
2010-02-01,84.25,87.0,78.25,85.45,85.2,968834.0,825.47
2010-02-02,86.8,86.85,83.1,83.2,83.35,466574.0,396.84
2010-02-03,83.2,85.5,83.05,85.25,85.25,320613.0,271.62
2010-02-04,84.4,85.25,82.7,83.1,83.2,440170.0,369.4
2010-02-05,81.0,81.1,79.6,80.25,80.2,439384.0,353.04
2010-02-06,81.4,81.5,80.15,81.05,81.05,55847.0,45.15
2010-02-08,81.85,84.4,80.55,84.3,83.6,565980.0,466.89
2010-02-09,84.35,85.0,82.8,84.55,84.5,507241.0,425.93
2010-02-10,85.05,85.45,83.3,84.45,84.8,485793.0,412.39
2010-02-11,85.8,85.8,84.25,85.0,85.1,242801.0,206.29
2010-02-15,85.1,85.55,83.4,83.6,83.75,282310.0,238.31
2010-02-16,82.0,85.65,82.0,85.6,85.15,214207.0,180.42
2010-02-17,86.2,86.5,85.0,85.0,85.1,348465.0,297.73
2010-02-18,85.85,85.85,83.75,84.0,84.0,233768.0,197.08
2010-02-19,82.6,83.75,82.0,82.05,82.2,214459.0,176.75
2010-02-22,82.6,83.75,82.2,83.0,83.05,311883.0,258.59
2010-02-23,83.0,83.4,81.8,82.0,82.0,262284.0,215.84
2010-02-24,81.5,82.4,81.3,82.0,82.0,309251.0,253.59
2010-02-25,80.5,83.2,79.25,79.9,80.6,988861.0,803.79
2010-02-26,80.2,84.75,79.1,84.0,83.8,861650.0,711.7
2010-03-02,84.5,86.7,84.5,85.55,85.35,535757.0,458.71
2010-03-03,86.1,88.6,85.5,88.05,88.35,860020.0,753.68
2010-03-04,89.0,89.8,87.8,88.55,88.75,675301.0,600.43
2010-03-05,90.0,90.0,88.2,88.55,88.7,336416.0,299.37
2010-03-08,90.0,90.6,88.5,89.2,89.35,477352.0,426.18
2010-03-09,89.5,89.5,86.4,86.55,87.35,368835.0,324.19
2010-03-10,86.9,87.75,86.1,87.35,87.25,571181.0,496.9
2010-03-11,87.9,87.9,85.75,87.15,86.9,217032.0,188.29
2010-03-12,87.2,87.5,86.1,86.15,86.35,253747.0,220.28
2010-03-15,86.0,86.35,85.35,85.6,85.75,216714.0,186.05
2010-03-16,86.5,86.5,85.15,85.8,85.75,160650.0,137.48
2010-03-17,86.95,87.0,85.7,86.15,86.1,250058.0,215.36
2010-03-18,86.95,87.0,85.05,85.1,85.3,251508.0,215.32
2010-03-19,86.0,86.9,85.25,86.8,86.7,257552.0,222.06
2010-03-22,85.3,86.7,85.15,86.05,86.1,178813.0,153.93
2010-03-23,86.85,86.85,85.65,85.65,85.95,217104.0,186.78
2010-03-25,85.0,86.3,82.35,83.0,83.45,1190922.0,1001.32
2010-03-26,84.0,85.0,83.5,85.0,84.7,207063.0,174.53
2010-03-29,85.0,88.0,84.5,88.0,87.0,378617.0,327.9
2010-03-30,87.5,88.75,86.0,86.55,86.6,203271.0,177.25
2010-03-31,86.6,87.15,85.55,86.15,86.15,201915.0,174.16
2010-04-01,85.5,87.5,85.3,86.6,86.55,237155.0,206.03
2010-04-05,86.5,90.45,86.5,90.2,89.9,787853.0,702.6
