Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,61.1,62.4,60.5,61.7,61.6,736543.0,453.99
2010-01-05,62.0,64.5,61.5,63.3,63.2,2772587.0,1756.38
2010-01-06,63.7,65.5,62.55,64.45,64.75,3501260.0,2255.46
2010-01-07,65.0,65.15,63.1,63.55,63.3,996495.0,634.83
2010-01-08,64.15,64.15,62.2,62.7,62.65,853075.0,539.11
2010-01-11,63.4,64.5,62.75,63.25,63.2,1001906.0,635.85
2010-01-12,63.8,66.1,62.9,63.5,63.5,3452284.0,2243.05
2010-01-13,63.0,64.6,62.5,64.5,64.35,1150160.0,734.13
2010-01-14,65.0,66.05,64.25,64.4,64.45,1759878.0,1147.77
2010-01-15,65.0,65.4,63.5,63.85,63.8,734069.0,473.64
2010-01-18,63.7,64.7,62.75,63.2,63.0,697311.0,443.25
2010-01-19,63.1,63.75,61.65,62.0,61.9,724161.0,454.27
2010-01-20,62.45,62.75,61.15,61.55,61.55,546733.0,338.73
2010-01-21,61.0,62.45,58.55,59.7,59.8,941454.0,575.01
2010-01-22,58.5,59.9,55.9,57.1,57.5,1496360.0,863.46
2010-01-25,57.25,57.7,56.2,56.35,56.45,484471.0,275.64
2010-01-27,56.45,56.85,52.25,52.4,52.85,687637.0,375.75
2010-01-28,53.25,54.7,52.0,52.5,52.3,688449.0,363.29
2010-01-29,52.0,53.15,50.3,52.75,52.45,674857.0,347.82
2010-02-01,52.25,54.6,51.3,53.7,53.6,965889.0,512.22
2010-02-02,54.4,54.75,50.5,51.0,50.95,923546.0,485.42
2010-02-03,51.85,52.4,50.65,51.15,51.05,821078.0,421.77
2010-02-04,51.25,51.9,49.35,49.6,49.55,799104.0,403.35
2010-02-05,44.0,48.65,44.0,47.6,47.55,506162.0,240.62
2010-02-06,48.35,48.5,47.5,48.25,48.25,152865.0,73.53
2010-02-08,48.5,48.85,47.45,47.85,47.9,523474.0,251.7
2010-02-09,48.6,49.65,47.5,48.8,48.65,543906.0,265.05
2010-02-10,49.5,49.9,48.45,48.5,48.6,533070.0,261.87
2010-02-11,48.85,49.3,48.2,48.25,48.35,370421.0,180.71
2010-02-15,51.0,52.3,49.5,50.1,49.7,1493649.0,759.73
2010-02-16,50.35,50.35,48.65,49.2,49.0,443821.0,218.77
2010-02-17,49.6,49.95,48.6,48.9,48.75,497797.0,245.28
2010-02-18,48.9,50.0,48.35,49.7,49.25,506984.0,248.62
2010-02-19,50.5,53.0,50.0,50.75,50.4,2606395.0,1334.18
2010-02-22,52.3,52.6,48.7,48.85,49.1,909050.0,460.98
2010-02-23,49.75,49.75,47.4,47.55,47.65,527200.0,253.21
2010-02-24,46.1,47.2,45.55,47.0,46.8,406604.0,190.33
2010-02-25,47.0,47.5,46.2,46.7,46.45,356023.0,166.79
2010-02-26,46.9,47.85,46.2,47.4,47.15,509055.0,239.42
2010-03-02,48.0,48.2,47.2,47.75,47.55,451333.0,214.23
2010-03-03,47.8,48.6,47.35,48.2,48.05,613050.0,294.87
2010-03-04,48.5,48.6,48.0,48.4,48.4,571038.0,275.77
2010-03-05,48.95,49.35,48.2,48.8,48.6,711074.0,346.64
2010-03-08,49.5,50.4,48.75,49.0,48.95,768584.0,380.03
2010-03-09,50.1,51.5,49.2,49.7,49.55,2482687.0,1252.89
2010-03-10,50.05,50.1,48.4,48.8,48.65,703450.0,345.81
