Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,397.0,399.95,385.1,390.7,391.9,40698.0,160.7
2010-01-05,400.0,412.0,391.1,399.8,400.3,152397.0,617.95
2010-01-06,403.0,408.0,392.0,402.8,404.3,118475.0,476.19
2010-01-07,395.2,419.0,385.1,405.0,406.05,297721.0,1225.56
2010-01-08,401.2,415.85,396.5,404.0,404.3,114232.0,468.49
2010-01-11,408.0,412.0,400.25,402.55,401.95,46823.0,189.91
2010-01-12,405.0,408.0,399.0,404.0,401.5,82090.0,331.95
2010-01-13,398.0,415.5,395.2,411.5,412.8,212023.0,869.8
2010-01-14,416.0,416.8,407.0,415.0,414.85,86163.0,355.74
2010-01-15,412.3,415.5,407.0,407.0,408.55,43088.0,177.19
2010-01-18,407.55,432.5,405.0,429.1,429.7,394230.0,1673.1
2010-01-19,437.0,449.0,417.2,421.45,421.35,177768.0,772.42
2010-01-20,428.0,429.0,412.0,414.0,413.45,52742.0,221.37
2010-01-21,414.0,415.9,392.25,396.5,395.2,58428.0,236.23
2010-01-22,397.0,413.8,393.7,398.7,398.15,188296.0,761.19
2010-01-25,401.7,408.0,378.3,381.45,388.05,81337.0,323.54
2010-01-27,384.8,384.8,351.0,354.1,356.8,67485.0,249.1
2010-01-28,369.0,369.8,340.5,342.5,343.8,38296.0,136.2
2010-01-29,344.0,356.0,318.0,354.95,349.4,42363.0,144.74
2010-02-01,358.0,363.85,348.0,355.0,354.8,29078.0,103.77
2010-02-02,364.9,375.0,360.4,365.25,364.15,69394.0,255.95
2010-02-03,378.0,384.8,365.0,367.25,366.75,82073.0,305.18
2010-02-04,366.0,374.0,351.0,354.15,354.25,57736.0,211.21
2010-02-05,342.2,348.0,335.1,339.0,339.35,32544.0,111.44
2010-02-06,344.0,352.0,344.0,350.55,350.55,12804.0,44.77
2010-02-08,353.0,355.0,344.0,348.5,348.9,35242.0,123.83
2010-02-09,344.1,358.85,342.55,351.65,350.85,39439.0,138.93
2010-02-10,352.0,358.0,341.15,345.0,345.25,31166.0,109.58
2010-02-11,349.85,354.0,346.0,346.95,347.45,18105.0,63.19
2010-02-15,347.1,354.9,344.0,344.5,346.1,15167.0,52.98
2010-02-16,350.0,354.0,345.15,346.6,347.3,15263.0,53.37
2010-02-17,351.8,386.7,349.0,370.0,368.15,410098.0,1531.71
2010-02-18,370.0,370.0,356.1,357.8,358.6,36333.0,131.55
2010-02-19,357.0,358.95,348.95,350.0,351.4,21400.0,75.63
2010-02-22,356.0,379.0,356.0,372.0,369.5,402592.0,1501.28
2010-02-23,364.0,364.0,351.05,355.35,356.0,47548.0,170.25
2010-02-24,353.0,355.0,347.0,350.0,350.1,40240.0,141.11
2010-02-25,354.9,355.0,345.1,345.1,346.45,22559.0,78.91
