Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,338.0,342.5,337.5,339.9,339.05,333919.0,1134.33
2010-01-05,343.0,361.85,342.65,359.65,359.95,982870.0,3476.11
2010-01-06,364.6,365.0,355.05,355.6,356.25,384519.0,1382.85
2010-01-07,357.0,360.45,352.15,353.55,353.4,163217.0,580.76
2010-01-08,357.5,365.0,353.3,363.25,362.4,492059.0,1777.42
2010-01-11,369.95,369.95,360.5,362.7,361.7,297063.0,1083.66
2010-01-12,362.1,372.9,356.5,371.75,371.15,997362.0,3678.34
2010-01-13,365.1,377.7,365.1,367.6,368.95,965824.0,3600.25
2010-01-14,373.7,373.7,364.55,365.35,366.5,394181.0,1450.28
2010-01-15,368.0,373.6,364.55,365.2,365.3,355166.0,1312.96
2010-01-18,370.0,371.0,363.25,363.75,364.7,315353.0,1155.69
2010-01-19,366.5,366.9,356.55,357.95,357.9,247764.0,895.32
2010-01-20,352.1,363.2,342.25,351.0,352.9,183691.0,655.76
2010-01-21,351.0,355.1,344.1,345.1,345.55,221537.0,774.96
2010-01-22,335.1,343.0,332.0,341.55,340.4,233085.0,788.59
2010-01-25,334.0,349.0,311.55,338.95,338.85,110255.0,375.34
2010-01-27,340.0,340.0,317.5,318.85,321.4,390155.0,1285.39
2010-01-28,324.7,326.9,306.2,314.0,310.55,544337.0,1712.37
2010-01-29,311.9,335.9,306.25,319.15,320.4,703253.0,2251.67
2010-02-01,321.5,327.9,315.1,325.2,325.4,288135.0,926.13
2010-02-02,329.15,332.9,311.0,313.15,313.8,411990.0,1320.58
2010-02-03,319.4,325.0,315.1,318.8,319.05,282171.0,900.08
2010-02-04,320.0,323.7,315.15,316.0,316.7,173946.0,553.91
2010-02-05,311.9,311.9,303.1,305.35,305.65,247119.0,757.27
2010-02-06,307.05,311.55,305.5,308.8,308.8,23655.0,72.88
2010-02-08,310.0,313.4,306.3,307.8,307.65,167612.0,518.12
2010-02-09,312.0,314.95,300.05,300.85,301.0,264956.0,804.84
2010-02-10,303.8,307.8,301.5,302.0,302.55,213764.0,649.92
2010-02-11,304.5,306.0,302.4,303.85,303.35,115314.0,351.04
2010-02-15,305.0,306.0,294.0,297.1,296.45,154561.0,462.14
2010-02-16,297.2,300.5,292.55,300.3,297.45,141662.0,419.29
2010-02-17,301.0,307.7,298.25,303.4,303.9,219493.0,669.46
2010-02-18,310.0,313.75,300.05,301.0,301.15,117483.0,356.89
2010-02-19,301.5,303.8,296.0,296.95,297.5,104724.0,312.11
2010-02-22,302.9,302.9,296.05,296.65,296.85,96251.0,287.2
2010-02-23,299.9,304.0,296.55,299.8,299.1,147602.0,441.65
2010-02-24,298.0,298.0,289.15,290.45,290.1,170397.0,498.63
2010-02-25,294.0,294.0,277.25,280.0,279.75,504607.0,1425.5
2010-02-26,278.8,288.95,278.8,284.7,282.6,242971.0,692.13
