Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,147.5,148.4,143.55,144.85,145.05,126464.0,185.24
2010-01-05,146.5,151.2,146.05,149.0,149.55,194339.0,290.02
2010-01-06,152.6,156.4,151.2,153.9,154.2,448925.0,692.68
2010-01-07,154.5,160.4,154.5,155.8,156.85,367124.0,579.05
2010-01-08,161.0,162.6,156.1,156.8,157.25,204911.0,324.57
2010-01-11,158.0,159.8,152.8,153.5,153.35,105969.0,164.8
2010-01-12,154.0,155.5,147.5,149.0,148.4,131217.0,199.1
2010-01-13,148.0,156.4,147.25,154.0,153.15,280561.0,428.79
2010-01-14,153.15,164.45,153.15,161.75,161.25,934774.0,1503.78
2010-01-15,163.0,166.5,162.5,162.9,163.1,301858.0,496.38
2010-01-18,163.75,163.75,158.1,158.1,158.9,92892.0,149.31
2010-01-19,159.0,162.0,155.0,156.05,155.55,69160.0,109.44
2010-01-20,156.0,159.9,154.0,157.0,157.05,67686.0,105.78
2010-01-21,154.8,156.85,147.0,149.0,149.95,103519.0,156.27
2010-01-22,145.0,153.8,140.4,148.0,147.7,85505.0,126.01
2010-01-25,144.0,147.9,143.5,145.75,144.9,50231.0,73.24
2010-01-27,139.0,147.0,130.6,131.75,131.85,72603.0,99.86
2010-01-28,135.0,139.75,130.5,136.0,133.75,59878.0,80.39
2010-01-29,130.3,144.3,129.05,141.0,141.2,71368.0,97.07
2010-02-01,141.4,149.0,141.0,142.25,142.75,42780.0,61.85
2010-02-02,144.25,148.0,139.0,141.7,140.85,41750.0,60.36
2010-02-03,142.5,150.0,141.7,142.6,142.55,46444.0,66.89
2010-02-04,136.4,144.2,129.8,137.4,138.55,32191.0,44.89
2010-02-05,135.0,136.9,130.3,135.25,134.5,41158.0,55.34
2010-02-06,135.5,138.9,135.5,137.25,137.25,6022.0,8.24
2010-02-08,137.0,141.7,135.0,136.8,136.85,28834.0,39.62
2010-02-09,135.05,138.35,135.0,135.6,135.45,20462.0,27.88
2010-02-10,136.0,139.2,135.1,135.5,135.55,31302.0,42.75
2010-02-11,135.55,138.2,135.0,135.8,135.25,12493.0,16.99
2010-02-15,133.65,138.15,133.15,134.7,134.7,17515.0,23.74
2010-02-16,133.25,137.3,133.25,136.8,135.55,13773.0,18.59
2010-02-17,138.15,148.95,136.2,142.9,143.1,208392.0,300.2
2010-02-18,145.0,147.0,138.25,139.6,139.25,49603.0,70.32
2010-02-19,137.25,138.95,133.4,135.85,136.05,33241.0,45.06
2010-02-22,137.05,143.95,136.75,139.2,139.4,146567.0,207.58
2010-02-23,140.0,142.95,136.0,136.5,136.5,54067.0,75.17
2010-02-24,133.05,139.0,133.05,134.1,135.25,27993.0,38.06
2010-02-25,133.55,137.3,133.55,136.4,136.05,24659.0,33.46
2010-02-26,134.15,139.95,134.15,136.05,136.85,23357.0,32.08
2010-03-02,135.0,141.3,135.0,140.8,140.45,27073.0,37.82
2010-03-03,139.6,158.1,139.6,151.6,151.55,309101.0,469.5
2010-03-04,152.0,160.85,152.0,157.8,158.45,458214.0,723.43
2010-03-05,159.45,160.75,153.25,154.9,154.45,116735.0,183.02
2010-03-08,153.9,159.4,153.0,153.3,153.8,73434.0,114.74
2010-03-09,153.25,155.65,149.55,149.55,151.05,118427.0,181.1
2010-03-10,150.0,153.0,148.15,149.0,148.95,50788.0,76.64
2010-03-11,147.0,150.95,147.0,148.95,148.25,22584.0,33.7
2010-03-12,147.2,156.4,145.5,147.2,148.05,202984.0,309.89
2010-03-15,144.5,149.9,144.5,146.0,146.3,27636.0,40.76
2010-03-16,144.25,149.0,144.25,146.2,146.8,37622.0,55.29
2010-03-17,149.0,153.1,147.8,149.1,149.4,83824.0,126.17
2010-03-18,147.95,150.45,146.6,147.45,147.7,45925.0,68.31
2010-03-19,149.2,152.6,148.05,149.5,149.1,120918.0,181.91
2010-03-22,148.05,149.7,145.6,146.0,146.35,38321.0,56.59
2010-03-23,147.9,152.95,147.25,149.1,149.25,157157.0,236.48
2010-03-25,151.9,152.95,146.1,148.0,147.6,86604.0,129.77
2010-03-26,147.25,150.0,146.2,146.25,147.15,42162.0,62.61
2010-03-29,148.8,151.5,145.3,146.05,145.9,85144.0,126.37
2010-03-30,145.0,149.8,144.25,144.9,144.95,42048.0,61.76
2010-03-31,144.5,146.6,143.15,143.3,143.45,42400.0,61.28
2010-04-01,143.2,147.75,143.2,145.0,145.3,51817.0,75.52
2010-04-05,143.0,150.7,143.0,148.25,148.7,73264.0,108.96
2010-04-06,148.25,149.95,146.7,148.0,147.7,55339.0,82.03
2010-04-07,148.5,155.15,147.6,150.4,150.7,208413.0,317.66
2010-04-08,148.2,153.5,148.2,149.0,149.25,52619.0,79.41
2010-04-09,152.0,154.4,148.1,149.85,149.45,27156.0,40.76
2010-04-12,149.0,151.8,147.5,148.05,148.2,34830.0,51.94
