Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-12-10,28.0,32.5,27.0,31.5,31.0,3643040.0,1100.31
2018-12-11,31.0,34.5,30.35,32.8,32.7,2943029.0,963.81
2018-12-12,34.2,39.2,33.55,38.7,38.3,8588900.0,3212.1
2018-12-13,39.25,42.1,39.1,42.1,42.1,10493647.0,4371.87
2018-12-14,43.0,45.75,38.3,39.65,39.2,9709331.0,4116.96
2018-12-17,39.2,39.8,36.7,37.1,37.1,3885347.0,1468.21
2018-12-18,37.15,40.8,35.5,40.8,40.65,7368866.0,2887.98
2018-12-19,42.25,42.3,39.25,40.3,40.5,5665415.0,2300.47
2018-12-20,40.3,41.8,39.6,40.95,40.9,2618204.0,1069.06
2018-12-21,41.4,41.4,39.5,40.5,40.35,2314408.0,932.78
2018-12-24,40.4,40.6,39.5,39.7,39.6,896467.0,357.26
2018-12-26,39.4,39.65,38.1,38.4,38.6,1494585.0,575.95
2018-12-27,39.25,39.45,36.1,38.0,37.85,1390538.0,530.37
2018-12-28,39.35,40.65,38.35,39.3,39.25,2084575.0,824.52
2018-12-31,39.9,40.15,39.5,39.75,39.65,1225418.0,487.05
2019-01-01,39.6,41.4,38.55,40.15,39.95,1171246.0,466.52
2019-01-02,39.4,40.2,37.6,38.65,38.65,1633317.0,636.14
2019-01-03,38.65,38.65,37.5,37.65,37.7,1229328.0,466.9
2019-01-04,37.8,38.2,37.1,37.75,37.5,1293624.0,486.25
