Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-05-09,115.05,120.0,110.5,110.5,111.0,1253983.0,1406.46
2012-05-10,113.0,116.55,105.5,116.55,116.55,78803.0,91.18
2012-05-11,121.5,122.35,116.0,119.0,119.85,388535.0,465.8
2012-05-14,117.25,118.0,113.9,113.9,113.9,43129.0,49.86
2012-05-15,110.0,114.5,108.25,110.6,111.3,9312.0,10.41
2012-05-16,111.0,111.5,105.75,106.0,105.85,44659.0,47.4
2012-05-17,110.0,111.1,108.5,111.1,111.1,5447.0,6.03
2012-05-18,110.0,116.65,110.0,115.05,116.3,47051.0,54.39
2012-05-21,114.0,120.25,114.0,118.1,119.05,27152.0,32.14
2012-05-22,119.0,122.0,116.0,119.1,118.8,53707.0,64.58
2012-05-23,116.0,122.0,110.0,118.0,117.55,103993.0,124.26
2012-05-24,117.5,118.0,115.65,117.3,117.0,34185.0,39.99
2012-05-25,117.9,117.9,115.0,116.0,116.45,25050.0,29.2
2012-05-28,115.65,122.0,115.65,119.0,118.65,29046.0,34.83
2012-05-29,118.55,120.95,115.35,115.35,116.55,11267.0,13.28
2012-05-30,117.0,117.0,114.5,115.5,114.75,5577.0,6.41
2012-05-31,114.05,116.5,110.1,111.1,112.25,18043.0,20.47
2012-06-01,107.0,112.8,105.05,106.25,107.2,18974.0,20.39
2012-06-04,109.9,109.9,103.55,105.9,105.9,7819.0,8.23
2012-06-05,106.05,116.0,106.05,108.8,109.9,47829.0,52.29
2012-06-06,112.45,116.9,110.65,112.35,113.65,70017.0,79.42
2012-06-07,115.9,115.95,110.2,113.0,112.4,29957.0,34.22
2012-06-08,114.0,114.0,108.95,108.95,109.95,25423.0,28.07
2012-06-11,110.0,110.95,108.0,110.0,110.0,13880.0,15.26
2012-06-12,108.05,111.3,107.0,111.0,110.65,9305.0,10.22
2012-06-13,110.0,114.4,109.0,110.2,110.2,13064.0,14.62
2012-06-14,110.5,110.5,107.05,108.0,107.75,6977.0,7.61
2012-06-15,109.95,109.95,108.0,108.5,108.05,3584.0,3.88
2012-06-18,111.5,111.9,108.15,108.5,108.5,12543.0,13.82
2012-06-19,111.75,111.75,106.5,107.5,107.1,9267.0,10.03
2012-06-20,108.0,109.5,107.9,108.5,108.8,4600.0,4.99
2012-06-21,108.0,110.5,108.0,108.75,109.05,3707.0,4.05
2012-06-22,109.85,110.0,108.0,108.0,108.95,19373.0,20.99
2012-06-25,109.95,110.5,108.0,108.95,108.15,43900.0,47.76
2012-06-26,104.35,109.4,104.35,108.0,108.0,9126.0,9.8
2012-06-27,109.0,109.75,107.4,107.5,107.65,3584.0,3.89
2012-06-28,108.7,112.0,106.05,107.0,107.5,35239.0,38.36
2012-06-29,107.55,111.0,103.0,107.95,107.3,17706.0,19.09
2012-07-02,107.0,119.0,105.55,113.75,113.55,299013.0,346.04
2012-07-03,114.75,118.5,113.0,113.5,113.5,70011.0,80.74
2012-07-04,112.25,115.0,111.1,111.5,111.5,20956.0,23.63
2012-07-05,113.0,116.0,110.05,114.05,114.45,37303.0,42.65
2012-07-06,113.95,120.95,113.0,120.65,119.35,288341.0,342.87
2012-07-09,114.4,117.1,108.0,111.6,111.7,384638.0,426.75
2012-07-10,112.0,116.5,111.55,112.0,112.05,144093.0,164.63
2012-07-11,111.2,113.55,110.0,110.05,110.55,86112.0,95.77
2012-07-12,110.0,112.75,109.75,110.75,110.6,14103.0,15.55
2012-07-13,110.95,113.0,108.5,109.5,109.85,21914.0,24.14
2012-07-16,110.3,110.5,108.0,108.5,108.2,8542.0,9.31
2012-07-17,109.0,109.65,106.0,106.5,106.8,20022.0,21.58
2012-07-18,108.65,108.65,106.0,106.2,106.8,3697.0,3.95
2012-07-19,104.1,107.85,104.1,107.45,106.5,13969.0,14.9
2012-07-20,106.5,106.5,105.0,105.0,105.95,3688.0,3.91
2012-07-23,105.0,105.7,104.05,104.05,104.2,10676.0,11.16
2012-07-24,104.1,106.75,103.0,104.3,103.85,4400.0,4.59
2012-07-25,104.0,106.2,102.05,105.15,105.15,19359.0,20.1
2012-07-26,102.55,104.6,102.55,103.25,103.2,19890.0,20.55
2012-07-27,104.0,104.05,100.0,100.2,100.4,14985.0,15.09
2012-07-30,100.5,102.9,99.5,100.4,100.15,28222.0,28.28
2012-07-31,99.0,100.0,95.85,99.5,99.35,17687.0,17.41
2012-08-01,99.0,99.65,97.25,98.95,98.5,25070.0,24.7
2012-08-02,101.95,101.95,96.25,99.0,99.0,299397.0,295.92
2012-08-03,97.05,100.0,97.05,97.8,98.3,43678.0,43.05
2012-08-06,100.9,100.9,95.1,96.5,96.65,29832.0,28.93
2012-08-07,98.95,99.0,94.05,94.05,94.9,82706.0,80.37
2012-08-08,96.45,96.45,92.05,93.0,92.6,62164.0,57.81
2012-08-09,92.0,97.0,92.0,92.0,92.3,54396.0,50.89
2012-08-10,93.6,94.8,91.0,91.25,92.2,7737.0,7.18
2012-08-13,94.4,95.0,91.0,92.25,92.25,27846.0,26.08
2012-08-14,96.0,110.7,92.3,93.1,93.3,235491.0,225.29
2012-08-16,93.0,93.5,88.0,89.0,89.3,27864.0,25.1
2012-08-17,92.0,107.15,89.1,107.15,107.15,1485548.0,1568.2
2012-08-21,113.6,115.9,104.6,108.0,108.35,497621.0,548.65
