Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-04-19,95.0,330.0,95.0,295.0,282.8,8264.0,22.53
2011-04-20,283.0,293.0,268.7,268.7,268.7,676.0,1.84
2011-04-21,255.5,255.5,255.3,255.3,255.3,131.0,0.33
2011-04-25,250.0,250.0,242.55,242.55,242.55,271.0,0.67
2011-04-26,230.45,230.45,230.45,230.45,230.45,62.0,0.14
2011-04-27,218.95,220.1,218.95,218.95,219.95,2106.0,4.62
2011-04-28,209.0,230.95,208.95,230.95,230.95,1030.0,2.29
2011-04-29,229.0,242.5,229.0,242.5,242.5,1921.0,4.65
2011-05-02,240.0,254.0,234.0,240.0,240.0,893.0,2.14
2011-05-03,235.0,242.0,231.05,242.0,237.3,138.0,0.32
2011-05-04,237.8,237.8,220.0,230.9,226.05,583.0,1.32
2011-05-05,220.0,232.4,198.0,201.85,201.65,1026.0,2.16
2011-05-06,200.0,206.05,191.55,201.0,203.35,736.0,1.48
2011-05-09,194.0,198.8,176.5,190.0,189.9,255.0,0.48
2011-05-10,177.0,226.8,177.0,196.0,197.5,1777.0,3.36
2011-05-11,186.0,204.0,180.25,193.95,193.95,701.0,1.35
2011-05-12,215.0,215.0,186.0,193.5,193.5,1043.0,2.07
2011-05-13,215.0,215.0,158.0,191.45,191.2,1012.0,1.96
2011-05-16,188.0,196.0,168.0,178.0,180.4,680.0,1.25
2011-05-17,190.8,198.0,183.0,185.0,185.0,233.0,0.43
2011-05-18,180.0,200.0,178.05,193.15,193.15,741.0,1.45
2011-05-19,185.1,204.0,185.1,199.8,199.8,36.0,0.07
2011-05-20,188.0,194.9,186.35,194.9,194.9,9.0,0.02
2011-05-23,175.0,189.85,175.0,177.3,180.8,101.0,0.18
2011-05-24,180.0,184.0,174.9,181.0,176.0,267.0,0.48
2011-05-25,180.0,187.0,166.0,186.0,182.7,214.0,0.39
2011-05-26,185.0,186.0,180.0,181.0,181.0,18.0,0.03
2011-05-27,173.0,190.0,173.0,180.25,180.25,62.0,0.11
2011-05-30,178.0,216.3,178.0,216.3,216.3,3157.0,6.5
2011-05-31,226.0,245.0,223.0,232.0,235.0,7924.0,18.41
2011-06-01,233.0,234.0,217.25,217.25,223.4,1435.0,3.24
2011-06-02,217.0,222.0,210.0,217.0,216.4,538.0,1.17
2011-06-03,215.0,227.6,207.0,220.0,218.7,1438.0,3.14
2011-06-06,209.05,222.0,209.05,212.0,212.75,501.0,1.1
2011-06-07,190.0,218.25,190.0,207.45,207.45,672.0,1.36
2011-06-08,198.0,208.8,193.05,197.0,197.15,1756.0,3.52
2011-06-09,191.65,199.95,188.1,195.0,191.5,2028.0,3.94
2011-06-10,197.4,197.4,190.1,192.0,192.9,1064.0,2.04
2011-06-13,195.0,202.95,188.1,188.1,188.1,663.0,1.26
2011-06-14,190.0,195.0,190.0,195.0,195.0,72.0,0.14
2011-06-15,199.0,207.0,191.2,199.0,192.1,859.0,1.67
2011-06-16,200.0,215.0,183.0,204.0,201.85,2046.0,3.96
2011-06-17,194.65,205.0,194.65,196.0,199.85,700.0,1.4
2011-06-20,196.0,205.0,182.0,182.0,189.05,1174.0,2.28
2011-06-21,183.4,197.0,183.4,190.0,190.15,1534.0,2.95
2011-06-22,191.8,194.5,184.5,192.0,190.15,1240.0,2.36
2011-06-23,186.1,189.0,180.0,189.0,189.0,728.0,1.33
2011-06-24,185.25,193.45,185.0,190.0,190.9,612.0,1.16
2011-06-27,184.2,199.9,184.2,187.0,187.0,105.0,0.2
2011-06-28,186.0,189.0,184.15,185.5,185.45,165.0,0.31
2011-06-29,185.45,194.5,184.2,185.3,185.55,564.0,1.05
2011-06-30,186.05,193.0,186.05,193.0,190.65,379.0,0.72
2011-07-01,198.0,198.0,182.2,189.95,189.8,548.0,1.03
2011-07-04,185.05,194.25,185.05,188.25,189.1,213.0,0.4
2011-07-05,189.0,193.5,185.0,188.0,188.0,876.0,1.65
2011-07-06,208.0,208.0,180.3,193.0,193.4,398.0,0.76
2011-07-07,189.0,200.0,189.0,197.95,194.85,315.0,0.62
2011-07-08,185.15,194.8,185.0,185.0,187.15,418.0,0.79
2011-07-11,205.0,205.0,185.0,188.0,186.7,125.0,0.24
2011-07-12,190.0,199.0,183.5,189.7,189.7,70.0,0.13
2011-07-13,190.0,192.0,187.0,187.2,187.2,136.0,0.26
2011-07-14,185.45,192.0,185.45,186.15,186.15,114.0,0.22
2011-07-15,170.2,205.0,170.2,190.0,189.95,315.0,0.57
2011-07-18,214.0,214.0,182.3,194.05,195.45,322.0,0.64
2011-07-19,189.1,197.0,189.1,197.0,196.9,225.0,0.44
2011-07-20,210.0,210.0,175.0,195.0,191.3,1286.0,2.41
2011-07-21,194.0,203.7,194.0,197.0,195.85,1212.0,2.38
2011-07-22,204.0,207.0,195.05,199.0,201.45,823.0,1.66
2011-07-25,189.1,198.95,189.1,190.55,191.5,1985.0,3.8
2011-07-26,183.6,198.9,183.6,198.6,198.0,210.0,0.41
2011-07-27,192.0,198.5,185.0,198.5,198.5,1207.0,2.36
2011-07-28,198.0,202.7,190.0,197.0,192.15,1121.0,2.2
2011-07-29,192.0,200.0,185.2,190.1,191.2,697.0,1.36
2011-08-01,192.0,210.0,192.0,203.0,203.5,11090.0,22.88
2011-08-02,195.0,203.0,183.3,189.9,190.0,399.0,0.76
2011-08-03,181.0,198.0,181.0,195.0,189.0,64.0,0.12
2011-08-04,194.0,194.0,183.1,184.05,189.1,593.0,1.12
2011-08-05,181.0,187.0,169.0,173.35,174.4,473.0,0.83
2011-08-08,174.0,178.0,140.0,173.45,173.45,185.0,0.3
2011-08-09,157.3,175.0,157.3,170.8,171.2,4703.0,8.01
2011-08-10,163.0,201.0,163.0,190.0,187.8,2941.0,5.3
2011-08-11,178.2,180.5,176.5,177.1,176.95,357.0,0.64
2011-08-12,181.0,187.0,176.25,177.5,184.8,165.0,0.3
2011-08-16,187.65,187.65,167.0,180.0,181.9,1205.0,2.17
2011-08-17,170.15,185.0,169.95,170.0,170.15,1023.0,1.79
2011-08-18,165.25,170.0,153.55,153.55,154.85,637.0,1.03
2011-08-19,153.0,180.0,151.0,151.0,151.15,406.0,0.63
2011-08-22,176.0,176.0,154.05,168.95,168.95,135.0,0.22
2011-08-23,184.8,184.8,160.0,173.95,173.95,344.0,0.62
2011-08-24,180.8,183.95,170.0,170.0,172.15,348.0,0.61
2011-08-25,179.95,179.95,164.0,166.0,166.0,72.0,0.12
2011-08-26,167.0,176.0,161.3,162.2,165.2,1060.0,1.82
2011-08-29,158.0,175.65,158.0,168.0,168.0,63.0,0.1
2011-08-30,164.05,168.05,164.05,168.05,168.05,32.0,0.05
2011-09-02,175.0,179.95,170.0,170.0,171.75,367.0,0.63
2011-09-05,163.55,173.95,163.55,167.0,167.95,64.0,0.11
2011-09-06,167.7,170.0,167.0,170.0,170.0,40.0,0.07
2011-09-07,163.0,173.0,163.0,173.0,173.0,262.0,0.45
2011-09-08,170.0,175.5,167.05,167.05,167.8,212.0,0.36
2011-09-09,175.0,175.0,166.55,166.55,166.55,55.0,0.09
2011-09-12,159.0,175.0,159.0,165.0,165.0,342.0,0.57
2011-09-13,185.95,185.95,161.2,167.0,166.7,299.0,0.51
2011-09-14,167.2,167.2,161.3,165.05,165.05,499.0,0.83
2011-09-15,165.75,170.0,165.75,170.0,170.0,130.0,0.22
2011-09-16,170.0,173.0,167.55,172.0,172.0,294.0,0.5
2011-09-19,171.0,175.0,165.05,175.0,175.0,63.0,0.11
2011-09-20,168.35,184.85,168.1,168.1,169.8,457.0,0.78
2011-09-21,168.1,172.6,168.1,172.45,171.95,122.0,0.21
2011-09-22,170.2,175.0,166.0,170.0,166.65,391.0,0.65
2011-09-23,165.0,174.0,158.25,159.1,159.8,577.0,0.94
2011-09-26,157.0,170.85,157.0,157.0,157.0,186.0,0.29
2011-09-27,157.0,158.0,157.0,157.2,157.95,128.0,0.2
2011-09-28,152.1,165.0,152.1,165.0,165.0,29.0,0.05
2011-09-29,161.0,165.0,155.0,156.0,159.65,214.0,0.35
2011-09-30,158.55,162.95,155.0,159.0,157.05,632.0,0.99
2011-10-03,150.05,162.95,150.05,159.95,157.5,67.0,0.1
2011-10-04,150.1,165.95,150.1,160.0,160.45,325.0,0.52
2011-10-05,158.0,160.0,158.0,160.0,160.0,6.0,0.01
2011-10-07,159.55,160.0,159.55,159.9,159.9,57.0,0.09
2011-10-10,154.2,160.0,154.2,155.0,155.2,225.0,0.36
2011-10-11,155.2,157.1,155.2,157.1,157.05,31.0,0.05
2011-10-12,156.2,160.0,156.2,157.1,157.3,124.0,0.2
2011-10-13,159.35,170.0,156.0,164.9,164.9,158.0,0.26
2011-10-14,169.5,169.5,169.5,169.5,169.5,15.0,0.03
2011-10-17,160.2,160.3,159.0,159.0,159.9,208.0,0.33
2011-10-18,159.0,159.0,159.0,159.0,159.0,100.0,0.16
2011-10-19,160.5,173.0,160.5,161.35,161.35,147.0,0.25
2011-10-20,161.1,175.0,159.5,167.0,166.8,86.0,0.14
2011-10-21,159.2,184.0,159.0,176.4,174.7,1059.0,1.81
2011-10-24,164.0,164.0,164.0,164.0,164.0,25.0,0.04
2011-10-25,154.75,159.95,154.75,157.0,157.3,300.0,0.47
2011-10-26,165.0,165.0,160.0,160.0,162.1,24.0,0.04
2011-10-28,155.0,165.0,155.0,160.0,160.0,523.0,0.85
2011-10-31,162.0,162.0,161.0,161.0,161.0,42.0,0.07
2011-11-01,165.0,185.0,165.0,170.0,170.0,53.0,0.09
2011-11-02,160.0,170.0,159.0,162.55,162.55,245.0,0.41
2011-11-03,162.5,162.5,156.0,159.0,159.0,237.0,0.38
2011-11-04,156.0,175.4,156.0,162.4,162.4,227.0,0.37
2011-11-08,157.05,176.0,157.05,164.05,164.05,61.0,0.1
2011-11-09,164.05,172.8,155.0,160.0,159.85,978.0,1.63
2011-11-11,155.0,166.4,152.1,158.0,158.0,1683.0,2.66
2011-11-14,153.0,168.0,151.3,151.3,162.85,7154.0,11.49
2011-11-15,159.0,159.0,150.0,150.0,151.55,601.0,0.91
2011-11-16,145.0,150.0,137.15,142.0,142.55,252.0,0.36
2011-11-17,144.0,144.0,130.0,131.0,132.8,80.0,0.11
2011-11-18,130.0,139.0,130.0,134.8,136.8,26.0,0.04
2011-11-21,126.3,131.0,126.3,131.0,131.0,43.0,0.06
2011-11-22,128.55,137.0,128.55,129.0,128.6,6513.0,8.66
2011-11-23,129.0,129.0,123.05,123.2,123.2,62.0,0.08
2011-11-24,121.0,128.8,119.0,123.9,123.9,385.0,0.49
2011-11-25,116.5,139.0,116.5,120.0,122.3,236.0,0.31
2011-11-28,140.9,140.9,128.5,128.5,128.5,308.0,0.41
2011-11-29,130.0,137.0,130.0,137.0,137.0,156.0,0.2
2011-11-30,131.0,138.6,121.45,138.0,138.0,165.0,0.21
2011-12-01,142.75,142.75,126.2,126.2,126.2,189.0,0.24
2011-12-02,148.5,149.9,127.2,135.0,135.0,289.0,0.41
2011-12-05,131.0,144.9,125.15,131.0,131.0,8111.0,11.15
2011-12-07,131.05,131.05,131.0,131.0,131.05,156.0,0.2
2011-12-08,126.0,133.85,120.0,120.0,123.15,490.0,0.61
2011-12-09,134.0,134.0,123.0,123.0,123.0,1457.0,1.89
2011-12-12,123.0,135.0,119.1,119.1,119.1,100.0,0.13
2011-12-13,133.8,133.8,119.0,119.0,119.0,70.0,0.09
2011-12-14,115.0,134.95,100.0,132.0,132.15,50.0,0.06
2011-12-15,125.0,125.0,115.3,115.3,117.85,28.0,0.03
2011-12-16,115.0,132.0,115.0,132.0,122.15,7085.0,8.78
2011-12-19,116.0,129.0,106.0,119.0,119.9,343.0,0.43
2011-12-20,108.2,126.0,108.2,111.5,111.35,118.0,0.13
2011-12-21,113.0,124.8,110.0,124.8,122.5,122.0,0.14
2011-12-22,115.0,128.0,113.4,128.0,120.7,49.0,0.06
2011-12-23,115.0,126.85,115.0,126.0,122.0,63.0,0.08
2011-12-26,116.0,134.0,104.1,133.85,133.65,38.0,0.05
2011-12-27,128.0,134.0,118.55,120.0,120.0,30.0,0.04
2011-12-28,130.0,131.0,117.25,131.0,131.0,34.0,0.04
2011-12-29,125.0,133.0,119.15,133.0,127.1,85.0,0.11
2011-12-30,125.35,134.7,125.35,134.7,134.7,177.0,0.23
2012-01-02,132.0,134.0,125.0,134.0,131.05,188.0,0.25
2012-01-03,134.0,136.0,129.55,136.0,135.0,70.0,0.09
2012-01-04,138.0,148.0,127.0,127.05,127.05,46.0,0.06
2012-01-05,128.0,128.0,128.0,128.0,128.0,7.0,0.01
2012-01-09,140.0,152.7,127.0,128.6,128.45,715.0,0.97
2012-01-10,130.6,130.7,130.6,130.7,130.7,16.0,0.02
2012-01-11,130.0,145.65,128.05,130.15,130.15,209.0,0.28
2012-01-12,131.0,138.0,130.1,130.1,130.4,75.0,0.1
2012-01-13,131.0,139.95,130.2,130.2,130.2,24.0,0.03
2012-01-16,144.6,144.6,121.2,130.25,131.25,344.0,0.46
2012-01-17,129.2,138.8,127.15,128.0,128.6,196.0,0.26
2012-01-18,123.0,145.0,123.0,140.55,139.45,322.0,0.44
2012-01-19,122.35,149.0,122.35,148.8,145.7,489.0,0.69
2012-01-20,140.0,150.0,135.05,135.05,137.25,78.0,0.11
2012-01-23,131.15,153.0,131.15,141.1,141.85,1285.0,1.9
2012-01-24,135.0,156.0,135.0,151.4,151.1,778.0,1.17
2012-01-25,144.5,144.5,140.15,140.25,140.25,24.0,0.03
2012-01-27,150.0,158.0,144.1,144.1,148.25,433.0,0.66
2012-01-30,145.0,150.0,145.0,150.0,149.25,172.0,0.26
2012-01-31,144.45,153.0,143.3,152.0,144.4,314.0,0.46
2012-02-01,149.0,153.4,142.2,152.45,152.45,80.0,0.12
2012-02-02,143.0,154.0,143.0,146.3,148.7,479.0,0.71
2012-02-03,139.2,139.2,139.2,139.2,139.2,5.0,0.01
2012-02-06,139.2,156.95,139.2,147.0,148.9,1125.0,1.71
2012-02-07,141.0,148.8,130.75,136.0,133.15,1323.0,1.79
2012-02-08,142.0,142.0,126.0,132.0,129.05,9174.0,12.07
2012-02-09,125.3,141.0,125.3,141.0,140.85,1305.0,1.77
2012-02-10,132.5,140.0,132.5,135.15,135.15,359.0,0.49
2012-02-13,132.25,138.15,130.65,130.65,130.75,88.0,0.12
2012-02-14,127.2,130.3,127.2,130.05,130.15,156.0,0.2
2012-02-15,131.0,138.0,131.0,133.5,133.7,337.0,0.45
2012-02-16,133.0,138.0,130.25,131.6,131.65,468.0,0.62
2012-02-17,132.0,142.0,129.15,134.35,134.35,382.0,0.51
2012-02-21,130.0,144.0,130.0,136.55,136.5,819.0,1.14
2012-02-22,131.5,137.0,131.5,133.0,133.9,3671.0,4.91
2012-02-23,139.85,139.9,132.25,134.3,135.05,673.0,0.93
2012-02-24,136.0,141.8,128.0,141.8,141.8,471.0,0.63
2012-02-27,137.0,137.95,133.0,133.0,133.0,354.0,0.47
2012-02-28,132.0,154.0,130.1,133.5,133.5,513.0,0.69
2012-02-29,133.5,137.4,133.05,133.05,133.05,322.0,0.43
2012-03-01,133.05,137.8,133.05,134.25,135.6,405.0,0.55
2012-03-02,138.8,139.0,131.05,132.05,132.05,805.0,1.09
2012-03-03,129.0,136.0,128.0,135.0,135.0,11.0,0.01
2012-03-05,130.0,135.0,128.75,128.75,133.0,998.0,1.33
2012-03-06,129.05,131.45,120.3,131.0,131.0,949.0,1.22
2012-03-07,126.55,134.2,126.55,130.0,130.0,101.0,0.13
2012-03-09,132.0,132.0,132.0,132.0,132.0,60.0,0.08
2012-03-12,130.85,132.95,127.6,130.0,130.0,1089.0,1.42
2012-03-13,130.0,131.0,127.05,129.0,129.0,245.0,0.32
2012-03-14,125.15,129.9,125.15,129.9,129.05,98.0,0.13
2012-03-15,130.0,130.0,128.0,130.0,130.0,660.0,0.86
2012-03-16,125.0,125.05,125.0,125.05,125.05,25.0,0.03
2012-03-19,119.0,132.95,119.0,132.95,132.95,200.0,0.25
2012-03-20,130.0,136.9,126.1,128.0,128.1,216.0,0.29
2012-03-21,124.2,131.85,124.2,126.3,126.3,130.0,0.17
2012-03-22,128.0,137.65,125.05,137.65,137.65,602.0,0.77
2012-03-23,132.0,132.0,126.65,128.6,128.6,147.0,0.19
2012-03-26,130.0,130.0,124.0,124.25,124.25,227.0,0.29
2012-03-27,124.1,129.0,124.1,124.15,124.15,70.0,0.09
2012-03-28,116.4,117.15,112.6,112.7,113.0,381.0,0.44
2012-03-29,108.0,129.7,108.0,116.0,116.0,166.0,0.2
2012-03-30,115.0,129.9,115.0,117.25,118.15,352.0,0.42
2012-04-02,120.0,121.0,117.0,117.2,117.2,163.0,0.2
2012-04-03,127.4,127.5,124.9,127.5,125.95,389.0,0.49
2012-04-04,118.6,126.8,118.6,123.0,123.0,814.0,0.99
2012-04-09,130.0,130.0,115.5,123.0,125.0,279.0,0.34
2012-04-10,125.0,125.0,121.1,123.0,123.0,117.0,0.15
2012-04-11,124.0,132.0,124.0,129.75,129.4,1132.0,1.42
2012-04-12,134.0,155.25,133.0,147.5,148.65,16841.0,25.67
2012-04-13,137.35,142.0,137.0,137.0,137.0,525.0,0.73
2012-04-16,133.05,139.9,130.05,130.05,130.6,778.0,1.04
2012-04-17,125.0,136.0,125.0,129.0,129.6,261.0,0.34
2012-04-18,125.5,135.0,125.5,133.0,133.0,542.0,0.7
2012-04-19,134.9,142.0,131.15,131.5,131.25,190.0,0.26
2012-04-20,131.5,136.0,131.5,131.8,131.8,386.0,0.51
2012-04-23,129.0,136.0,126.6,126.7,131.35,36.0,0.05
2012-04-24,127.0,143.4,127.0,132.0,132.0,367.0,0.48
2012-04-25,125.4,141.9,125.4,132.0,132.0,139.0,0.19
2012-04-26,128.5,134.8,128.5,131.0,131.0,199.0,0.26
2012-04-27,128.65,147.0,127.45,138.0,137.05,213.0,0.3
2012-04-28,125.3,130.0,125.3,126.5,128.25,8.0,0.01
2012-04-30,125.1,138.8,125.1,129.0,129.0,178.0,0.24
2012-05-02,130.0,139.0,127.0,133.05,133.05,629.0,0.84
2012-05-03,133.05,140.95,133.0,133.0,133.5,254.0,0.34
2012-05-04,126.25,130.8,126.25,127.5,127.5,725.0,0.93
2012-05-07,122.75,129.7,122.75,129.5,129.5,249.0,0.32
2012-05-08,139.9,139.9,127.5,127.5,127.5,30.0,0.04
2012-05-09,125.85,134.0,125.1,129.0,129.0,1303.0,1.71
2012-05-10,126.05,127.0,123.5,124.0,126.6,303.0,0.38
2012-05-11,136.95,136.95,117.15,117.7,119.75,786.0,0.96
