Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-12-15,369.25,387.7,350.8,354.0,351.95,124002.0,453.39
2016-12-16,355.05,356.0,334.4,345.0,346.9,44145.0,152.38
2016-12-19,342.0,342.15,329.6,330.0,330.1,33427.0,111.64
2016-12-20,316.1,340.0,313.6,315.0,314.7,17598.0,56.17
2016-12-21,315.5,316.0,299.0,299.0,299.05,38020.0,114.47
2016-12-22,286.35,295.0,284.1,284.1,284.1,19595.0,55.9
2016-12-23,294.0,294.0,277.0,285.0,285.55,12127.0,34.74
2016-12-26,295.9,295.9,271.3,273.25,271.45,19557.0,53.98
2016-12-27,283.95,285.0,268.5,285.0,283.4,20260.0,55.64
2016-12-28,296.8,297.55,294.75,297.55,296.75,81821.0,243.21
2016-12-29,306.45,327.0,296.55,298.5,299.25,203934.0,638.08
2016-12-30,297.0,304.7,287.0,291.0,289.35,30651.0,89.48
2017-01-02,285.0,302.45,281.5,294.0,295.35,28863.0,84.31
2017-01-03,298.9,304.5,291.0,296.9,296.05,20565.0,61.52
2017-01-04,296.5,300.0,291.25,291.85,292.45,29606.0,87.08
2017-01-05,293.2,295.5,291.5,291.5,293.0,11956.0,35.03
2017-01-06,291.2,298.1,291.2,293.8,293.1,10357.0,30.5
2017-01-09,291.0,294.0,289.05,290.15,290.7,6321.0,18.41
2017-01-10,290.1,295.0,289.5,290.7,290.45,15969.0,46.63
2017-01-11,287.0,292.95,285.0,287.0,287.7,11846.0,34.33
2017-01-12,287.0,289.8,285.0,287.95,286.7,10069.0,28.91
2017-01-13,284.0,293.0,284.0,290.6,291.75,8908.0,25.73
2017-01-16,292.0,303.95,288.05,303.0,302.15,22916.0,68.18
2017-01-17,306.0,310.0,300.0,304.5,304.25,15434.0,47.13
2017-01-18,304.25,311.0,304.0,306.95,304.7,10728.0,32.8
2017-01-19,309.0,309.0,294.1,299.95,299.4,9311.0,28.09
2017-01-20,300.0,304.5,291.05,296.95,295.3,8791.0,26.28
2017-01-23,291.05,297.65,291.0,296.0,296.0,6033.0,17.8
2017-01-24,298.0,304.5,296.5,298.0,298.65,9205.0,27.63
2017-01-25,299.95,302.0,295.0,299.0,300.95,11996.0,35.85
2017-01-27,299.95,300.95,293.25,300.0,298.9,15656.0,46.53
2017-01-30,293.1,301.85,293.1,293.3,294.8,6940.0,20.56
2017-01-31,293.95,313.2,280.0,303.5,304.6,49106.0,148.03
2017-02-01,300.1,308.45,291.0,300.0,299.95,14414.0,43.33
2017-02-02,302.0,303.95,296.0,298.35,298.9,13401.0,40.14
2017-02-03,297.95,309.75,294.0,301.0,301.45,19777.0,59.45
2017-02-06,301.1,316.85,296.0,308.05,310.95,36527.0,113.47
2017-02-07,309.05,315.0,305.05,311.0,312.75,21804.0,67.81
2017-02-08,311.75,315.75,307.0,313.75,311.65,8707.0,27.16
2017-02-09,311.0,311.0,303.1,310.9,307.7,14474.0,44.36
2017-02-10,306.0,308.95,301.2,307.0,307.55,16108.0,49.25
2017-02-13,304.0,307.35,301.0,301.3,302.55,12838.0,38.91
2017-02-14,302.0,306.5,297.15,301.0,300.35,14614.0,43.92
2017-02-15,299.9,299.9,292.05,293.1,294.65,12853.0,37.97
2017-02-16,293.55,298.85,291.5,297.0,296.75,9239.0,27.3
2017-02-17,298.0,300.0,294.25,296.0,295.9,7612.0,22.58
2017-02-20,299.0,299.95,293.3,295.0,295.05,10613.0,31.38
2017-02-21,296.2,296.2,291.5,295.0,294.95,21642.0,63.67
2017-02-22,295.0,297.0,291.1,292.05,292.0,11614.0,34.12
2017-02-23,291.0,297.0,287.0,292.5,292.5,12721.0,37.11
2017-02-27,297.25,297.25,287.25,288.0,291.85,85595.0,249.83
2017-02-28,287.0,305.05,287.0,296.0,296.65,170787.0,505.72
2017-03-01,304.8,312.0,293.05,310.0,307.55,35422.0,107.39
2017-03-02,312.0,312.0,300.1,300.35,301.35,17067.0,52.08
2017-03-03,300.0,307.0,300.0,304.5,305.8,27212.0,82.9
2017-03-06,305.1,313.8,301.85,302.8,305.45,15686.0,47.93
2017-03-07,306.05,306.05,295.35,300.0,299.3,12591.0,37.84
2017-03-08,304.8,311.0,303.25,304.0,304.4,46073.0,141.94
2017-03-09,305.5,307.65,299.5,300.0,301.3,10738.0,32.55
2017-03-10,308.0,308.0,301.0,302.25,302.4,6919.0,20.96
2017-03-14,306.0,314.4,306.0,311.7,310.75,28920.0,89.6
2017-03-15,305.05,372.9,305.05,372.9,372.9,347992.0,1248.0
2017-03-16,402.0,421.0,392.45,404.8,405.4,661282.0,2709.11
2017-03-17,408.0,408.0,382.15,387.0,388.35,128876.0,505.15
2017-03-20,392.25,432.8,392.05,415.1,413.2,389707.0,1626.22
2017-03-21,419.45,419.95,400.0,404.2,405.25,64333.0,263.0
2017-03-22,398.05,421.9,390.2,406.45,407.15,97699.0,397.98
2017-03-23,411.0,434.7,395.0,409.0,409.6,191025.0,798.32
2017-03-24,412.95,419.0,405.0,406.0,406.05,63343.0,260.81
2017-03-27,405.4,421.0,395.1,397.0,398.85,72104.0,295.71
2017-03-28,404.35,411.0,400.0,400.2,401.4,29878.0,120.89
2017-03-29,401.1,410.0,395.0,395.0,396.65,35852.0,144.39
2017-03-30,403.95,405.2,396.0,398.0,398.1,25557.0,102.51
2017-03-31,399.9,411.15,392.65,397.9,397.9,61922.0,249.7
2017-04-03,403.8,407.9,401.95,402.6,402.9,31005.0,125.29
2017-04-05,404.0,411.9,400.0,404.8,402.75,44374.0,179.86
2017-04-06,404.05,407.55,390.1,397.55,397.85,32658.0,130.12
2017-04-07,397.8,410.0,394.05,399.45,397.3,48045.0,193.97
2017-04-10,398.0,403.0,393.3,394.0,395.2,21733.0,86.58
2017-04-11,399.05,401.9,390.05,393.05,394.45,30046.0,119.09
2017-04-12,400.0,405.05,393.0,393.2,394.65,34145.0,136.19
2017-04-13,396.05,402.0,394.0,396.5,396.55,195627.0,775.74
2017-04-17,398.1,398.75,390.2,390.5,391.5,20296.0,79.86
2017-04-18,395.05,441.1,390.15,422.0,420.35,220831.0,933.7
2017-04-19,423.0,443.9,419.0,436.25,437.1,114483.0,496.29
2017-04-20,438.55,445.0,425.0,425.1,426.8,47437.0,205.84
2017-04-21,424.55,430.1,413.0,425.75,424.2,32321.0,136.15
2017-04-24,429.0,485.5,429.0,460.0,460.7,335252.0,1549.89
2017-04-25,464.75,494.4,462.35,494.0,489.0,179451.0,867.94
2017-04-26,494.7,508.7,468.05,475.0,471.5,92083.0,448.31
2017-04-27,477.3,493.3,461.05,481.35,480.9,41057.0,196.39
2017-04-28,481.5,483.05,457.1,465.1,463.5,27940.0,131.55
2017-05-02,473.35,483.85,458.5,465.0,465.15,25097.0,117.89
2017-05-03,480.9,480.9,460.0,461.55,461.85,16168.0,75.27
2017-05-04,462.3,477.0,458.05,462.05,462.0,17291.0,81.02
2017-05-05,469.0,469.95,445.0,450.1,450.95,24036.0,109.08
2017-05-08,454.35,454.9,430.1,434.8,434.85,21788.0,95.92
2017-05-09,436.75,455.0,436.7,452.0,451.2,24533.0,109.63
2017-05-10,452.1,459.75,450.0,452.5,452.65,11621.0,52.84
2017-05-11,453.1,454.05,439.05,443.75,443.5,11660.0,52.14
2017-05-12,443.75,452.75,430.0,445.0,445.4,18349.0,80.45
2017-05-15,448.0,458.9,440.0,444.0,445.05,23671.0,106.43
2017-05-16,435.7,452.75,435.7,451.0,448.35,15719.0,70.41
2017-05-17,445.1,450.95,440.15,443.1,445.3,11773.0,52.6
2017-05-18,447.6,447.6,431.5,434.95,434.15,15741.0,68.83
2017-05-19,437.0,444.0,435.05,438.0,440.05,30575.0,134.2
2017-05-22,444.8,453.9,435.0,442.9,440.85,18128.0,80.58
2017-05-23,435.05,446.0,426.0,435.0,434.15,18611.0,80.82
2017-05-24,433.9,445.0,424.0,430.0,431.35,34013.0,147.28
2017-05-25,428.1,453.0,428.0,447.0,447.05,29994.0,132.92
2017-05-26,440.05,462.9,440.05,459.15,460.15,20513.0,93.7
2017-05-29,465.0,465.0,448.05,455.0,455.0,14492.0,65.9
2017-05-30,455.0,462.9,445.95,462.8,460.0,13224.0,60.5
2017-05-31,460.0,484.0,459.8,471.05,469.75,53279.0,253.24
2017-06-01,465.4,510.9,465.4,480.0,476.6,136060.0,666.36
2017-06-02,479.0,490.0,475.1,477.85,477.0,21340.0,102.88
2017-06-05,481.65,488.7,471.05,482.5,481.25,13768.0,65.95
2017-06-06,482.5,484.45,457.1,462.0,463.35,33882.0,157.41
2017-06-07,463.0,471.65,463.0,470.0,468.2,6090.0,28.5
2017-06-08,471.45,472.9,451.1,458.0,456.15,7703.0,35.62
2017-06-09,454.3,477.0,451.35,457.0,456.8,20784.0,96.42
2017-06-12,457.5,461.3,451.0,458.5,453.9,7970.0,36.25
2017-06-13,460.0,463.0,452.55,459.0,454.55,4956.0,22.55
2017-06-14,450.2,462.8,450.0,460.0,460.95,12579.0,57.19
2017-06-15,460.5,488.0,458.0,484.2,484.2,67146.0,322.0
2017-06-16,488.75,492.0,475.0,485.0,481.4,33934.0,164.4
2017-06-19,488.65,489.9,478.05,484.0,484.15,21400.0,103.56
2017-06-20,481.0,489.0,470.0,484.9,483.05,15596.0,75.21
2017-06-21,486.85,491.95,482.6,487.0,486.55,11922.0,58.02
2017-06-22,491.35,491.35,472.0,472.0,474.3,13398.0,64.24
2017-06-23,479.25,481.0,455.0,459.35,458.4,12152.0,56.05
2017-06-27,460.0,461.95,441.0,445.0,444.9,28325.0,127.28
2017-06-28,436.55,484.0,436.55,478.0,474.25,29747.0,139.51
2017-06-29,480.0,485.1,467.0,471.0,472.25,28805.0,137.21
2017-06-30,469.55,496.45,466.5,491.5,492.85,39459.0,192.69
2017-07-03,494.0,510.0,492.0,494.0,495.5,25850.0,129.2
2017-07-04,495.95,574.9,490.6,560.15,563.0,293678.0,1589.2
2017-07-05,567.0,603.6,563.1,578.0,577.05,191876.0,1124.99
2017-07-06,581.5,584.0,556.05,558.45,561.3,51079.0,293.3
2017-07-07,562.0,578.4,560.1,565.0,565.25,30622.0,175.03
2017-07-10,560.05,667.0,555.1,564.0,563.35,4877.0,27.54
2017-07-11,569.9,569.9,549.4,550.0,550.8,20385.0,113.72
2017-07-12,551.0,587.7,548.15,584.1,583.55,63696.0,365.81
2017-07-13,589.85,592.9,565.1,583.8,583.65,37916.0,220.68
2017-07-14,584.0,584.1,561.5,564.0,563.4,14350.0,81.65
2017-07-17,558.0,577.8,535.0,551.1,548.85,30643.0,168.8
2017-07-18,549.0,560.0,541.5,543.0,543.5,13689.0,75.26
2017-07-19,557.95,557.95,542.05,546.0,544.65,5825.0,31.83
2017-07-20,538.0,558.0,538.0,547.0,550.1,15050.0,82.8
2017-07-21,559.0,576.8,543.45,551.0,555.5,146852.0,837.08
2017-07-24,550.15,558.9,542.0,546.9,545.5,13533.0,74.2
2017-07-25,549.65,563.2,540.2,548.15,551.25,17921.0,98.49
2017-07-26,543.05,557.45,543.0,546.0,548.25,38770.0,212.98
2017-07-27,552.0,573.9,525.15,533.0,534.8,54017.0,296.73
2017-07-28,540.0,548.5,535.0,544.5,545.2,11760.0,63.93
2017-07-31,551.5,554.5,540.0,545.0,550.0,11407.0,62.54
2017-08-01,555.0,559.25,541.4,550.0,550.05,24740.0,136.23
2017-08-02,566.0,570.0,557.0,568.0,565.85,57483.0,324.62
2017-08-03,561.0,581.9,561.0,575.9,577.25,117632.0,675.16
2017-08-04,582.65,582.65,565.1,567.0,568.6,15548.0,88.45
2017-08-07,572.95,575.9,566.5,575.8,573.8,15456.0,88.4
2017-08-08,573.8,579.95,559.05,579.0,574.75,74701.0,428.07
2017-08-09,581.0,581.0,531.55,536.3,535.55,27801.0,153.69
