Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,24.4,24.4,23.1,23.5,23.5,6883.0,1.63
2010-01-05,23.5,24.0,23.45,23.5,23.5,765.0,0.18
2010-01-06,24.6,24.6,23.9,24.1,24.1,4274.0,1.03
2010-01-07,24.0,24.1,23.3,23.3,23.3,2762.0,0.66
2010-01-08,24.5,24.5,23.05,23.05,23.3,3163.0,0.74
2010-01-11,24.25,24.25,22.15,23.25,23.55,4990.0,1.14
2010-01-12,23.4,23.4,22.45,22.45,22.7,3872.0,0.89
2010-01-13,22.55,23.0,21.6,22.0,21.85,6096.0,1.34
2010-01-14,21.35,22.95,21.35,22.95,22.95,9468.0,2.17
2010-01-15,23.55,23.9,22.0,23.5,23.5,10610.0,2.46
2010-01-18,24.65,24.7,22.55,24.7,24.7,26267.0,6.46
2010-01-19,25.9,25.95,24.55,25.35,25.15,11799.0,3.03
2010-01-20,23.95,26.3,23.95,25.15,25.25,3951.0,1.02
2010-01-21,24.55,25.9,24.55,24.7,24.9,7292.0,1.83
2010-01-22,25.8,26.0,23.65,24.5,24.85,14375.0,3.53
2010-01-25,24.1,26.1,24.1,26.1,26.1,25775.0,6.69
2010-01-27,27.45,27.45,25.0,25.7,25.7,6652.0,1.75
2010-01-28,27.0,27.0,24.45,24.45,24.45,1025.0,0.25
2010-01-29,24.3,24.3,23.25,23.5,23.5,5013.0,1.17
2010-02-01,22.35,24.7,22.35,24.1,24.45,2864.0,0.69
2010-02-02,24.5,24.7,23.25,23.3,23.3,2459.0,0.59
2010-02-03,22.2,24.3,22.2,23.55,23.95,2417.0,0.56
2010-02-04,23.0,25.15,22.75,23.0,22.85,3596.0,0.84
2010-02-05,22.0,24.0,21.8,22.1,22.0,7281.0,1.61
2010-02-08,23.05,23.1,22.5,22.6,22.6,1310.0,0.3
2010-02-09,22.0,23.15,22.0,22.25,22.25,98.0,0.02
2010-02-10,23.0,23.0,22.3,23.0,22.95,2380.0,0.54
2010-02-11,23.0,23.0,22.0,22.7,22.7,2032.0,0.46
2010-02-15,22.75,23.25,22.1,22.5,22.7,366640.0,84.39
2010-02-16,23.7,23.85,23.65,23.85,23.8,6010.0,1.43
2010-02-17,24.9,25.0,24.0,25.0,24.95,11501.0,2.86
2010-02-18,25.9,26.2,25.15,26.2,26.2,16947.0,4.41
2010-02-19,26.5,27.55,26.5,27.55,27.55,37863.0,10.4
2010-02-22,28.9,28.95,28.8,28.95,28.95,31785.0,9.2
2010-02-23,30.4,30.4,27.5,27.5,27.5,48264.0,13.93
2010-02-24,26.2,26.9,26.15,26.15,26.15,9644.0,2.52
2010-02-25,25.5,27.45,25.5,26.05,26.45,16904.0,4.53
2010-02-26,27.45,27.65,26.55,27.25,27.05,8437.0,2.29
2010-03-02,27.25,27.9,25.8,26.95,26.95,8832.0,2.36
2010-03-03,25.65,26.8,25.6,26.0,26.0,3331.0,0.86
2010-03-04,25.15,26.75,25.15,25.8,25.8,9696.0,2.53
2010-03-05,25.2,26.4,25.2,25.5,25.5,3307.0,0.86
2010-03-08,26.4,26.4,25.5,25.6,25.7,6224.0,1.61
2010-03-09,25.15,25.5,25.15,25.5,25.5,7446.0,1.89
2010-03-10,24.7,25.5,24.7,24.9,25.25,3525.0,0.88
2010-03-11,24.25,25.75,24.25,24.5,24.6,3349.0,0.84
2010-03-12,23.55,25.5,23.55,24.15,24.05,2876.0,0.7
2010-03-15,24.35,24.8,24.0,24.25,24.35,2020.0,0.49
2010-03-16,26.7,26.8,26.0,26.8,26.8,16643.0,4.44
2010-03-17,27.95,29.45,25.2,26.45,25.95,16854.0,4.65
2010-03-18,25.6,26.7,25.2,25.55,25.7,3173.0,0.81
2010-03-19,24.75,27.0,24.75,25.5,25.5,2108.0,0.54
2010-03-22,27.0,27.0,25.7,26.35,26.85,6585.0,1.75
2010-03-23,27.35,27.35,25.5,25.9,25.55,3537.0,0.91
2010-03-25,24.85,26.2,24.05,25.3,25.3,3190.0,0.81
2010-03-26,24.45,26.1,24.4,25.05,25.05,2588.0,0.66
2010-03-29,25.0,26.7,24.5,24.5,24.6,6591.0,1.68
2010-03-30,24.55,24.9,23.6,24.25,24.3,9520.0,2.32
2010-03-31,24.3,26.75,24.3,25.9,25.75,14044.0,3.66
2010-04-01,26.9,26.95,25.0,26.8,26.15,2129.0,0.55
2010-04-05,26.1,26.5,25.7,25.7,25.7,1753.0,0.46
2010-04-06,25.1,27.3,25.05,26.65,26.55,4654.0,1.23
2010-04-07,26.75,27.0,26.0,26.3,26.3,7490.0,1.97
2010-04-08,27.0,27.0,26.0,26.0,26.0,1768.0,0.47
2010-04-09,28.6,28.6,25.65,25.65,25.85,7766.0,2.04
2010-04-12,26.7,27.0,26.0,27.0,26.8,5751.0,1.54
2010-04-13,27.85,28.5,26.55,28.0,27.8,13889.0,3.82
2010-04-15,28.0,28.4,27.0,27.95,27.4,8055.0,2.22
2010-04-16,28.0,29.85,26.1,27.5,26.95,9115.0,2.45
2010-04-19,25.5,26.5,24.75,26.1,26.2,9928.0,2.53
2010-04-20,26.1,27.25,26.0,26.65,26.4,1357.0,0.36
2010-04-21,26.75,27.95,26.3,26.3,26.7,1490.0,0.4
2010-04-22,25.75,28.0,25.75,27.1,27.45,18377.0,5.09
2010-04-23,26.55,27.8,26.35,26.35,26.45,3750.0,1.01
2010-04-26,26.8,27.2,26.6,27.2,27.2,6480.0,1.73
2010-04-27,27.5,27.5,26.5,26.65,26.55,2600.0,0.7
2010-04-28,25.9,27.0,25.9,26.75,26.7,3830.0,1.01
2010-04-29,25.55,27.0,25.55,26.0,26.1,4324.0,1.14
2010-04-30,26.1,28.0,26.1,26.2,26.3,6726.0,1.78
2010-05-03,25.55,26.0,25.35,25.7,25.7,5901.0,1.52
2010-05-04,26.0,26.0,25.2,25.75,25.6,3579.0,0.91
2010-05-05,24.35,26.25,24.35,25.15,25.15,3570.0,0.9
2010-05-06,24.7,25.2,24.3,24.3,24.65,6204.0,1.53
2010-05-07,24.3,25.3,24.0,24.7,24.35,4108.0,1.0
2010-05-10,24.95,24.95,24.45,24.55,24.55,2011.0,0.49
2010-05-11,24.5,24.85,24.1,24.1,24.25,1804.0,0.44
2010-05-12,24.35,24.4,24.3,24.3,24.3,3325.0,0.81
2010-05-13,24.45,24.65,24.3,24.3,24.45,3264.0,0.8
2010-05-14,23.65,25.35,23.65,24.1,24.15,3456.0,0.84
2010-05-17,23.5,24.25,23.5,23.5,23.65,3669.0,0.87
2010-05-18,23.35,25.25,23.3,24.95,24.15,2384.0,0.57
2010-05-19,23.7,24.0,23.6,23.6,23.6,1885.0,0.45
2010-05-20,23.55,24.0,21.3,22.9,23.15,7477.0,1.73
2010-05-21,23.8,23.8,21.75,21.75,21.85,5310.0,1.17
2010-05-24,22.1,24.95,22.1,22.4,22.35,3062.0,0.69
2010-05-25,22.4,22.95,21.25,21.25,21.45,5525.0,1.21
2010-05-26,21.0,22.9,21.0,22.85,22.2,2118.0,0.46
2010-05-27,21.3,21.8,21.1,21.5,21.5,1358.0,0.29
2010-05-28,23.85,23.85,21.1,22.0,21.7,2752.0,0.6
2010-05-31,21.65,24.0,21.65,23.5,23.25,4219.0,0.99
2010-06-01,24.6,25.25,22.6,22.6,23.1,5208.0,1.26
2010-06-02,22.1,23.0,22.1,22.9,22.75,4124.0,0.94
2010-06-03,22.05,23.0,20.5,22.75,22.75,871.0,0.19
2010-06-04,22.75,23.95,22.2,22.9,22.9,471.0,0.11
2010-06-07,21.0,21.65,20.8,21.5,21.5,7101.0,1.51
2010-06-08,22.5,22.5,21.0,21.0,21.25,9000.0,1.93
2010-06-09,21.9,21.9,20.7,21.25,21.1,8409.0,1.77
2010-06-10,21.0,21.4,20.25,20.85,20.55,1638.0,0.34
2010-06-11,20.8,21.2,20.8,21.05,21.05,2141.0,0.45
2010-06-14,21.1,21.65,21.1,21.65,21.65,1356.0,0.29
2010-06-15,20.75,21.5,20.75,21.25,21.0,5651.0,1.19
2010-06-16,21.8,21.8,20.9,21.05,21.05,2280.0,0.48
2010-06-17,21.85,22.0,21.0,22.0,21.2,1710.0,0.37
2010-06-18,21.15,21.35,21.15,21.35,21.35,267.0,0.06
2010-06-21,21.0,21.5,21.0,21.5,21.5,255.0,0.05
2010-06-22,21.0,21.9,21.0,21.35,21.35,1160.0,0.25
2010-06-23,21.6,22.0,21.4,21.4,21.4,662.0,0.14
2010-06-24,21.9,21.9,21.2,21.3,21.3,2173.0,0.47
2010-06-25,21.5,21.5,21.1,21.1,21.1,543.0,0.11
2010-06-28,22.0,22.3,21.4,21.6,21.6,1310.0,0.29
2010-06-29,21.5,21.75,21.5,21.6,21.6,776.0,0.17
2010-06-30,21.9,21.9,21.35,21.4,21.4,650.0,0.14
2010-07-01,21.2,21.3,21.2,21.2,21.2,1107.0,0.23
2010-07-02,21.9,21.9,21.5,21.5,21.5,3725.0,0.81
2010-07-05,22.0,22.0,21.0,21.0,21.0,1113.0,0.24
2010-07-06,21.05,22.25,21.0,22.05,21.9,6727.0,1.46
2010-07-07,21.95,21.95,21.35,21.8,21.8,1420.0,0.31
2010-07-08,21.45,22.0,21.05,22.0,22.0,1376.0,0.3
2010-07-09,22.0,22.5,21.8,22.5,22.35,2428.0,0.54
2010-07-12,25.25,25.25,22.5,23.0,23.0,5365.0,1.24
2010-07-13,22.8,22.8,22.5,22.75,22.7,2826.0,0.64
2010-07-14,22.85,22.9,22.25,22.25,22.25,1185.0,0.27
2010-07-15,21.6,23.0,21.15,23.0,22.55,7828.0,1.71
2010-07-16,22.1,22.85,21.6,22.15,21.75,8084.0,1.8
2010-07-19,22.2,26.1,22.2,26.1,26.1,118801.0,30.26
2010-07-20,27.35,30.55,26.7,28.6,28.8,364675.0,106.17
2010-07-21,28.7,28.95,27.5,28.45,28.15,46065.0,12.92
2010-07-22,28.3,33.8,28.3,33.8,33.8,440259.0,141.82
2010-07-23,35.8,37.2,35.15,37.2,37.2,685157.0,250.22
2010-07-26,38.1,40.45,37.5,39.55,39.7,314584.0,124.04
