Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-07-16,276.0,307.8,268.0,295.6,296.95,15267045.0,45313.17
2010-07-19,294.4,307.7,292.2,306.0,303.2,3771822.0,11355.8
2010-07-20,306.9,310.9,301.6,303.1,303.8,1881354.0,5773.58
2010-07-21,305.0,306.0,295.0,296.0,296.5,631882.0,1892.55
2010-07-22,295.0,298.0,286.0,292.5,291.6,359828.0,1046.1
2010-07-23,294.25,294.25,281.05,281.2,283.75,154758.0,442.36
2010-07-26,282.1,286.45,272.5,277.0,275.9,262094.0,731.95
2010-07-27,277.4,279.3,273.05,273.4,274.0,59783.0,164.51
2010-07-28,276.9,289.65,271.0,285.55,286.95,210899.0,599.37
2010-07-29,286.0,289.6,282.0,282.0,283.65,41269.0,117.87
2010-07-30,279.25,285.4,273.2,281.05,281.6,65161.0,182.98
2010-08-02,282.1,284.9,277.05,280.0,280.7,30889.0,86.69
2010-08-03,280.65,294.45,280.05,291.85,290.25,120494.0,347.26
2010-08-04,290.0,295.3,284.35,284.35,287.2,53865.0,156.49
2010-08-05,289.0,298.9,286.1,292.0,291.65,143061.0,420.66
2010-08-06,289.3,295.5,281.3,286.75,284.0,53042.0,153.04
2010-08-09,289.8,292.0,281.0,281.15,282.05,40383.0,115.16
2010-08-10,285.0,285.3,274.5,278.0,276.9,57233.0,159.95
2010-08-11,278.0,281.4,276.0,276.25,276.55,21704.0,60.24
2010-08-12,278.0,282.95,271.0,273.45,274.75,49683.0,138.08
2010-08-13,283.9,283.9,270.0,270.55,272.3,48034.0,131.47
2010-08-16,272.3,276.5,256.1,263.5,264.7,67202.0,177.49
2010-08-17,265.5,269.0,244.1,259.0,261.25,222885.0,570.02
2010-08-18,264.8,265.0,252.05,253.9,253.2,48125.0,123.5
2010-08-19,258.3,269.0,250.0,264.8,263.35,218354.0,570.5
2010-08-20,255.25,268.0,255.25,266.0,265.6,59078.0,155.73
2010-08-23,272.4,274.3,267.0,268.0,268.25,143928.0,388.29
2010-08-24,269.0,271.95,266.5,267.0,267.05,42965.0,115.58
2010-08-25,266.0,267.95,261.0,261.55,263.3,28871.0,76.11
2010-08-26,265.0,268.0,258.0,258.6,259.2,14855.0,38.79
2010-08-27,264.9,264.9,252.0,253.95,252.9,16620.0,42.65
2010-08-30,255.15,257.8,242.2,242.55,244.4,24859.0,61.74
2010-08-31,241.55,247.0,234.0,241.0,243.3,32584.0,78.54
2010-09-01,246.9,249.8,241.0,248.95,248.4,23226.0,56.82
2010-09-02,250.0,252.0,248.0,248.0,249.15,13321.0,33.27
2010-09-03,247.0,258.0,247.0,253.8,253.45,54775.0,139.56
2010-09-06,255.0,269.0,254.2,259.95,259.7,78713.0,207.76
2010-09-07,261.0,264.0,252.0,256.05,256.05,72445.0,186.16
2010-09-08,258.5,268.0,255.15,262.0,261.4,62215.0,163.76
2010-09-09,261.0,263.95,254.9,255.15,256.15,15667.0,40.36
2010-09-13,261.7,265.7,254.35,255.5,255.8,23624.0,61.07
2010-09-14,260.8,260.8,253.4,255.3,254.55,13256.0,33.89
