Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,24.6,24.95,24.15,24.55,24.6,189713.0,46.78
2010-01-05,24.35,25.15,24.35,24.75,24.75,172489.0,42.96
2010-01-06,24.2,25.65,24.2,24.55,24.6,133174.0,33.04
2010-01-07,24.55,26.5,24.55,25.75,25.65,774547.0,200.23
2010-01-08,25.95,26.2,25.2,25.2,25.3,185411.0,47.59
2010-01-11,24.85,26.25,24.85,25.6,25.55,156427.0,40.17
2010-01-12,25.9,27.2,25.3,25.85,25.9,1058127.0,281.66
2010-01-13,25.85,26.1,25.3,25.85,25.85,182842.0,47.01
2010-01-14,26.25,28.75,25.95,27.65,27.75,3094836.0,863.5
2010-01-15,27.95,30.6,27.4,29.35,29.45,3394150.0,986.74
2010-01-18,30.35,30.9,29.1,29.5,29.4,1324947.0,392.9
2010-01-19,29.65,32.15,29.35,30.95,30.9,3125833.0,969.24
2010-01-20,31.25,33.2,30.6,31.2,31.35,2642736.0,846.21
2010-01-21,31.8,31.8,28.85,29.35,29.35,829281.0,249.52
2010-01-22,28.4,29.9,27.0,28.85,29.0,998481.0,284.0
2010-01-25,29.0,29.75,28.25,28.65,28.5,435650.0,126.2
2010-01-27,28.4,28.85,26.5,26.75,26.9,461116.0,127.93
2010-01-28,27.6,27.7,26.2,26.5,26.5,414552.0,111.69
2010-01-29,26.1,26.65,25.4,26.6,26.4,426367.0,111.05
2010-02-01,26.75,27.75,26.0,27.25,27.2,282131.0,76.9
2010-02-02,28.0,28.5,27.15,27.15,27.2,362182.0,100.78
2010-02-03,27.5,28.3,27.35,27.7,27.7,265338.0,73.6
2010-02-04,27.25,28.0,26.85,27.0,26.95,132850.0,36.38
2010-02-05,25.0,26.3,25.0,25.9,25.7,314408.0,80.67
2010-02-06,26.1,26.3,25.75,26.1,26.1,17375.0,4.54
2010-02-08,27.45,27.5,26.55,26.65,26.85,221253.0,59.81
2010-02-09,27.1,28.4,27.1,28.05,28.0,489076.0,137.36
2010-02-10,28.5,28.8,27.5,27.5,27.65,360449.0,101.7
2010-02-11,27.8,28.8,27.65,27.75,27.75,234197.0,65.96
2010-02-15,28.0,28.2,27.25,27.25,27.35,82665.0,22.93
