Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-05-31,45.0,49.0,45.0,49.0,48.65,4136.0,1.94
2013-06-03,44.2,53.0,44.2,49.5,49.35,1925.0,0.95
2013-06-04,48.0,50.75,46.8,47.0,47.9,1430.0,0.69
2013-06-05,45.1,49.0,45.1,49.0,49.0,2238.0,1.09
2013-06-06,49.75,49.75,46.2,49.0,49.0,1682.0,0.82
2013-06-07,48.0,50.0,48.0,48.5,48.5,6797.0,3.33
2013-06-10,49.0,49.0,47.5,47.5,47.5,889.0,0.43
2013-06-11,45.6,48.05,45.6,46.3,46.25,1991.0,0.94
2013-06-12,44.5,49.0,44.5,48.5,48.5,5685.0,2.7
2013-06-13,47.5,49.5,47.25,49.0,48.1,2663.0,1.3
2013-06-14,46.0,50.0,46.0,49.5,49.5,24074.0,11.73
2013-06-17,50.5,50.5,47.75,47.75,48.65,1172.0,0.58
2013-06-18,49.95,49.95,49.0,49.0,49.2,1472.0,0.73
2013-06-19,48.5,49.5,46.35,47.0,48.45,11234.0,5.44
2013-06-20,45.5,48.75,45.5,48.5,48.1,88277.0,42.64
2013-06-21,49.0,49.5,46.05,49.5,48.85,71614.0,35.06
2013-06-24,48.5,49.85,48.05,48.5,48.4,74745.0,36.46
2013-06-25,48.5,50.0,45.95,49.0,48.65,141068.0,67.34
2013-06-26,48.55,52.25,47.25,47.25,47.25,163488.0,80.12
2013-06-27,49.95,49.95,46.2,46.25,46.25,24670.0,11.72
2013-06-28,48.5,48.5,45.6,47.5,47.5,341.0,0.16
2013-07-01,47.5,48.95,47.5,48.0,48.05,488.0,0.24
2013-07-02,46.0,48.7,46.0,48.7,48.7,4248.0,2.06
2013-07-03,48.5,49.85,46.2,48.0,47.8,1188.0,0.56
2013-07-04,51.85,51.85,45.3,48.45,47.15,578.0,0.27
2013-07-05,45.55,48.3,45.55,46.6,46.6,1305.0,0.62
2013-07-08,48.0,49.0,46.1,47.95,47.9,868.0,0.41
2013-07-09,51.9,51.9,45.35,46.1,46.25,2110.0,0.99
2013-07-10,45.75,48.0,45.75,48.0,48.0,536.0,0.25
2013-07-11,46.35,48.0,46.35,48.0,47.9,811.0,0.39
2013-07-12,51.8,51.8,46.7,48.0,48.25,61826.0,29.68
2013-07-15,49.0,49.9,46.65,46.65,47.1,19872.0,9.59
2013-07-16,45.35,48.0,45.35,46.7,47.95,426.0,0.2
2013-07-17,50.0,50.0,44.15,45.8,45.4,3706.0,1.7
2013-07-18,46.75,47.85,45.8,46.5,46.5,88954.0,41.39
2013-07-19,46.75,50.2,45.75,45.75,45.9,1421.0,0.67
2013-07-22,48.9,48.9,46.0,46.05,46.4,612.0,0.28
2013-07-23,48.75,48.75,46.05,46.05,46.45,536.0,0.25
2013-07-24,49.8,49.8,38.0,41.0,40.2,14984.0,6.24
2013-07-25,41.0,44.0,40.05,42.0,42.7,12402.0,5.29
2013-07-26,42.85,46.5,40.65,46.5,44.5,2538.0,1.11
2013-07-29,48.0,48.0,42.05,43.35,44.8,593.0,0.27
2013-07-30,46.0,46.0,40.1,42.5,43.2,4456.0,1.88
2013-07-31,41.0,45.7,41.0,43.0,44.15,5230.0,2.22
2013-08-01,43.0,44.2,40.7,40.7,42.2,1940.0,0.82
2013-08-02,43.5,49.5,41.25,43.3,44.95,19240.0,8.8
2013-08-05,44.0,47.7,43.1,45.0,45.2,1836.0,0.82
2013-08-06,46.85,46.85,41.8,44.5,43.7,1293.0,0.57
2013-08-07,45.75,45.75,44.0,44.0,44.05,587.0,0.26
2013-08-08,50.0,50.0,43.05,43.05,44.7,415.0,0.18
2013-08-12,44.5,44.5,43.3,44.45,44.45,2478.0,1.1
2013-08-13,47.5,47.5,42.35,43.0,44.15,1591.0,0.7
