Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,45.5,47.05,45.0,47.05,47.05,35949.0,16.58
2010-01-05,49.0,49.4,49.0,49.4,49.4,14521.0,7.16
2010-01-06,51.9,51.9,50.1,51.9,51.9,52577.0,27.14
2010-01-07,54.4,54.5,53.7,54.5,54.5,24799.0,13.51
2010-01-08,57.1,57.2,53.65,54.4,54.1,67878.0,37.88
2010-01-11,55.8,59.55,54.05,59.55,59.55,94317.0,55.29
2010-01-12,63.0,63.0,57.2,57.7,57.9,83975.0,50.64
2010-01-13,59.0,63.7,56.3,63.7,63.7,100115.0,61.93
2010-01-14,66.0,68.25,63.5,65.4,66.05,108192.0,71.38
2010-01-15,68.0,70.5,67.95,69.0,69.05,128842.0,89.31
2010-01-18,69.95,72.0,68.05,68.05,68.4,86257.0,60.6
2010-01-19,66.1,66.1,65.0,65.0,65.0,11619.0,7.55
2010-01-20,61.75,61.75,61.75,61.75,61.75,5455.0,3.37
2010-01-21,58.7,58.7,58.7,58.7,58.7,2796.0,1.64
2010-01-22,55.8,55.8,55.8,55.8,55.8,2279.0,1.27
2010-01-25,53.05,54.9,53.05,53.05,53.05,26510.0,14.2
2010-01-27,50.4,52.9,50.4,50.4,50.4,18609.0,9.41
2010-01-28,49.25,52.95,49.15,50.5,51.25,41978.0,21.73
2010-01-29,52.6,53.85,48.7,53.1,53.7,30311.0,15.79
2010-02-01,54.2,56.3,53.0,55.5,55.65,35047.0,19.35
2010-02-02,57.45,57.95,53.1,53.1,53.45,21169.0,11.7
2010-02-03,55.4,55.4,52.55,52.95,52.8,6796.0,3.62
2010-02-04,55.35,55.35,51.0,51.05,51.4,8384.0,4.42
2010-02-05,50.2,51.0,48.95,50.7,49.3,12275.0,6.12
2010-02-06,50.5,51.2,49.65,50.65,50.65,2124.0,1.07
2010-02-08,49.5,51.65,48.9,50.0,50.25,7694.0,3.87
2010-02-09,50.0,51.5,50.0,50.8,50.25,3514.0,1.78
2010-02-10,50.1,52.8,50.0,51.9,51.2,7420.0,3.85
2010-02-11,50.6,52.1,50.55,51.0,51.15,5185.0,2.65
2010-02-15,51.1,51.2,50.5,51.15,51.05,1977.0,1.01
2010-02-16,51.1,51.1,50.0,50.0,50.2,3412.0,1.72
2010-02-17,51.0,51.95,50.25,50.25,50.3,3035.0,1.54
2010-02-18,50.0,51.15,49.35,50.0,49.65,2176.0,1.09
2010-02-19,48.55,49.5,47.6,48.1,48.15,7335.0,3.55
2010-02-22,49.9,49.9,45.75,46.9,46.2,9494.0,4.44
2010-02-23,47.5,47.75,44.15,45.1,44.95,6772.0,3.1
2010-02-24,45.7,45.7,43.85,44.65,44.7,8266.0,3.71
2010-02-25,45.95,45.95,44.05,44.4,44.6,8936.0,4.02
