Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,50.55,51.45,50.0,50.8,51.05,9759.0,4.97
2010-01-05,50.8,56.25,50.8,54.5,54.8,166829.0,90.99
2010-01-06,56.4,63.0,52.65,59.45,59.8,1242955.0,749.29
2010-01-07,60.05,60.05,55.15,56.25,56.55,143034.0,82.69
2010-01-08,57.0,58.3,55.05,55.4,55.35,75608.0,42.78
2010-01-11,56.4,57.0,54.6,55.6,55.6,40099.0,22.54
2010-01-12,54.1,57.25,54.1,56.0,56.15,42828.0,24.04
2010-01-13,55.2,59.8,55.0,57.25,57.1,261280.0,153.05
2010-01-14,57.0,58.75,56.0,56.6,56.3,25165.0,14.26
2010-01-15,54.55,59.95,54.55,57.1,57.6,174734.0,102.73
2010-01-18,58.0,58.85,56.65,57.25,57.0,40840.0,23.54
2010-01-19,57.75,57.75,56.2,56.2,56.7,29810.0,16.99
2010-01-20,56.15,58.0,55.0,56.4,56.45,36049.0,20.41
2010-01-21,55.0,57.6,54.7,54.85,54.95,31252.0,17.28
2010-01-22,51.5,54.5,51.1,53.7,53.15,41408.0,21.73
2010-01-25,53.0,53.5,51.5,52.3,52.15,15161.0,7.98
2010-01-27,52.5,53.9,48.0,49.0,49.2,21447.0,10.93
2010-01-28,51.8,51.8,47.5,47.6,47.9,36889.0,18.18
2010-01-29,45.2,49.85,45.15,48.0,48.4,15019.0,7.17
2010-02-01,49.0,50.0,47.5,48.55,48.6,46036.0,22.36
2010-02-02,48.7,50.9,47.5,47.6,47.8,92742.0,45.88
2010-02-03,49.0,49.0,47.25,47.55,47.65,46021.0,22.2
2010-02-04,48.0,48.0,46.25,47.0,46.75,24246.0,11.44
2010-02-05,46.0,46.0,43.0,44.3,44.1,26547.0,11.86
2010-02-06,44.25,46.4,44.25,45.35,45.35,10230.0,4.64
2010-02-08,45.1,46.8,44.5,45.85,45.65,15429.0,7.02
2010-02-09,45.5,46.75,44.55,46.75,46.35,6540.0,2.99
2010-02-10,46.5,47.45,45.65,46.4,46.1,12823.0,6.01
2010-02-11,46.35,47.0,45.55,46.25,45.95,4790.0,2.21
2010-02-15,48.2,49.0,47.5,47.5,47.8,54630.0,26.26
2010-02-16,48.6,49.7,48.0,48.8,48.4,275497.0,135.02
2010-02-17,49.45,49.45,47.8,48.0,48.0,27051.0,13.13
2010-02-18,48.25,48.25,46.1,46.65,46.5,16733.0,7.9
2010-02-19,46.45,48.5,45.9,47.1,47.25,80273.0,37.89
2010-02-22,47.5,48.4,45.3,45.65,45.65,26784.0,12.53
2010-02-23,45.0,45.25,44.0,44.1,44.3,10393.0,4.63
2010-02-24,44.0,46.45,44.0,46.0,45.85,25758.0,11.65
2010-02-25,45.5,46.4,45.0,45.1,45.4,19331.0,8.8
2010-02-26,45.5,46.35,44.8,46.25,45.85,13952.0,6.37
2010-03-02,46.4,47.9,46.05,47.8,47.4,20868.0,9.82
2010-03-03,47.5,50.9,46.8,50.7,50.5,300027.0,148.58
2010-03-04,51.5,60.6,51.5,54.25,54.35,1957219.0,1054.41
2010-03-05,55.1,56.2,53.6,54.15,54.2,441559.0,243.01
2010-03-08,55.3,55.3,52.0,52.4,52.2,99312.0,53.09
2010-03-09,51.7,52.65,51.05,51.8,52.0,78914.0,40.98
2010-03-10,51.4,52.45,50.6,51.5,51.55,46379.0,23.89
2010-03-11,51.1,53.55,51.0,52.05,52.1,110359.0,57.96
2010-03-12,51.6,52.4,51.0,51.25,51.35,37922.0,19.63
2010-03-15,51.8,52.75,51.15,52.75,52.25,50139.0,26.09
2010-03-16,52.0,55.5,52.0,55.15,54.8,252017.0,137.49
2010-03-17,55.15,55.15,53.0,53.05,53.2,47203.0,25.46
2010-03-18,53.9,53.9,52.3,53.45,52.8,15517.0,8.21
2010-03-19,53.5,54.6,52.5,53.25,53.25,38623.0,20.66
2010-03-22,51.25,53.9,51.25,52.1,52.05,24690.0,12.92
2010-03-23,52.45,53.0,51.2,51.7,51.8,13538.0,7.04
2010-03-25,52.0,52.95,51.4,51.4,51.5,17748.0,9.19
2010-03-26,51.25,52.4,51.25,51.25,51.4,13737.0,7.13
2010-03-29,51.4,53.5,50.25,51.45,51.8,39773.0,20.74
2010-03-30,52.0,52.65,51.5,52.0,52.0,21504.0,11.21
2010-03-31,52.55,52.55,51.3,52.0,51.7,14626.0,7.55
2010-04-01,52.0,53.2,51.65,53.0,52.9,19424.0,10.19
2010-04-05,52.7,57.5,52.55,54.4,54.4,124313.0,69.12
2010-04-06,55.8,55.8,53.4,53.6,53.6,27606.0,14.95
2010-04-07,54.2,54.2,53.3,53.6,53.6,16575.0,8.92
2010-04-08,53.55,54.15,53.2,53.65,53.45,23839.0,12.78
2010-04-09,53.25,54.1,53.25,53.25,53.4,42433.0,22.81
2010-04-12,54.1,54.1,52.3,52.3,52.45,56171.0,29.75
2010-04-13,52.6,53.0,51.6,51.9,51.9,17138.0,8.99
2010-04-15,52.2,52.5,50.05,50.5,50.75,24080.0,12.45
2010-04-16,50.05,50.5,48.65,49.35,49.75,28943.0,14.39
2010-04-19,49.0,49.5,47.1,47.65,47.7,32483.0,15.58
2010-04-20,47.65,48.25,47.35,47.6,47.55,34378.0,16.45
2010-04-21,47.85,48.5,46.5,47.5,47.75,101514.0,48.36
2010-04-22,48.0,52.7,46.8,47.15,47.05,47854.0,22.82
2010-04-23,47.3,48.0,46.55,46.55,46.85,29531.0,13.93
2010-04-26,48.95,48.95,46.5,46.5,46.6,29674.0,13.92
2010-04-27,47.4,47.4,45.5,45.65,45.7,18058.0,8.37
2010-04-28,46.4,46.4,45.1,45.9,45.7,13043.0,5.94
2010-04-29,46.6,46.8,45.6,46.0,45.85,10080.0,4.63
2010-04-30,47.0,47.0,46.0,46.8,46.45,14607.0,6.81
2010-05-03,45.5,46.45,44.55,44.8,44.9,17782.0,8.08
2010-05-04,45.05,45.45,43.2,43.2,43.65,27289.0,12.07
2010-05-05,43.0,43.8,41.65,43.7,43.15,23619.0,10.06
2010-05-06,42.6,45.75,42.3,44.4,44.3,35315.0,15.71
2010-05-07,43.0,43.75,41.6,42.95,42.3,9722.0,4.14
2010-05-10,42.5,43.9,42.5,42.5,42.6,19380.0,8.31
2010-05-11,43.95,43.95,41.7,42.3,42.15,9221.0,3.93
2010-05-12,41.4,42.8,41.35,41.5,41.95,8807.0,3.69
2010-05-13,42.5,42.85,41.75,42.0,41.95,10984.0,4.64
2010-05-14,41.4,42.0,41.05,41.15,41.55,20045.0,8.34
2010-05-17,41.6,41.6,40.2,41.2,41.2,14517.0,5.93
2010-05-18,39.3,42.45,38.55,41.95,41.55,20257.0,8.31
2010-05-19,40.0,41.45,38.5,38.7,39.05,7803.0,3.1
2010-05-20,40.0,41.45,38.6,39.7,39.15,12497.0,4.9
2010-05-21,38.0,39.0,36.6,38.7,38.7,4683.0,1.79
2010-05-24,40.0,44.9,39.7,42.7,42.4,140877.0,61.08
2010-05-25,41.3,43.45,41.3,42.0,42.3,26637.0,11.33
2010-05-26,42.05,43.5,41.5,42.2,41.8,11494.0,4.82
2010-05-27,43.5,46.4,43.5,44.15,44.55,202061.0,90.65
2010-05-28,45.0,45.3,43.75,44.0,44.15,27463.0,12.25
2010-05-31,43.0,47.9,42.8,46.0,45.65,53875.0,25.03
2010-06-01,46.2,46.65,44.4,46.0,45.6,23457.0,10.78
2010-06-02,46.45,46.45,43.55,45.0,44.85,23907.0,10.67
2010-06-03,46.8,46.8,45.05,46.25,45.7,11807.0,5.36
2010-06-04,45.5,48.9,45.3,48.5,48.15,67542.0,32.06
2010-06-07,50.0,50.0,47.15,49.0,48.95,56547.0,27.62
2010-06-08,49.2,49.9,47.8,48.1,48.1,34154.0,16.61
2010-06-09,48.5,49.35,47.35,49.05,48.9,20817.0,10.11
2010-06-10,49.35,49.8,48.1,49.35,49.45,16870.0,8.28
2010-06-11,50.7,50.7,48.1,48.1,48.45,19180.0,9.41
2010-06-14,48.5,49.25,47.85,48.3,48.45,15774.0,7.66
2010-06-15,48.0,49.4,48.0,48.7,48.5,10161.0,4.93
2010-06-16,48.05,49.2,47.75,49.0,48.45,28855.0,13.94
2010-06-17,48.5,49.35,48.0,48.15,48.4,15888.0,7.72
2010-06-18,48.15,48.4,47.75,48.05,48.1,7519.0,3.62
2010-06-21,48.1,49.3,46.7,48.25,47.9,6659.0,3.19
2010-06-22,47.5,47.9,46.35,47.0,46.85,7764.0,3.65
2010-06-23,46.5,47.45,46.4,47.0,47.15,6357.0,2.98
2010-06-24,46.55,48.45,46.55,47.1,47.5,11279.0,5.4
2010-06-25,47.55,47.95,45.35,47.95,47.0,13766.0,6.46
2010-06-28,46.5,48.95,46.25,48.0,47.65,17510.0,8.32
2010-06-29,47.15,48.75,46.55,47.55,47.65,29620.0,14.18
2010-06-30,47.0,48.45,45.4,47.7,47.7,15701.0,7.43
2010-07-01,47.7,48.3,46.9,47.9,47.7,7146.0,3.38
2010-07-02,47.5,48.45,46.1,46.65,46.7,5841.0,2.74
2010-07-05,46.5,46.5,45.8,45.8,46.05,4240.0,1.96
2010-07-06,46.45,46.95,45.7,46.55,46.5,8176.0,3.78
2010-07-07,46.5,46.5,45.35,45.6,45.7,6574.0,3.01
2010-07-08,45.4,46.8,45.1,45.1,45.2,8119.0,3.71
2010-07-09,45.5,46.45,45.0,45.0,45.05,7347.0,3.32
2010-07-12,46.0,46.3,45.1,45.6,45.25,4765.0,2.17
2010-07-13,45.9,46.05,45.0,45.5,45.8,7539.0,3.44
2010-07-14,46.0,46.7,45.0,45.0,45.1,15001.0,6.83
2010-07-15,45.05,46.65,43.75,45.5,45.4,13547.0,6.23
2010-07-16,45.9,46.4,43.25,45.5,45.3,6145.0,2.78
2010-07-19,45.6,47.5,45.6,46.3,46.05,43459.0,20.18
2010-07-20,47.0,49.3,46.1,46.9,47.2,62326.0,29.88
2010-07-21,47.5,47.5,43.3,46.0,46.2,40626.0,18.48
2010-07-22,46.25,46.8,45.75,46.0,46.0,11733.0,5.41
2010-07-23,46.5,46.8,45.3,46.0,45.85,11232.0,5.15
2010-07-26,44.4,45.65,44.3,44.3,44.65,18992.0,8.55
2010-07-27,44.5,44.8,44.0,44.15,44.15,5382.0,2.39
2010-07-28,44.5,45.0,43.6,44.1,44.0,3745.0,1.65
2010-07-29,43.0,45.0,42.3,43.85,44.05,11484.0,5.11
2010-07-30,43.75,44.85,43.75,44.0,44.1,3306.0,1.47
2010-08-02,44.15,45.15,44.15,44.35,44.6,3584.0,1.6
2010-08-03,44.75,47.5,44.75,45.65,46.05,65258.0,30.35
2010-08-04,45.5,46.0,44.95,45.55,45.55,18575.0,8.47
2010-08-05,45.5,46.85,45.2,45.4,45.45,17045.0,7.86
2010-08-06,45.5,45.9,44.65,44.75,44.75,16958.0,7.64
2010-08-09,44.8,45.4,44.6,44.8,44.8,4029.0,1.81
2010-08-10,45.6,45.75,44.5,44.6,44.6,12080.0,5.43
2010-08-11,44.65,46.0,43.05,43.65,43.75,36097.0,16.1
2010-08-12,44.0,44.0,42.35,43.05,43.1,48117.0,20.65
2010-08-13,43.0,48.7,43.0,45.6,46.05,254121.0,119.59
2010-08-16,46.9,48.0,44.15,44.5,44.3,513368.0,243.29
2010-08-17,45.1,47.8,45.0,46.25,46.15,593072.0,278.93
