Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,84.75,85.75,83.05,83.8,83.9,176353.0,148.97
2010-01-05,84.3,84.3,82.5,83.05,83.2,136848.0,114.22
2010-01-06,83.5,84.4,83.25,83.75,83.45,74592.0,62.55
2010-01-07,83.7,85.2,83.35,83.5,83.65,263664.0,222.54
2010-01-08,84.45,84.75,83.0,83.7,83.6,90736.0,76.02
2010-01-11,83.7,89.1,83.4,87.8,87.75,543604.0,472.28
2010-01-12,89.4,89.4,85.25,85.65,85.5,290306.0,254.29
2010-01-13,85.4,89.25,85.05,88.55,88.45,1192526.0,1036.87
2010-01-14,89.5,89.5,87.1,87.45,87.35,160526.0,142.01
2010-01-15,88.2,88.3,86.1,86.4,86.55,71543.0,62.51
2010-01-18,87.7,92.0,87.7,89.55,89.65,544404.0,491.38
2010-01-19,89.0,90.2,86.6,88.0,87.75,181135.0,160.51
2010-01-20,88.75,93.4,87.5,90.1,90.3,594645.0,540.74
2010-01-21,91.0,91.4,87.05,88.0,88.15,398040.0,355.28
2010-01-22,85.2,86.8,82.0,84.6,84.75,219952.0,185.12
2010-01-25,85.0,85.45,83.55,84.2,84.05,83028.0,70.08
2010-01-27,82.8,84.5,81.95,83.0,83.0,135761.0,113.06
2010-01-28,84.9,85.7,82.6,83.15,83.35,352581.0,298.31
2010-01-29,83.0,84.5,82.0,84.5,84.35,181385.0,150.26
2010-02-01,85.4,85.4,82.9,85.0,84.95,89904.0,76.0
2010-02-02,87.0,87.0,83.8,83.8,84.1,110484.0,93.76
2010-02-03,84.5,85.15,84.05,84.55,84.6,54265.0,45.88
2010-02-04,83.2,85.2,82.5,85.0,84.05,41057.0,34.52
2010-02-05,80.3,83.5,80.3,82.3,82.35,93701.0,77.6
2010-02-06,84.0,84.0,81.75,83.2,83.2,5598.0,4.63
2010-02-08,82.05,83.95,82.05,83.65,83.15,38420.0,31.94
2010-02-09,83.9,84.5,82.4,83.3,83.25,57133.0,47.71
2010-02-10,83.5,84.35,82.0,82.55,82.95,21798.0,18.22
2010-02-11,83.1,85.9,83.1,84.2,83.9,103613.0,87.74
2010-02-15,86.95,86.95,84.05,85.25,85.15,107489.0,91.94
2010-02-16,86.45,86.45,84.1,85.1,85.05,34365.0,29.24
2010-02-17,85.8,86.0,84.75,85.05,85.15,52954.0,45.12
2010-02-18,85.05,85.35,83.1,84.0,84.0,31077.0,26.19
2010-02-19,84.7,84.7,82.5,83.1,82.85,38446.0,31.96
2010-02-22,83.5,84.0,82.15,82.2,82.55,33223.0,27.48
2010-02-23,82.0,82.5,81.0,82.3,82.15,23061.0,18.86
2010-02-24,81.65,82.9,80.25,82.3,82.45,40503.0,33.11
2010-02-25,82.0,82.7,81.35,82.6,82.4,34847.0,28.53
2010-02-26,82.05,85.25,81.35,84.7,85.0,72254.0,60.88
2010-03-02,85.0,85.0,83.6,84.05,84.05,21854.0,18.42
2010-03-03,84.1,86.8,84.0,85.0,84.9,89459.0,76.28
2010-03-04,84.95,85.25,84.05,84.65,84.6,25852.0,21.87
2010-03-05,85.0,85.4,84.25,85.4,85.2,44288.0,37.66
2010-03-08,86.9,88.5,85.4,87.4,87.65,140154.0,122.66
2010-03-09,86.55,87.5,86.2,86.4,86.45,35237.0,30.55
2010-03-10,86.2,87.0,84.7,85.7,85.15,47407.0,40.79
2010-03-11,86.0,86.5,84.8,85.0,85.35,25353.0,21.7
2010-03-12,85.15,86.25,84.5,84.75,84.95,36771.0,31.39
2010-03-15,85.0,85.7,84.1,84.5,84.4,22166.0,18.77
2010-03-16,84.1,86.0,84.1,84.95,84.75,35629.0,30.29
2010-03-17,86.0,86.0,83.1,84.55,84.7,34665.0,29.4
2010-03-18,85.35,85.35,84.0,84.6,84.6,35073.0,29.65
2010-03-19,84.4,85.1,84.0,84.1,84.25,47902.0,40.46
2010-03-22,85.0,85.4,84.1,84.35,84.35,37027.0,31.37
2010-03-23,85.2,85.2,83.7,83.7,83.8,51167.0,43.12
2010-03-25,83.7,84.9,83.7,84.55,84.55,25471.0,21.43
2010-03-26,85.8,89.9,85.0,86.65,86.9,226671.0,198.72
2010-03-29,87.7,93.0,87.2,88.0,88.4,334148.0,301.39
2010-03-30,89.0,92.0,89.0,90.0,89.95,112872.0,102.0
2010-03-31,90.0,91.5,88.55,89.4,89.55,139852.0,125.98
2010-04-01,89.3,91.45,89.3,91.2,90.9,93654.0,85.1
2010-04-05,93.5,93.5,91.0,91.7,92.0,92227.0,84.55
2010-04-06,92.45,94.2,91.3,92.95,93.0,335134.0,312.15
2010-04-07,95.0,96.25,92.5,94.35,94.75,733490.0,696.75
2010-04-08,95.5,96.2,92.0,92.2,92.2,319667.0,302.45
2010-04-09,93.35,103.15,92.9,99.05,99.5,3607730.0,3566.42
2010-04-12,100.85,100.9,96.0,97.7,97.3,721417.0,713.62
2010-04-13,98.0,100.65,96.0,98.65,98.65,472311.0,465.84
2010-04-15,98.1,100.4,97.5,97.55,97.85,342208.0,338.89
2010-04-16,97.9,97.95,95.5,95.75,95.95,149709.0,144.46
2010-04-19,90.95,94.9,90.95,93.6,93.35,184223.0,172.65
2010-04-20,93.65,95.85,93.6,95.45,95.05,210419.0,199.11
2010-04-21,95.5,98.8,95.05,98.15,97.7,179435.0,174.34
2010-04-22,96.3,100.8,96.3,99.15,99.25,392561.0,390.72
2010-04-23,98.25,100.4,97.6,98.6,98.55,77262.0,76.43
2010-04-26,98.25,103.8,98.25,102.1,102.15,401960.0,410.12
2010-04-27,102.95,102.95,99.0,99.5,99.55,103668.0,104.04
2010-04-28,99.0,101.4,98.0,98.85,99.1,140489.0,139.6
2010-04-29,100.0,100.4,98.0,98.75,98.9,57884.0,57.45
2010-04-30,101.95,101.95,98.0,98.9,99.1,125840.0,126.27
2010-05-03,99.0,99.0,95.35,96.0,95.95,308880.0,299.59
2010-05-04,96.3,98.45,95.55,96.25,96.2,86463.0,84.09
2010-05-05,93.8,96.8,93.8,96.2,96.05,280665.0,267.52
2010-05-06,96.1,99.0,95.2,97.1,97.3,126615.0,122.92
2010-05-07,97.0,97.2,93.5,94.9,94.9,180876.0,173.68
2010-05-10,96.6,98.1,96.6,97.7,97.45,87253.0,84.9
2010-05-11,97.5,98.9,96.85,97.0,97.0,130453.0,126.98
2010-05-12,96.1,98.5,96.1,97.15,97.0,65442.0,63.62
2010-05-13,97.9,99.0,97.25,98.2,97.75,38023.0,37.28
2010-05-14,98.0,101.7,96.9,97.05,97.75,580499.0,576.24
2010-05-17,97.5,97.85,96.75,97.75,97.2,95608.0,92.91
2010-05-18,97.65,99.2,97.35,97.35,97.65,70868.0,69.76
2010-05-19,97.0,97.95,96.2,97.0,96.95,133215.0,129.35
