Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,9.05,9.9,9.05,9.9,9.9,3563.0,0.35
2010-01-05,9.7,10.0,9.7,10.0,10.0,250.0,0.02
2010-01-06,9.65,10.2,9.65,9.9,9.9,461.0,0.05
2010-01-07,9.7,10.35,9.65,9.95,10.15,2833.0,0.28
2010-01-11,10.2,10.7,10.0,10.0,10.0,1850.0,0.19
2010-01-12,10.0,10.5,9.9,10.1,10.1,640.0,0.07
2010-01-13,10.5,10.65,10.3,10.45,10.45,2648.0,0.28
2010-01-14,11.0,11.0,11.0,11.0,11.0,420.0,0.05
2010-01-15,11.45,11.55,11.1,11.5,11.5,2247.0,0.25
2010-01-18,11.3,12.0,11.3,12.0,12.0,2100.0,0.25
2010-01-19,12.0,12.0,11.5,11.5,11.6,1102.0,0.13
2010-01-20,11.1,11.35,11.1,11.1,11.1,1651.0,0.19
2010-01-21,11.7,11.7,11.1,11.1,11.1,2610.0,0.3
2010-01-22,11.6,11.6,11.6,11.6,11.6,100.0,0.01
2010-02-01,11.0,11.7,11.0,11.7,11.7,246.0,0.03
2010-02-02,11.25,11.25,11.25,11.25,11.25,235.0,0.03
2010-02-03,10.85,10.85,10.7,10.7,10.7,575.0,0.06
2010-02-04,10.7,10.7,10.7,10.7,10.7,100.0,0.01
2010-02-05,10.95,10.95,10.95,10.95,10.95,31.0,0.0
2010-02-08,10.5,10.5,10.5,10.5,10.5,500.0,0.05
2010-02-09,10.7,10.95,10.7,10.95,10.95,1100.0,0.12
2010-02-11,11.2,11.2,11.2,11.2,11.2,500.0,0.06
2010-02-15,11.0,11.65,10.8,11.4,11.4,1939.0,0.22
2010-02-16,11.0,11.45,11.0,11.45,11.45,137.0,0.02
2010-02-18,11.5,11.5,11.25,11.5,11.45,2800.0,0.32
2010-02-22,11.1,11.1,11.1,11.1,11.1,500.0,0.06
2010-03-02,10.7,10.7,10.7,10.7,10.7,100.0,0.01
2010-03-03,10.6,10.6,10.6,10.6,10.6,199.0,0.02
2010-03-04,10.35,10.95,10.35,10.95,10.9,550.0,0.06
2010-03-05,10.5,10.5,10.5,10.5,10.5,709.0,0.07
2010-03-09,10.05,10.05,10.05,10.05,10.05,1.0,0.0
2010-03-10,9.8,10.65,9.8,10.0,9.8,310.0,0.03
2010-03-11,9.75,9.75,9.75,9.75,9.75,200.0,0.02
2010-03-12,9.85,10.7,9.25,9.7,9.7,424.0,0.04
2010-03-16,10.4,10.55,9.5,10.55,10.4,1014.0,0.11
2010-03-17,11.35,11.4,10.65,10.8,10.8,1136.0,0.13
2010-03-18,10.0,11.3,10.0,11.25,11.25,65.0,0.01
2010-03-19,10.85,11.35,10.7,10.7,10.7,2329.0,0.26
2010-03-22,10.0,10.5,9.75,10.5,10.05,215.0,0.02
2010-03-23,9.55,10.65,9.55,10.0,10.0,13.0,0.0
2010-03-29,9.6,9.9,9.6,9.9,9.9,49.0,0.0
2010-03-30,9.9,10.4,9.5,10.25,10.25,257.0,0.03
2010-03-31,9.7,10.0,9.7,10.0,10.0,1000.0,0.1
2010-04-01,10.75,11.0,10.7,11.0,11.0,2751.0,0.3
2010-04-05,11.5,11.5,11.4,11.45,11.45,210.0,0.02
2010-04-06,10.6,10.9,10.6,10.9,10.9,500.0,0.05
2010-04-07,10.3,11.85,10.3,10.6,10.6,730.0,0.08
2010-04-08,10.6,11.7,10.6,11.55,11.55,477.0,0.05
2010-04-09,12.7,12.7,10.9,10.9,10.9,658.0,0.08
2010-04-12,10.25,12.0,10.25,11.0,11.0,615.0,0.07
2010-04-13,11.85,11.85,11.85,11.85,11.85,8.0,0.0
2010-04-15,10.95,11.7,10.75,10.75,10.95,1050.0,0.11
2010-04-16,10.4,11.25,10.25,11.0,10.55,3595.0,0.38
2010-04-19,10.4,11.0,10.4,11.0,11.0,204.0,0.02
2010-04-20,10.55,10.55,10.55,10.55,10.55,100.0,0.01
2010-04-21,10.55,11.45,10.55,11.3,11.3,1005.0,0.11
2010-04-23,12.0,12.2,11.0,11.9,11.8,1567.0,0.19
2010-04-26,11.1,11.5,11.1,11.5,11.5,501.0,0.06
2010-04-27,12.15,12.15,11.1,11.65,11.65,510.0,0.06
2010-04-28,10.7,12.1,10.7,11.0,11.0,28235.0,3.27
2010-04-29,11.85,11.9,11.15,11.2,11.2,2611.0,0.3
2010-04-30,12.1,12.35,11.25,11.25,11.25,2462.0,0.3
2010-05-03,11.0,11.95,11.0,11.85,11.85,12757.0,1.48
2010-05-05,10.85,11.95,10.8,11.95,11.9,1656.0,0.19
2010-05-06,11.35,11.95,11.35,11.95,11.95,2241.0,0.26
2010-05-07,12.2,12.2,11.2,11.2,11.2,583.0,0.07
2010-05-10,10.95,12.0,10.9,12.0,12.0,2800.0,0.32
2010-05-11,13.45,13.45,11.4,12.2,12.2,600.0,0.08
2010-05-13,13.75,13.75,12.15,12.5,12.45,3646.0,0.45
2010-05-14,11.85,11.85,11.75,11.75,11.8,720.0,0.09
2010-05-17,11.45,13.4,11.45,13.4,13.0,3974.0,0.51
2010-05-18,13.9,14.4,13.35,14.25,14.25,4203.0,0.59
2010-05-19,13.15,14.0,12.95,13.35,13.35,1531.0,0.21
2010-05-20,13.0,13.0,11.8,11.8,11.8,11281.0,1.4
2010-05-21,11.6,11.6,11.3,11.3,11.3,2000.0,0.23
2010-05-24,12.0,12.0,10.95,10.95,10.95,201.0,0.02
2010-05-25,10.35,11.6,10.35,11.6,10.95,1000.0,0.11
