Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,399.0,399.3,387.05,390.0,390.45,27489.0,108.37
2010-01-05,394.25,396.85,381.0,388.35,389.5,97616.0,379.19
2010-01-06,384.1,392.1,384.1,387.4,387.4,270275.0,1041.78
2010-01-07,392.0,406.0,384.1,405.05,397.35,101718.0,400.18
2010-01-08,404.0,407.9,390.1,391.75,391.35,70355.0,280.49
2010-01-11,392.4,399.5,385.0,386.0,386.4,70164.0,274.31
2010-01-12,387.2,390.0,368.4,383.0,384.05,60601.0,233.12
2010-01-13,383.0,388.0,380.0,387.05,386.7,45227.0,173.76
2010-01-14,391.1,399.0,376.0,393.75,393.05,50797.0,198.58
2010-01-15,393.75,414.95,392.2,411.0,409.9,199033.0,810.0
2010-01-18,407.0,419.0,407.0,415.5,415.5,80594.0,333.94
2010-01-19,411.0,434.0,411.0,425.0,421.75,127845.0,542.58
2010-01-20,424.5,429.9,420.0,425.2,425.05,63474.0,268.74
2010-01-21,420.0,425.0,413.0,420.0,419.9,126038.0,529.01
2010-01-22,400.1,412.0,381.05,412.0,405.85,80205.0,321.09
2010-01-25,403.0,414.9,402.0,408.05,409.15,31023.0,127.22
2010-01-27,409.15,426.0,400.0,425.0,423.1,204531.0,857.51
2010-01-28,422.0,456.9,421.25,442.0,443.65,272590.0,1202.88
2010-01-29,444.0,448.0,425.7,448.0,443.8,67854.0,296.5
2010-02-01,443.0,454.95,436.0,437.95,440.05,42164.0,187.34
2010-02-02,444.4,447.0,425.0,430.0,429.2,18013.0,78.59
2010-02-03,429.2,446.0,429.2,445.0,442.7,33362.0,146.18
2010-02-04,442.5,462.5,442.25,456.0,451.75,144306.0,655.73
2010-02-05,431.1,481.5,412.25,466.5,471.25,245917.0,1135.02
2010-02-06,470.1,490.0,465.0,477.9,477.9,64917.0,313.9
2010-02-08,484.45,484.45,454.35,459.0,456.85,28791.0,133.92
2010-02-09,452.1,470.95,442.0,447.95,444.65,40918.0,186.74
2010-02-10,455.75,461.8,449.55,453.0,453.25,35184.0,160.75
2010-02-11,455.25,457.75,447.15,451.75,449.4,13607.0,61.5
2010-02-15,452.1,456.5,450.1,452.0,453.1,11521.0,52.06
2010-02-16,452.1,465.6,452.0,461.5,462.8,77206.0,354.45
2010-02-17,465.0,472.6,460.0,460.0,460.1,18680.0,86.89
2010-02-18,459.0,465.0,456.2,462.2,461.1,48148.0,222.27
2010-02-19,457.6,465.0,452.0,455.65,456.55,64829.0,297.42
2010-02-22,465.0,474.0,443.0,443.85,447.95,20232.0,92.53
2010-02-23,445.0,460.0,435.0,440.0,441.2,28369.0,127.77
2010-02-24,439.0,445.0,430.1,432.0,431.95,9274.0,40.56
2010-02-25,432.5,438.95,410.1,424.0,423.1,63391.0,267.55
2010-02-26,421.0,445.0,421.0,435.0,437.7,27140.0,118.5
2010-03-02,442.0,457.5,438.0,453.0,450.25,27413.0,122.41
2010-03-03,455.9,465.0,451.1,462.0,460.15,29638.0,136.49
2010-03-04,456.15,465.0,455.0,457.0,456.15,9988.0,45.97
2010-03-05,457.05,462.0,455.05,459.5,461.0,13279.0,61.15
2010-03-08,462.0,489.4,461.0,477.0,474.65,62419.0,296.85
2010-03-09,479.9,479.9,470.0,473.0,473.2,9808.0,46.41
2010-03-10,473.0,488.95,473.0,475.5,475.95,26285.0,125.97
2010-03-11,479.9,501.9,478.15,491.0,490.0,145123.0,714.08
2010-03-12,494.9,511.0,492.0,495.0,495.15,148081.0,738.54
2010-03-15,496.1,496.1,477.2,488.5,488.45,21347.0,103.86
2010-03-16,492.9,505.0,491.0,497.0,495.95,32043.0,159.42
2010-03-17,511.0,511.0,498.5,509.0,506.45,358271.0,1804.52
2010-03-18,510.0,514.0,497.0,498.75,500.0,24638.0,124.62
2010-03-19,501.0,514.9,499.55,511.25,511.75,44037.0,223.67
2010-03-22,518.0,523.95,504.0,505.0,508.25,60048.0,310.25
2010-03-23,512.0,519.8,504.05,506.0,506.0,27476.0,140.44
2010-03-25,512.5,526.0,506.0,511.0,512.8,62258.0,322.86
2010-03-26,515.7,527.85,511.95,512.0,513.1,32690.0,169.7
2010-03-29,512.1,527.7,512.1,525.0,524.6,28508.0,148.71
2010-03-30,515.0,529.7,514.0,526.1,525.15,22908.0,119.97
2010-03-31,530.0,549.95,528.0,547.0,545.45,67398.0,365.19
2010-04-01,550.0,552.0,533.15,543.5,543.0,36375.0,196.66
2010-04-05,548.5,548.5,531.5,534.9,535.7,23596.0,127.16
2010-04-06,536.05,547.0,533.2,535.2,535.15,15665.0,84.37
2010-04-07,543.95,548.5,535.3,539.0,540.45,17813.0,96.43
2010-04-08,545.8,555.0,534.0,540.0,544.6,62290.0,339.0
2010-04-09,542.0,544.9,535.0,540.0,536.95,14921.0,80.61
2010-04-12,542.55,547.9,525.4,530.0,528.15,17436.0,93.08
2010-04-13,524.1,536.0,523.05,535.9,534.15,57143.0,303.64
2010-04-15,523.1,537.95,522.2,529.05,526.4,65062.0,346.29
2010-04-16,530.0,534.7,521.0,524.8,522.25,10075.0,52.87
2010-04-19,517.0,521.95,511.25,515.0,516.0,9172.0,47.25
