Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-05-03,15.7,15.75,15.0,15.0,15.05,41573.0,6.32
2011-05-04,14.3,15.2,14.0,14.0,14.25,144824.0,20.84
2011-05-05,14.2,14.4,13.8,14.15,14.0,132429.0,18.61
2011-05-06,13.8,14.4,13.8,14.0,14.0,55910.0,7.86
2011-05-09,14.05,14.2,13.9,14.0,14.05,49732.0,6.99
2011-05-10,14.0,14.2,12.4,13.5,13.45,509856.0,66.59
2011-05-11,13.3,13.75,12.5,13.35,13.3,92063.0,12.11
2011-05-12,13.1,13.85,13.1,13.4,13.35,30356.0,4.12
2011-05-13,13.55,13.75,13.4,13.75,13.7,29800.0,4.04
2011-05-16,13.8,14.25,13.65,13.75,13.75,70876.0,9.8
2011-05-17,14.1,15.9,14.1,15.5,15.35,555058.0,85.82
2011-05-18,16.5,16.5,15.0,15.35,15.25,206542.0,31.83
2011-05-19,15.65,15.7,15.25,15.3,15.3,97443.0,15.01
2011-05-20,15.2,15.45,15.1,15.15,15.25,48935.0,7.45
2011-05-23,15.3,15.35,14.2,14.4,14.5,188087.0,27.56
2011-05-24,14.5,15.2,14.5,15.1,15.1,111710.0,16.69
2011-05-25,15.35,15.4,14.5,14.85,14.85,259808.0,39.09
2011-05-26,15.35,15.35,14.75,14.9,14.8,50488.0,7.51
2011-05-27,14.75,15.0,14.75,15.0,14.9,16644.0,2.48
2011-05-30,14.9,15.35,14.9,15.0,15.05,76071.0,11.49
2011-05-31,15.05,15.5,15.0,15.3,15.2,85608.0,13.04
2011-06-01,15.35,15.4,14.85,14.95,15.0,164940.0,24.85
2011-06-02,15.0,15.0,14.6,14.7,14.7,56251.0,8.35
2011-06-03,14.65,15.05,14.65,14.9,14.9,69690.0,10.41
2011-06-06,14.85,15.1,14.7,15.1,15.05,39623.0,5.95
2011-06-07,14.8,15.15,14.8,15.05,15.1,30247.0,4.56
2011-06-08,15.1,15.1,14.7,14.9,14.95,26088.0,3.91
2011-06-09,14.9,15.0,14.7,14.9,14.8,43300.0,6.42
2011-06-10,14.9,15.25,14.85,14.85,14.9,78733.0,11.85
2011-06-13,15.0,15.15,14.95,14.95,15.0,39408.0,5.92
2011-06-14,14.0,15.2,14.0,14.9,14.9,27275.0,4.07
2011-06-15,15.0,15.0,14.8,14.9,14.9,18771.0,2.8
2011-06-16,14.75,15.0,14.75,15.0,14.95,31366.0,4.68
2011-06-17,14.95,14.95,14.75,14.85,14.8,37199.0,5.5
2011-06-20,14.9,15.1,14.3,14.3,14.4,67547.0,9.86
2011-06-21,14.8,14.8,14.25,14.3,14.3,49925.0,7.19
2011-06-22,14.15,14.5,14.1,14.25,14.15,21512.0,3.06
2011-06-23,14.1,14.25,13.85,13.85,13.9,73017.0,10.26
2011-06-24,14.5,14.5,13.85,14.4,14.3,26971.0,3.83
2011-06-27,14.0,14.6,14.0,14.3,14.3,38644.0,5.56
2011-06-28,14.3,14.55,13.55,13.55,13.65,190665.0,26.24
2011-06-29,13.7,14.0,13.7,14.0,13.95,51284.0,7.11
2011-06-30,14.0,14.2,13.65,13.9,13.85,31919.0,4.43
2011-07-01,14.25,14.25,13.9,14.0,13.95,59920.0,8.39
2011-07-04,14.0,14.2,14.0,14.05,14.1,29009.0,4.09
2011-07-05,14.05,14.3,14.05,14.25,14.2,29086.0,4.12
2011-07-06,14.25,14.4,14.2,14.35,14.3,42724.0,6.09
2011-07-07,14.5,14.5,14.2,14.35,14.35,59044.0,8.42
2011-07-08,14.35,14.35,14.1,14.2,14.15,36237.0,5.15
2011-07-11,14.15,14.3,14.0,14.05,14.1,33164.0,4.69
2011-07-12,14.25,14.25,13.45,13.7,13.55,166813.0,22.88
2011-07-13,13.65,14.0,13.65,14.0,13.9,30933.0,4.3
2011-07-14,13.7,14.15,13.7,14.0,14.0,51342.0,7.2
2011-07-15,14.4,14.4,13.95,14.0,14.05,19855.0,2.79
2011-07-18,14.0,14.2,13.95,14.1,14.1,14474.0,2.03
2011-07-19,14.1,14.45,14.05,14.1,14.1,47716.0,6.79
2011-07-20,14.15,14.6,14.15,14.35,14.4,116813.0,16.84
2011-07-21,14.25,14.35,14.2,14.2,14.2,46061.0,6.56
2011-07-22,14.4,14.5,14.1,14.1,14.1,36504.0,5.19
2011-07-25,14.1,14.45,14.1,14.1,14.15,34494.0,4.92
2011-07-26,14.3,14.35,14.05,14.3,14.15,46918.0,6.66
2011-07-27,14.1,14.35,14.0,14.1,14.1,18175.0,2.56
