Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,385.05,399.0,383.2,392.0,390.6,14090.0,55.31
2010-01-05,392.0,410.0,383.25,383.35,386.65,51306.0,203.3
2010-01-06,393.8,393.8,383.5,387.0,384.9,10114.0,39.27
2010-01-07,389.8,398.0,386.0,396.0,393.8,8431.0,33.16
2010-01-08,397.95,397.95,388.15,391.1,392.05,8407.0,33.08
2010-01-11,397.0,400.0,390.25,399.0,395.4,6137.0,24.32
2010-01-12,399.7,413.8,395.1,401.0,402.0,30654.0,124.06
2010-01-13,400.0,423.0,395.2,419.0,416.05,25126.0,103.11
2010-01-14,422.9,446.0,422.9,426.05,429.25,81449.0,357.34
2010-01-15,429.0,434.0,415.1,419.3,419.95,10176.0,43.22
2010-01-18,430.0,447.9,430.0,438.0,437.55,35742.0,157.16
2010-01-19,439.0,444.0,432.0,438.95,435.55,15897.0,69.95
2010-01-20,440.0,459.85,435.6,437.0,441.8,56196.0,252.64
2010-01-21,436.5,441.8,420.0,425.0,425.3,12593.0,53.81
2010-01-22,401.2,419.8,392.0,419.0,415.4,11922.0,48.82
2010-01-25,406.75,412.0,400.1,404.0,402.8,5464.0,22.17
2010-01-27,400.0,410.0,385.0,390.0,387.05,8882.0,34.85
2010-01-28,381.1,394.75,376.25,379.0,379.35,6271.0,24.04
2010-01-29,390.0,390.0,370.0,389.0,384.75,12047.0,45.51
2010-02-01,385.0,415.0,375.1,404.0,403.4,16666.0,67.13
2010-02-02,407.55,434.95,405.25,407.0,408.95,24338.0,102.27
2010-02-03,428.0,428.0,410.1,415.0,412.95,12382.0,51.71
2010-02-04,420.0,424.85,395.15,397.0,401.15,20611.0,85.12
2010-02-05,396.0,400.0,365.0,389.0,389.7,11301.0,44.1
2010-02-06,389.0,400.0,380.15,398.35,398.35,781.0,3.1
2010-02-08,401.5,405.0,390.0,400.0,398.8,4036.0,16.08
2010-02-09,398.2,401.9,394.0,397.5,399.0,2754.0,10.95
2010-02-10,401.0,404.3,390.65,390.65,394.75,4141.0,16.53
2010-02-11,375.0,402.0,375.0,390.0,392.5,3779.0,14.93
2010-02-15,404.0,407.5,388.3,388.3,391.85,4538.0,18.07
2010-02-16,395.0,398.4,385.0,389.0,387.95,6168.0,24.0
2010-02-17,391.0,412.0,386.1,392.0,393.2,18097.0,72.53
2010-02-18,391.0,398.75,380.05,383.95,382.9,7344.0,28.48
2010-02-19,383.1,385.0,374.0,375.6,378.05,6543.0,24.79
2010-02-22,392.75,392.8,366.6,370.2,372.95,4859.0,18.4
2010-02-23,378.0,378.0,365.25,366.35,368.3,4774.0,17.63
2010-02-24,365.0,375.0,364.0,364.0,365.1,4924.0,18.07
2010-02-25,371.0,371.0,361.0,363.95,361.7,2732.0,10.0
2010-02-26,369.0,376.0,362.0,370.45,368.5,5213.0,19.25
2010-03-02,374.0,380.9,368.0,370.5,370.85,6189.0,23.01
2010-03-03,379.8,390.0,375.9,383.0,382.7,92221.0,353.72
2010-03-04,380.05,388.95,380.0,383.0,383.5,13746.0,52.89
2010-03-05,389.6,396.9,382.15,384.0,384.7,18496.0,72.06
2010-03-08,394.9,394.9,377.0,378.0,381.2,8970.0,34.55
2010-03-09,381.0,384.55,373.0,374.0,374.05,5898.0,22.24
2010-03-10,382.7,382.7,366.5,370.1,369.2,7003.0,26.01
2010-03-11,369.35,374.9,366.0,368.0,367.25,6061.0,22.4
2010-03-12,371.95,372.0,360.65,360.7,362.95,6227.0,22.76
2010-03-15,368.0,368.75,357.05,360.0,358.9,8907.0,32.09
2010-03-16,363.2,364.85,357.4,363.0,360.2,5383.0,19.42
2010-03-17,363.0,367.85,362.0,362.0,364.35,5310.0,19.37
2010-03-18,363.0,366.9,360.0,366.9,364.5,3057.0,11.09
2010-03-19,358.0,369.0,357.0,365.3,364.45,2458.0,8.99
2010-03-22,358.05,373.75,358.05,365.5,365.2,7767.0,28.67
2010-03-23,364.55,371.0,364.1,366.45,365.35,4245.0,15.54
2010-03-25,369.6,369.6,361.0,362.0,363.1,3790.0,13.84
2010-03-26,364.1,368.0,362.25,366.95,366.55,5186.0,18.92
2010-03-29,366.0,368.95,361.5,365.55,366.1,2374.0,8.68
2010-03-30,366.1,372.0,365.7,370.1,369.15,4323.0,15.93
2010-03-31,372.0,375.7,363.0,363.0,364.35,4283.0,15.71
2010-04-01,365.0,380.0,361.0,379.0,377.85,6536.0,24.48
2010-04-05,378.0,395.5,378.0,389.7,387.9,20370.0,79.77
2010-04-06,395.5,398.0,388.0,391.5,392.1,31964.0,126.11
2010-04-07,397.5,418.75,395.7,414.5,413.55,41961.0,170.16
2010-04-08,411.0,419.5,403.4,405.0,406.45,9190.0,37.61
2010-04-09,408.0,413.0,401.0,402.05,402.15,7619.0,31.0
2010-04-12,402.35,411.0,391.25,391.5,392.2,8883.0,35.23
2010-04-13,391.4,399.1,391.05,396.45,394.1,4450.0,17.62
2010-04-15,397.6,400.0,387.15,387.15,391.15,3225.0,12.77
2010-04-16,385.5,394.9,383.0,385.0,386.15,4233.0,16.49
2010-04-19,382.2,388.0,381.3,381.35,382.35,4544.0,17.45
2010-04-20,385.3,388.0,380.05,380.2,381.35,4042.0,15.52
2010-04-21,389.1,398.0,386.0,397.0,394.85,5756.0,22.68
2010-04-22,395.0,402.55,391.0,391.25,394.45,2734.0,10.87
2010-04-23,398.8,398.8,392.2,398.0,395.35,1222.0,4.81
2010-04-26,397.0,400.0,389.0,394.0,391.3,2654.0,10.45
2010-04-27,391.0,415.0,391.0,404.0,403.8,69865.0,284.46
2010-04-28,399.0,413.95,395.25,407.2,405.6,31143.0,127.36
2010-04-29,410.0,413.7,404.1,407.75,408.1,15166.0,62.13
2010-04-30,413.0,429.0,412.0,425.0,424.05,59045.0,249.84
2010-05-03,424.0,429.0,415.0,419.0,419.4,9344.0,39.49
2010-05-04,425.0,428.0,401.0,404.05,405.25,10212.0,42.25
2010-05-05,392.0,410.0,392.0,404.75,405.0,14929.0,60.41
2010-05-06,402.1,408.0,398.0,405.9,403.0,9821.0,39.57
2010-05-07,396.25,403.0,395.25,402.5,400.95,12135.0,48.48
2010-05-10,409.75,419.4,407.15,414.65,417.1,11202.0,46.3
2010-05-11,419.0,424.0,410.0,410.0,411.15,6524.0,27.09
2010-05-12,411.0,411.0,404.0,410.75,408.35,4043.0,16.53
