Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,27.0,27.3,26.7,27.15,27.05,1753514.0,473.88
2010-01-05,27.3,28.8,27.2,28.45,28.5,5605460.0,1567.16
2010-01-06,28.6,28.85,27.85,27.95,27.95,3588549.0,1014.26
2010-01-07,28.1,28.4,27.6,27.7,27.8,2196828.0,616.28
2010-01-08,28.0,28.45,27.65,27.75,27.75,2169442.0,607.33
2010-01-11,28.1,28.35,27.8,28.0,28.05,2909269.0,816.49
2010-01-12,28.5,28.5,27.45,27.55,27.5,3113815.0,869.84
2010-01-13,27.5,28.45,27.05,28.3,28.05,2932762.0,810.5
2010-01-14,28.9,30.35,28.55,29.85,29.95,20547197.0,6112.71
2010-01-15,30.25,30.25,29.2,29.35,29.35,6313889.0,1870.7
2010-01-18,29.2,29.9,28.85,29.15,29.2,4829618.0,1420.75
2010-01-19,29.2,29.5,28.55,28.65,28.6,2589981.0,751.33
2010-01-20,28.65,29.1,28.15,28.35,28.3,3427420.0,982.34
2010-01-21,28.5,28.5,27.25,27.3,27.35,2940692.0,816.72
2010-01-22,27.0,28.1,26.1,27.9,27.85,4304392.0,1168.1
2010-01-25,27.85,28.0,27.1,27.25,27.3,2322101.0,637.43
2010-01-27,26.75,27.0,25.4,25.45,25.8,4301343.0,1131.52
2010-01-28,26.0,26.5,24.85,25.1,25.0,5827911.0,1478.81
2010-01-29,25.05,25.6,24.4,25.3,25.3,3387442.0,842.84
2010-02-01,25.2,26.0,25.1,25.7,25.75,2016731.0,518.43
2010-02-02,26.0,26.15,25.1,25.15,25.15,2210517.0,566.28
2010-02-03,25.5,25.75,25.25,25.55,25.55,1426510.0,364.25
2010-02-04,25.5,25.55,24.6,24.85,24.75,1514888.0,380.08
2010-02-05,24.15,24.45,23.3,23.5,23.45,6296066.0,1493.22
2010-02-06,23.4,23.9,23.4,23.8,23.8,532985.0,126.74
2010-02-08,23.95,24.25,23.65,24.0,24.05,2447320.0,586.82
2010-02-09,24.3,24.3,23.85,23.95,23.95,2521227.0,606.27
2010-02-10,24.25,24.35,23.95,24.05,24.0,1835506.0,444.2
2010-02-11,24.3,24.4,24.05,24.15,24.2,1894015.0,458.73
2010-02-15,24.65,24.7,23.65,23.8,23.75,1452273.0,348.32
2010-02-16,23.95,24.5,23.75,24.35,24.15,1249268.0,299.53
2010-02-17,24.3,24.55,24.0,24.05,24.1,1320900.0,320.31
2010-02-18,23.85,24.15,23.5,23.85,23.85,1033081.0,246.63
2010-02-19,23.7,23.85,23.55,23.7,23.7,1231225.0,291.56
2010-02-22,24.0,24.25,23.5,23.55,23.6,1379835.0,328.56
2010-02-23,23.75,23.75,23.4,23.4,23.4,939732.0,220.66
2010-02-24,23.1,23.5,23.1,23.15,23.2,1633915.0,379.75
2010-02-25,23.2,23.35,22.65,22.8,22.75,4370096.0,1000.73
2010-02-26,23.0,23.5,22.8,23.25,23.25,1828409.0,422.77
2010-03-02,23.5,23.8,23.1,23.8,23.75,1922806.0,451.31
2010-03-03,23.75,24.1,23.75,23.85,23.85,1339214.0,320.44
2010-03-04,23.85,24.25,23.75,24.0,24.05,2980506.0,717.3
2010-03-05,24.25,24.85,24.1,24.4,24.45,2553059.0,626.3
2010-03-08,24.7,25.0,24.45,24.5,24.5,1466989.0,362.35
2010-03-09,24.5,24.6,23.8,23.85,23.9,1339458.0,322.84
2010-03-10,23.9,24.2,23.7,23.8,23.8,1161647.0,277.82
2010-03-11,24.2,24.2,23.4,23.5,23.5,999565.0,237.29
2010-03-12,23.85,23.85,23.2,23.25,23.3,1362278.0,319.02
2010-03-15,23.3,23.65,23.1,23.2,23.2,1832602.0,428.33
2010-03-16,23.45,23.8,23.2,23.65,23.65,2424556.0,570.4
2010-03-17,23.7,24.1,23.55,23.6,23.6,2357393.0,562.11
2010-03-18,24.5,25.8,24.1,24.65,24.65,8327956.0,2058.43
2010-03-19,25.0,25.0,24.6,24.65,24.7,2635464.0,652.79
2010-03-22,24.45,24.65,24.2,24.2,24.25,1962505.0,479.1
2010-03-23,24.35,24.55,23.85,23.85,23.9,1276070.0,307.44
2010-03-25,24.0,24.05,23.65,23.75,23.75,2834788.0,675.3
2010-03-26,24.0,24.45,23.85,23.95,23.9,1691129.0,407.36
2010-03-29,24.45,24.45,23.65,23.7,23.7,1876747.0,446.79
2010-03-30,23.9,24.05,23.6,23.75,23.75,1741986.0,415.78
2010-03-31,23.95,23.95,23.6,23.6,23.65,1127993.0,267.59
2010-04-01,23.8,24.0,23.7,23.9,23.85,1457427.0,347.72
2010-04-05,24.0,24.2,23.85,24.15,24.15,1635322.0,393.61
2010-04-06,24.25,24.65,24.2,24.5,24.45,2346245.0,573.06
2010-04-07,24.6,25.15,24.5,24.65,24.6,3326296.0,825.69
2010-04-08,24.3,24.85,24.25,24.3,24.35,2357920.0,579.91
2010-04-09,24.5,24.85,24.35,24.7,24.6,3462418.0,852.43
2010-04-12,24.95,25.25,24.75,24.85,24.8,4791344.0,1198.95
2010-04-13,25.0,25.0,24.5,24.55,24.6,1698745.0,418.93
2010-04-15,24.75,24.8,24.25,24.35,24.35,2563135.0,628.72
2010-04-16,24.3,24.3,23.9,24.0,24.0,1806086.0,434.62
2010-04-19,23.7,23.95,23.55,23.8,23.7,1248933.0,295.77
2010-04-20,23.85,24.0,23.75,24.0,23.95,1414639.0,337.94
2010-04-21,24.0,24.15,23.8,23.85,23.85,1049981.0,251.61
2010-04-22,23.85,24.15,23.7,24.0,23.95,2876156.0,689.17
2010-04-23,23.95,24.05,23.75,23.9,23.8,1068658.0,255.02
2010-04-26,23.8,23.95,23.7,23.7,23.75,828535.0,197.53
