Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,124.95,130.0,124.95,126.75,126.65,90635.0,115.24
2010-01-05,127.95,128.0,124.35,125.5,125.95,60000.0,75.97
2010-01-06,126.0,128.9,124.8,124.9,126.25,144190.0,182.72
2010-01-07,126.9,127.25,124.5,124.5,125.35,81739.0,102.89
2010-01-08,125.4,131.0,125.4,128.3,127.6,190678.0,245.79
2010-01-11,128.45,130.55,127.4,130.0,130.1,159341.0,206.17
2010-01-12,130.1,131.4,127.8,129.5,128.8,74129.0,96.14
2010-01-13,128.0,128.6,127.1,127.55,127.75,24872.0,31.79
2010-01-14,128.0,135.0,127.65,130.1,130.2,100361.0,132.16
2010-01-15,130.2,133.7,127.8,128.2,128.85,58924.0,77.23
2010-01-18,129.0,134.0,129.0,131.0,130.1,67112.0,87.73
2010-01-19,131.0,131.45,126.0,126.25,126.35,26370.0,33.87
2010-01-20,127.4,141.0,125.0,128.3,129.1,176730.0,233.6
2010-01-21,128.95,129.45,123.1,126.0,124.05,44642.0,56.58
2010-01-22,121.0,122.9,118.0,121.9,120.85,33063.0,39.93
2010-01-25,120.0,124.9,120.0,120.1,121.7,29257.0,35.97
2010-01-27,123.75,125.0,112.05,112.3,113.05,27527.0,32.78
2010-01-28,127.0,127.0,111.0,112.35,112.25,25752.0,29.45
2010-01-29,111.0,117.0,105.2,113.95,112.7,42722.0,46.71
2010-02-01,111.0,116.3,110.5,115.05,113.35,28006.0,32.0
2010-02-02,115.9,118.0,112.2,112.4,113.05,28467.0,32.99
2010-02-03,117.0,117.95,114.1,117.0,116.55,25108.0,29.22
2010-02-04,115.0,119.95,115.0,117.8,117.25,29668.0,34.82
2010-02-05,110.3,113.0,108.2,111.85,111.35,20602.0,22.98
2010-02-06,113.9,115.3,111.05,114.75,114.75,5867.0,6.69
2010-02-08,114.4,118.0,112.0,112.7,112.65,27931.0,31.82
2010-02-09,113.9,114.75,110.9,111.25,111.5,18626.0,20.96
2010-02-10,113.0,116.3,113.0,114.3,114.65,36172.0,41.63
2010-02-11,116.9,117.25,113.55,115.95,115.25,22234.0,25.67
2010-02-15,115.0,117.0,112.9,112.9,113.75,9673.0,11.16
2010-02-16,115.4,115.4,112.2,112.75,113.55,6886.0,7.82
2010-02-17,115.2,116.2,114.0,115.0,115.2,24570.0,28.34
2010-02-18,114.2,115.8,114.2,114.75,115.25,13045.0,15.04
2010-02-19,115.5,115.5,111.05,112.75,112.25,6426.0,7.25
2010-02-22,113.75,115.45,113.75,114.8,114.9,24300.0,27.91
2010-02-23,113.25,115.35,109.35,111.95,110.6,16874.0,19.02
2010-02-24,112.7,112.7,106.1,112.0,111.05,16607.0,18.3
2010-02-25,110.15,112.9,110.15,112.0,112.1,5497.0,6.14
2010-02-26,110.5,116.0,110.5,113.05,114.0,30203.0,34.44
2010-03-02,113.1,116.0,113.0,115.5,115.1,9911.0,11.33
2010-03-03,116.6,117.9,115.0,115.0,116.05,12103.0,14.14
2010-03-04,117.5,118.0,115.2,115.3,115.8,7139.0,8.33
2010-03-05,117.0,123.1,116.05,121.85,121.8,107770.0,130.72
2010-03-08,121.85,124.4,118.1,118.1,119.1,29293.0,35.74
2010-03-09,117.25,120.65,115.8,116.25,116.4,10161.0,12.0
2010-03-10,117.7,117.7,114.5,117.2,116.9,125477.0,145.61
2010-03-11,117.2,119.0,115.6,117.05,117.4,20392.0,23.94
2010-03-12,118.4,118.9,116.3,118.05,118.1,9170.0,10.82
2010-03-15,116.25,118.9,114.8,115.2,115.3,14354.0,16.81
2010-03-16,115.2,118.0,115.0,115.3,115.4,11041.0,12.82
2010-03-17,116.9,117.0,115.2,115.35,115.9,7428.0,8.64
2010-03-18,115.35,116.8,113.25,113.45,113.8,6565.0,7.55
2010-03-19,115.5,116.6,111.15,112.75,113.15,24936.0,28.34
2010-03-22,113.8,116.0,113.0,113.9,113.4,14318.0,16.38
2010-03-23,114.2,114.95,108.5,109.5,110.1,47925.0,53.47
2010-03-25,110.05,119.4,108.35,114.3,113.05,366122.0,424.91
2010-03-26,113.5,117.6,110.35,111.8,112.5,101218.0,116.39
2010-03-29,114.8,116.7,109.5,109.5,110.35,28898.0,32.27
2010-03-30,111.8,113.8,110.0,111.0,110.8,26311.0,29.5
2010-03-31,111.5,115.35,111.15,111.55,111.7,70719.0,80.02
2010-04-01,112.9,115.0,112.3,113.75,113.9,38165.0,43.44
2010-04-05,112.0,115.5,112.0,113.5,113.45,45704.0,52.0
2010-04-06,113.5,115.0,112.05,112.45,112.4,50351.0,57.1
2010-04-07,113.7,114.9,112.3,112.3,112.9,52682.0,59.88
2010-04-08,113.3,114.8,113.0,114.5,114.15,28969.0,33.01
2010-04-09,114.4,115.05,113.4,114.2,114.2,35063.0,40.07
2010-04-12,116.6,122.0,114.65,117.2,117.5,365719.0,436.59
2010-04-13,121.3,121.9,117.15,117.25,117.55,191045.0,227.73
2010-04-15,119.0,120.9,115.2,115.2,116.45,85035.0,100.59
2010-04-16,112.2,116.4,112.2,114.0,114.05,55038.0,63.2
2010-04-19,111.0,114.45,110.5,111.0,111.1,58975.0,65.83
2010-04-20,112.45,113.4,111.1,112.0,112.75,38603.0,43.47
2010-04-21,113.3,117.5,113.3,117.35,116.9,86352.0,100.11
2010-04-22,116.0,117.5,115.0,115.05,115.25,31736.0,36.86
2010-04-23,116.9,116.9,113.5,115.2,115.25,21467.0,24.69
2010-04-26,115.7,116.5,113.5,114.4,114.1,16929.0,19.45
2010-04-27,113.55,114.9,112.3,112.75,112.75,10041.0,11.35
2010-04-28,110.0,113.3,109.0,109.75,109.65,44135.0,48.72
2010-04-29,112.9,124.6,110.0,111.0,110.9,35312.0,39.61
2010-04-30,114.3,114.3,110.5,111.0,111.05,26484.0,29.67
2010-05-03,111.0,112.9,110.05,110.6,110.85,15492.0,17.21
2010-05-04,112.0,112.4,108.2,108.4,108.75,12966.0,14.31
2010-05-05,108.0,110.8,104.35,109.0,109.7,20452.0,22.05
2010-05-06,110.85,112.4,109.0,111.65,111.15,19940.0,22.1
2010-05-07,110.1,111.2,105.6,106.4,106.25,24649.0,26.54
2010-05-10,109.4,110.45,108.0,109.4,108.7,20909.0,22.76
2010-05-11,110.2,110.2,107.0,107.0,108.25,7144.0,7.78
2010-05-12,107.05,109.7,107.05,108.0,108.0,5969.0,6.49
2010-05-13,109.45,110.65,108.55,109.8,109.4,10989.0,12.04
2010-05-14,110.0,110.0,108.0,108.0,108.3,12258.0,13.37
2010-05-17,105.7,108.0,105.7,107.45,107.45,11785.0,12.56
2010-05-18,107.0,108.1,105.0,105.0,105.5,15844.0,16.91
2010-05-19,105.0,106.45,101.75,102.4,102.85,14247.0,14.89
2010-05-20,103.9,104.95,100.1,100.2,101.95,13506.0,13.84
2010-05-21,100.0,101.5,97.7,101.0,100.6,11825.0,11.81
2010-05-24,102.9,106.9,101.55,102.2,103.15,7739.0,8.03
2010-05-25,99.9,99.9,90.0,90.1,90.5,166702.0,154.84
2010-05-26,92.8,94.5,90.0,90.9,90.65,36006.0,33.14
2010-05-27,90.0,92.45,89.25,89.5,89.75,22202.0,20.08
2010-05-28,92.0,92.05,90.95,91.2,91.5,19017.0,17.37
2010-05-31,91.0,92.5,90.5,91.5,91.4,14222.0,13.0
2010-06-01,91.75,92.8,88.6,89.0,89.1,25873.0,23.55
2010-06-02,90.0,90.5,89.4,90.0,90.3,11658.0,10.51
2010-06-03,92.0,93.45,91.05,92.2,91.95,15846.0,14.61
2010-06-04,90.0,94.35,90.0,91.85,91.6,35223.0,32.62
2010-06-07,90.9,90.9,89.5,90.05,90.05,7590.0,6.84
2010-06-08,91.5,94.65,90.2,90.2,90.75,28214.0,26.07
2010-06-09,89.5,92.1,89.5,91.2,91.5,7921.0,7.25
2010-06-10,90.9,93.45,90.6,92.05,92.0,33421.0,30.7
2010-06-11,93.0,94.9,91.75,91.95,92.9,58348.0,54.69
2010-06-14,92.0,95.85,92.0,93.8,93.95,57942.0,54.79
2010-06-15,93.55,95.0,92.85,93.8,93.6,23397.0,21.99
2010-06-16,94.65,97.3,94.05,95.0,95.35,165722.0,158.89
2010-06-17,95.95,98.45,95.0,95.0,95.35,26530.0,25.58
2010-06-18,95.5,96.75,92.2,92.85,93.1,15722.0,14.78
2010-06-21,94.9,98.3,93.15,95.7,96.1,42966.0,41.46
2010-06-22,96.0,96.5,93.2,93.25,93.7,23703.0,22.36
2010-06-23,93.95,96.05,93.5,94.0,94.4,19542.0,18.49
2010-06-24,94.9,96.5,93.0,94.05,93.7,21686.0,20.43
2010-06-25,93.1,96.0,93.1,94.0,93.85,20413.0,19.31
2010-06-28,94.05,95.25,93.45,94.65,94.2,14039.0,13.26
2010-06-29,95.5,98.3,93.7,94.5,94.3,43010.0,41.32
2010-06-30,94.5,98.0,92.45,95.6,96.0,249580.0,238.88
2010-07-01,97.0,105.0,96.0,96.75,96.85,229606.0,226.86
2010-07-02,99.0,102.85,98.6,100.5,101.8,350483.0,353.4
2010-07-05,100.05,103.4,99.55,100.0,100.2,98691.0,100.44
2010-07-06,100.5,101.25,98.3,98.3,99.05,42329.0,42.31
2010-07-07,99.95,100.35,98.4,98.45,98.7,20323.0,20.13
2010-07-08,99.45,103.7,99.0,100.2,100.35,162275.0,165.83
2010-07-09,101.0,102.7,98.5,100.25,100.2,70545.0,70.93
2010-07-12,100.0,101.5,98.3,98.95,98.85,27542.0,27.48
2010-07-13,99.0,99.5,97.85,98.95,98.95,19107.0,18.85
2010-07-14,99.15,99.85,96.2,96.2,96.9,18803.0,18.46
2010-07-15,97.95,99.0,96.05,96.2,96.25,19886.0,19.29
2010-07-16,96.45,97.35,94.5,94.7,95.35,22401.0,21.49
2010-07-19,94.0,97.6,94.0,96.5,96.5,18432.0,17.78
2010-07-20,96.9,97.5,94.5,94.8,94.75,30188.0,28.88
2010-07-21,95.9,97.0,95.25,96.0,95.75,10953.0,10.53
2010-07-22,96.0,96.25,93.6,93.75,93.9,56874.0,53.83
2010-07-23,94.45,96.75,93.1,93.25,93.7,33277.0,31.46
2010-07-26,94.0,94.1,92.0,92.3,92.3,22518.0,20.93
2010-07-27,92.05,93.0,91.05,91.85,91.35,17380.0,15.94
2010-07-28,92.0,96.0,91.55,91.6,92.1,46141.0,43.11
2010-07-29,92.6,92.6,90.55,91.75,91.45,12847.0,11.78
2010-07-30,91.45,91.5,90.0,90.85,90.15,28487.0,25.87
2010-08-02,90.8,91.75,90.25,90.25,90.65,12188.0,11.07
2010-08-03,91.0,92.35,91.0,91.5,91.25,38123.0,34.98
2010-08-04,90.9,91.7,90.0,90.05,90.65,14487.0,13.15
2010-08-05,90.65,91.9,89.25,89.3,89.5,30180.0,27.25
2010-08-06,89.5,93.4,89.0,89.45,89.4,72141.0,65.55
2010-08-09,91.35,91.35,88.95,89.9,89.85,19816.0,17.82
2010-08-10,90.55,92.25,88.1,89.05,89.15,37666.0,34.22
2010-08-11,89.35,90.5,87.55,88.0,88.35,22721.0,20.25
2010-08-12,89.4,89.4,87.4,87.9,87.8,22795.0,20.04
2010-08-13,88.7,90.9,87.0,87.25,87.3,40479.0,35.62
2010-08-16,88.0,88.5,87.25,87.55,87.85,101556.0,89.34
2010-08-17,88.8,94.85,88.8,92.3,92.6,958088.0,892.15
2010-08-18,94.1,94.7,92.0,93.6,93.45,587787.0,551.11
2010-08-19,94.6,95.4,92.4,93.1,93.1,361713.0,340.4
2010-08-20,92.35,93.4,90.0,90.0,90.3,111381.0,101.93
2010-08-23,90.9,90.9,87.3,87.9,88.05,104346.0,92.66
2010-08-24,90.9,90.9,87.45,87.6,88.0,75440.0,66.83
2010-08-25,88.0,88.4,84.5,85.5,85.25,108924.0,93.41
2010-08-26,86.4,91.8,84.1,89.0,88.35,534384.0,474.67
2010-08-27,89.0,92.35,84.6,85.2,85.15,597639.0,532.14
2010-08-30,86.9,87.5,84.05,84.7,84.5,101039.0,86.32
2010-08-31,84.05,84.6,81.4,83.3,82.55,87476.0,72.36
2010-09-01,83.1,88.4,83.1,84.85,84.6,585252.0,504.33
2010-09-02,85.1,86.75,84.1,84.15,84.45,231206.0,197.13
2010-09-03,84.95,91.4,84.7,88.45,89.3,1135579.0,1008.25
2010-09-06,90.1,91.5,88.1,89.15,88.9,382659.0,343.82
2010-09-07,89.45,91.05,87.5,87.8,88.0,295755.0,264.05
2010-09-08,90.7,98.0,87.6,91.0,90.85,1862562.0,1694.58
2010-09-09,93.0,94.8,88.7,90.0,89.35,670172.0,610.74
2010-09-13,90.5,90.9,87.0,87.0,87.55,406049.0,359.27
2010-09-14,88.0,88.8,83.3,83.5,83.75,661216.0,561.01
2010-09-15,86.8,86.8,78.9,79.95,79.45,821266.0,668.69
2010-09-16,80.4,81.4,77.45,78.2,78.0,628953.0,501.05
2010-09-17,79.7,80.4,78.55,79.5,79.4,383276.0,305.76
2010-09-20,80.0,83.4,79.25,79.8,79.65,719391.0,584.18
2010-09-21,80.0,81.6,78.0,78.6,78.3,383389.0,304.21
2010-09-22,79.35,80.6,78.1,79.5,79.85,578550.0,459.47
2010-09-23,82.0,82.75,80.55,80.85,80.95,1482238.0,1208.86
2010-09-24,80.7,85.95,80.7,85.0,84.6,1237178.0,1036.45
2010-09-27,85.2,86.3,83.7,84.4,84.45,484192.0,411.37
2010-09-28,84.0,85.75,83.1,84.5,84.35,377169.0,318.04
2010-09-29,85.4,87.25,84.0,84.85,85.15,815556.0,701.41
2010-09-30,85.6,86.1,83.5,84.7,84.7,252912.0,214.52
2010-10-01,85.25,89.1,85.25,88.6,88.15,760564.0,667.71
2010-10-04,89.3,89.65,86.4,87.2,87.15,242041.0,212.8
2010-10-05,86.95,87.35,85.5,86.75,86.25,130250.0,112.57
2010-10-06,87.25,87.35,86.25,86.3,86.6,104743.0,90.79
2010-10-07,86.95,91.0,86.2,86.85,86.85,723729.0,643.42
2010-10-08,87.35,88.4,85.0,85.8,85.8,171795.0,148.95
2010-10-11,86.15,89.7,86.1,88.3,88.25,281099.0,248.25
2010-10-12,87.4,87.95,86.0,86.5,86.35,129991.0,112.82
2010-10-13,86.95,87.9,86.25,86.8,86.6,91208.0,79.47
2010-10-14,86.9,87.7,84.0,84.45,84.3,147424.0,126.23
2010-10-15,84.95,85.75,83.0,83.5,83.25,81713.0,68.77
2010-10-18,83.5,83.85,80.6,81.2,80.95,213192.0,173.47
2010-10-19,81.1,84.9,81.0,82.6,82.15,191016.0,158.54
2010-10-20,81.55,83.8,80.3,81.3,80.9,127865.0,105.04
2010-10-21,82.0,83.8,80.65,82.3,82.85,259540.0,213.72
2010-10-22,82.3,83.35,81.15,81.6,81.45,88751.0,72.78
2010-10-25,82.0,82.95,81.0,81.45,81.25,108024.0,88.56
2010-10-26,81.85,82.65,80.75,80.95,81.05,102478.0,83.54
2010-10-27,81.7,82.5,80.85,81.0,81.0,146137.0,119.13
2010-10-28,81.8,81.9,80.0,80.1,80.15,99505.0,80.52
2010-10-29,80.6,80.8,78.15,79.1,79.0,116392.0,92.55
