Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-05-14,600.0,622.9,586.0,603.5,597.3,5136316.0,31103.83
2015-05-15,598.5,620.0,587.05,611.0,611.25,756299.0,4592.3
2015-05-18,613.75,614.8,599.3,603.1,603.3,160874.0,975.1
2015-05-19,605.8,615.0,597.2,605.25,605.6,159117.0,965.14
2015-05-20,605.5,627.95,603.5,604.0,607.15,419781.0,2585.54
2015-05-21,609.4,612.9,588.5,602.85,601.45,182439.0,1096.96
2015-05-22,604.85,605.5,595.0,600.15,600.0,80077.0,480.82
2015-05-25,600.0,600.0,590.0,590.0,591.4,27146.0,161.5
2015-05-26,591.1,599.2,582.1,584.0,584.95,41243.0,243.37
2015-05-27,582.95,595.9,567.3,595.0,586.05,195021.0,1130.44
2015-05-28,590.0,597.1,576.0,580.0,580.5,37158.0,217.58
2015-05-29,580.1,600.0,580.05,586.25,586.45,82456.0,485.01
2015-06-01,585.5,589.05,578.5,586.0,585.0,61600.0,361.02
2015-06-02,585.5,589.0,555.0,562.0,562.25,86539.0,495.58
2015-06-03,564.05,565.8,522.95,536.6,535.95,96861.0,526.04
2015-06-04,536.0,556.5,536.0,554.55,553.45,96674.0,528.57
2015-06-05,554.9,578.5,548.1,577.0,574.6,78953.0,449.53
2015-06-08,560.2,580.0,553.0,553.25,553.75,67227.0,376.08
2015-06-09,556.9,563.0,530.0,559.0,560.9,46995.0,262.04
2015-06-10,562.9,578.0,562.9,572.0,573.45,48951.0,279.99
2015-06-11,574.25,582.0,558.0,559.0,558.3,148281.0,836.69
2015-06-12,554.0,562.0,548.0,553.65,552.0,20792.0,114.7
2015-06-15,554.5,560.1,546.0,555.0,555.15,32017.0,177.94
2015-06-16,563.0,567.95,553.2,565.0,561.65,26809.0,149.98
2015-06-17,560.4,570.0,558.0,570.0,564.05,9492.0,53.49
2015-06-18,565.0,572.7,561.05,564.0,563.95,9228.0,52.28
2015-06-19,565.8,573.0,551.1,555.0,556.1,14500.0,81.62
2015-06-22,550.0,574.0,550.0,574.0,571.9,30559.0,173.45
2015-06-23,576.55,576.6,563.0,574.9,570.55,15833.0,90.07
2015-06-24,573.0,576.5,560.0,570.95,570.3,27742.0,158.28
2015-06-25,566.25,583.9,566.25,573.0,575.0,16218.0,93.5
2015-06-26,574.2,578.3,570.15,574.0,574.4,10545.0,60.56
2015-06-29,570.05,570.1,553.05,564.7,561.9,11052.0,61.95
2015-06-30,561.0,572.9,556.5,571.0,568.8,15356.0,86.86
2015-07-01,569.9,580.0,565.0,565.1,572.25,30364.0,174.48
2015-07-02,568.8,591.0,565.0,578.0,578.55,30595.0,177.49
2015-07-03,573.0,585.0,573.0,575.0,575.1,12805.0,73.97
2015-07-06,560.0,588.9,560.0,588.0,585.6,23625.0,136.75
2015-07-07,589.0,614.45,584.1,607.9,605.35,148567.0,900.34
2015-07-08,600.0,619.9,594.95,609.0,611.3,92526.0,565.38
2015-07-09,609.0,623.9,605.0,608.8,612.95,46470.0,286.3
2015-07-10,615.0,620.0,601.0,617.8,617.85,47261.0,290.81
2015-07-13,590.0,627.7,590.0,619.0,620.55,64535.0,402.24
2015-07-14,621.0,624.4,611.55,612.5,614.3,45840.0,282.66
2015-07-15,616.0,624.7,612.5,615.0,616.0,64512.0,398.76
2015-07-16,616.7,622.0,612.5,615.0,616.6,52278.0,323.46
2015-07-17,622.0,640.0,622.0,628.0,627.15,372991.0,2357.0
2015-07-20,634.4,636.0,616.0,620.0,618.7,45536.0,284.69
2015-07-21,624.0,626.0,593.95,609.75,607.8,127088.0,779.73
2015-07-22,606.0,628.1,600.0,625.0,625.55,38450.0,238.41
2015-07-23,620.3,630.0,615.55,618.0,616.3,41541.0,258.58
2015-07-24,612.0,622.5,605.5,611.25,618.85,23057.0,141.84
2015-07-27,617.4,618.1,605.75,610.0,610.0,21643.0,132.03
2015-07-28,612.55,612.55,602.0,610.0,610.0,7967.0,48.46
2015-07-29,608.35,616.7,605.1,610.0,611.1,9698.0,59.15
2015-07-30,613.85,615.0,603.1,606.0,604.95,5756.0,35.02
2015-07-31,605.55,623.0,605.0,621.0,620.0,29759.0,183.55
2015-08-03,625.0,628.15,610.25,620.0,620.15,13291.0,82.66
2015-08-04,616.7,642.8,616.7,630.5,629.1,71289.0,450.95
2015-08-05,625.0,633.0,620.0,628.0,629.65,32430.0,202.91
2015-08-06,625.0,629.3,620.0,620.0,620.15,37459.0,232.81
2015-08-07,615.05,623.35,608.0,608.35,610.9,12259.0,75.7
2015-08-10,596.0,615.0,595.0,599.0,598.55,16695.0,100.57
