Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-05-10,231.9,244.65,216.65,233.2,231.55,48259329.0,113193.89
2016-05-11,230.0,239.8,227.1,235.0,234.75,5224937.0,12314.36
2016-05-12,235.45,244.5,234.65,244.1,243.45,5095264.0,12250.31
2016-05-13,245.3,253.7,243.0,252.0,251.7,7194162.0,17964.17
2016-05-16,252.0,258.9,252.0,258.9,257.95,4104108.0,10522.46
2016-05-17,259.0,261.05,256.6,260.7,260.15,2393983.0,6208.04
2016-05-18,259.4,259.45,255.0,258.05,257.5,1079731.0,2773.68
2016-05-19,256.3,267.3,256.3,266.6,266.35,3172233.0,8352.15
2016-05-20,267.9,268.75,260.2,261.95,262.0,1226074.0,3233.51
2016-05-23,262.5,263.5,256.55,257.2,257.15,681504.0,1768.32
2016-05-24,257.5,257.85,253.1,256.0,255.2,526804.0,1341.76
2016-05-25,257.0,272.9,255.25,272.9,265.85,3008306.0,7969.79
2016-05-26,276.0,308.35,275.55,296.9,298.4,9673356.0,28663.94
2016-05-27,298.4,299.35,287.65,293.9,292.95,2283477.0,6680.14
2016-05-30,294.7,316.8,292.5,313.5,314.7,4621299.0,14272.4
2016-05-31,314.45,322.25,306.6,315.45,317.0,2944559.0,9326.02
2016-06-01,317.45,324.8,312.2,313.0,313.9,2414074.0,7715.8
2016-06-02,314.1,338.35,312.4,338.0,333.7,3861555.0,12606.52
2016-06-03,339.95,400.4,338.35,381.55,382.55,15700004.0,59565.05
2016-06-06,386.7,386.7,328.3,344.5,342.85,13281767.0,45951.71
2016-06-07,346.0,371.5,344.5,355.0,354.85,7721640.0,27684.71
2016-06-08,359.35,364.9,354.3,363.45,362.0,3508292.0,12644.07
2016-06-09,363.85,369.45,358.4,365.2,365.7,2997159.0,10936.34
2016-06-10,364.9,379.7,363.0,366.55,367.55,3673263.0,13685.43
2016-06-13,364.5,369.35,358.15,360.8,361.2,1983763.0,7203.45
2016-06-14,363.05,388.9,360.4,378.1,378.65,6204382.0,23352.28
2016-06-15,380.25,397.5,380.25,392.5,392.15,5229803.0,20482.37
2016-06-16,378.0,391.2,372.55,375.2,377.5,3986771.0,15243.92
2016-06-17,381.0,386.85,372.15,375.45,375.7,1266619.0,4804.0
2016-06-20,369.85,382.9,367.95,378.5,376.95,1486035.0,5601.51
2016-06-21,379.8,381.5,368.3,371.0,370.6,1120159.0,4202.32
2016-06-22,372.95,380.0,367.15,368.55,369.3,1407552.0,5244.91
2016-06-23,370.0,377.0,364.4,372.5,373.0,1092596.0,4060.36
2016-06-24,355.0,377.25,341.35,375.15,373.45,3234925.0,11594.11
2016-06-27,375.95,387.8,375.0,379.0,378.8,1623585.0,6195.47
2016-06-28,380.75,383.9,376.15,377.0,376.95,747418.0,2833.68
2016-06-29,379.45,407.35,379.0,401.5,400.3,6296990.0,25046.44
2016-06-30,404.4,414.6,396.5,401.0,398.75,3262752.0,13261.22
2016-07-01,402.65,407.6,396.4,401.0,399.05,1188623.0,4778.38
2016-07-04,402.6,421.45,401.6,419.75,418.35,2848252.0,11810.22
2016-07-05,421.4,429.5,419.3,428.4,426.85,2270347.0,9638.83
2016-07-07,427.5,430.95,414.15,417.0,416.85,1593895.0,6708.7
2016-07-08,417.9,419.4,407.05,411.0,412.7,921134.0,3808.15
2016-07-11,420.0,424.0,415.3,421.9,421.0,853656.0,3585.38
2016-07-12,422.95,423.95,408.3,411.9,411.85,722711.0,3000.72
2016-07-13,412.3,412.7,398.2,400.5,401.25,794732.0,3201.8
2016-07-14,400.9,411.9,394.1,406.0,405.4,1168422.0,4738.17
2016-07-15,408.85,408.85,398.0,405.8,404.3,722157.0,2909.56
2016-07-18,405.85,415.9,404.0,408.85,408.1,995910.0,4094.35
2016-07-19,409.0,413.7,403.0,412.0,411.7,793688.0,3249.4
2016-07-20,412.45,418.6,408.05,412.0,412.9,717461.0,2971.33
2016-07-21,412.9,415.95,405.0,407.45,406.2,653970.0,2682.66
2016-07-22,408.2,448.7,406.2,436.85,437.6,4246802.0,18334.17
2016-07-25,440.05,448.85,434.85,435.0,436.15,1666634.0,7348.59
2016-07-26,438.2,470.55,437.5,464.5,461.4,3863066.0,17709.81
2016-07-27,465.0,491.75,457.05,490.0,483.95,3001917.0,14216.56
2016-07-28,490.0,547.5,490.0,527.85,528.35,8251739.0,43317.71
2016-07-29,532.0,540.85,496.1,509.5,511.05,6138388.0,31909.39
2016-08-01,516.95,530.0,512.5,519.5,518.7,2831080.0,14769.83
2016-08-02,520.0,521.3,475.0,483.45,485.95,2740914.0,13607.12
2016-08-03,485.65,486.9,433.35,454.0,454.8,4309725.0,19732.55
2016-08-04,461.0,470.8,437.7,452.0,448.55,2622368.0,11922.29
2016-08-05,458.95,469.8,455.0,464.0,463.9,2202890.0,10178.48
2016-08-08,467.0,467.3,450.55,451.05,452.3,1100793.0,5021.09
2016-08-09,452.8,455.5,438.3,440.45,441.4,1743444.0,7775.14
2016-08-10,442.9,444.65,428.45,431.0,432.2,1113245.0,4837.43
2016-08-11,433.75,433.75,417.1,420.7,422.5,1143699.0,4838.34
2016-08-12,423.35,454.9,418.65,451.55,451.95,2248900.0,9974.8
2016-08-16,452.0,459.8,445.1,449.0,450.7,1433113.0,6496.92
2016-08-17,450.8,450.8,435.0,436.0,436.35,952557.0,4189.98
2016-08-18,438.0,454.7,437.1,452.65,450.55,1498410.0,6693.7
2016-08-19,452.15,459.8,444.75,448.65,449.7,1292422.0,5859.59
2016-08-22,453.9,467.75,442.15,443.5,444.35,1794550.0,8165.3
2016-08-23,445.8,450.8,440.15,443.0,443.0,749658.0,3334.01
2016-08-24,444.8,451.35,438.55,439.5,440.3,641303.0,2849.99
2016-08-25,442.2,446.7,438.5,440.0,439.95,447089.0,1977.77
2016-08-26,443.7,448.9,428.25,430.85,432.65,797944.0,3507.8
2016-08-29,432.7,434.7,423.1,427.4,427.65,818679.0,3503.04
2016-08-30,430.0,437.5,422.0,427.0,427.3,1027575.0,4419.51
2016-08-31,426.0,438.0,422.0,423.0,424.05,1123863.0,4831.52
2016-09-01,425.6,430.0,416.5,420.0,419.55,814965.0,3438.14
2016-09-02,420.9,439.7,420.5,423.9,424.0,2002481.0,8630.56
2016-09-06,430.15,433.55,422.1,424.6,423.85,774388.0,3308.8
2016-09-07,425.0,431.65,422.25,431.0,428.75,713330.0,3048.63
2016-09-08,430.9,436.25,428.0,430.5,432.15,868422.0,3753.42
2016-09-09,430.0,437.7,425.75,429.75,429.6,1128065.0,4872.06
2016-09-12,423.0,424.8,415.05,416.55,417.15,596784.0,2505.8
2016-09-14,419.3,431.0,417.15,424.65,425.7,696781.0,2953.42
2016-09-15,425.7,428.45,420.2,421.3,421.65,373262.0,1580.18
2016-09-16,424.9,427.7,415.0,416.0,417.1,613794.0,2592.04
2016-09-19,419.9,427.5,416.2,420.0,420.0,653412.0,2757.04
2016-09-20,421.0,423.9,407.5,411.0,411.1,557656.0,2317.66
2016-09-21,413.2,418.5,406.15,409.5,407.95,676202.0,2789.74
