Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-07-12,41.0,59.15,41.0,47.9,47.35,1473152.0,687.75
2010-07-13,48.0,49.0,42.5,45.5,45.0,555521.0,248.21
2010-07-14,46.1,46.6,43.5,43.6,44.0,143495.0,64.73
2010-07-15,43.6,44.1,39.1,41.7,41.45,166192.0,68.68
2010-07-16,42.0,42.8,40.1,42.35,42.45,67129.0,28.06
2010-07-19,42.65,42.9,41.0,41.0,41.2,31421.0,13.08
2010-07-20,41.05,44.3,40.6,42.3,42.55,173599.0,74.81
2010-07-21,42.15,44.0,42.0,42.05,42.4,26955.0,11.47
2010-07-22,41.6,43.0,41.15,41.15,41.45,48045.0,20.15
2010-07-23,41.15,42.4,41.05,41.3,41.25,24700.0,10.24
2010-07-26,42.0,42.0,39.55,39.55,39.7,48370.0,19.47
2010-07-27,39.55,39.95,38.1,38.25,38.5,32103.0,12.49
2010-07-28,36.6,39.2,36.6,37.6,37.8,18486.0,7.06
2010-07-29,39.0,45.4,38.2,45.4,45.4,312464.0,135.08
2010-07-30,46.8,49.45,45.35,46.45,46.6,672462.0,320.11
2010-08-02,46.8,50.2,45.1,48.0,48.05,259607.0,126.85
2010-08-03,49.0,52.2,48.5,49.3,49.35,517736.0,262.67
2010-08-04,49.9,54.0,49.05,51.2,51.3,532060.0,278.32
2010-08-05,52.0,52.4,49.2,49.3,49.55,117210.0,59.36
2010-08-06,49.15,50.85,45.2,46.5,46.1,108544.0,52.16
2010-08-09,46.0,48.5,44.85,45.75,45.9,91098.0,42.19
2010-08-10,46.8,46.9,44.4,44.5,45.05,40540.0,18.6
2010-08-11,45.8,45.8,42.05,42.45,43.2,65098.0,28.31
2010-08-12,43.0,43.0,41.15,42.85,42.6,22087.0,9.42
2010-08-13,42.0,48.0,41.9,45.2,44.8,109957.0,49.83
2010-08-16,44.0,46.2,41.2,43.2,43.35,47579.0,21.26
2010-08-17,43.4,44.9,42.55,42.7,43.45,33421.0,14.66
