Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-03-28,1.25,1.25,1.25,1.25,1.25,159344.0,1.99
2017-03-29,1.35,1.35,1.35,1.35,1.35,396786.0,5.36
2017-03-30,1.4,1.4,1.35,1.4,1.4,228874.0,3.2
2017-03-31,1.45,1.45,1.4,1.45,1.45,607052.0,8.78
2017-04-03,1.5,1.5,1.4,1.45,1.4,620977.0,8.95
2017-04-05,1.45,1.45,1.35,1.4,1.4,485298.0,6.66
2017-04-06,1.4,1.45,1.35,1.45,1.4,1310725.0,18.59
2017-04-07,1.45,1.45,1.35,1.4,1.4,162333.0,2.28
2017-04-10,1.4,1.4,1.35,1.35,1.35,462880.0,6.27
2017-04-11,1.35,1.35,1.3,1.3,1.3,199524.0,2.61
2017-04-12,1.25,1.3,1.25,1.25,1.25,158333.0,1.98
2017-04-13,1.25,1.3,1.2,1.3,1.3,73428.0,0.91
2017-04-17,1.35,1.35,1.3,1.35,1.35,237659.0,3.19
2017-04-18,1.4,1.4,1.3,1.3,1.3,553176.0,7.45
2017-04-19,1.25,1.35,1.25,1.3,1.3,73749.0,0.95
2017-04-20,1.3,1.3,1.25,1.25,1.25,101462.0,1.27
2017-04-21,1.2,1.3,1.2,1.3,1.25,255551.0,3.13
2017-04-24,1.3,1.3,1.2,1.25,1.2,241123.0,2.96
2017-04-25,1.2,1.25,1.15,1.25,1.2,162723.0,1.96
2017-04-26,1.15,1.25,1.15,1.2,1.15,274998.0,3.21
2017-04-27,1.15,1.2,1.15,1.2,1.2,48360.0,0.57
2017-04-28,1.25,1.25,1.15,1.2,1.2,95244.0,1.13
2017-05-02,1.15,1.2,1.15,1.2,1.2,138522.0,1.63
2017-05-03,1.2,1.25,1.15,1.15,1.15,317679.0,3.73
2017-05-04,1.15,1.2,1.1,1.15,1.15,136031.0,1.59
2017-05-05,1.1,1.2,1.1,1.2,1.2,180739.0,2.02
2017-05-08,1.15,1.2,1.15,1.15,1.15,81139.0,0.94
2017-05-09,1.15,1.15,1.1,1.15,1.15,42754.0,0.48
2017-05-10,1.1,1.15,1.1,1.15,1.15,76848.0,0.85
2017-05-11,1.15,1.15,1.1,1.1,1.1,22585.0,0.26
