Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,70.0,70.65,68.5,70.65,70.65,60448.0,42.2
2010-01-05,72.5,74.2,71.65,74.2,74.2,113454.0,83.71
2010-01-06,75.8,77.95,74.5,77.95,77.95,151258.0,115.74
2010-01-07,79.5,81.85,77.2,81.85,81.85,212953.0,172.7
2010-01-08,83.3,85.85,78.35,81.3,80.7,260971.0,216.16
2010-01-11,82.8,83.0,80.1,80.75,80.8,83824.0,68.28
2010-01-12,82.95,82.95,76.8,76.9,77.15,54645.0,42.89
2010-01-13,75.95,75.95,73.3,74.3,74.5,110066.0,81.3
2010-01-14,76.5,76.5,71.55,71.55,71.95,56999.0,41.56
2010-01-15,71.0,73.7,70.55,73.0,72.8,46207.0,33.47
2010-01-18,73.5,74.45,71.5,71.5,71.8,42693.0,31.16
2010-01-19,71.3,71.9,68.25,68.25,68.25,47535.0,32.99
2010-01-20,66.55,68.4,65.1,66.6,66.85,51765.0,34.65
2010-01-21,65.15,67.5,65.1,66.5,66.05,39014.0,25.9
2010-01-22,63.1,66.9,62.75,65.1,65.35,23673.0,15.45
2010-01-25,66.8,67.75,65.0,67.0,66.7,38910.0,25.81
2010-01-27,66.95,67.9,63.4,63.65,64.2,26502.0,17.36
2010-01-28,65.1,66.5,63.65,66.0,66.1,33410.0,21.9
2010-01-29,65.55,66.0,63.4,64.4,64.65,20499.0,13.2
2010-02-01,65.6,67.9,65.6,67.9,67.9,35410.0,23.94
2010-02-02,70.3,71.3,66.0,66.45,66.4,36662.0,25.47
2010-02-03,68.6,68.6,65.5,66.45,66.2,22035.0,14.72
2010-02-04,68.25,68.25,63.55,64.0,64.1,18691.0,12.27
2010-02-05,62.9,62.9,60.9,61.1,61.1,26196.0,16.08
2010-02-06,62.3,62.75,61.0,61.65,61.65,6551.0,4.04
2010-02-08,61.8,63.75,61.5,62.15,62.4,16700.0,10.46
2010-02-09,62.0,62.35,60.55,60.7,61.2,15480.0,9.5
2010-02-10,61.1,61.9,60.15,60.5,60.4,10774.0,6.58
2010-02-11,62.4,63.0,60.75,61.55,61.55,24557.0,15.08
2010-02-15,63.45,63.55,61.45,61.55,61.65,8326.0,5.17
