Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-07-11,1.1,1.1,1.1,1.1,1.1,92879.0,1.02
2016-07-12,1.0,1.0,1.0,1.0,1.0,34961.0,0.35
2016-07-13,0.9,0.9,0.9,0.9,0.9,141899.0,1.28
2016-07-14,0.85,0.85,0.85,0.85,0.85,89030.0,0.76
2016-07-15,0.8,0.8,0.8,0.8,0.8,60880.0,0.49
2016-07-18,0.75,0.75,0.75,0.75,0.75,75911.0,0.57
2016-07-19,0.7,0.7,0.7,0.7,0.7,208380.0,1.46
2016-07-20,0.65,0.65,0.65,0.65,0.65,211519.0,1.37
2016-07-21,0.6,0.6,0.6,0.6,0.6,257142.0,1.54
2016-07-22,0.55,0.55,0.55,0.55,0.55,228569.0,1.26
2016-07-25,0.5,0.55,0.5,0.5,0.5,11977376.0,59.89
2016-07-26,0.45,0.45,0.45,0.45,0.45,705080.0,3.17
2016-07-27,0.4,0.4,0.4,0.4,0.4,574174.0,2.3
2016-07-28,0.35,0.4,0.35,0.35,0.35,11899639.0,41.65
2016-07-29,0.3,0.4,0.3,0.3,0.3,43827833.0,133.32
2016-08-01,0.25,0.3,0.25,0.3,0.25,42509051.0,108.86
2016-08-02,0.25,0.3,0.25,0.25,0.3,32547616.0,92.78
2016-08-03,0.35,0.35,0.3,0.35,0.35,10709719.0,37.48
2016-08-04,0.4,0.4,0.35,0.4,0.4,13104458.0,52.12
2016-08-05,0.4,0.45,0.4,0.45,0.45,5229538.0,23.35
2016-08-08,0.5,0.5,0.4,0.45,0.45,14188635.0,67.45
2016-08-09,0.45,0.45,0.4,0.4,0.4,7563551.0,30.63
2016-08-10,0.35,0.45,0.35,0.4,0.4,12630213.0,50.46
2016-08-11,0.4,0.4,0.35,0.4,0.4,782849.0,3.07
2016-08-12,0.35,0.45,0.35,0.45,0.45,3037554.0,12.49
2016-08-16,0.45,0.45,0.4,0.45,0.4,1703784.0,6.88
2016-08-17,0.4,0.45,0.35,0.45,0.4,2166161.0,8.69
2016-08-18,0.4,0.45,0.4,0.45,0.4,1327597.0,5.82
2016-08-19,0.45,0.45,0.4,0.45,0.45,2501141.0,11.2
2016-08-22,0.45,0.5,0.4,0.5,0.45,5054665.0,23.22
2016-08-23,0.45,0.5,0.45,0.5,0.5,4894387.0,23.73
2016-08-24,0.5,0.55,0.5,0.5,0.55,4681013.0,25.48
2016-08-25,0.55,0.6,0.5,0.6,0.6,2228300.0,12.51
2016-08-26,0.6,0.65,0.55,0.6,0.6,4896431.0,29.36
2016-08-29,0.6,0.65,0.55,0.65,0.65,5166785.0,31.98
2016-08-30,0.65,0.7,0.6,0.65,0.65,5948801.0,38.5
2016-08-31,0.65,0.65,0.6,0.6,0.6,4909746.0,29.49
2016-09-01,0.55,0.6,0.55,0.55,0.55,874397.0,4.81
2016-09-02,0.55,0.55,0.5,0.5,0.5,574726.0,2.88
2016-09-06,0.5,0.55,0.45,0.5,0.5,606754.0,3.04
2016-10-13,0.55,0.6,0.5,0.6,0.6,421890.0,2.41
2016-10-14,0.6,0.6,0.55,0.55,0.55,534693.0,2.96
2016-10-17,0.5,0.55,0.5,0.55,0.55,718963.0,3.67
2016-10-18,0.55,0.55,0.5,0.5,0.5,199411.0,1.01
2016-10-19,0.55,0.55,0.45,0.45,0.5,306363.0,1.49
2016-10-20,0.45,0.55,0.45,0.5,0.5,171537.0,0.84
2016-10-21,0.45,0.5,0.45,0.5,0.5,152534.0,0.73
2016-10-24,0.5,0.5,0.45,0.45,0.45,247773.0,1.21
2016-10-25,0.45,0.5,0.45,0.45,0.45,204775.0,0.97
2016-10-26,0.5,0.5,0.45,0.5,0.5,252796.0,1.23
2016-10-27,0.5,0.5,0.45,0.5,0.5,156206.0,0.75
2016-10-28,0.5,0.5,0.45,0.5,0.45,75648.0,0.36
2016-10-30,0.5,0.5,0.45,0.5,0.5,26773.0,0.13
2016-11-01,0.45,0.5,0.45,0.5,0.5,304212.0,1.49
2016-11-02,0.5,0.5,0.45,0.5,0.5,341618.0,1.56
2016-11-03,0.5,0.5,0.45,0.45,0.45,376191.0,1.77
2016-11-04,0.5,0.5,0.45,0.45,0.45,516881.0,2.38
2016-11-07,0.45,0.5,0.45,0.45,0.45,438990.0,2.02
2016-11-08,0.5,0.5,0.45,0.45,0.45,34249.0,0.16
2016-11-09,0.45,0.5,0.4,0.45,0.45,284647.0,1.28
2016-11-10,0.5,0.5,0.45,0.5,0.5,1039386.0,5.07
2016-11-11,0.5,0.55,0.5,0.55,0.55,854893.0,4.48
2016-11-15,0.55,0.6,0.5,0.5,0.5,635372.0,3.38
2016-11-16,0.5,0.5,0.45,0.45,0.45,181726.0,0.9
2016-11-17,0.45,0.5,0.45,0.5,0.5,61417.0,0.3
2016-11-18,0.45,0.5,0.45,0.45,0.45,304985.0,1.4
2016-11-21,0.45,0.5,0.4,0.45,0.45,1174187.0,5.21
2016-11-22,0.4,0.45,0.4,0.45,0.45,3462445.0,13.94
2016-11-23,0.45,0.45,0.4,0.45,0.45,371230.0,1.66
2016-11-24,0.4,0.45,0.4,0.45,0.45,29108.0,0.13
2016-11-25,0.45,0.45,0.4,0.45,0.4,350724.0,1.5
2016-11-28,0.4,0.45,0.4,0.45,0.4,123957.0,0.52
2016-11-29,0.4,0.45,0.4,0.45,0.45,133797.0,0.57
2016-11-30,0.45,0.5,0.4,0.5,0.5,353402.0,1.58
2016-12-01,0.5,0.5,0.45,0.5,0.5,488252.0,2.42
2016-12-02,0.5,0.55,0.45,0.55,0.5,474628.0,2.37
2016-12-05,0.5,0.55,0.45,0.5,0.5,206605.0,1.03
2016-12-06,0.55,0.55,0.45,0.5,0.5,277245.0,1.42
2016-12-07,0.45,0.5,0.45,0.5,0.5,272179.0,1.34
2016-12-08,0.5,0.5,0.45,0.5,0.5,264506.0,1.26
2016-12-09,0.5,0.5,0.45,0.5,0.5,180915.0,0.89
2016-12-12,0.45,0.5,0.45,0.5,0.5,47679.0,0.23
2016-12-13,0.45,0.5,0.45,0.45,0.45,156927.0,0.73
2016-12-14,0.5,0.5,0.45,0.45,0.45,61587.0,0.3
2016-12-15,0.45,0.5,0.45,0.45,0.45,118576.0,0.57
2016-12-16,0.45,0.5,0.45,0.45,0.45,81932.0,0.38
2016-12-19,0.45,0.5,0.45,0.45,0.45,231761.0,1.14
2016-12-20,0.5,0.5,0.45,0.45,0.45,27002.0,0.13
2016-12-21,0.45,0.5,0.4,0.5,0.5,288582.0,1.3
2016-12-22,0.4,0.5,0.4,0.45,0.45,362141.0,1.63
2016-12-23,0.5,0.5,0.4,0.45,0.45,76403.0,0.34
2016-12-26,0.4,0.45,0.4,0.45,0.45,84922.0,0.38
2016-12-27,0.4,0.45,0.4,0.4,0.4,430691.0,1.93
2016-12-28,0.45,0.45,0.4,0.4,0.45,120689.0,0.53
2016-12-29,0.45,0.45,0.4,0.45,0.45,139526.0,0.62
2016-12-30,0.45,0.45,0.4,0.45,0.45,158611.0,0.7
2017-01-02,0.45,0.45,0.4,0.4,0.4,3328523.0,13.51
2017-01-03,0.35,0.4,0.35,0.35,0.35,4281832.0,15.34
2017-01-04,0.35,0.35,0.3,0.35,0.35,1563359.0,5.47
2017-01-05,0.35,0.35,0.3,0.35,0.35,1245184.0,4.33
2017-01-06,0.35,0.35,0.3,0.35,0.35,3623635.0,12.68
2017-01-09,0.35,0.35,0.3,0.35,0.35,1935188.0,6.77
2017-01-10,0.35,0.35,0.3,0.35,0.35,1491112.0,5.21
2017-01-11,0.35,0.4,0.3,0.4,0.4,12494996.0,45.74
2017-01-12,0.45,0.45,0.4,0.45,0.45,2108199.0,9.48
2017-01-13,0.5,0.5,0.4,0.4,0.45,1377899.0,6.21
2017-01-16,0.45,0.5,0.4,0.45,0.45,1940546.0,8.71
2017-01-17,0.45,0.5,0.45,0.5,0.45,632064.0,2.88
2017-01-18,0.45,0.5,0.45,0.5,0.5,495163.0,2.32
2017-01-19,0.5,0.5,0.4,0.45,0.5,324351.0,1.52
2017-01-20,0.45,0.5,0.45,0.5,0.5,843034.0,3.84
2017-01-23,0.45,0.5,0.45,0.5,0.5,673675.0,3.29
2017-01-24,0.45,0.5,0.4,0.45,0.45,2487477.0,11.22
2017-01-25,0.45,0.5,0.45,0.5,0.45,558205.0,2.64
2017-01-27,0.45,0.5,0.45,0.5,0.5,512827.0,2.38
2017-01-30,0.45,0.5,0.4,0.4,0.4,1000923.0,4.48
2017-01-31,0.45,0.45,0.4,0.4,0.45,164365.0,0.72
2017-02-01,0.4,0.45,0.4,0.4,0.4,49245.0,0.21
2017-02-02,0.4,0.45,0.4,0.45,0.45,557625.0,2.47
2017-02-03,0.4,0.45,0.4,0.45,0.45,187300.0,0.79
2017-02-06,0.4,0.45,0.4,0.45,0.45,213617.0,0.95
2017-02-07,0.45,0.45,0.4,0.4,0.4,155304.0,0.65
2017-02-08,0.45,0.45,0.4,0.45,0.45,401714.0,1.8
2017-02-09,0.4,0.5,0.4,0.5,0.5,4862957.0,23.78
2017-02-10,0.55,0.6,0.5,0.6,0.6,4858763.0,28.08
2017-02-13,0.65,0.7,0.55,0.7,0.7,5812357.0,37.54
2017-02-14,0.75,0.75,0.7,0.75,0.75,3083032.0,22.89
2017-02-15,0.8,0.8,0.75,0.8,0.8,2694005.0,21.18
2017-02-16,0.85,0.85,0.75,0.85,0.85,1031176.0,8.59
2017-02-17,0.9,0.9,0.8,0.8,0.8,584844.0,4.7
2017-02-20,0.75,0.85,0.75,0.8,0.75,1574272.0,12.46
2017-02-21,0.7,0.8,0.7,0.75,0.7,568484.0,4.02
2017-02-22,0.65,0.7,0.65,0.65,0.65,943638.0,6.28
2017-02-23,0.65,0.7,0.6,0.7,0.65,816725.0,5.08
2017-02-27,0.6,0.7,0.6,0.65,0.65,203483.0,1.32
2017-02-28,0.6,0.7,0.6,0.7,0.7,577665.0,3.89
2017-03-01,0.75,0.75,0.65,0.75,0.75,3958471.0,28.75
2017-03-02,0.75,0.8,0.7,0.75,0.7,5843294.0,44.83
2017-03-03,0.75,0.75,0.65,0.65,0.7,1474038.0,10.33
2017-03-06,0.75,0.75,0.65,0.7,0.65,3139573.0,20.56
2017-03-07,0.7,0.7,0.6,0.6,0.6,2728725.0,16.53
2017-03-08,0.65,0.65,0.55,0.6,0.55,4994720.0,28.2
2017-03-09,0.55,0.6,0.5,0.55,0.55,4312847.0,23.83
