Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-02-24,16.9,17.6,16.85,17.0,16.9,3416.0,0.58
2012-02-27,17.4,17.45,16.1,16.1,16.2,6709.0,1.11
2012-02-28,16.1,16.75,16.1,16.5,16.6,12181.0,2.02
2012-02-29,16.15,16.8,16.15,16.5,16.55,10114.0,1.67
2012-03-01,16.5,16.85,16.05,16.05,16.1,5125.0,0.83
2012-03-02,16.6,16.8,16.3,16.75,16.65,5170.0,0.85
2012-03-03,16.0,16.85,15.9,16.85,16.7,10290.0,1.71
2012-03-05,17.35,17.35,15.9,16.2,16.25,14236.0,2.33
2012-03-06,16.45,16.5,15.4,16.25,16.2,11215.0,1.81
2012-03-07,15.55,16.1,15.55,15.6,15.6,8773.0,1.38
2012-03-09,15.5,16.45,15.5,16.25,15.95,7223.0,1.15
2012-03-12,15.75,16.4,15.5,15.5,15.85,6038.0,0.95
2012-03-13,15.65,16.3,14.55,15.55,15.55,13176.0,2.06
2012-03-14,14.0,16.25,14.0,15.25,15.4,11121.0,1.73
2012-03-15,15.05,15.65,14.7,15.1,15.0,7497.0,1.14
2012-03-16,13.5,16.45,13.5,14.6,14.7,26455.0,4.1
2012-03-19,14.2,15.5,14.0,14.0,14.25,9459.0,1.38
2012-03-20,15.4,15.4,14.0,14.9,14.6,10136.0,1.49
2012-03-21,13.15,15.45,13.15,14.4,14.3,15902.0,2.3
2012-03-22,14.05,14.75,13.1,13.45,13.25,16564.0,2.26
2012-03-23,13.85,13.85,12.9,13.6,13.1,19566.0,2.58
2012-03-26,13.45,13.8,12.75,12.85,13.0,12247.0,1.61
2012-03-27,13.0,13.6,12.25,12.3,12.4,21768.0,2.74
2012-03-28,12.55,12.55,11.2,11.75,11.5,22679.0,2.7
2012-03-29,11.75,12.05,11.35,12.05,12.0,15294.0,1.83
2012-03-30,12.6,12.6,11.4,11.9,11.9,23001.0,2.75
2012-04-02,12.4,12.4,11.9,11.9,11.9,34681.0,4.17
2012-04-03,12.35,12.45,12.2,12.45,12.45,8457.0,1.05
2012-04-04,12.85,13.05,12.65,13.05,13.05,8390.0,1.09
2012-04-09,13.5,13.55,13.0,13.05,13.1,8123.0,1.08
2012-04-10,13.0,13.4,12.55,12.9,12.8,5607.0,0.73
2012-04-11,13.0,13.25,12.65,13.1,12.95,3750.0,0.49
2012-04-12,12.7,13.15,12.7,12.8,12.85,2956.0,0.38
2012-04-13,12.8,12.95,12.65,12.9,12.7,2162.0,0.28
2012-04-16,12.45,12.95,12.35,12.95,12.85,5275.0,0.67
2012-04-17,12.35,13.1,12.35,12.95,12.95,6131.0,0.78
2012-04-18,13.0,13.0,12.65,12.8,12.7,4207.0,0.54
2012-04-19,12.9,12.9,12.55,12.85,12.75,2059.0,0.26
2012-04-20,12.45,12.75,12.4,12.7,12.55,5195.0,0.65
2012-04-23,12.05,13.0,12.05,12.4,12.35,8551.0,1.08
2012-04-24,12.4,12.7,12.25,12.25,12.3,7602.0,0.94
2012-04-25,12.25,12.8,12.05,12.6,12.5,10016.0,1.25
2012-04-26,12.35,12.65,12.2,12.65,12.4,3972.0,0.49
2012-04-27,12.5,12.5,12.1,12.1,12.1,1992.0,0.24
2012-04-28,11.5,12.45,11.5,12.35,12.2,849.0,0.1
2012-04-30,12.1,12.5,12.0,12.25,12.25,3117.0,0.38
2012-05-02,12.2,12.6,12.2,12.25,12.25,5780.0,0.71
2012-05-03,12.05,12.85,12.0,12.7,12.3,17809.0,2.2
2012-05-04,12.6,12.6,12.1,12.25,12.2,12486.0,1.52
2012-05-07,12.5,12.5,11.75,12.2,12.15,7914.0,0.95
2012-05-08,13.35,13.35,11.5,11.9,11.85,12011.0,1.44
2012-05-09,11.5,11.85,11.25,11.35,11.4,7902.0,0.91
2012-05-10,11.1,12.0,11.1,11.25,11.35,6409.0,0.74
2012-05-11,11.0,11.45,10.7,11.4,11.1,8233.0,0.91
2012-05-14,11.0,11.25,11.0,11.0,11.0,5002.0,0.55
2012-05-15,11.0,11.9,10.9,11.35,11.0,2548.0,0.28
2012-05-16,10.55,11.5,10.55,11.15,10.95,5389.0,0.59
2012-05-17,10.95,11.0,10.65,11.0,10.95,7823.0,0.85
2012-05-18,10.9,11.0,10.7,11.0,10.9,6521.0,0.71
2012-05-21,10.9,11.05,10.7,10.8,10.8,4138.0,0.45
2012-05-22,11.0,11.0,9.75,9.75,9.75,63247.0,6.31
2012-05-23,9.8,10.25,8.8,9.05,9.05,28129.0,2.55
2012-05-24,9.3,9.95,9.05,9.95,9.95,7453.0,0.72
2012-05-25,9.85,10.45,9.85,10.2,10.2,5769.0,0.58
2012-05-28,10.05,10.4,9.55,10.0,9.85,7658.0,0.76
2012-05-29,10.0,10.4,9.7,10.0,10.0,6257.0,0.63
2012-05-30,10.25,10.4,9.75,9.9,9.95,6993.0,0.7
2012-05-31,10.0,10.35,9.5,9.8,9.8,7741.0,0.76
2012-06-01,9.8,9.95,9.35,9.9,9.6,5503.0,0.53
