Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,59.05,61.8,57.05,61.0,61.0,4579.0,2.71
2010-01-05,61.6,63.0,59.15,62.8,62.2,12994.0,8.03
2010-01-06,63.0,63.8,60.3,63.2,63.05,11091.0,6.96
2010-01-07,62.85,63.5,61.2,62.1,62.25,2136.0,1.34
2010-01-08,60.25,64.0,60.25,63.35,63.4,4079.0,2.58
2010-01-11,63.0,64.5,62.1,64.5,64.0,2861.0,1.82
2010-01-12,63.1,67.0,60.8,61.0,61.9,9143.0,5.87
2010-01-13,60.3,63.4,60.3,62.0,62.05,2571.0,1.59
2010-01-14,63.9,63.9,62.05,62.1,62.95,1479.0,0.93
2010-01-15,62.0,63.9,61.5,62.0,62.25,5675.0,3.56
2010-01-18,62.0,63.9,61.0,63.0,62.1,1918.0,1.2
2010-01-19,63.0,63.0,61.25,61.25,61.45,3454.0,2.13
2010-01-20,62.95,62.95,61.1,61.55,61.55,1387.0,0.85
2010-01-21,61.1,61.1,59.0,59.0,59.75,2075.0,1.25
2010-01-22,57.0,58.9,57.0,57.2,57.2,320.0,0.19
2010-01-25,55.9,59.65,55.6,58.0,58.0,1165.0,0.67
2010-01-27,60.0,60.0,55.1,55.5,55.5,1174.0,0.66
2010-01-28,54.5,57.6,54.5,54.55,54.55,927.0,0.51
2010-01-29,52.0,56.0,51.85,56.0,54.45,2029.0,1.08
2010-02-01,53.0,55.9,53.0,53.5,53.5,465.0,0.25
2010-02-02,54.95,55.35,51.15,51.5,51.5,2151.0,1.14
2010-02-03,51.15,54.1,51.0,52.5,53.95,4271.0,2.28
2010-02-04,52.55,52.55,52.05,52.05,52.3,1050.0,0.55
2010-02-05,51.25,51.25,49.7,49.7,49.7,450.0,0.23
2010-02-06,49.75,49.75,49.75,49.75,49.75,125.0,0.06
2010-02-08,49.25,50.0,49.25,50.0,49.95,1322.0,0.66
2010-02-09,49.05,49.05,48.45,48.55,48.55,136.0,0.07
2010-02-10,48.6,50.85,46.7,48.0,48.0,1380.0,0.67
2010-02-11,48.3,49.8,47.05,48.0,48.0,1715.0,0.83
2010-02-15,48.5,48.5,47.5,47.5,47.5,907.0,0.44
2010-02-16,47.0,49.8,46.3,48.0,48.0,373.0,0.18
2010-02-17,48.0,49.75,48.0,49.75,49.5,357.0,0.18
2010-02-18,48.1,48.3,48.1,48.3,48.3,350.0,0.17
2010-02-19,46.0,49.0,46.0,47.55,47.6,1085.0,0.52
2010-02-22,47.6,50.0,47.6,50.0,50.0,1150.0,0.57
2010-02-23,48.0,48.0,47.5,47.5,47.8,1089.0,0.52
2010-02-24,46.0,47.0,45.85,46.9,46.3,1237.0,0.57
2010-02-25,44.25,47.7,44.25,45.8,45.8,1205.0,0.55
2010-02-26,45.0,47.85,45.0,46.55,46.55,1798.0,0.85
2010-03-02,48.75,48.75,45.75,48.2,48.05,1976.0,0.94
2010-03-03,48.2,48.5,47.1,48.0,47.75,1134.0,0.54
2010-03-04,46.75,50.1,46.75,50.0,49.85,1850.0,0.91
2010-03-05,49.1,50.05,49.0,49.3,49.35,2987.0,1.48
2010-03-08,51.0,51.6,49.7,49.7,49.7,1388.0,0.69
2010-03-09,46.7,51.7,46.7,47.75,47.75,935.0,0.45
2010-03-10,49.95,51.9,45.9,48.35,48.65,3132.0,1.54
2010-03-11,49.8,49.9,47.85,48.0,48.0,736.0,0.36
2010-03-12,48.5,48.5,48.5,48.5,48.5,840.0,0.41
2010-03-15,46.55,53.0,46.55,49.3,49.3,385.0,0.19
2010-03-16,47.3,50.9,47.3,49.9,49.25,1240.0,0.61
2010-03-17,49.55,50.4,47.95,48.6,48.6,3387.0,1.65
2010-03-18,47.85,49.9,47.85,48.6,49.35,963.0,0.47
2010-03-19,48.75,49.65,48.45,48.5,48.5,923.0,0.45
2010-03-22,46.15,48.7,46.15,47.25,47.3,1482.0,0.7
2010-03-23,46.75,47.5,46.75,47.5,47.5,1626.0,0.77
2010-03-25,46.05,48.0,46.0,46.25,46.25,2190.0,1.02
2010-03-26,45.3,49.75,45.3,46.0,46.3,3594.0,1.68
2010-03-29,48.0,50.0,45.95,47.0,47.0,557.0,0.26
2010-03-30,49.5,49.5,46.0,49.0,47.65,521.0,0.25
2010-03-31,49.0,49.0,47.15,47.6,48.65,2344.0,1.13
2010-04-01,47.45,50.2,47.45,50.0,49.95,1310.0,0.65
2010-04-05,48.7,54.45,48.7,53.25,53.65,8759.0,4.62
2010-04-06,51.0,59.0,51.0,58.45,58.2,17349.0,9.89
2010-04-07,58.25,61.3,58.1,60.9,60.2,22055.0,13.25
2010-04-08,58.4,63.25,58.2,60.15,62.3,54602.0,33.95
2010-04-09,64.0,65.45,61.35,65.45,65.45,185673.0,120.11
2010-04-12,65.5,67.95,64.1,65.0,65.45,42642.0,28.38
2010-04-13,65.0,65.0,62.2,62.2,62.2,7042.0,4.43
2010-04-15,65.0,65.0,59.25,59.5,59.5,8620.0,5.19
2010-04-16,61.3,61.3,56.55,56.55,56.7,7139.0,4.07
2010-04-19,54.0,55.7,54.0,54.85,55.2,5579.0,3.03
2010-04-20,55.1,57.5,55.1,55.45,55.9,5273.0,2.95
2010-04-21,55.45,58.3,55.0,58.3,58.3,5809.0,3.32
2010-04-22,57.05,60.0,57.05,59.0,59.15,6506.0,3.87
2010-04-23,59.0,59.85,58.4,59.25,59.4,3139.0,1.86
2010-04-26,59.2,60.35,59.2,60.0,59.6,6035.0,3.59
2010-04-27,58.7,60.5,57.0,58.1,58.4,1915.0,1.12
2010-04-28,56.0,58.85,56.0,57.55,56.6,3773.0,2.15
2010-04-29,56.25,58.35,55.1,56.0,56.1,2982.0,1.67
2010-04-30,56.35,58.5,56.35,57.5,57.3,4167.0,2.4
2010-05-03,56.5,56.5,55.5,55.5,55.5,1086.0,0.61
2010-05-04,56.65,57.6,53.5,53.5,54.0,3087.0,1.74
2010-05-05,53.1,53.95,51.5,52.5,53.5,3320.0,1.75
2010-05-06,51.55,54.0,51.55,53.75,53.45,2843.0,1.52
2010-05-07,52.0,52.0,50.8,51.0,51.0,170.0,0.09
2010-05-10,51.95,51.95,48.45,48.45,48.5,18977.0,9.23
2010-05-11,49.85,49.85,47.05,47.05,47.15,2014.0,0.97
2010-05-12,48.0,48.0,46.0,46.8,48.0,2926.0,1.39
2010-05-13,47.5,48.4,47.5,48.4,48.3,450.0,0.22
2010-05-14,47.2,47.9,46.7,46.85,46.85,2126.0,1.0
2010-05-17,46.0,47.6,44.6,45.5,45.5,2555.0,1.17
2010-05-18,45.8,46.75,45.75,46.0,46.0,400.0,0.18
2010-05-19,47.95,47.95,46.05,46.5,46.3,834.0,0.39
2010-05-20,45.4,46.55,45.0,45.05,45.05,1104.0,0.5
2010-05-21,44.3,44.3,43.4,44.0,44.0,1597.0,0.7
2010-05-24,45.95,45.95,41.85,42.0,42.25,2653.0,1.15
2010-05-25,43.5,43.5,42.0,42.6,42.55,1332.0,0.57
2010-05-26,41.2,43.1,41.15,42.4,42.65,1608.0,0.67
2010-05-27,44.4,44.45,42.1,42.6,42.6,810.0,0.34
