Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-07-11,84.0,84.0,81.3,81.3,81.3,11595.0,9.5
2016-07-12,79.8,81.5,79.7,79.7,79.7,5628.0,4.53
2016-07-13,80.5,80.9,79.0,80.0,80.0,6692.0,5.34
2016-07-14,80.95,81.6,80.95,81.6,81.6,3580.0,2.91
2016-07-15,82.9,82.9,81.3,82.5,82.5,4286.0,3.51
2016-07-18,82.75,82.85,82.5,82.5,82.5,4000.0,3.31
2016-07-19,83.0,83.5,82.5,82.5,82.5,5210.0,4.32
2016-07-20,83.0,83.1,81.75,82.5,82.5,8433.0,6.93
2016-07-21,83.15,83.15,82.65,83.0,83.0,4500.0,3.73
2016-07-22,83.5,83.5,83.0,83.0,83.0,3951.0,3.29
2016-07-25,83.5,84.25,83.0,84.25,84.25,4705.0,3.93
2016-07-26,85.1,85.5,84.3,85.5,84.5,4765.0,4.04
2016-07-27,85.55,85.9,85.0,85.0,85.0,4021.0,3.43
2016-07-28,85.2,86.5,85.2,86.5,86.3,4643.0,3.96
2016-07-29,85.55,87.2,85.35,85.35,85.35,5152.0,4.41
2016-08-01,85.5,85.75,85.0,85.0,85.0,4891.0,4.18
2016-08-02,86.05,86.5,86.0,86.5,86.5,5077.0,4.38
2016-08-03,87.0,87.0,86.0,86.0,86.0,5071.0,4.4
2016-08-04,86.5,87.7,86.0,86.0,86.05,5112.0,4.44
2016-08-05,86.95,89.85,86.5,87.0,87.0,4115.0,3.57
2016-08-08,87.0,88.0,86.75,88.0,88.0,5630.0,4.91
2016-08-09,87.5,87.8,87.35,87.5,87.5,5618.0,4.92
2016-08-10,87.5,88.5,87.0,88.5,88.5,5587.0,4.91
2016-08-11,89.0,92.5,88.5,88.5,88.5,5133.0,4.57
2016-08-12,89.0,91.8,88.55,88.7,88.7,10163.0,9.1
2016-08-16,89.0,89.1,88.5,88.5,88.5,5040.0,4.48
2016-08-17,89.0,91.9,84.4,89.65,89.65,15152.0,13.29
2016-08-18,92.0,93.0,88.5,93.0,90.5,10494.0,9.48
2016-08-19,88.0,88.8,88.0,88.0,88.4,6325.0,5.59
2016-08-22,89.4,90.5,84.3,89.0,89.05,8104.0,7.1
2016-08-23,93.5,93.5,87.0,88.0,88.1,6365.0,5.72
2016-08-24,91.5,91.5,84.2,84.2,85.65,20873.0,18.1
2016-08-25,85.0,88.0,81.4,85.0,85.0,3151.0,2.66
2016-08-26,87.0,89.25,83.0,89.25,89.25,1062.0,0.94
2016-08-29,93.7,93.7,89.25,89.55,91.05,855.0,0.79
