Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,206.0,214.95,205.5,205.5,205.5,251.0,0.52
2010-01-05,198.0,208.4,197.9,208.4,208.35,175.0,0.36
2010-01-06,200.0,203.0,200.0,201.0,201.0,4200.0,8.4
2010-01-07,200.0,200.0,195.0,196.0,196.0,2566.0,5.03
2010-01-08,193.0,207.0,190.3,200.0,199.95,4273.0,8.55
2010-01-11,200.0,205.05,200.0,205.05,205.05,200.0,0.4
2010-01-12,201.0,212.0,201.0,212.0,209.4,6407.0,13.43
2010-01-13,193.15,209.9,193.1,202.0,202.0,7876.0,15.6
2010-01-14,200.0,217.0,199.25,199.8,201.4,2223.0,4.49
2010-01-15,198.0,206.8,198.0,206.8,206.8,40.0,0.08
2010-01-18,200.0,204.15,197.0,197.2,199.65,927.0,1.84
2010-01-19,185.4,205.9,185.4,200.0,200.0,910.0,1.82
2010-01-20,200.0,200.0,200.0,200.0,200.0,100.0,0.2
2010-01-21,195.0,201.95,187.55,201.95,201.95,618.0,1.22
2010-01-22,188.0,199.55,188.0,189.5,189.5,310.0,0.6
2010-01-25,183.0,196.0,183.0,187.5,187.5,20001.0,36.83
2010-01-27,175.0,195.0,175.0,188.0,186.2,9144.0,16.13
2010-01-28,186.0,201.8,181.0,200.0,200.7,1763.0,3.37
2010-01-29,191.0,200.0,185.2,191.0,192.45,6133.0,11.81
2010-02-01,195.0,195.0,195.0,195.0,195.0,50.0,0.1
2010-02-02,193.75,196.5,193.75,193.75,194.0,99.0,0.19
2010-02-03,186.0,192.0,186.0,192.0,186.35,3220.0,6.0
2010-02-04,201.0,201.0,178.0,198.8,198.8,4690.0,8.72
2010-02-05,181.65,184.0,181.5,181.5,182.05,224.0,0.41
2010-02-06,191.3,191.3,191.3,191.3,191.3,25.0,0.05
2010-02-08,189.0,189.0,178.0,178.0,178.0,2.0,0.0
2010-02-09,190.85,190.9,176.0,189.95,189.95,225.0,0.43
