Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,910.05,944.5,906.15,930.0,932.0,58997.0,550.22
2010-01-05,939.95,946.0,922.0,926.7,925.3,38872.0,364.28
2010-01-06,930.0,934.2,911.0,913.1,914.7,22952.0,210.7
2010-01-07,921.9,969.0,856.25,934.6,934.3,118113.0,1119.36
2010-01-08,947.0,960.0,932.0,937.5,938.45,44797.0,424.98
2010-01-11,942.0,955.0,935.6,937.0,937.7,18638.0,176.08
2010-01-12,940.0,949.6,915.0,915.5,917.5,19914.0,185.68
2010-01-13,910.0,925.0,910.0,918.0,918.35,11461.0,105.48
2010-01-14,918.0,940.0,916.2,922.0,921.65,16864.0,156.61
2010-01-15,928.95,955.0,923.25,941.2,945.55,47769.0,450.22
2010-01-18,966.25,1050.0,957.0,960.0,962.0,58708.0,572.29
2010-01-19,975.9,975.9,947.0,949.0,949.9,17732.0,169.75
2010-01-20,965.0,965.0,934.0,936.0,937.9,13836.0,130.83
2010-01-21,943.0,943.0,905.4,910.0,909.35,16868.0,155.45
2010-01-22,916.0,934.0,893.0,911.0,906.35,53401.0,486.9
2010-01-25,902.0,924.9,895.0,898.0,901.15,17699.0,161.51
2010-01-27,904.0,904.1,836.0,840.0,848.05,16775.0,146.6
2010-01-28,855.0,871.0,825.2,837.4,836.35,16040.0,136.2
2010-01-29,835.0,866.0,801.2,861.9,856.45,21757.0,181.56
2010-02-01,874.4,932.2,840.0,926.0,922.15,62880.0,573.67
2010-02-02,937.0,944.0,908.0,908.5,913.85,46763.0,431.02
2010-02-03,920.0,926.0,903.0,904.5,905.1,11684.0,106.68
2010-02-04,908.9,935.0,880.2,891.9,887.65,45942.0,421.13
2010-02-05,862.4,874.0,842.3,852.0,854.7,29158.0,250.58
2010-02-06,888.9,888.9,860.25,883.75,883.75,7084.0,62.28
2010-02-08,893.0,913.0,882.0,884.95,884.6,24973.0,223.16
2010-02-09,896.0,896.45,873.95,886.0,885.35,18134.0,160.6
2010-02-10,894.0,910.0,868.0,872.0,873.4,26337.0,234.76
2010-02-11,882.0,889.95,871.2,873.5,874.65,9473.0,83.38
2010-02-15,882.0,888.0,856.0,859.7,860.45,13915.0,120.54
2010-02-16,863.0,875.45,850.5,857.4,856.6,17980.0,154.84
2010-02-17,866.05,879.0,852.5,857.0,856.75,55925.0,485.46
2010-02-18,860.0,870.2,846.0,848.5,848.25,20470.0,175.02
2010-02-19,845.0,845.0,828.0,836.0,834.2,10623.0,88.92
2010-02-22,864.4,864.4,830.0,830.0,831.4,15521.0,130.64
2010-02-23,830.0,837.0,822.0,826.8,825.45,8036.0,66.62
2010-02-24,820.0,827.85,811.2,814.9,817.15,8358.0,68.46
2010-02-25,828.95,828.95,811.05,815.5,813.1,6398.0,52.25
2010-02-26,823.0,834.95,811.5,828.65,821.65,11443.0,94.2
2010-03-02,826.0,858.0,826.0,847.7,847.75,19417.0,164.46
2010-03-03,857.95,872.0,854.0,855.1,859.4,27054.0,233.38
2010-03-04,846.0,912.0,846.0,895.0,893.3,73337.0,651.3
2010-03-05,901.0,910.0,890.0,897.6,899.9,19333.0,174.19
2010-03-08,904.0,914.4,887.15,888.0,889.85,10480.0,94.23
2010-03-09,882.15,891.8,875.0,880.0,878.95,6944.0,61.15
2010-03-10,862.0,895.0,862.0,872.35,873.55,7819.0,68.83
2010-03-11,885.0,886.4,856.5,858.6,860.05,7452.0,64.54
2010-03-12,860.0,880.0,860.0,870.0,870.35,14423.0,125.78
2010-03-15,867.0,874.95,850.0,855.0,855.65,6432.0,55.44
2010-03-16,861.95,864.0,853.15,862.0,860.85,6714.0,57.72
2010-03-17,867.0,878.0,860.0,860.35,861.45,7052.0,61.32
2010-03-18,869.0,869.0,857.0,859.0,860.1,3496.0,30.13
2010-03-19,859.95,899.9,859.95,881.0,882.1,44592.0,395.24
2010-03-22,871.1,878.0,865.2,867.0,868.2,6209.0,54.21
2010-03-23,877.7,877.7,864.1,872.0,870.45,4884.0,42.54
2010-03-25,869.1,888.9,863.5,866.75,868.2,12988.0,113.93
2010-03-26,871.0,890.0,864.0,864.0,867.9,17467.0,153.27
2010-03-29,877.15,877.15,757.0,760.0,815.45,25567.0,211.93
2010-03-30,861.55,861.55,787.4,826.9,825.5,32138.0,265.66
2010-03-31,837.95,855.0,814.1,853.9,848.6,43064.0,361.05
2010-04-01,851.0,867.95,837.0,853.2,852.85,9689.0,82.92
2010-04-05,860.0,865.0,831.0,863.0,856.7,13422.0,114.47
2010-04-06,862.0,866.0,850.9,863.85,862.25,6966.0,59.99
2010-04-07,864.0,882.0,862.2,868.05,868.95,13959.0,121.96
2010-04-08,870.95,874.0,851.1,856.0,854.5,14460.0,124.45
2010-04-09,861.9,867.95,848.05,851.1,853.5,15119.0,129.0
2010-04-12,858.0,869.0,853.0,853.1,854.0,8195.0,70.31
2010-04-13,852.25,869.5,852.25,864.9,865.6,15009.0,129.67
2010-04-15,869.5,896.05,865.0,875.1,878.85,30893.0,273.05
2010-04-16,887.9,887.9,870.0,882.0,882.15,13157.0,115.6
2010-04-19,878.0,878.0,842.0,865.0,858.65,12411.0,107.07
2010-04-20,869.35,886.0,861.5,872.5,876.2,6730.0,59.01
2010-04-21,879.95,890.0,872.05,883.0,879.5,9071.0,80.18
2010-04-22,886.9,905.7,877.7,894.0,891.75,26486.0,237.1
2010-04-23,895.0,905.0,885.5,886.3,889.85,6440.0,57.64
2010-04-26,904.95,917.0,890.0,903.0,904.3,17761.0,160.7
2010-04-27,905.0,942.0,901.1,932.85,925.95,89300.0,828.52
2010-04-28,907.1,944.0,902.05,905.85,905.05,37497.0,345.81
2010-04-29,910.1,930.0,910.1,915.0,916.75,10604.0,97.63
2010-04-30,925.0,927.0,905.0,911.0,913.5,10497.0,96.43
2010-05-03,910.0,917.0,900.1,900.5,902.0,8275.0,75.21
2010-05-04,908.0,915.0,878.0,879.1,882.6,8957.0,80.44
2010-05-05,854.0,880.0,826.15,877.95,878.0,10200.0,88.81
2010-05-06,875.0,879.0,850.0,870.05,870.6,5145.0,44.8
2010-05-07,850.0,869.95,836.0,849.4,847.85,6471.0,55.37
2010-05-10,854.0,875.0,852.0,859.0,859.35,14804.0,127.26
2010-05-11,870.0,878.4,856.5,862.0,858.1,4071.0,35.1
2010-05-12,856.05,865.0,856.0,860.0,858.9,4152.0,35.7
2010-05-13,869.0,871.0,860.1,871.0,868.7,5925.0,51.28
2010-05-14,870.0,880.0,865.05,871.0,869.8,30819.0,268.19
2010-05-17,856.75,871.0,850.0,871.0,866.45,10946.0,94.34
2010-05-18,869.95,889.0,865.35,880.0,881.95,7121.0,62.76
