Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-12-15,1500.0,1535.0,1475.0,1509.9,1496.45,10214.0,153.28
2010-12-16,1496.0,1530.0,1465.0,1470.0,1473.5,1781.0,26.41
2010-12-20,1470.0,1494.9,1426.1,1428.0,1441.6,4597.0,67.08
2010-12-21,1440.0,1449.7,1407.0,1440.0,1439.4,7777.0,111.05
2010-12-22,1438.9,1463.85,1430.25,1454.0,1451.05,2807.0,40.57
2010-12-23,1443.0,1550.0,1443.0,1550.0,1537.6,16698.0,252.86
2010-12-24,1510.0,1559.0,1502.75,1550.0,1539.45,5640.0,86.81
2010-12-27,1549.0,1555.0,1524.5,1550.0,1540.65,1153.0,17.74
2010-12-28,1540.0,1550.0,1523.1,1525.0,1528.0,1597.0,24.46
2010-12-29,1528.0,1558.0,1476.3,1535.0,1538.25,13802.0,211.15
2010-12-30,1530.0,1579.0,1526.15,1569.0,1569.55,14112.0,221.32
2010-12-31,1561.0,1603.0,1560.0,1583.1,1586.65,5762.0,91.94
2011-01-03,1560.1,1598.8,1560.0,1567.0,1568.05,955.0,15.07
2011-01-04,1568.0,1578.0,1538.5,1550.0,1554.85,3326.0,51.66
2011-01-05,1554.85,1569.0,1530.0,1530.0,1530.8,684.0,10.55
2011-01-06,1530.0,1544.7,1520.0,1530.1,1531.25,446.0,6.84
2011-01-07,1528.0,1530.0,1480.3,1480.3,1490.45,1092.0,16.42
2011-01-10,1490.0,1505.0,1460.15,1476.2,1471.25,2273.0,33.74
2011-01-11,1471.0,1501.0,1461.2,1470.0,1469.95,4277.0,63.26
2011-01-12,1470.0,1492.0,1461.0,1480.0,1480.2,14820.0,217.67
2011-01-13,1481.0,1548.9,1480.0,1505.0,1505.55,3050.0,46.12
2011-01-14,1500.0,1514.9,1477.25,1500.0,1501.0,5857.0,87.9
2011-01-17,1509.0,1509.0,1445.0,1455.0,1451.3,2684.0,39.38
2011-01-18,1451.3,1492.0,1451.3,1492.0,1487.45,1521.0,22.52
2011-01-19,1487.0,1505.0,1475.0,1479.0,1487.15,2069.0,31.0
2011-01-20,1498.0,1505.0,1498.0,1500.0,1500.8,5479.0,82.19
2011-01-21,1500.0,1504.0,1450.0,1475.0,1494.05,31391.0,470.74
2011-01-24,1481.0,1519.0,1468.0,1514.9,1503.65,1557.0,23.3
2011-01-25,1483.1,1517.0,1475.25,1475.25,1478.6,837.0,12.51
2011-01-27,1476.0,1494.65,1450.0,1474.0,1459.0,344.0,5.04
2011-01-28,1475.0,1475.0,1425.0,1430.0,1430.1,2251.0,32.33
2011-01-31,1420.0,1435.0,1402.0,1428.0,1415.0,1933.0,27.47
2011-02-01,1415.0,1430.0,1365.1,1365.2,1370.5,2225.0,30.85
2011-02-02,1380.0,1410.0,1359.0,1400.0,1375.2,1411.0,19.37
2011-02-03,1390.0,1451.0,1382.0,1390.0,1390.0,8422.0,117.07
2011-02-04,1434.95,1434.95,1380.0,1393.0,1389.9,889.0,12.37
2011-02-07,1370.0,1408.0,1359.0,1388.0,1371.5,611.0,8.44
2011-02-08,1369.0,1390.0,1211.4,1310.0,1304.15,18860.0,243.29
2011-02-09,1310.0,1329.8,1310.0,1320.0,1319.95,45761.0,604.04
2011-02-10,1305.0,1350.0,1285.3,1350.0,1333.35,11290.0,147.17
2011-02-11,1336.1,1341.0,1251.55,1300.0,1282.75,12567.0,166.57
2011-02-14,1380.0,1400.0,1301.05,1341.0,1343.9,30738.0,408.9
2011-02-15,1379.9,1379.9,1317.0,1317.0,1322.25,441.0,5.85
2011-02-16,1325.15,1338.95,1310.0,1318.0,1322.45,17652.0,233.9
2011-02-17,1330.0,1330.0,1310.1,1318.0,1316.1,712.0,9.4
2011-02-18,1330.0,1336.85,1275.0,1280.0,1288.05,5553.0,73.23
2011-02-21,1320.0,1320.0,1261.6,1278.0,1271.7,1127.0,14.44
2011-02-22,1272.0,1298.9,1260.0,1297.0,1291.15,3881.0,49.51
2011-02-23,1268.0,1314.65,1268.0,1290.0,1282.65,6461.0,83.3
2011-02-24,1266.0,1295.0,1265.0,1289.0,1281.75,5097.0,65.05
2011-02-25,1271.0,1309.0,1265.0,1280.0,1280.0,52834.0,676.27
2011-02-28,1296.55,1296.55,1257.0,1269.9,1267.05,480.0,6.11
2011-03-01,1288.0,1320.0,1263.0,1320.0,1297.95,1155.0,14.93
2011-03-03,1320.0,1329.0,1285.0,1313.0,1297.15,1486.0,19.28
2011-03-04,1290.2,1310.0,1278.1,1310.0,1293.85,1026.0,13.26
2011-03-07,1291.0,1301.0,1272.0,1301.0,1288.9,992.0,12.75
2011-03-08,1281.0,1305.0,1280.0,1300.05,1301.05,183.0,2.37
2011-03-09,1285.0,1314.95,1266.0,1266.0,1269.8,717.0,9.17
2011-03-10,1268.0,1289.95,1250.0,1269.9,1270.45,1183.0,15.11
2011-03-11,1289.75,1289.75,1241.0,1245.15,1249.5,414.0,5.2
2011-03-14,1250.0,1275.0,1232.0,1232.0,1241.55,1315.0,16.47
2011-03-15,1236.0,1249.0,1215.0,1215.0,1218.9,5017.0,61.91
2011-03-16,1239.9,1239.9,1202.0,1202.0,1206.3,789.0,9.61
2011-03-17,1205.05,1227.0,1205.05,1216.0,1213.1,879.0,10.73
2011-03-18,1207.0,1224.0,1205.25,1207.0,1212.3,288.0,3.5
2011-03-21,1210.0,1220.0,1171.0,1175.0,1180.0,475.0,5.64
2011-03-22,1185.0,1195.95,1163.1,1165.1,1172.5,1916.0,22.66
2011-03-23,1190.0,1190.0,1145.0,1160.0,1156.95,2764.0,32.26
2011-03-24,1160.0,1170.0,1130.0,1135.0,1136.25,2512.0,28.89
2011-03-25,1153.65,1319.9,1000.0,1271.0,1289.25,22559.0,280.17
2011-03-28,1313.0,1313.0,1176.6,1225.0,1212.65,4404.0,54.74
2011-03-29,1225.0,1225.0,1067.0,1210.0,1205.75,6164.0,73.58
2011-03-30,1205.0,1250.0,1192.0,1225.0,1231.8,9297.0,112.03
2011-03-31,1240.0,1280.0,1207.0,1242.0,1259.1,17279.0,211.47
2011-04-01,1240.0,1260.0,1220.0,1240.0,1254.1,3105.0,38.94
2011-04-04,1260.0,1275.0,1243.0,1271.0,1265.5,841.0,10.61
2011-04-05,1265.0,1279.0,1244.95,1260.0,1253.15,483.0,6.08
2011-04-06,1294.9,1294.9,1213.1,1280.0,1270.8,776.0,9.85
2011-04-07,1275.0,1324.0,1267.25,1297.0,1297.1,3308.0,42.95
2011-04-08,1299.0,1310.0,1231.2,1246.8,1262.1,3938.0,50.14
2011-04-11,1278.3,1278.3,1250.0,1270.0,1263.0,682.0,8.59
2011-04-13,1277.0,1279.9,1240.0,1250.0,1248.1,1065.0,13.4
2011-04-15,1277.5,1277.5,1151.4,1225.1,1234.4,1182.0,14.58
2011-04-18,1250.0,1250.0,1180.05,1195.0,1198.4,1310.0,15.83
2011-04-19,1249.55,1249.55,1211.1,1237.0,1225.6,747.0,9.15
2011-04-20,1245.7,1245.7,1211.0,1230.0,1233.1,966.0,11.92
2011-04-21,1276.0,1276.0,1220.0,1240.0,1238.1,1240.0,15.38
2011-04-25,1236.0,1259.0,1214.0,1245.9,1240.65,1794.0,22.29
2011-04-26,1440.0,1440.0,1217.0,1226.0,1227.3,825.0,10.2
2011-04-27,1228.1,1271.0,1215.6,1236.0,1226.5,880.0,10.82
2011-04-28,1224.0,1236.0,1215.0,1228.0,1223.75,391.0,4.79
2011-04-29,1239.0,1309.8,1204.2,1305.0,1269.1,3474.0,43.84
2011-05-02,1280.0,1289.0,1232.3,1270.0,1268.25,961.0,12.13
2011-05-03,1280.0,1280.0,1225.1,1250.0,1262.9,1058.0,13.3
2011-05-04,1228.6,1254.0,1222.3,1250.0,1250.15,2681.0,33.18
2011-05-05,1250.0,1269.0,1228.45,1269.0,1264.9,1025.0,12.86
