Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,95.5,98.4,94.85,95.75,95.25,215540.0,207.55
2010-01-05,96.8,96.8,92.4,93.2,93.0,104613.0,98.52
2010-01-06,94.2,95.65,91.2,93.6,94.6,161640.0,151.45
2010-01-07,94.0,95.0,92.3,92.5,93.15,190674.0,178.24
2010-01-08,94.5,96.0,92.55,94.35,93.95,311412.0,294.11
2010-01-11,94.7,96.0,92.6,92.6,93.05,164746.0,156.34
2010-01-12,93.0,97.85,92.25,92.4,92.6,384775.0,366.26
2010-01-13,92.9,97.0,92.4,93.5,93.7,294491.0,278.74
2010-01-14,94.5,98.8,92.75,97.0,97.3,309859.0,298.4
2010-01-15,97.2,101.5,96.6,98.8,98.9,403060.0,400.85
2010-01-18,98.8,101.9,97.8,98.25,98.75,191467.0,191.54
2010-01-19,98.75,99.6,95.0,96.15,95.5,153495.0,149.08
2010-01-20,95.5,97.4,93.0,93.35,93.45,152133.0,143.19
2010-01-21,94.8,95.15,90.1,90.65,90.8,190595.0,177.0
2010-01-22,88.9,90.0,77.5,84.6,85.15,854123.0,722.81
2010-01-25,84.0,89.8,82.0,82.8,82.5,141562.0,120.4
2010-01-27,83.0,84.5,77.55,77.6,78.15,90249.0,72.96
2010-01-28,81.7,81.7,76.1,79.5,78.5,100940.0,79.59
2010-01-29,77.5,79.4,73.25,76.65,77.5,64209.0,49.0
2010-02-01,77.5,79.0,75.55,77.25,77.15,69333.0,53.9
2010-02-02,78.9,82.9,78.0,78.3,78.6,109904.0,88.35
2010-02-03,70.3,82.0,70.15,79.7,79.95,61778.0,49.49
2010-02-04,79.3,80.0,77.0,77.7,77.4,18151.0,14.26
2010-02-05,74.2,76.0,73.0,73.2,73.65,49633.0,36.9
2010-02-06,75.0,75.65,74.0,75.15,75.15,6523.0,4.89
2010-02-08,75.15,76.75,73.05,74.7,74.5,31644.0,23.61
2010-02-09,75.3,75.8,74.5,74.85,75.0,19780.0,14.87
2010-02-10,76.3,76.5,74.1,75.0,75.2,28103.0,21.12
2010-02-11,74.8,77.35,74.8,76.3,76.05,40123.0,30.51
2010-02-15,77.3,79.4,77.0,77.9,77.4,68898.0,53.91
2010-02-16,77.95,78.3,75.2,76.8,76.65,25282.0,19.38
2010-02-17,77.0,78.9,76.6,78.0,77.65,40314.0,31.36
2010-02-18,78.35,78.35,77.0,77.7,77.25,14716.0,11.42
2010-02-19,77.05,78.0,76.0,77.4,77.2,71889.0,55.43
2010-02-22,77.2,80.0,77.0,77.05,77.0,50563.0,39.21
2010-02-23,76.95,82.4,76.95,78.65,79.0,461887.0,362.9
2010-02-24,81.1,82.4,79.1,80.35,80.15,445446.0,358.65
2010-02-25,80.95,80.95,77.0,78.35,78.15,173609.0,135.61
2010-02-26,80.0,82.5,78.0,78.25,78.25,211019.0,169.22
2010-03-02,81.5,81.5,77.0,80.1,80.2,404041.0,317.24
2010-03-03,81.0,87.0,79.75,86.1,86.2,683307.0,566.73
2010-03-04,86.95,91.0,86.95,90.75,90.45,603214.0,542.13
2010-03-05,90.5,92.55,90.3,92.3,91.85,286050.0,262.71
2010-03-08,92.9,97.2,91.0,96.5,96.1,1981755.0,1882.17
2010-03-09,96.8,98.05,92.15,93.7,92.8,123017.0,116.46
2010-03-10,93.0,93.0,88.0,90.5,90.95,654236.0,588.29
2010-03-11,92.5,92.55,88.05,88.85,88.8,155362.0,139.96
