Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,68.6,70.85,68.6,70.85,70.8,16666.0,11.7
2010-01-05,73.85,74.35,72.0,72.5,72.7,23122.0,17.02
2010-01-06,73.0,76.35,70.3,76.35,75.6,23412.0,17.52
2010-01-07,79.0,79.4,75.55,77.75,77.85,37687.0,29.62
2010-01-08,80.5,84.95,77.55,80.0,79.15,19960.0,16.3
2010-01-11,80.0,86.0,80.0,83.0,83.15,24153.0,20.07
2010-01-12,83.0,85.9,79.0,79.0,79.35,11256.0,9.33
2010-01-13,79.1,81.45,79.0,80.0,80.35,18825.0,15.11
2010-01-14,79.0,83.0,79.0,82.0,81.55,10952.0,8.98
2010-01-15,84.0,84.0,81.0,81.0,81.05,8259.0,6.75
2010-01-18,82.5,84.45,80.0,80.0,82.2,18794.0,15.6
2010-01-19,83.35,84.0,77.2,77.2,78.75,8216.0,6.7
2010-01-20,80.0,80.0,76.0,76.0,76.45,7441.0,5.77
2010-01-21,72.1,77.0,71.7,71.75,71.8,7962.0,5.8
2010-01-22,70.0,71.9,66.0,69.0,68.3,8269.0,5.73
2010-01-25,69.95,69.95,64.2,64.2,65.3,9771.0,6.5
2010-01-27,62.25,64.0,58.8,59.9,59.4,9706.0,5.92
2010-01-28,61.5,61.5,57.1,57.1,58.55,4838.0,2.88
2010-01-29,56.25,61.45,56.25,61.0,60.7,4240.0,2.49
2010-02-01,63.35,63.35,62.0,62.25,62.25,1977.0,1.24
2010-02-02,62.0,64.0,60.0,61.0,60.6,1576.0,0.97
2010-02-03,62.0,62.0,59.9,59.9,60.4,2697.0,1.65
2010-02-04,61.9,62.75,59.1,61.7,61.4,1712.0,1.05
2010-02-05,58.4,58.4,58.35,58.35,58.35,1108.0,0.65
2010-02-06,56.0,58.0,56.0,57.25,57.25,2302.0,1.32
2010-02-08,57.5,58.95,55.25,58.0,57.95,9059.0,5.23
2010-02-09,59.3,59.4,56.8,57.2,57.35,2130.0,1.22
2010-02-10,57.35,58.45,54.65,55.4,55.6,4717.0,2.65
2010-02-11,56.0,58.25,55.2,56.4,56.95,5468.0,3.11
2010-02-15,58.7,58.7,55.0,55.6,55.6,5415.0,3.02
2010-02-16,55.0,56.9,53.3,55.6,55.75,3906.0,2.16
2010-02-17,55.0,58.55,55.0,58.55,58.5,9198.0,5.35
2010-02-18,60.0,61.25,58.3,58.5,58.55,2468.0,1.47
2010-02-19,56.25,57.8,56.25,56.25,56.25,550.0,0.31
2010-02-22,56.95,56.95,54.1,54.15,54.15,1272.0,0.71
2010-02-23,55.9,55.9,51.6,52.0,52.35,1715.0,0.9
2010-02-24,52.85,52.85,50.15,52.8,52.3,192.0,0.1
2010-02-25,50.85,53.95,50.0,51.55,51.55,8602.0,4.5
2010-02-26,50.2,53.8,50.2,52.95,52.95,1991.0,1.04
2010-03-02,53.3,54.0,52.65,53.85,53.8,1270.0,0.68
2010-03-03,55.9,56.5,55.9,56.5,56.5,2725.0,1.54
2010-03-04,59.3,59.35,57.1,57.1,57.7,8425.0,4.92
2010-03-05,59.5,59.5,55.5,57.5,57.5,2850.0,1.65
2010-03-08,57.9,59.2,56.5,57.0,56.9,1200.0,0.69
2010-03-09,56.9,57.5,55.3,57.5,57.45,975.0,0.55
2010-03-10,58.9,59.0,56.2,56.2,56.55,3489.0,2.0
2010-03-11,55.15,58.8,55.15,56.5,56.8,5122.0,2.97
2010-03-12,57.0,58.5,55.1,55.1,55.6,2146.0,1.21
2010-03-15,54.15,55.9,53.8,54.05,54.4,3503.0,1.91
2010-03-16,53.05,58.5,53.0,56.0,57.1,3083.0,1.76
2010-03-17,57.45,57.85,55.2,55.25,56.0,3075.0,1.74
2010-03-18,56.75,57.4,55.0,55.25,55.8,6824.0,3.82
2010-03-19,56.95,57.25,55.5,57.25,56.55,2966.0,1.68
2010-03-22,57.7,59.9,55.6,55.6,56.15,5554.0,3.22
2010-03-23,55.1,56.8,54.1,55.2,55.5,1261.0,0.7
2010-03-25,54.1,60.25,54.1,57.7,58.9,28059.0,16.32
2010-03-26,58.9,59.6,56.3,57.0,56.35,3421.0,1.96
2010-03-29,55.15,56.4,55.15,55.2,55.2,6781.0,3.75
2010-03-30,55.05,58.7,55.05,56.05,56.6,5812.0,3.32
2010-03-31,55.1,57.85,55.1,55.5,56.2,3955.0,2.26
2010-04-01,56.2,58.35,56.2,58.35,58.0,2017.0,1.16
2010-04-05,61.7,63.8,59.5,63.75,63.8,21777.0,13.57
2010-04-06,64.0,69.9,64.0,68.0,68.5,28322.0,19.28
2010-04-07,69.5,69.5,66.25,67.4,66.95,6125.0,4.17
2010-04-08,68.5,68.8,66.05,66.95,66.55,3103.0,2.1
2010-04-09,65.5,66.5,64.1,64.65,65.2,3927.0,2.57
2010-04-12,66.55,66.55,63.3,65.35,65.05,3480.0,2.25
2010-04-13,66.5,66.5,65.0,66.0,65.4,2051.0,1.34
2010-04-15,67.0,67.0,62.4,62.6,64.05,8067.0,5.25
2010-04-16,64.75,66.9,62.75,64.95,63.45,2843.0,1.84
2010-04-19,62.0,63.0,61.5,61.5,61.65,1661.0,1.03
2010-04-20,61.25,63.5,61.25,63.0,62.1,5709.0,3.57
2010-04-21,64.9,67.5,64.0,64.5,65.0,8467.0,5.54
2010-04-22,63.9,71.5,60.6,71.5,71.5,27043.0,18.91
2010-04-23,76.8,77.6,72.5,74.2,74.4,30600.0,22.84
2010-04-26,75.6,77.0,73.0,74.3,75.55,11114.0,8.36
2010-04-27,76.4,76.4,73.6,74.0,73.75,4207.0,3.14
2010-04-28,72.0,74.0,69.55,69.55,69.9,7304.0,5.16
2010-04-29,70.0,72.15,70.0,71.5,71.45,1591.0,1.13
2010-04-30,72.3,78.5,71.0,76.35,75.8,21989.0,16.67
2010-05-03,71.75,77.0,71.6,72.0,72.35,4790.0,3.51
2010-05-04,74.9,74.9,72.05,72.05,72.35,7534.0,5.53
2010-05-05,68.15,70.85,68.15,69.5,69.6,5606.0,3.88
2010-05-06,70.0,71.9,68.6,70.15,70.15,2477.0,1.74
2010-05-07,68.9,68.95,66.0,67.5,67.4,6130.0,4.16
2010-05-10,65.0,79.0,64.7,72.0,72.2,75011.0,56.02
2010-05-11,73.85,76.75,72.9,73.0,73.1,10096.0,7.54
2010-05-12,71.6,73.9,71.6,72.75,72.4,2456.0,1.79
2010-05-13,75.0,75.0,72.0,72.0,72.25,2236.0,1.65
2010-05-14,71.05,72.95,68.0,68.0,69.4,5628.0,3.98
2010-05-17,65.0,69.7,65.0,68.85,67.8,4500.0,3.08
2010-05-18,64.5,70.7,64.5,68.0,68.4,3095.0,2.13
2010-05-19,62.0,69.95,62.0,65.5,65.65,2679.0,1.8
2010-05-20,60.0,68.4,60.0,64.0,63.8,3002.0,1.96
2010-05-21,58.0,65.5,58.0,62.0,62.95,1625.0,1.02
