Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,52.0,52.95,50.0,51.45,51.5,27712.0,14.43
2010-01-05,52.75,53.0,50.8,51.5,51.25,9668.0,5.01
2010-01-06,52.4,52.4,50.5,51.9,51.1,10065.0,5.19
2010-01-07,52.0,52.0,50.15,50.35,50.65,9825.0,5.02
2010-01-08,52.5,55.2,50.8,51.35,51.35,62592.0,33.19
2010-01-11,51.5,56.8,51.5,54.0,54.5,89817.0,48.6
2010-01-12,55.5,56.5,53.0,53.5,53.55,102282.0,56.16
2010-01-13,53.55,54.8,52.0,54.0,53.95,30954.0,16.46
2010-01-14,55.0,56.0,53.0,53.85,53.85,64002.0,34.57
2010-01-15,57.7,57.7,54.0,54.35,54.05,42352.0,23.05
2010-01-18,54.9,57.7,54.05,57.2,57.15,157052.0,88.61
2010-01-19,57.0,58.5,55.4,55.5,55.6,37390.0,21.21
2010-01-20,56.05,56.5,53.5,55.0,55.0,40644.0,22.4
2010-01-21,54.0,55.35,52.5,52.6,52.8,17519.0,9.47
2010-01-22,52.0,52.0,49.2,51.0,51.1,28580.0,14.42
2010-01-25,51.0,51.0,50.0,50.25,50.55,13863.0,7.01
2010-01-27,50.25,50.5,47.6,47.6,48.0,28755.0,13.98
2010-01-28,47.1,51.5,45.55,46.0,46.0,20644.0,9.71
2010-01-29,45.95,46.9,44.0,46.1,45.5,21412.0,9.63
2010-02-01,44.1,44.55,43.75,44.1,44.3,49392.0,21.81
2010-02-02,45.0,46.25,43.3,43.9,43.5,25669.0,11.49
2010-02-03,44.5,44.75,43.35,44.55,44.05,12735.0,5.64
2010-02-04,44.5,44.65,42.8,43.1,43.25,11245.0,4.94
2010-02-05,43.0,43.5,41.6,42.65,42.45,10703.0,4.53
2010-02-06,44.0,44.0,42.55,43.1,43.1,2578.0,1.12
2010-02-08,43.95,44.45,42.5,42.6,43.15,4180.0,1.81
2010-02-09,42.5,43.4,41.55,41.8,42.0,5963.0,2.52
2010-02-10,42.5,43.75,42.15,43.5,42.75,24741.0,10.62
2010-02-11,43.0,43.5,42.3,43.25,43.25,5132.0,2.21
2010-02-15,43.5,44.3,42.2,42.45,42.65,4508.0,1.94
2010-02-16,42.0,43.4,41.75,41.75,42.0,5914.0,2.51
2010-02-17,42.0,42.9,42.0,42.9,42.6,8993.0,3.81
2010-02-18,42.5,43.45,41.75,42.1,42.35,6264.0,2.67
2010-02-19,41.7,42.45,40.3,40.6,40.65,9111.0,3.75
2010-02-22,41.5,41.6,39.3,40.45,39.9,12147.0,4.88
2010-02-23,40.3,40.4,39.75,40.0,40.0,13038.0,5.22
2010-02-24,40.0,40.5,39.75,40.35,40.35,12661.0,5.07
2010-02-25,40.05,41.4,40.0,40.1,40.2,3477.0,1.4
2010-02-26,40.1,41.0,40.0,40.0,40.05,6792.0,2.74
2010-03-02,40.75,41.9,40.25,41.9,41.5,4547.0,1.88
2010-03-03,41.95,43.25,41.5,43.25,42.95,4585.0,1.95
2010-03-04,42.5,43.4,41.6,43.0,42.6,2316.0,0.99
2010-03-05,43.0,43.4,42.05,42.15,42.4,937.0,0.4
2010-03-08,42.55,44.55,42.05,44.3,44.3,13028.0,5.69
2010-03-09,43.5,43.5,42.35,43.0,42.85,5652.0,2.43
2010-03-10,43.7,44.4,42.5,43.1,43.55,7790.0,3.38
2010-03-11,43.5,43.5,42.65,43.0,43.0,1859.0,0.8
2010-03-12,43.0,44.5,43.0,44.0,44.0,14060.0,6.18
2010-03-15,42.3,43.75,42.0,42.5,42.5,10679.0,4.55
2010-03-16,42.25,43.2,42.0,43.2,43.2,1274.0,0.54
2010-03-17,43.45,43.45,42.0,42.0,42.05,8458.0,3.56
2010-03-18,41.7,42.5,41.7,41.7,41.95,10613.0,4.47
2010-03-19,41.5,44.0,41.45,43.85,42.95,7647.0,3.26
2010-03-22,42.0,43.05,41.0,42.05,42.05,9228.0,3.89
2010-03-23,42.05,42.45,41.5,42.05,42.0,2688.0,1.12
2010-03-25,41.6,43.6,41.5,42.95,42.4,13893.0,5.85
2010-03-26,41.8,43.9,41.8,42.0,42.0,3192.0,1.36
2010-03-29,42.5,43.9,42.0,42.05,42.1,5092.0,2.15
2010-03-30,42.0,45.8,41.55,42.0,42.05,8084.0,3.43
2010-03-31,42.8,42.9,42.0,42.7,42.2,2671.0,1.13
2010-04-01,42.85,45.0,42.3,43.15,43.95,39073.0,17.14
2010-04-05,44.45,47.5,43.9,46.0,45.9,34103.0,15.8
2010-04-06,45.5,47.0,45.25,46.6,46.35,11602.0,5.39
2010-04-07,48.0,49.0,46.6,46.6,46.9,15308.0,7.31
2010-04-08,46.2,47.95,45.35,46.0,46.05,8023.0,3.73
2010-04-09,47.45,47.5,46.05,46.45,46.45,3407.0,1.59
2010-04-12,46.1,48.0,45.35,45.35,45.8,4545.0,2.12
