Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,63.75,67.9,63.75,67.9,67.9,300.0,0.2
2010-01-05,64.5,67.45,64.5,64.65,64.65,499.0,0.33
2010-01-06,65.5,65.5,64.9,64.9,64.9,2.0,0.0
2010-01-07,61.65,64.9,61.65,64.9,64.85,37.0,0.02
2010-01-08,64.9,64.9,62.0,62.0,62.0,80.0,0.05
2010-01-11,64.7,64.7,59.1,59.1,59.1,62.0,0.04
2010-01-13,62.1,62.1,61.9,62.1,62.0,69.0,0.04
2010-01-15,64.9,65.1,64.9,65.1,65.1,400.0,0.26
2010-01-18,63.0,64.0,63.0,63.05,63.05,92.0,0.06
2010-01-20,60.3,66.15,60.3,62.15,62.15,9027.0,5.78
2010-01-21,65.3,65.3,60.75,60.75,60.75,266.0,0.17
2010-01-22,63.7,63.75,58.5,63.55,61.55,2259.0,1.39
2010-01-25,63.05,63.05,58.7,63.0,60.85,302.0,0.18
2010-01-27,61.0,61.0,58.0,58.0,58.4,22.0,0.01
2010-01-28,60.0,61.0,59.0,59.0,59.0,31.0,0.02
2010-02-01,61.0,61.0,61.0,61.0,61.0,25.0,0.02
2010-02-02,63.0,63.0,61.0,61.0,61.0,100.0,0.06
2010-02-04,63.95,64.0,63.95,64.0,63.95,135.0,0.09
2010-02-05,60.75,60.75,60.75,60.75,60.75,834.0,0.51
2010-02-11,59.05,59.05,59.05,59.05,59.05,30.0,0.02
2010-02-24,56.5,61.0,56.5,60.0,60.0,1400.0,0.82
2010-02-26,58.0,61.0,58.0,61.0,59.5,600.0,0.36
2010-03-04,62.5,62.5,62.5,62.5,62.5,10.0,0.01
2010-03-05,59.4,63.8,59.4,59.8,61.55,1420.0,0.87
2010-03-08,58.7,63.7,58.7,63.7,61.3,208.0,0.13
2010-03-09,58.25,58.25,58.25,58.25,58.25,8.0,0.0
2010-03-15,55.35,58.7,55.35,58.7,58.7,201.0,0.11
2010-03-17,55.85,61.65,55.85,56.35,56.35,110.0,0.06
2010-03-26,53.55,59.2,53.55,59.2,59.2,81.0,0.05
2010-03-31,60.95,61.0,60.95,61.0,61.0,11.0,0.01
2010-04-05,61.5,63.0,58.0,63.0,63.0,1050.0,0.64
2010-04-12,63.9,64.0,59.85,64.0,61.9,401.0,0.25
2010-04-13,63.9,63.9,59.2,59.2,61.55,300.0,0.18
2010-04-21,58.5,59.0,58.5,59.0,59.0,100.0,0.06
2010-04-26,58.15,58.15,58.15,58.15,58.15,100.0,0.06
2010-04-29,58.15,58.55,58.15,58.55,58.55,25.0,0.01
2010-04-30,60.1,60.1,60.1,60.1,60.1,100.0,0.06
2010-05-07,63.15,63.15,63.15,63.15,63.15,2.0,0.0
2010-05-10,65.6,65.6,61.0,62.3,62.3,301.0,0.19
2010-05-28,59.2,65.2,59.2,59.2,59.2,620.0,0.39
2010-05-31,59.2,59.2,59.0,59.0,59.0,3.0,0.0
2010-06-01,56.05,60.95,56.05,60.95,60.95,11.0,0.01
2010-06-03,57.9,62.05,57.9,62.05,61.4,14.0,0.01
2010-06-04,61.9,61.95,58.35,58.35,58.35,101.0,0.06
2010-06-07,55.5,61.0,55.5,60.8,60.7,3104.0,1.81
2010-06-08,63.3,63.3,60.0,62.85,62.85,96.0,0.06
2010-06-09,64.4,64.4,60.0,62.95,62.95,252.0,0.15
2010-06-10,62.15,62.15,61.5,61.5,61.5,2.0,0.0
2010-06-11,59.0,59.0,58.45,58.45,58.45,2.0,0.0
2010-06-16,56.0,61.0,56.0,61.0,58.5,200.0,0.12
2010-06-22,55.6,55.75,55.6,55.7,55.7,134.0,0.07
2010-06-23,55.0,58.45,55.0,58.45,56.55,336.0,0.19
2010-06-24,56.0,58.3,56.0,58.3,58.3,200.0,0.11
2010-06-29,56.1,60.85,56.1,60.8,60.8,417.0,0.24
2010-06-30,57.8,57.8,57.8,57.8,57.8,34.0,0.02
2010-07-02,56.0,60.0,56.0,60.0,60.0,500.0,0.29
2010-07-07,57.0,57.0,57.0,57.0,57.0,10.0,0.01
2010-07-13,59.8,59.8,59.8,59.8,59.8,102.0,0.06
2010-07-14,59.8,59.95,56.85,59.95,59.95,38.0,0.02
2010-07-19,60.95,60.95,56.95,56.95,56.95,28.0,0.02
2010-07-20,56.95,59.25,54.15,55.0,55.0,276.0,0.16
2010-07-23,53.15,57.0,53.0,53.0,53.0,804.0,0.44
2010-07-26,53.0,53.0,53.0,53.0,53.0,89.0,0.05
2010-07-27,50.35,55.65,50.35,55.65,55.65,312.0,0.17
