Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,322.5,344.0,317.25,333.1,334.65,555466.0,1846.66
2010-01-05,336.0,338.4,327.0,328.0,328.45,56658.0,188.35
2010-01-06,333.0,333.0,322.1,331.9,329.9,33482.0,110.15
2010-01-07,335.0,357.5,328.0,329.0,330.55,654142.0,2238.87
2010-01-08,334.0,337.0,325.0,325.95,326.55,493050.0,1634.16
2010-01-11,330.0,332.95,325.0,330.2,329.55,45617.0,149.82
2010-01-12,325.5,336.0,324.05,335.0,332.95,228431.0,760.61
2010-01-13,330.1,338.9,327.55,330.75,330.0,42881.0,142.63
2010-01-14,338.0,343.0,334.05,334.25,335.45,53444.0,180.43
2010-01-15,337.95,338.0,333.0,335.4,335.75,25262.0,84.77
2010-01-18,335.6,335.95,320.15,322.6,322.25,49549.0,162.14
2010-01-19,325.0,338.0,307.0,308.0,308.85,112705.0,354.67
2010-01-20,315.0,321.8,309.65,316.5,315.95,62201.0,196.76
2010-01-21,316.9,324.75,297.0,305.0,303.45,141043.0,438.76
2010-01-22,300.0,300.95,288.75,300.0,295.0,88489.0,261.57
2010-01-25,295.1,305.0,290.55,302.0,303.1,72654.0,218.69
2010-01-27,301.0,305.0,291.0,294.35,293.5,69788.0,207.61
2010-01-28,298.0,307.9,291.1,292.5,293.7,42889.0,128.81
2010-01-29,289.0,309.95,285.0,309.45,307.15,57384.0,170.26
2010-02-01,304.1,308.8,297.05,300.9,302.05,39975.0,120.61
2010-02-02,310.0,310.0,297.5,298.2,298.35,23805.0,72.62
2010-02-03,303.9,305.3,301.05,305.0,303.1,16379.0,49.7
2010-02-04,305.0,306.7,295.0,296.0,296.55,18600.0,56.01
2010-02-05,282.1,296.0,281.5,288.0,288.0,27948.0,80.94
2010-02-06,290.0,302.9,290.0,296.55,296.55,4746.0,14.01
2010-02-08,299.0,301.0,285.0,287.0,287.7,31699.0,92.63
2010-02-09,286.0,292.9,283.0,285.05,286.05,30071.0,86.44
2010-02-10,287.45,294.0,285.1,285.55,286.75,16486.0,47.79
2010-02-11,290.1,295.0,290.0,291.9,291.1,15294.0,44.68
2010-02-15,297.6,297.6,287.55,287.55,288.85,11313.0,32.83
2010-02-16,290.0,290.0,281.0,285.0,284.65,31301.0,89.16
2010-02-17,290.9,292.0,287.0,287.4,288.25,8772.0,25.35
2010-02-18,291.9,291.9,285.15,288.45,287.85,47587.0,137.13
2010-02-19,288.0,290.0,276.0,287.95,287.45,16856.0,47.75
2010-02-22,299.0,299.0,282.0,284.3,283.4,45937.0,132.93
2010-02-23,280.0,290.0,278.25,286.0,282.9,12081.0,34.06
2010-02-24,287.9,294.1,281.15,284.0,285.0,215193.0,624.53
2010-02-25,285.0,287.5,275.0,275.6,277.25,19476.0,54.63
2010-02-26,278.1,288.0,274.1,287.9,285.1,31638.0,88.99
2010-03-02,285.75,289.8,283.0,289.8,287.1,16416.0,46.92
2010-03-03,289.7,293.4,285.0,287.75,287.9,19880.0,57.53
2010-03-04,288.05,291.0,285.35,286.9,286.75,11118.0,32.03
2010-03-05,287.45,297.0,287.4,292.1,293.25,23557.0,68.8
2010-03-08,298.9,299.9,293.2,294.0,294.1,21040.0,62.55
2010-03-09,297.75,297.75,289.0,293.2,293.8,24538.0,71.67
2010-03-10,292.1,296.85,291.1,293.0,292.65,6907.0,20.29
2010-03-11,293.0,297.4,291.1,292.0,292.35,18580.0,54.53
2010-03-12,287.05,296.3,287.05,295.0,294.75,18743.0,55.25
2010-03-15,296.0,312.7,293.0,302.0,302.15,49923.0,149.05
2010-03-16,304.4,305.85,300.0,300.15,301.4,19827.0,60.03
2010-03-17,301.5,304.0,299.1,301.1,301.1,35178.0,106.1
2010-03-18,300.0,304.0,295.25,295.25,296.95,7345.0,21.97
2010-03-19,295.0,301.0,293.0,300.2,298.15,12991.0,38.64
2010-03-22,295.0,298.95,294.25,294.25,295.5,8735.0,25.89
2010-03-23,297.15,297.75,291.2,291.6,292.7,9858.0,28.92
2010-03-25,291.6,292.3,285.0,286.3,286.6,11253.0,32.44
2010-03-26,289.7,289.8,281.95,284.1,284.2,22289.0,63.64
2010-03-29,287.5,287.5,279.0,279.05,280.4,18891.0,53.46
