Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,118.5,124.4,116.15,122.0,122.05,482952.0,590.61
2010-01-05,123.5,123.5,118.55,119.0,119.1,101672.0,123.14
2010-01-06,120.0,121.45,116.0,116.55,116.55,103911.0,123.24
2010-01-07,117.9,120.0,115.65,118.0,117.75,83493.0,98.5
2010-01-08,118.5,122.95,117.1,120.9,120.0,264821.0,320.32
2010-01-11,121.8,122.4,118.1,118.85,118.8,132430.0,159.41
2010-01-12,118.8,126.6,118.8,120.1,121.4,307844.0,381.06
2010-01-13,119.0,124.0,118.4,118.9,119.15,169808.0,206.05
2010-01-14,119.9,122.3,119.0,119.75,119.5,63544.0,76.72
2010-01-15,120.4,121.8,118.2,120.0,119.05,86244.0,103.29
2010-01-18,118.85,119.75,117.0,118.0,117.6,42573.0,50.47
2010-01-19,117.3,119.5,116.0,116.1,116.35,30809.0,36.24
2010-01-20,117.8,123.5,117.8,122.4,122.3,318191.0,386.21
2010-01-21,121.9,124.0,117.95,118.75,118.55,149203.0,180.47
2010-01-22,116.0,122.5,111.05,121.05,120.4,150762.0,177.77
2010-01-25,120.0,127.9,116.2,123.0,124.15,523522.0,648.81
2010-01-27,124.0,128.95,115.0,115.65,116.45,381889.0,473.72
2010-01-28,118.8,120.05,105.3,108.5,107.75,239536.0,266.01
2010-01-29,105.1,109.85,103.0,108.8,108.7,89375.0,95.16
2010-02-01,107.0,110.8,105.0,109.95,109.3,45676.0,49.78
2010-02-02,111.8,114.0,105.6,107.15,106.85,73051.0,80.89
2010-02-03,108.85,110.65,102.35,106.85,107.4,59015.0,63.82
2010-02-04,107.0,108.8,105.0,106.85,105.5,27151.0,29.01
2010-02-05,103.1,104.7,101.1,102.5,102.2,44243.0,45.21
2010-02-06,103.8,106.5,103.25,105.7,105.7,10824.0,11.36
2010-02-08,105.85,106.5,99.25,102.7,102.0,56285.0,57.69
2010-02-09,101.05,107.0,101.05,102.75,103.1,49237.0,51.67
2010-02-10,104.75,106.3,100.55,101.2,101.35,61340.0,63.22
2010-02-11,101.9,105.0,100.85,103.5,103.6,83984.0,86.52
2010-02-15,105.85,107.0,101.75,102.0,102.5,51627.0,53.74
2010-02-16,103.5,103.9,101.5,101.9,102.05,43180.0,44.28
2010-02-17,103.9,104.25,102.1,102.8,102.45,23391.0,24.14
2010-02-18,103.0,104.0,101.55,102.9,102.75,25946.0,26.66
2010-02-19,104.85,106.8,102.25,106.4,105.45,129124.0,135.58
2010-02-22,106.0,110.0,103.25,104.0,104.25,82928.0,89.17
2010-02-23,104.25,105.0,100.05,103.35,103.6,44999.0,46.58
2010-02-24,104.0,115.8,103.35,105.25,106.2,792408.0,876.29
2010-02-25,107.25,108.5,103.0,104.2,103.75,83930.0,88.0
2010-02-26,104.2,108.0,102.0,107.0,106.8,126107.0,133.85
2010-03-02,109.95,109.95,106.3,107.05,107.3,32720.0,35.15
2010-03-03,107.5,116.0,107.5,112.0,111.8,254262.0,285.64
2010-03-04,111.5,114.85,110.05,111.0,112.05,107504.0,121.45
2010-03-05,113.85,133.5,113.85,127.5,128.2,5175940.0,6658.91
2010-03-08,129.8,131.4,117.65,119.3,119.95,1588950.0,1936.56
2010-03-09,120.9,120.9,111.4,112.05,112.25,432800.0,501.6
2010-03-10,113.45,116.4,110.4,112.1,111.9,356735.0,406.13
2010-03-11,112.05,113.65,107.05,107.45,107.35,324587.0,356.89
2010-03-12,108.2,109.65,104.15,105.0,105.15,206899.0,221.45
2010-03-15,106.85,106.85,102.05,102.95,102.45,144624.0,149.81
2010-03-16,102.5,108.5,102.05,105.75,105.6,193676.0,205.42
2010-03-17,106.95,106.95,103.1,104.9,103.55,91616.0,95.97
2010-03-18,103.85,105.35,102.2,102.2,102.9,81261.0,84.27
2010-03-19,103.7,103.7,101.0,102.35,102.0,90933.0,93.01
2010-03-22,101.0,106.25,100.1,101.55,101.65,180367.0,186.18
2010-03-23,103.75,103.75,101.25,101.25,101.7,63228.0,64.61
2010-03-25,102.45,102.5,97.3,98.6,98.15,146465.0,146.21
2010-03-26,98.7,102.0,98.15,99.15,99.45,181313.0,181.75
2010-03-29,101.4,101.4,96.3,96.8,97.1,112429.0,110.51
2010-03-30,97.4,97.9,95.1,95.95,95.75,86256.0,82.84
2010-03-31,96.5,98.0,95.3,96.75,96.5,97338.0,94.33
2010-04-01,97.0,100.8,96.65,98.95,98.45,89343.0,88.16
2010-04-05,100.0,101.95,98.75,100.3,100.45,133514.0,134.27
2010-04-06,101.25,102.95,99.0,101.35,101.05,102291.0,103.73
2010-04-07,100.5,106.9,100.5,105.0,105.85,343189.0,359.45
2010-04-08,105.0,107.45,101.0,102.0,102.5,216219.0,227.58
2010-04-09,103.45,105.0,102.3,103.65,102.9,74391.0,77.03
2010-04-12,103.1,105.4,101.15,101.35,101.7,98537.0,101.65
2010-04-13,102.7,103.4,100.6,101.4,101.0,52088.0,53.05
2010-04-15,102.9,102.9,98.4,99.1,98.9,54882.0,55.21
2010-04-16,97.8,99.75,97.5,97.95,97.85,51255.0,50.3
2010-04-19,95.4,98.35,95.4,95.8,96.0,54780.0,53.09
2010-04-20,96.9,101.9,96.9,99.6,99.45,272272.0,273.41
2010-04-21,100.0,101.6,97.75,98.4,98.35,88583.0,88.37
2010-04-22,98.95,100.65,97.85,98.5,98.45,52301.0,51.92
2010-04-23,99.2,99.55,97.0,97.5,97.75,33186.0,32.61
2010-04-26,98.25,98.9,97.1,97.3,97.25,32534.0,31.76
2010-04-27,97.1,98.5,96.5,97.4,96.8,26474.0,25.74
2010-04-28,95.45,96.95,94.7,95.4,95.1,32017.0,30.7
2010-04-29,96.1,97.0,95.15,95.95,95.6,26665.0,25.57
2010-04-30,98.0,98.0,95.2,95.25,95.55,30279.0,29.08
2010-05-03,95.55,97.4,94.6,95.15,95.1,35395.0,33.87
2010-05-04,96.05,96.3,91.65,92.8,92.4,52788.0,49.73
2010-05-05,92.4,92.7,89.0,92.35,92.2,58919.0,53.7
2010-05-06,91.0,93.05,89.5,90.05,90.35,41950.0,38.08
2010-05-07,89.1,89.8,85.3,86.65,87.05,42477.0,37.06
2010-05-10,88.8,90.9,87.5,90.0,89.55,93342.0,82.83
2010-05-11,88.9,90.4,87.1,87.1,87.55,31628.0,28.07
2010-05-12,88.35,88.5,85.0,85.4,85.45,20750.0,17.89
2010-05-13,84.9,87.25,84.0,86.5,85.4,41510.0,35.42
2010-05-14,85.4,94.4,85.0,88.35,88.75,172838.0,156.46
2010-05-17,87.5,87.8,84.8,86.8,87.1,39114.0,33.64
2010-05-18,85.55,88.8,85.55,87.0,86.45,19198.0,16.62
2010-05-19,86.7,87.2,81.95,86.0,84.35,48414.0,40.93
2010-05-20,85.0,85.6,82.0,83.35,83.65,17678.0,14.85
2010-05-21,81.0,82.45,78.8,79.4,79.3,36033.0,28.83
2010-05-24,80.3,83.9,79.6,81.5,80.4,31470.0,25.49
2010-05-25,80.0,81.0,77.05,77.9,77.5,26006.0,20.37
2010-05-26,78.2,79.95,77.65,78.6,78.45,22510.0,17.64
2010-05-27,78.05,80.4,77.85,79.5,79.65,22910.0,18.16
2010-05-28,81.0,82.0,80.0,80.25,81.0,15002.0,12.17
2010-05-31,80.1,84.5,80.1,81.95,81.45,63041.0,51.77
2010-06-01,81.3,84.5,80.5,80.5,81.6,59778.0,49.65
2010-06-02,82.0,83.9,80.8,82.5,82.0,14850.0,12.16
2010-06-03,82.05,85.5,82.05,84.55,84.85,75505.0,63.71
2010-06-04,85.9,87.0,85.5,86.0,86.05,44443.0,38.34
2010-06-07,80.0,84.0,80.0,83.95,83.05,13505.0,11.15
2010-06-08,86.45,93.9,83.55,86.25,87.6,1098008.0,994.38
2010-06-09,88.0,88.0,83.65,85.75,85.0,132497.0,113.43
2010-06-10,87.0,87.6,85.1,85.75,85.5,69905.0,60.06
2010-06-11,86.0,86.5,84.0,84.0,84.1,38197.0,32.59
2010-06-14,85.3,87.85,84.15,85.95,85.65,75722.0,65.46
2010-06-15,86.9,86.95,83.9,84.1,84.25,38862.0,32.88
2010-06-16,85.9,89.4,85.1,86.4,86.65,156868.0,137.47
2010-06-17,87.5,88.0,84.5,85.3,85.15,34558.0,29.58
2010-06-18,86.0,86.8,83.2,84.0,83.9,33027.0,28.1
2010-06-21,84.0,87.4,84.0,84.5,84.45,99345.0,85.44
2010-06-22,85.2,85.55,84.1,84.6,84.55,21180.0,17.96
2010-06-23,84.9,88.9,84.2,87.0,86.95,475456.0,416.12
2010-06-24,88.0,89.8,86.15,86.15,86.85,101777.0,89.81
2010-06-25,86.4,86.75,84.5,84.5,85.2,33290.0,28.59
2010-06-28,85.25,88.8,84.5,87.0,87.1,100078.0,87.59
2010-06-29,87.7,87.7,85.7,86.0,86.05,46323.0,40.07
2010-06-30,85.0,87.4,84.9,86.0,85.75,56937.0,49.17
2010-07-01,86.0,86.3,84.0,84.5,84.35,32045.0,27.27
2010-07-02,84.25,85.5,82.5,82.5,83.1,80836.0,67.92
2010-07-05,83.1,83.75,82.35,82.5,82.6,35302.0,29.29
2010-07-06,83.0,83.85,82.45,82.5,82.85,46789.0,38.92
2010-07-07,82.0,84.65,82.0,82.6,82.65,41603.0,34.63
2010-07-08,82.6,84.0,82.05,82.95,82.7,42694.0,35.53
2010-07-09,82.75,84.0,82.75,83.6,83.4,33618.0,28.08
2010-07-12,83.85,86.0,83.0,83.6,83.35,44646.0,37.7
2010-07-13,84.2,84.7,83.25,83.5,83.6,29899.0,25.08
2010-07-14,84.0,84.8,83.0,83.0,83.1,47112.0,39.38
