Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,24.5,26.0,24.5,26.0,26.0,4403.0,1.13
2010-01-05,25.4,25.85,25.3,25.35,25.35,2078.0,0.53
2010-01-06,25.35,25.85,25.3,25.3,25.3,1405.0,0.36
2010-01-07,24.55,26.0,24.55,26.0,25.65,2437.0,0.62
2010-01-08,25.65,26.2,25.4,26.15,25.7,1293.0,0.34
2010-01-11,25.1,26.85,25.05,26.85,26.25,2069.0,0.54
2010-01-12,25.6,27.0,25.6,25.65,26.15,3570.0,0.94
2010-01-13,24.6,26.75,24.2,26.75,26.65,11904.0,3.11
2010-01-14,26.75,26.75,26.3,26.75,26.75,2596.0,0.69
2010-01-15,26.75,27.4,26.6,26.65,26.75,4049.0,1.09
2010-01-18,27.0,28.0,27.0,27.0,27.0,1871.0,0.51
2010-01-19,25.95,27.0,24.75,26.15,26.15,3410.0,0.9
2010-01-20,26.15,26.8,26.15,26.35,26.35,311.0,0.08
2010-01-21,26.35,26.5,25.5,26.35,25.65,2069.0,0.54
2010-01-22,25.0,27.0,24.5,27.0,26.5,13148.0,3.44
2010-01-25,26.0,27.75,26.0,26.3,26.6,1577.0,0.42
2010-01-27,25.5,26.55,25.1,26.1,25.6,1556.0,0.4
2010-01-28,25.7,25.7,24.3,24.9,24.65,2134.0,0.53
2010-01-29,23.2,25.5,23.15,24.7,24.15,1198.0,0.29
2010-02-01,25.7,25.9,25.4,25.45,25.45,1074.0,0.28
2010-02-02,26.5,26.5,25.0,25.65,25.65,898.0,0.23
2010-02-03,25.35,25.85,25.0,25.75,25.05,705.0,0.18
2010-02-04,24.2,25.75,23.65,25.35,24.35,1086.0,0.27
2010-02-05,24.35,25.4,24.35,24.5,24.5,1176.0,0.29
2010-02-06,26.9,26.9,26.4,26.4,26.4,50.0,0.01
2010-02-08,25.5,26.55,24.15,26.55,26.5,8012.0,2.05
2010-02-09,25.7,26.9,25.65,26.45,26.25,3383.0,0.89
2010-02-10,26.55,26.65,26.1,26.2,26.2,1403.0,0.37
2010-02-11,25.35,26.7,25.3,26.45,26.45,255.0,0.07
2010-02-15,25.5,26.5,24.7,25.95,25.95,1649.0,0.42
2010-02-16,25.0,25.85,24.75,25.85,25.85,1591.0,0.4
2010-02-17,25.1,25.1,24.85,24.85,24.85,1271.0,0.32
2010-02-18,24.0,25.4,23.75,25.4,24.95,3488.0,0.87
2010-02-19,25.0,25.75,24.35,25.65,24.5,233.0,0.06
2010-02-22,24.35,25.7,24.1,24.5,24.5,968.0,0.24
2010-02-23,25.75,25.75,23.6,25.4,25.4,9.0,0.0
2010-02-24,25.0,25.0,24.95,24.95,24.95,2.0,0.0
2010-02-25,23.25,25.6,23.25,23.95,23.95,252.0,0.06
2010-02-26,24.15,24.4,24.1,24.2,24.2,452.0,0.11
2010-03-02,26.65,26.65,23.75,25.0,25.0,310.0,0.08
2010-03-03,26.0,26.0,25.0,25.0,25.0,2655.0,0.69
2010-03-04,25.0,25.0,24.05,24.15,24.15,1721.0,0.42
2010-03-05,24.8,25.25,23.95,24.25,24.25,239.0,0.06
2010-03-08,25.2,27.9,25.2,27.9,26.55,4160.0,1.09
2010-03-09,25.55,27.85,25.5,25.5,25.95,4881.0,1.28
2010-03-10,25.1,26.0,23.75,24.0,24.1,9336.0,2.27
2010-03-11,24.5,25.9,23.75,24.55,24.35,3587.0,0.87
2010-03-12,24.05,24.3,23.5,23.65,23.65,1899.0,0.46
