Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-27,374.3,374.3,374.3,374.3,374.3,1205.0,4.51
2012-11-29,355.6,355.6,355.6,355.6,355.6,764.0,2.72
2012-11-30,337.85,337.85,337.85,337.85,337.85,151.0,0.51
2012-12-03,321.0,321.0,321.0,321.0,321.0,5313.0,17.05
2012-12-04,304.95,304.95,304.95,304.95,304.95,2033.0,6.2
2012-12-05,289.75,319.7,289.75,314.0,304.65,38511.0,113.39
2012-12-06,299.0,315.9,290.0,315.0,311.25,59003.0,175.3
2012-12-07,305.0,315.0,301.05,310.0,311.45,20519.0,63.56
2012-12-10,318.35,318.35,302.0,304.0,306.4,4707.0,14.52
2012-12-11,300.0,310.0,296.2,308.0,308.85,3628.0,11.11
2012-12-12,311.2,311.2,299.95,300.1,302.0,6202.0,18.79
2012-12-13,288.0,303.0,288.0,299.45,296.65,60544.0,181.3
2012-12-14,305.0,305.0,292.15,299.0,297.15,8304.0,24.75
2012-12-17,293.1,301.95,287.55,290.0,295.05,3969.0,11.7
2012-12-18,261.25,295.95,261.25,293.7,289.85,6801.0,19.61
2012-12-19,285.2,298.0,284.8,292.0,291.0,3055.0,8.82
2012-12-20,266.0,307.0,266.0,285.0,283.6,10200.0,29.39
2012-12-21,270.2,293.0,267.0,270.5,280.25,9846.0,27.29
2012-12-24,251.55,283.55,251.55,276.8,272.3,5355.0,14.66
2012-12-26,267.0,279.0,267.0,271.5,273.2,3357.0,9.25
2012-12-27,269.0,281.0,262.0,281.0,272.9,12324.0,33.44
2012-12-28,273.0,284.0,272.0,278.5,277.0,4294.0,11.9
2012-12-31,273.5,283.0,265.05,283.0,271.3,16751.0,45.45
2013-01-01,273.5,295.0,273.5,284.0,283.45,2230.0,6.27
2013-01-02,280.0,288.0,272.0,279.0,277.6,10559.0,29.41
2013-01-03,274.0,280.0,269.0,272.55,273.95,14504.0,39.7
2013-01-04,272.0,275.9,270.05,273.2,273.2,5266.0,14.36
2013-01-07,270.0,273.0,265.0,270.0,270.3,4997.0,13.55
2013-01-08,265.0,278.25,265.0,269.5,270.15,6945.0,18.78
2013-01-09,266.1,271.85,266.0,266.0,267.0,2398.0,6.42
2013-01-10,232.55,269.5,232.55,262.9,262.05,3899.0,10.26
2013-01-11,262.0,262.0,251.05,251.05,255.75,3563.0,9.13
2013-01-14,252.0,259.85,252.0,259.15,259.0,1817.0,4.69
2013-01-15,255.0,259.85,240.25,259.85,256.75,6092.0,15.47
2013-01-16,264.7,264.7,241.05,258.0,254.2,4535.0,11.57
2013-01-17,253.55,262.0,245.5,260.0,260.1,7252.0,18.57
2013-01-18,255.0,268.6,251.2,255.1,261.75,5034.0,13.23
2013-01-21,262.1,265.0,256.75,259.1,262.6,1907.0,5.02
2013-01-22,265.9,265.9,254.0,264.95,261.6,4414.0,11.53
2013-01-23,264.5,264.5,253.0,255.5,255.95,4902.0,12.56
2013-01-24,258.5,259.5,239.5,245.15,252.25,30215.0,73.89
2013-01-25,252.9,252.95,240.25,243.2,244.65,6237.0,15.28
2013-01-28,249.0,249.0,236.3,241.8,240.4,2632.0,6.34
2013-01-29,236.0,245.0,235.2,242.5,243.75,2880.0,7.01
2013-01-30,240.05,251.1,236.25,243.4,247.8,2675.0,6.53
2013-01-31,241.1,259.0,228.8,232.1,239.3,33709.0,79.84
2013-02-01,236.0,240.0,227.35,237.0,238.7,3976.0,9.4
2013-02-04,233.45,237.7,226.5,226.6,229.85,3453.0,7.98
2013-02-05,228.0,229.0,219.3,222.0,221.4,5247.0,11.65
2013-02-06,216.0,225.75,210.35,214.5,221.0,17853.0,39.17
2013-02-07,207.05,225.0,207.0,211.05,217.9,18993.0,40.46
2013-02-08,214.05,217.35,204.0,206.0,207.8,9629.0,20.11
2013-02-11,208.75,208.75,198.0,200.5,201.6,15831.0,31.74
2013-02-12,203.0,203.0,191.3,203.0,197.55,2030.0,4.03
2013-02-13,196.0,201.15,192.1,198.9,198.4,4250.0,8.42
2013-02-14,198.05,203.3,189.35,196.5,198.65,7988.0,15.67
2013-02-15,191.0,199.0,185.0,192.2,196.4,19740.0,37.78
2013-02-18,190.0,197.0,188.05,196.95,194.75,4715.0,9.09
2013-02-19,190.9,197.9,188.0,194.95,194.85,9034.0,17.59
2013-02-20,192.0,197.0,192.0,195.0,194.95,4389.0,8.56
2013-02-21,195.0,210.0,192.0,208.5,203.2,3364.0,6.73
2013-02-22,210.0,210.0,192.5,194.5,194.85,5295.0,10.42
2013-02-25,194.5,200.65,187.2,193.0,192.45,4789.0,9.21
2013-02-26,194.85,195.0,185.25,190.0,190.55,2816.0,5.35
2013-02-27,186.35,190.95,181.2,190.65,189.8,1761.0,3.33
2013-02-28,190.0,192.5,183.75,188.1,187.35,137330.0,257.48
2013-03-01,189.05,190.0,183.9,184.4,184.75,590.0,1.09
2013-03-04,182.05,187.9,180.0,182.0,183.15,1729.0,3.17
2013-03-05,187.0,190.0,182.1,188.5,186.35,2076.0,3.88
2013-03-06,187.0,188.0,184.4,185.1,186.15,3988.0,7.44
2013-03-07,170.05,194.8,170.05,180.0,179.9,7859.0,14.35
2013-03-08,180.0,180.0,174.05,176.0,175.0,4679.0,8.26
2013-03-11,175.0,189.0,169.55,179.0,181.45,6473.0,11.56
2013-03-12,183.0,183.0,172.5,173.0,178.0,4591.0,8.11
